Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,46.88,46.92,46.26,46.26,7696900,44.00
2009-12-30,46.31,46.99,46.24,46.86,7559300,44.58
2009-12-29,46.26,46.88,46.12,46.65,8834400,44.38
2009-12-28,46.05,46.29,45.75,46.26,7410700,44.00
2009-12-24,45.94,46.11,45.79,46.10,3760100,43.85
2009-12-23,45.98,46.00,45.72,45.95,8751300,43.71
2009-12-22,45.65,45.90,45.39,45.84,9687400,43.60
2009-12-21,44.88,45.74,44.81,45.41,11653500,43.20
2009-12-18,44.33,44.60,44.05,44.57,18465600,42.40
2009-12-17,44.67,44.83,44.24,44.31,9368300,42.15
2009-12-16,44.90,45.04,44.65,44.69,9732900,42.51
2009-12-15,44.58,45.26,44.45,44.88,11314100,42.69
2009-12-14,45.10,45.22,44.58,44.67,11754500,42.49
2009-12-11,45.62,45.88,44.73,44.90,16493100,42.71
2009-12-10,45.02,45.79,44.95,45.56,14892100,43.34
2009-12-09,44.35,44.87,44.18,44.77,11420800,42.59
2009-12-08,44.71,45.20,44.13,44.59,13153600,42.42
2009-12-07,45.11,45.42,44.80,44.89,8485800,42.70
2009-12-04,45.03,45.68,44.68,45.16,14667900,42.96
2009-12-03,45.05,45.28,44.60,44.63,10750100,42.45
2009-12-02,45.22,45.55,44.90,45.06,12581400,42.86
2009-12-01,45.00,45.47,44.88,45.06,14140300,42.86
2009-11-30,44.82,45.07,44.32,45.00,11359600,42.81
2009-11-27,44.75,45.39,44.69,44.99,6171900,42.80
2009-11-25,45.70,45.84,45.34,45.44,8328900,43.22
2009-11-24,45.90,46.00,45.38,45.56,11106300,43.34
2009-11-23,45.25,45.90,45.25,45.55,9401500,43.33
2009-11-20,44.76,45.25,44.76,45.10,12558200,42.74
2009-11-19,45.05,45.36,44.55,45.09,14917900,42.73
2009-11-18,45.83,45.93,45.20,45.49,13170700,43.11
2009-11-17,45.58,45.99,45.46,45.99,10331600,43.58
2009-11-16,45.90,46.25,45.29,45.51,13389700,43.13
2009-11-13,45.29,46.00,45.24,45.77,16408000,43.37
2009-11-12,44.70,45.19,44.52,44.85,14235300,42.50
2009-11-11,44.37,44.75,44.35,44.66,15688700,42.32
2009-11-10,44.66,44.75,44.29,44.35,12513100,42.03
2009-11-09,44.24,45.00,44.15,44.75,17822100,42.41
2009-11-06,43.52,43.97,43.40,43.90,15993400,41.60
2009-11-05,43.05,43.88,42.92,43.85,36536700,41.55
2009-11-04,42.41,42.73,41.51,41.60,24228800,39.42
2009-11-03,41.73,42.29,41.49,42.22,18756500,40.01
2009-11-02,41.35,42.00,41.08,41.81,14658200,39.62
2009-10-30,42.63,43.08,41.32,41.33,21347500,39.17
2009-10-29,42.00,42.55,41.87,42.27,20375900,40.06
2009-10-28,41.08,41.98,41.00,41.63,22598900,39.45
2009-10-27,40.81,41.32,40.69,41.00,15087200,38.85
2009-10-26,40.56,41.46,40.37,40.68,17075000,38.55
2009-10-23,40.80,41.11,40.53,40.70,16368300,38.57
2009-10-22,40.73,41.24,40.15,41.08,25352700,38.93
2009-10-21,41.26,41.95,41.26,41.41,17578200,39.24
2009-10-20,41.83,41.95,41.10,41.31,17423000,39.15
2009-10-19,41.99,42.34,41.56,42.06,13123100,39.86
2009-10-16,42.48,42.56,41.32,41.96,22745600,39.76
2009-10-15,42.11,42.48,41.88,42.45,15883200,40.23
2009-10-14,41.84,42.36,41.61,42.23,23035100,40.02
2009-10-13,41.63,41.84,41.08,41.29,15438400,39.13
2009-10-12,41.73,42.01,41.19,41.54,13729700,39.37
2009-10-09,41.46,41.77,40.50,41.70,34598100,39.52
2009-10-08,42.68,42.68,41.37,41.45,24421700,39.28
2009-10-07,42.42,42.66,42.02,42.18,15330100,39.97
2009-10-06,42.28,43.40,42.21,42.62,24579800,40.39
2009-10-05,41.60,42.29,41.34,41.94,17797200,39.74
2009-10-02,42.38,42.62,41.22,41.44,34710100,39.27
2009-10-01,44.61,44.64,42.50,42.70,31958800,40.46
2009-09-30,45.72,45.83,44.51,44.98,20262600,42.63
2009-09-29,45.93,46.03,45.25,45.50,15807800,43.12
2009-09-28,45.14,46.35,45.02,45.97,18495300,43.56
2009-09-25,44.47,45.13,44.30,44.70,19489800,42.36
2009-09-24,44.42,44.86,44.18,44.66,19006700,42.32
