Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,38.53,38.53,37.68,37.68,458100,32.75
2009-12-30,38.39,38.60,38.23,38.42,440800,33.39
2009-12-29,38.50,38.64,38.39,38.40,412400,33.37
2009-12-28,38.38,38.48,38.31,38.44,530900,33.41
2009-12-24,38.00,38.45,37.96,38.42,244900,33.39
2009-12-23,37.80,37.96,37.60,37.96,431800,32.99
2009-12-22,37.94,37.96,37.59,37.65,515100,32.72
2009-12-21,37.73,38.00,37.68,37.77,410200,32.83
2009-12-18,37.29,37.63,37.28,37.58,1017800,32.66
2009-12-17,37.57,37.57,37.11,37.24,677400,32.37
2009-12-16,37.66,37.79,37.47,37.65,626900,32.72
2009-12-15,37.70,37.70,37.28,37.49,603300,32.58
2009-12-14,38.02,38.02,37.50,37.75,540700,32.81
2009-12-11,36.95,37.46,36.76,37.44,550400,32.54
2009-12-10,36.46,36.97,36.46,36.81,637700,31.99
2009-12-09,36.27,36.46,35.92,36.46,685100,31.69
2009-12-08,36.31,36.49,35.92,36.21,726600,31.47
2009-12-07,36.41,37.00,36.39,36.84,592200,31.61
2009-12-04,36.82,36.85,35.95,36.38,784700,31.22
2009-12-03,36.25,36.73,36.16,36.45,536200,31.28
2009-12-02,35.90,36.26,35.81,36.26,828700,31.11
2009-12-01,35.42,35.83,35.31,35.81,631000,30.73
2009-11-30,34.95,35.27,34.87,35.20,714200,30.20
2009-11-27,35.18,35.33,34.76,34.94,234000,29.98
2009-11-25,35.13,35.59,35.10,35.48,483600,30.44
2009-11-24,34.99,35.24,34.94,35.18,594200,30.19
2009-11-23,34.73,35.28,34.73,35.10,721600,30.12
2009-11-20,34.37,34.64,34.28,34.62,782500,29.70
2009-11-19,34.69,34.69,34.22,34.43,544800,29.54
2009-11-18,35.12,35.13,34.80,34.84,607500,29.89
2009-11-17,35.11,35.13,34.90,35.13,828000,30.14
2009-11-16,34.65,35.03,34.50,35.00,751800,30.03
2009-11-13,34.37,34.61,34.21,34.50,867300,29.60
2009-11-12,34.68,34.76,34.17,34.23,678000,29.37
2009-11-11,34.98,35.06,34.52,34.69,853500,29.76
2009-11-10,34.62,34.96,34.62,34.95,839200,29.99
2009-11-09,34.35,34.69,34.20,34.68,507000,29.76
2009-11-06,34.23,34.31,33.91,34.15,733300,29.30
2009-11-05,34.06,34.26,33.81,34.23,663600,29.37
2009-11-04,33.88,34.20,33.72,33.80,815800,29.00
2009-11-03,33.90,34.00,33.61,33.76,981000,28.97
2009-11-02,34.10,34.25,33.59,33.92,908300,29.10
2009-10-30,34.43,34.61,33.69,33.84,1500600,29.04
2009-10-29,34.57,34.57,34.03,34.46,854700,29.57
2009-10-28,34.64,34.70,34.24,34.32,1300500,29.45
2009-10-27,35.77,35.77,34.15,34.70,758900,29.77
2009-10-26,35.05,35.44,34.54,34.59,688200,29.68
2009-10-23,35.37,35.55,34.77,34.96,661800,30.00
2009-10-22,35.22,35.39,34.96,35.34,896300,30.32
2009-10-21,35.38,35.54,35.11,35.12,827000,30.13
2009-10-20,35.64,35.69,35.20,35.35,440200,30.33
2009-10-19,34.83,35.77,34.76,35.68,828500,30.61
2009-10-16,34.93,35.18,34.66,34.85,1407900,29.90
2009-10-15,34.86,35.27,34.69,35.19,710600,30.19
2009-10-14,34.92,35.00,34.67,34.85,382900,29.90
2009-10-13,34.91,34.91,34.69,34.73,523900,29.80
2009-10-12,34.78,35.20,34.78,34.99,368800,30.02
2009-10-09,34.70,34.82,34.63,34.82,245900,29.88
2009-10-08,34.79,34.80,34.60,34.68,408600,29.76
