Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,19.12,19.13,18.82,18.82,3712600,17.93
2009-12-30,18.91,19.06,18.67,19.04,3381000,18.14
2009-12-29,19.27,19.27,18.75,18.87,3810400,17.97
2009-12-28,18.79,19.08,18.79,19.00,3229900,18.10
2009-12-24,19.02,19.18,18.99,19.05,2175100,18.15
2009-12-23,19.09,19.33,19.05,19.10,6381700,18.19
2009-12-22,18.57,19.28,18.48,19.06,10607400,18.16
2009-12-21,18.15,18.57,18.12,18.56,8085900,17.68
2009-12-18,18.07,18.20,17.90,18.18,12726000,17.32
2009-12-17,17.94,18.17,17.81,17.86,14054700,17.01
2009-12-16,17.72,18.18,17.72,18.07,17872800,17.21
2009-12-15,17.60,17.72,17.31,17.35,12290300,16.53
2009-12-14,18.04,18.35,17.62,17.75,18606200,16.91
2009-12-11,18.59,18.59,18.29,18.43,6648200,17.56
2009-12-10,18.66,18.75,18.28,18.38,10284800,17.51
2009-12-09,18.48,18.67,18.01,18.61,9068000,17.73
2009-12-08,18.23,18.34,18.04,18.23,8333000,17.36
2009-12-07,18.36,18.57,18.16,18.29,9508200,17.42
2009-12-04,18.16,18.59,18.16,18.55,16090000,17.67
2009-12-03,18.34,18.39,17.86,17.88,6616000,17.03
2009-12-02,18.03,18.41,17.99,18.22,9259200,17.36
2009-12-01,18.37,18.50,17.95,18.05,13465900,17.19
2009-11-30,17.75,18.34,17.74,18.33,12092000,17.46
2009-11-27,17.71,18.05,17.68,17.74,7281300,16.90
2009-11-25,18.02,18.35,18.02,18.26,5021400,17.39
2009-11-24,18.11,18.21,17.99,18.15,6914900,17.29
2009-11-23,18.38,18.48,18.00,18.20,6994700,17.34
2009-11-20,18.33,18.33,18.04,18.25,5899200,17.38
2009-11-19,18.60,18.65,18.14,18.31,7511400,17.44
2009-11-18,18.70,18.80,18.46,18.73,7804500,17.84
2009-11-17,18.64,18.84,18.55,18.79,11110600,17.90
2009-11-16,18.37,18.78,18.37,18.68,12128000,17.79
2009-11-13,18.15,18.36,17.89,18.25,11697600,17.38
2009-11-12,18.01,18.11,17.90,18.03,11106100,17.17
2009-11-11,17.86,18.16,17.75,18.10,12207200,17.24
2009-11-10,17.75,17.81,17.35,17.64,13850300,16.80
2009-11-09,17.20,17.83,17.18,17.83,13864200,16.93
2009-11-06,17.05,17.26,16.75,17.13,18754200,16.26
2009-11-05,17.00,17.35,16.95,17.28,12373200,16.40
2009-11-04,17.31,17.38,16.90,16.94,14945500,16.08
2009-11-03,17.19,17.44,17.03,17.24,9734300,16.37
2009-11-02,17.30,17.61,16.92,17.38,12350800,16.50
2009-10-30,17.81,17.91,17.26,17.34,13437100,16.46
2009-10-29,17.76,18.06,17.67,17.99,10463000,17.08
2009-10-28,17.65,17.89,17.48,17.53,12159700,16.64
2009-10-27,17.66,17.92,17.60,17.72,8024800,16.82
2009-10-26,18.22,18.28,17.71,17.76,8712000,16.86
2009-10-23,18.11,18.28,17.84,17.94,8264600,17.03
2009-10-22,17.91,18.13,17.70,18.10,12783600,17.18
2009-10-21,18.15,18.65,17.99,18.02,12764000,17.11
2009-10-20,18.74,18.77,18.26,18.40,10130300,17.47
2009-10-19,18.33,18.73,18.24,18.53,12370900,17.59
2009-10-16,18.22,18.30,17.95,18.21,20286700,17.29
2009-10-15,18.67,18.77,18.01,18.36,29065900,17.43
2009-10-14,19.14,19.51,19.09,19.28,13213400,18.30
2009-10-13,19.10,19.24,18.86,18.98,11362100,18.02
2009-10-12,19.75,19.80,18.96,19.27,10142000,18.29
2009-10-09,19.06,19.54,18.92,19.49,9479300,18.50
2009-10-08,19.23,19.49,19.02,19.07,11407800,18.10
2009-10-07,19.05,19.23,18.95,19.20,6535700,18.23
2009-10-06,18.55,19.33,18.52,19.24,14267000,18.27
2009-10-05,18.84,18.85,18.41,18.46,13923700,17.52
2009-10-02,18.38,18.93,18.26,18.73,10615500,17.78
2009-10-01,18.95,19.09,18.52,18.54,16267500,17.60
2009-09-30,19.34,19.46,18.86,19.15,11482200,18.18
2009-09-29,19.05,19.39,18.90,19.27,13816100,18.29
2009-09-28,18.56,19.15,18.36,19.09,9318500,18.12
2009-09-25,18.56,18.65,18.26,18.45,12525300,17.52
2009-09-24,18.77,19.07,18.48,18.59,18904000,17.65
2009-09-23,18.75,19.17,18.66,18.84,22195800,17.89
2009-09-22,18.19,18.75,18.01,18.64,14198400,17.70
2009-09-21,17.61,18.13,17.40,18.04,12624500,17.13
2009-09-18,17.24,17.69,17.13,17.61,23863400,16.72
2009-09-17,18.13,18.25,17.71,17.74,13631600,16.84
2009-09-16,17.88,18.27,17.83,18.22,12103200,17.30
2009-09-15,18.40,18.42,17.60,17.85,16299400,16.95
2009-09-14,17.85,18.39,17.74,18.37,7735000,17.44
2009-09-11,18.47,18.47,17.86,17.94,11257100,17.03
2009-09-10,18.36,18.45,17.97,18.36,12765600,17.43
2009-09-09,18.47,18.53,18.20,18.48,8633800,17.54
2009-09-08,18.18,18.49,18.18,18.48,8188500,17.54
2009-09-04,17.97,18.13,17.74,18.10,6725200,17.18
2009-09-03,17.55,17.97,17.48,17.90,9273600,16.99
2009-09-02,17.40,17.97,17.33,17.54,9609900,16.65
2009-09-01,17.88,18.29,17.56,17.56,12655900,16.67
2009-08-31,17.43,18.08,17.40,18.06,9139500,17.14
2009-08-28,17.93,17.98,17.61,17.73,6785400,16.83
2009-08-27,17.79,17.87,17.54,17.84,7499900,16.94
2009-08-26,17.96,18.17,17.73,17.85,9478000,16.95
2009-08-25,18.03,18.37,17.88,18.10,11646600,17.18
2009-08-24,18.15,18.23,17.83,17.87,8048700,16.96
2009-08-21,17.81,18.11,17.58,18.01,13618200,17.10
2009-08-20,17.73,17.85,17.55,17.62,10420800,16.73
2009-08-19,17.51,17.88,17.46,17.75,6881200,16.85
2009-08-18,17.46,17.80,17.41,17.64,7429700,16.75
2009-08-17,17.88,17.90,17.37,17.39,11314500,16.51
2009-08-14,18.63,18.73,18.01,18.26,10576200,17.33
2009-08-13,18.74,19.47,18.42,18.61,9086700,17.67
2009-08-12,18.89,18.96,18.56,18.75,9414000,17.80
2009-08-11,19.23,19.24,18.62,18.64,11782500,17.64
2009-08-10,19.26,19.52,18.84,19.15,8351300,18.12
2009-08-07,18.73,19.87,18.51,19.45,21039000,18.41
2009-08-06,17.85,18.80,17.72,18.48,21544500,17.49
2009-08-05,17.78,17.84,17.40,17.71,9903500,16.76
2009-08-04,18.01,18.08,17.53,17.74,15514000,16.79
2009-08-03,18.13,18.25,17.88,18.06,9380300,17.09
2009-07-31,17.61,18.01,17.61,17.87,9684300,16.91
2009-07-30,17.08,18.02,17.01,17.82,17093100,16.86
2009-07-29,16.87,16.97,16.75,16.92,9362400,16.01
2009-07-28,16.89,17.30,16.74,16.99,10853900,16.08
2009-07-27,16.60,17.12,16.57,17.00,14540000,16.09
2009-07-24,16.98,17.00,16.47,16.60,17080700,15.71
2009-07-23,16.90,17.42,16.86,17.23,9680500,16.30
2009-07-22,16.82,17.13,16.82,17.02,7495800,16.11
2009-07-21,17.24,17.27,16.82,17.03,11107300,16.12
2009-07-20,17.11,17.33,16.97,17.16,12671200,16.24
2009-07-17,17.40,17.72,17.00,17.08,15210600,16.16
2009-07-16,18.08,18.18,17.23,17.65,16070400,16.70
2009-07-15,17.60,18.15,17.48,18.09,15167700,17.12
2009-07-14,17.26,17.47,17.14,17.44,9232200,16.50
2009-07-13,16.79,17.51,16.46,17.36,17689100,16.43
2009-07-10,16.49,16.66,16.35,16.47,9400200,15.59
2009-07-09,16.76,16.85,16.50,16.61,7678500,15.72
2009-07-08,16.71,16.83,16.25,16.56,13993300,15.67
2009-07-07,17.01,17.12,16.46,16.49,10287200,15.60
2009-07-06,16.89,17.13,16.67,17.02,12893200,16.11
2009-07-02,17.03,17.23,16.73,16.78,12304200,15.88
2009-07-01,17.50,17.50,17.07,17.23,11033300,16.30
2009-06-30,17.80,17.80,17.22,17.54,10941500,16.60
2009-06-29,17.75,18.00,17.70,17.90,7552600,16.94
2009-06-26,17.67,17.92,17.48,17.81,8477400,16.85
2009-06-25,17.54,17.95,17.30,17.74,11151400,16.79
2009-06-24,17.27,17.48,17.14,17.45,8149900,16.51
2009-06-23,17.09,17.47,17.09,17.18,13535200,16.26
2009-06-22,17.65,17.81,16.98,17.07,14666100,16.15
2009-06-19,17.65,17.93,17.37,17.92,10976600,16.96
2009-06-18,17.42,17.61,17.18,17.46,9028700,16.52
2009-06-17,17.50,17.97,17.27,17.49,14322700,16.55
2009-06-16,17.89,17.99,17.44,17.50,11256600,16.56
2009-06-15,17.76,17.97,17.64,17.84,9961000,16.88
2009-06-12,17.73,18.09,17.31,18.08,9758600,17.11
2009-06-11,17.99,18.06,17.66,17.76,11285500,16.81
2009-06-10,18.42,18.48,17.64,17.92,10547800,16.96
2009-06-09,18.00,18.45,17.98,18.30,9469500,17.32
2009-06-08,18.00,18.25,17.83,18.08,9763500,17.11
2009-06-05,18.75,18.88,17.99,18.12,11579500,17.15
2009-06-04,18.24,18.72,18.20,18.46,12153700,17.47
2009-06-03,18.39,18.39,17.89,18.18,8667400,17.20
2009-06-02,18.03,18.45,18.03,18.24,10261100,17.26
2009-06-01,17.99,19.00,17.69,18.38,19094300,17.39
2009-05-29,17.05,17.76,16.84,17.60,11420600,16.65
2009-05-28,16.93,17.28,16.66,17.15,13160100,16.23
2009-05-27,17.53,17.70,16.58,16.66,15530500,15.76
2009-05-26,16.91,17.73,16.86,17.69,15225900,16.74
2009-05-22,17.11,17.36,16.79,16.97,8635100,16.06
2009-05-21,17.06,17.27,16.42,16.79,15579100,15.89
2009-05-20,18.06,18.17,17.37,17.44,11677600,16.50
2009-05-19,17.96,18.23,17.77,17.77,12586000,16.82
2009-05-18,17.24,18.08,17.05,18.00,16095100,17.03
2009-05-15,17.05,17.18,16.73,16.91,13425000,16.00
2009-05-14,16.67,17.35,16.50,17.08,19224300,16.16
2009-05-13,17.52,17.83,17.00,17.05,16645400,16.13
2009-05-12,18.20,18.31,17.66,17.91,14123400,16.95
2009-05-11,17.98,18.37,17.87,17.89,14477300,16.93
2009-05-08,18.00,18.74,17.84,18.74,19463500,17.73
2009-05-07,19.04,19.25,17.75,17.87,22903400,16.91
2009-05-06,18.61,19.29,18.24,18.92,15037400,17.90
2009-05-05,18.74,19.00,18.50,18.58,14490400,17.52
2009-05-04,18.38,18.81,17.88,18.73,25725700,17.67
2009-05-01,18.12,18.54,17.90,18.06,13256000,17.03
2009-04-30,18.84,18.95,18.11,18.48,17989500,17.43
2009-04-29,17.85,18.74,17.77,18.60,13498200,17.54
2009-04-28,17.45,17.91,17.30,17.58,9583100,16.58
2009-04-27,17.68,17.99,17.41,17.76,12843100,16.75
2009-04-24,17.97,18.03,17.34,17.84,17112500,16.83
2009-04-23,17.40,18.20,17.26,18.06,12931000,17.03
2009-04-22,17.62,18.12,17.25,17.43,22051100,16.44
2009-04-21,16.74,17.85,16.39,17.85,18159800,16.84
2009-04-20,17.32,17.45,16.69,16.69,19354000,15.74
2009-04-17,17.46,17.90,17.05,17.61,18306900,16.61
2009-04-16,18.24,18.30,16.71,17.55,20123400,16.55
2009-04-15,16.27,18.05,16.27,18.05,22693800,17.03
2009-04-14,17.29,17.32,16.18,16.36,19386500,15.43
2009-04-13,16.50,17.50,16.42,17.48,16536300,16.49
2009-04-09,15.74,17.23,15.74,16.97,21752400,16.01
2009-04-08,15.39,15.66,15.07,15.45,11727000,14.57
2009-04-07,15.37,15.71,15.26,15.31,10288200,14.44
2009-04-06,16.00,16.16,15.67,15.84,12324900,14.94
2009-04-03,15.89,16.37,15.58,16.37,12307400,15.44
2009-04-02,15.51,16.22,15.51,15.84,17420800,14.94
2009-04-01,15.38,15.50,14.71,15.47,16497300,14.59
2009-03-31,14.67,15.69,14.49,15.50,19822900,14.62
2009-03-30,14.55,14.99,14.32,14.39,15504600,13.57
2009-03-27,15.70,15.86,15.06,15.15,13775300,14.29
2009-03-26,15.49,16.00,15.18,15.99,19672600,15.08
2009-03-25,14.82,15.44,14.46,15.27,20655900,14.40
2009-03-24,15.26,15.70,14.67,14.67,19585900,13.84
2009-03-23,14.17,15.63,14.11,15.56,20810600,14.68
