Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,51.68,51.68,50.52,50.55,373800,48.84
2009-12-30,50.81,51.61,50.81,51.40,285700,49.66
2009-12-29,51.07,51.35,50.88,51.09,350600,49.36
2009-12-28,51.21,51.30,50.88,51.01,461900,49.29
2009-12-24,51.22,51.36,50.87,51.14,170800,49.41
2009-12-23,50.76,51.23,50.45,51.04,425800,49.32
2009-12-22,51.21,51.21,50.31,50.79,529300,49.07
2009-12-21,51.31,51.96,50.89,50.95,548400,49.23
2009-12-18,51.67,51.67,50.44,51.33,1352200,49.60
2009-12-17,52.68,52.68,51.15,51.27,818100,49.54
2009-12-16,52.85,53.59,52.78,52.94,604500,51.15
2009-12-15,52.51,53.31,52.45,52.68,577000,50.90
2009-12-14,52.67,52.86,52.17,52.84,504200,51.06
2009-12-11,52.74,52.95,51.78,52.26,461800,50.49
2009-12-10,52.62,53.22,52.28,52.53,323300,50.76
2009-12-09,52.17,52.67,51.53,52.54,456700,50.77
2009-12-08,52.30,52.76,51.72,52.15,515400,50.39
2009-12-07,52.56,52.96,52.40,52.64,388300,50.86
2009-12-04,53.32,54.10,52.38,52.88,690400,51.09
2009-12-03,53.70,54.00,52.82,52.87,473100,51.08
2009-12-02,53.91,54.18,53.49,53.83,552900,52.01
2009-12-01,53.88,54.30,53.60,53.75,532400,51.93
2009-11-30,52.77,53.47,52.46,53.34,593000,51.54
2009-11-27,52.60,53.79,52.60,53.06,374100,51.27
2009-11-25,54.24,54.49,53.76,54.37,520600,52.39
2009-11-24,54.33,54.35,53.51,53.92,505600,51.96
2009-11-23,54.49,55.45,54.01,54.28,697400,52.31
2009-11-20,53.88,54.15,53.30,53.94,779300,51.98
2009-11-19,53.52,54.82,53.35,53.88,817100,51.92
2009-11-18,55.17,55.83,54.85,55.01,560300,53.01
2009-11-17,55.26,55.83,55.17,55.81,375500,53.78
2009-11-16,55.38,55.96,55.04,55.57,512600,53.55
2009-11-13,54.93,55.24,54.59,55.15,533300,53.15
2009-11-12,55.19,55.47,54.58,54.76,561700,52.77
2009-11-11,55.66,55.85,54.84,55.36,502600,53.35
2009-11-10,55.07,55.56,54.76,55.30,512400,53.29
2009-11-09,54.73,55.38,54.36,55.38,589800,53.37
2009-11-06,54.41,54.96,53.95,54.41,658400,52.43
2009-11-05,53.66,54.79,53.34,54.79,588600,52.80
2009-11-04,53.52,53.96,53.00,53.13,591500,51.20
2009-11-03,52.79,53.52,52.47,53.36,693000,51.42
2009-11-02,52.11,53.37,52.00,52.88,812800,50.96
2009-10-30,53.06,53.34,51.56,51.93,1214100,50.04
2009-10-29,53.01,53.69,52.52,53.37,1084200,51.43
2009-10-28,53.63,54.10,52.50,52.57,792300,50.66
2009-10-27,53.95,54.52,53.54,53.88,814800,51.92
2009-10-26,54.10,55.24,53.59,53.86,665100,51.90
2009-10-23,54.69,54.92,53.70,54.08,758700,52.11
2009-10-22,55.00,55.40,54.00,54.97,1008800,52.97
2009-10-21,53.25,56.29,53.25,55.20,717000,53.19
2009-10-20,55.80,55.97,54.84,55.48,528500,53.46
2009-10-19,55.19,56.26,55.01,56.16,569200,54.12
2009-10-16,55.56,55.79,54.50,55.06,1059800,53.06
2009-10-15,55.06,55.83,54.86,55.83,822000,53.80
2009-10-14,54.28,55.29,54.13,55.28,846500,53.27
2009-10-13,53.99,54.23,53.56,54.08,501600,52.11
2009-10-12,53.95,54.50,53.47,53.99,373100,52.03
2009-10-09,53.85,54.05,53.46,53.80,510800,51.84
2009-10-08,54.15,54.57,53.50,53.74,965300,51.79
2009-10-07,53.59,53.94,53.20,53.47,734600,51.53
2009-10-06,52.92,53.91,52.76,53.81,1036100,51.85
2009-10-05,52.26,52.67,51.97,52.53,883800,50.62
2009-10-02,52.02,52.72,51.81,51.96,1113500,50.07
2009-10-01,53.64,53.93,52.05,52.05,876700,50.16
2009-09-30,54.28,54.67,53.26,53.98,666500,52.02
2009-09-29,54.13,54.81,53.73,53.99,903300,52.03
2009-09-28,52.57,53.91,52.20,53.35,446000,51.41
2009-09-25,52.48,53.03,52.23,52.48,571000,50.57
2009-09-24,52.75,53.12,51.98,52.42,657400,50.51
2009-09-23,53.60,53.60,52.49,52.52,695100,50.61
2009-09-22,53.36,53.64,53.06,53.48,510500,51.54
