Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,42.10,42.36,41.50,41.50,245100,40.50
2009-12-30,42.20,42.26,41.89,42.01,252900,41.00
2009-12-29,41.76,42.28,41.73,42.21,268600,41.19
2009-12-28,41.76,42.08,41.36,41.56,164900,40.56
2009-12-24,41.53,41.87,40.18,41.77,144100,40.76
2009-12-23,42.08,42.16,41.59,41.93,417500,40.92
2009-12-22,41.89,42.06,41.56,41.95,488000,40.94
2009-12-21,41.59,42.08,41.59,41.82,477400,40.81
2009-12-18,40.78,41.57,40.30,41.53,1138800,40.53
2009-12-17,40.86,41.00,40.10,40.77,783900,39.79
2009-12-16,40.47,41.00,40.47,40.95,707800,39.96
2009-12-15,40.33,40.55,40.11,40.47,780300,39.49
2009-12-14,41.36,41.36,40.35,40.41,496700,39.43
2009-12-11,41.27,41.40,41.02,41.27,447400,40.27
2009-12-10,40.34,41.22,40.26,41.08,641300,40.09
2009-12-09,39.99,40.49,39.40,40.35,1103700,39.38
2009-12-08,39.33,39.95,38.90,39.93,654300,38.97
2009-12-07,39.69,39.98,39.31,39.66,697100,38.70
2009-12-04,39.34,39.80,39.25,39.68,708900,38.72
2009-12-03,39.56,39.74,38.91,39.04,729800,38.10
2009-12-02,39.32,39.70,39.30,39.50,881200,38.55
2009-12-01,39.59,40.09,39.25,39.44,660800,38.49
2009-11-30,39.85,39.86,39.30,39.55,464300,38.60
2009-11-27,39.88,40.15,39.69,39.94,253900,38.98
2009-11-25,40.07,40.63,39.74,40.58,680900,39.60
2009-11-24,40.44,40.44,39.93,40.14,305600,39.10
2009-11-23,40.65,41.41,40.34,40.44,520400,39.39
2009-11-20,40.04,40.40,39.89,40.24,571400,39.20
2009-11-19,40.40,40.40,39.55,40.09,454300,39.05
2009-11-18,40.87,40.87,40.22,40.51,274900,39.46
2009-11-17,40.95,40.95,40.30,40.78,348200,39.72
2009-11-16,40.92,41.05,40.57,41.01,451200,39.95
2009-11-13,40.28,40.71,39.97,40.65,423200,39.59
2009-11-12,40.20,40.48,40.00,40.13,307000,39.09
2009-11-11,40.26,40.63,40.04,40.17,565900,39.13
2009-11-10,39.52,40.24,39.39,40.13,795600,39.09
2009-11-09,39.36,39.75,39.09,39.59,1241200,38.56
2009-11-06,39.12,39.84,38.18,39.61,1441800,38.58
2009-11-05,39.07,39.52,36.87,39.23,2016500,38.21
2009-11-04,38.40,38.92,38.08,38.61,1562700,37.61
2009-11-03,37.76,38.17,37.55,38.17,1128800,37.18
2009-11-02,38.00,38.31,37.65,38.03,2027000,37.04
2009-10-30,38.23,38.50,37.56,37.76,1060400,36.78
2009-10-29,38.74,38.79,37.95,38.06,1103100,37.07
2009-10-28,38.95,39.06,38.15,38.41,1167100,37.41
2009-10-27,39.01,39.49,38.69,38.92,555900,37.91
2009-10-26,39.35,40.25,38.79,38.88,650700,37.87
2009-10-23,39.55,39.98,38.92,39.26,679500,38.24
2009-10-22,38.98,39.70,38.53,39.59,827500,38.56
2009-10-21,39.53,40.08,38.78,38.91,936400,37.90
2009-10-20,39.91,40.14,39.55,39.60,830400,38.57
2009-10-19,39.87,40.29,39.74,40.00,841100,38.96
2009-10-16,38.30,39.69,38.17,39.65,1111600,38.62
2009-10-15,38.36,38.62,37.95,38.39,808800,37.39
2009-10-14,38.00,38.52,37.68,38.46,1084900,37.46
2009-10-13,37.59,38.00,37.22,37.76,879000,36.78
2009-10-12,37.55,37.99,37.32,37.53,549000,36.56
2009-10-09,37.82,38.17,37.22,37.35,860500,36.38
