Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,37.08,37.10,36.72,36.78,1448200,35.22
2009-12-30,36.83,37.03,36.50,37.03,1651500,35.46
2009-12-29,36.70,36.97,36.70,36.85,1727600,35.29
2009-12-28,36.86,37.16,36.72,36.77,1671100,35.21
2009-12-24,37.02,37.18,36.65,36.86,1022700,35.30
2009-12-23,37.08,37.33,36.75,37.11,1850500,35.54
2009-12-22,37.10,37.47,36.57,36.99,3597900,35.42
2009-12-21,36.69,37.58,36.69,37.17,2529300,35.60
2009-12-18,36.79,36.96,36.29,36.80,6080900,35.24
2009-12-17,37.87,38.03,36.50,36.77,5287500,35.21
2009-12-16,38.35,38.74,37.99,38.01,2861700,36.40
2009-12-15,38.42,38.58,38.08,38.22,2315900,36.60
2009-12-14,38.43,38.82,38.28,38.59,3798000,36.96
2009-12-11,38.01,38.64,37.64,38.33,3963600,36.71
2009-12-10,36.89,38.38,36.74,37.90,6114800,36.29
2009-12-09,36.66,36.75,36.30,36.64,3345000,35.09
2009-12-08,36.73,37.01,36.45,36.81,2878400,35.25
2009-12-07,36.59,37.18,36.57,36.99,2180500,35.42
2009-12-04,37.08,37.31,36.50,36.80,3264900,35.24
2009-12-03,36.82,37.20,36.80,36.86,2146700,35.30
2009-12-02,37.01,37.37,36.81,36.96,3130600,35.39
2009-12-01,36.94,37.23,36.73,37.09,3392600,35.52
2009-11-30,36.59,36.99,35.94,36.71,5292200,35.16
2009-11-27,36.17,36.61,35.95,36.41,1546200,34.87
2009-11-25,36.15,36.98,36.01,36.79,3459600,35.23
2009-11-24,35.10,36.84,35.01,36.42,8144400,34.88
2009-11-23,34.32,35.11,34.32,35.01,3641800,33.53
2009-11-20,34.38,34.66,34.25,34.32,3613800,32.87
2009-11-19,34.94,34.94,34.19,34.50,3032700,33.04
2009-11-18,34.72,35.27,34.66,35.06,2716700,33.58
2009-11-17,34.37,34.71,34.37,34.67,2311900,33.20
2009-11-16,34.33,34.83,34.30,34.46,3354900,33.00
2009-11-13,34.72,35.04,34.10,34.18,4632200,32.73
2009-11-12,35.24,35.48,34.34,34.74,4339400,33.27
2009-11-11,35.45,35.62,35.07,35.49,2402900,33.99
2009-11-10,35.10,35.64,34.87,35.39,2954900,33.89
2009-11-09,35.02,35.28,34.52,35.23,3026600,33.74
2009-11-06,34.57,35.09,34.48,34.79,2405600,33.32
2009-11-05,34.70,34.89,34.42,34.80,2481300,33.33
2009-11-04,34.79,34.94,34.39,34.49,3739600,33.03
2009-11-03,34.51,34.92,34.36,34.61,3409900,33.14
2009-11-02,34.12,34.70,34.12,34.64,3499200,33.17
2009-10-30,34.02,34.79,34.02,34.08,4028000,32.64
2009-10-29,34.35,34.36,33.92,34.23,4500200,32.78
2009-10-28,34.91,35.03,34.33,34.33,5560200,32.88
2009-10-27,34.73,35.22,34.34,35.16,6488200,33.67
2009-10-26,34.48,34.97,34.30,34.75,6772900,33.28
2009-10-23,34.58,34.82,34.15,34.40,6087800,32.94
2009-10-22,33.98,34.64,33.71,34.43,7858800,32.97
2009-10-21,33.23,34.86,33.15,34.11,13811100,32.67
2009-10-20,33.54,33.66,31.66,33.16,16155800,31.76
2009-10-19,33.85,34.39,33.44,34.28,5240900,32.83
2009-10-16,33.49,33.87,33.26,33.83,3562900,32.40
2009-10-15,32.88,33.62,32.88,33.60,4114500,32.18
2009-10-14,33.50,33.50,32.71,32.99,7543000,31.59
2009-10-13,33.53,33.65,33.18,33.27,4028200,31.86
2009-10-12,34.30,34.40,33.22,33.44,4967800,32.02
2009-10-09,32.98,34.31,32.68,34.10,8652400,32.66
2009-10-08,33.34,33.42,32.65,32.79,8069900,31.40
2009-10-07,33.71,33.96,32.93,33.01,12814500,31.61
2009-10-06,32.70,34.46,32.50,33.40,51806900,31.99
2009-10-05,38.01,38.37,37.59,38.24,1373900,36.62
2009-10-02,38.08,38.39,37.80,37.98,3031000,36.37
2009-10-01,38.97,38.97,38.11,38.39,3411700,36.76
2009-09-30,38.86,39.19,38.13,39.01,4515500,37.36
2009-09-29,39.78,39.95,39.49,39.74,1649400,38.06
2009-09-28,39.32,40.04,39.26,39.65,3468300,37.97
2009-09-25,39.14,39.41,38.75,39.22,1971500,37.56
2009-09-24,39.02,39.46,38.82,39.29,4193400,37.63
2009-09-23,39.14,39.46,38.69,39.04,3423200,37.39
