Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,21.54,21.63,21.29,21.29,1364300,19.54
2009-12-30,21.44,21.56,21.40,21.55,1878600,19.78
2009-12-29,21.62,21.70,21.42,21.45,2335700,19.68
2009-12-28,21.58,21.61,21.48,21.59,2082400,19.81
2009-12-24,21.30,21.59,21.27,21.59,1691400,19.81
2009-12-23,21.34,21.51,21.31,21.31,2283100,19.56
2009-12-22,21.12,21.47,21.08,21.35,3929000,19.59
2009-12-21,21.09,21.43,20.92,21.16,4291900,19.33
2009-12-18,21.28,21.28,20.72,20.89,6410400,19.08
2009-12-17,21.41,21.48,21.11,21.12,4131100,19.29
2009-12-16,21.51,21.64,21.38,21.43,4591900,19.57
2009-12-15,21.66,21.66,21.20,21.31,4127100,19.46
2009-12-14,21.78,21.95,21.55,21.67,3600800,19.79
2009-12-11,21.65,21.85,21.51,21.73,4978800,19.85
2009-12-10,21.15,21.41,21.15,21.40,5854600,19.55
2009-12-09,20.82,21.16,20.63,21.16,7578600,19.33
2009-12-08,21.15,21.37,20.50,20.91,11551500,19.10
2009-12-07,22.22,22.58,22.22,22.43,4525900,20.49
2009-12-04,22.23,22.46,22.00,22.30,5406200,20.37
2009-12-03,22.41,22.51,22.00,22.01,5091800,20.10
2009-12-02,22.77,22.83,22.42,22.47,4563700,20.52
2009-12-01,22.56,22.80,22.56,22.75,4628200,20.78
2009-11-30,22.82,22.82,22.43,22.50,4362600,20.55
2009-11-27,22.34,22.52,22.20,22.44,1597500,20.50
2009-11-25,22.58,22.77,22.50,22.69,5913000,20.72
2009-11-24,22.76,22.79,22.49,22.58,5002600,20.62
2009-11-23,22.89,22.94,22.71,22.78,5717600,20.81
2009-11-20,22.49,22.83,22.39,22.62,5326400,20.66
2009-11-19,22.73,22.77,22.42,22.50,6114600,20.55
2009-11-18,23.10,23.19,22.73,22.74,5047900,20.77
2009-11-17,23.32,23.42,22.98,23.07,6253100,21.07
2009-11-16,23.32,23.63,23.18,23.25,4803000,21.24
2009-11-13,23.09,23.34,23.02,23.20,4087100,21.19
2009-11-12,23.29,23.44,22.97,23.01,3809300,21.02
2009-11-11,23.32,23.40,23.14,23.34,3363400,21.32
2009-11-10,23.25,23.47,23.12,23.22,4462000,21.21
2009-11-09,22.97,23.38,22.91,23.30,5600300,21.28
2009-11-06,22.48,22.89,22.41,22.84,4635100,20.86
2009-11-05,22.34,22.75,22.32,22.68,6240700,20.72
2009-11-04,22.63,22.83,22.35,22.35,5373400,20.41
2009-11-03,22.22,22.67,22.18,22.59,5108700,20.63
2009-11-02,22.42,22.71,22.23,22.46,5636100,20.51
2009-10-30,22.70,22.88,22.02,22.33,8276900,20.40
2009-10-29,22.57,22.80,22.23,22.76,4415500,20.79
2009-10-28,22.54,22.78,22.32,22.32,5111600,20.39
2009-10-27,22.62,22.81,22.45,22.52,5552300,20.57
2009-10-26,22.48,22.96,22.27,22.64,5740100,20.68
2009-10-23,22.60,22.86,22.37,22.40,5736900,20.46
2009-10-22,22.28,22.81,21.99,22.77,6163400,20.80
2009-10-21,23.14,23.32,22.22,22.25,10136800,20.32
2009-10-20,23.50,23.50,22.86,23.21,7369100,21.20
2009-10-19,23.48,23.53,23.06,23.39,7513900,21.36
2009-10-16,22.93,23.51,22.75,23.31,10013800,21.29
2009-10-15,21.92,23.25,21.59,22.83,19157900,20.85
2009-10-14,21.05,21.48,20.88,21.43,7350900,19.57
2009-10-13,21.22,21.22,20.77,20.99,5726500,19.17
2009-10-12,21.34,21.54,21.17,21.30,6216600,19.45
2009-10-09,21.00,21.32,20.57,21.32,8937700,19.47
2009-10-08,20.69,20.99,20.57,20.85,5247500,19.04
2009-10-07,20.25,20.57,20.20,20.56,3971200,18.78
2009-10-06,19.89,20.35,19.81,20.32,5476700,18.56
2009-10-05,19.82,19.95,19.72,19.90,5190500,18.18
2009-10-02,19.52,19.84,19.28,19.77,6158200,18.06
2009-10-01,19.70,19.72,19.40,19.53,5714200,17.84
2009-09-30,19.73,19.78,19.50,19.72,5560200,18.01
2009-09-29,19.78,19.91,19.57,19.81,4590500,18.09
2009-09-28,19.51,19.85,19.51,19.76,4393900,18.05
2009-09-25,19.21,19.67,19.21,19.49,5546400,17.80
2009-09-24,19.23,19.36,19.19,19.20,4171000,17.54
2009-09-23,19.46,19.49,19.17,19.19,4071500,17.53
2009-09-22,19.40,19.56,19.17,19.47,4519500,17.78
2009-09-21,19.51,19.62,19.35,19.41,4490200,17.64
2009-09-18,19.16,19.66,19.15,19.51,8341800,17.73
2009-09-17,19.30,19.36,19.17,19.20,7792900,17.45
2009-09-16,19.56,19.62,19.25,19.30,10437300,17.54
2009-09-15,19.60,19.69,19.28,19.48,9542300,17.70
2009-09-14,19.90,20.29,19.90,20.20,3606800,18.35
2009-09-11,19.95,20.14,19.83,20.01,4557100,18.18
2009-09-10,19.73,19.90,19.51,19.90,4329700,18.08
2009-09-09,19.61,20.12,19.52,19.77,3334900,17.96
2009-09-08,19.59,19.81,19.48,19.57,4886200,17.78
