Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,45.27,45.55,45.14,45.16,609300,41.49
2009-12-30,44.71,45.19,44.56,45.19,562000,41.52
2009-12-29,45.06,45.26,44.82,45.05,524200,41.39
2009-12-28,44.79,45.03,44.46,44.99,788800,41.34
2009-12-24,44.57,44.75,44.47,44.65,386800,41.03
2009-12-23,44.25,44.69,44.02,44.56,861400,40.94
2009-12-22,43.85,44.21,43.65,44.13,923900,40.55
2009-12-21,43.62,43.85,43.54,43.77,537400,40.22
2009-12-18,43.16,43.47,42.88,43.43,1059700,39.91
2009-12-17,43.75,43.75,43.16,43.16,2296600,39.66
2009-12-16,44.25,44.47,43.75,43.80,1273200,40.25
2009-12-15,44.78,44.99,43.83,44.05,1855600,40.47
2009-12-14,45.14,45.30,44.70,44.73,1409400,41.10
2009-12-11,45.53,45.66,45.01,45.06,882500,41.40
2009-12-10,45.83,46.12,45.20,45.39,811100,41.71
2009-12-09,45.18,45.68,44.86,45.62,1132300,41.92
2009-12-08,45.49,45.68,44.80,45.10,1015600,41.44
2009-12-07,45.60,46.00,45.37,45.72,842300,42.01
2009-12-04,45.60,45.97,45.20,45.72,1258400,42.01
2009-12-03,45.76,45.79,45.17,45.26,569400,41.59
2009-12-02,45.52,45.78,45.06,45.61,753400,41.91
2009-12-01,45.52,45.85,45.19,45.60,1226500,41.90
2009-11-30,45.18,45.44,44.77,45.21,888100,41.54
2009-11-27,45.01,45.24,44.03,45.01,420500,41.36
2009-11-25,45.85,45.91,45.40,45.62,619100,41.92
2009-11-24,46.05,46.38,45.75,45.98,824600,42.03
2009-11-23,45.99,46.25,45.61,45.80,855100,41.86
2009-11-20,45.73,45.83,45.40,45.57,751000,41.65
2009-11-19,45.70,46.04,44.94,45.72,1178000,41.79
2009-11-18,46.03,46.28,45.71,46.03,812200,42.07
2009-11-17,46.19,46.51,45.78,46.10,891600,42.14
2009-11-16,45.88,46.71,45.78,46.31,900800,42.33
2009-11-13,45.65,46.27,45.54,45.68,1075400,41.75
2009-11-12,46.25,46.34,45.46,45.54,1556800,41.63
2009-11-11,44.95,46.30,44.88,46.14,2019500,42.17
2009-11-10,44.94,45.00,44.65,44.83,1068300,40.98
2009-11-09,44.19,45.00,44.10,44.97,1610700,41.10
2009-11-06,43.78,44.33,43.66,43.85,1767600,40.08
2009-11-05,45.12,45.45,43.74,43.87,4485600,40.10
2009-11-04,50.29,50.39,44.79,45.18,5963100,41.30
2009-11-03,49.51,49.65,48.47,49.40,1343700,45.15
2009-11-02,49.16,50.25,48.80,49.72,1122700,45.45
2009-10-30,49.47,49.50,48.54,48.97,947100,44.76
2009-10-29,49.19,49.45,48.52,49.45,1016700,45.20
2009-10-28,49.56,49.97,48.64,48.77,961000,44.58
2009-10-27,50.60,50.60,49.65,49.72,988300,45.45
2009-10-26,50.32,51.09,50.05,50.45,1203100,46.11
2009-10-23,50.59,50.80,49.74,50.24,1000700,45.92
2009-10-22,49.99,50.71,49.76,50.49,929700,46.15
2009-10-21,50.08,51.11,49.93,49.99,1588600,45.69
2009-10-20,50.23,50.49,50.15,50.28,1365500,45.96
2009-10-19,50.03,50.41,49.92,50.28,1145200,45.96
2009-10-16,49.98,50.43,49.89,49.95,1920200,45.66
2009-10-15,49.69,50.71,49.65,50.22,1950700,45.90
2009-10-14,50.82,50.94,50.05,50.33,1951200,46.00
2009-10-13,49.83,50.57,49.80,50.45,1131400,46.11
2009-10-12,49.64,50.02,49.64,49.92,1159500,45.63
2009-10-09,49.40,49.80,49.34,49.74,690100,45.46
2009-10-08,49.84,49.93,49.36,49.57,859200,45.31
2009-10-07,49.33,49.86,48.76,49.75,1343000,45.47
2009-10-06,48.74,49.61,48.60,49.33,1173200,45.09
2009-10-05,48.08,48.64,47.21,48.58,1311500,44.40
2009-10-02,48.33,48.40,47.00,47.72,1929100,43.62
2009-10-01,48.37,49.08,47.84,48.54,1942300,44.37
2009-09-30,48.69,48.89,47.72,48.68,1177300,44.50
2009-09-29,48.50,49.04,48.33,48.66,806400,44.48
2009-09-28,47.91,48.84,47.75,48.45,775800,44.29
