Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,31.24,31.89,31.12,31.43,1634300,31.43
2009-12-30,30.99,31.19,30.59,31.19,773700,31.19
2009-12-29,31.24,31.25,30.99,31.05,778300,31.05
2009-12-28,31.71,31.72,30.98,31.10,911200,31.10
2009-12-24,31.52,31.69,31.27,31.65,266200,31.65
2009-12-23,30.96,31.33,30.70,31.26,895900,31.26
2009-12-22,30.61,30.95,30.55,30.75,1376100,30.75
2009-12-21,31.33,31.49,30.66,30.70,1587900,30.70
2009-12-18,31.82,31.82,30.82,31.21,2685000,31.21
2009-12-17,31.84,31.95,31.54,31.64,1552500,31.64
2009-12-16,31.09,32.24,31.02,32.08,2113900,32.08
2009-12-15,30.83,31.28,30.50,31.05,1309300,31.05
2009-12-14,30.77,31.00,30.43,30.93,1689300,30.93
2009-12-11,31.26,31.26,30.40,30.76,1536600,30.76
2009-12-10,29.96,31.33,29.96,31.26,2668300,31.26
2009-12-09,29.34,30.05,29.13,29.91,1649200,29.91
2009-12-08,30.09,30.24,29.49,29.52,1338700,29.52
2009-12-07,30.50,30.86,30.22,30.33,1256700,30.33
2009-12-04,30.64,30.83,30.11,30.56,1620100,30.56
2009-12-03,30.66,30.83,30.12,30.16,1163400,30.16
2009-12-02,30.51,30.96,30.42,30.47,1130600,30.47
2009-12-01,29.75,30.93,29.30,30.68,3252800,30.68
2009-11-30,28.81,29.39,28.48,29.30,1703700,29.30
2009-11-27,29.00,29.05,28.13,28.83,753500,28.83
2009-11-25,29.75,29.75,29.55,29.62,773900,29.62
2009-11-24,30.04,30.09,29.56,29.75,1223500,29.75
2009-11-23,29.75,30.34,29.75,30.09,1676400,30.09
2009-11-20,29.37,29.48,28.86,29.43,1835300,29.43
2009-11-19,29.81,29.95,29.40,29.45,1592200,29.45
2009-11-18,30.10,30.21,29.69,29.96,1651200,29.96
2009-11-17,30.39,31.24,29.81,30.06,1417200,30.06
2009-11-16,30.26,30.86,30.13,30.44,1918500,30.44
2009-11-13,30.13,30.23,29.95,30.18,1366400,30.18
2009-11-12,29.96,30.20,29.74,30.06,2124400,30.06
2009-11-11,30.37,30.50,30.03,30.18,1106300,30.18
2009-11-10,30.09,30.46,29.84,30.28,1737600,30.28
2009-11-09,28.74,30.08,28.72,30.04,2210800,30.04
2009-11-06,28.55,28.88,28.28,28.62,1421500,28.62
2009-11-05,29.73,29.85,28.50,28.61,2557200,28.61
2009-11-04,28.76,29.50,28.72,29.03,1439400,29.03
2009-11-03,28.31,28.79,27.98,28.65,1134400,28.65
2009-11-02,28.00,28.72,27.77,28.41,1529200,28.41
2009-10-30,29.13,29.17,27.86,27.88,1460700,27.88
2009-10-29,28.46,29.31,28.19,29.08,1388000,29.08
2009-10-28,28.38,28.63,28.11,28.21,1234900,28.21
2009-10-27,29.04,29.22,28.24,28.52,1375000,28.52
2009-10-26,29.58,29.75,28.83,29.02,1869500,29.02
2009-10-23,28.90,29.00,28.20,28.33,833000,28.33
2009-10-22,28.26,28.88,28.08,28.85,887600,28.85
2009-10-21,28.28,28.92,28.16,28.27,1059200,28.27
2009-10-20,28.68,28.99,28.17,28.25,1019200,28.25
2009-10-19,28.62,28.97,28.42,28.95,1292200,28.95
