Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,12.53,12.53,12.27,12.27,1773800,11.87
2009-12-30,12.55,12.58,12.44,12.50,1423100,12.09
2009-12-29,12.61,12.71,12.53,12.57,1334400,12.16
2009-12-28,12.48,12.64,12.40,12.62,1876800,12.21
2009-12-24,12.29,12.45,12.26,12.44,1340600,12.04
2009-12-23,12.43,12.44,12.28,12.34,2333000,11.94
2009-12-22,12.25,12.40,12.25,12.34,2209200,11.94
2009-12-21,12.16,12.38,12.16,12.28,2044200,11.88
2009-12-18,12.19,12.28,12.06,12.18,3538600,11.79
2009-12-17,12.46,12.47,12.20,12.20,3119200,11.80
2009-12-16,12.54,12.61,12.44,12.46,1981000,12.06
2009-12-15,12.71,12.73,12.47,12.53,2289400,12.12
2009-12-14,12.76,12.84,12.66,12.71,2426500,12.30
2009-12-11,12.71,12.87,12.63,12.64,3586600,12.23
2009-12-10,12.62,12.72,12.54,12.61,4363700,12.20
2009-12-09,12.63,12.69,12.43,12.54,4287800,12.13
2009-12-08,12.74,12.79,12.53,12.58,4393500,12.17
2009-12-07,12.56,12.78,12.52,12.71,5579200,12.30
2009-12-04,12.54,12.73,12.36,12.60,6941900,12.19
2009-12-03,12.13,12.53,12.13,12.45,7113600,12.05
2009-12-02,12.27,12.42,12.12,12.19,5916000,11.79
2009-12-01,12.13,12.30,12.04,12.23,4065500,11.83
2009-11-30,12.28,12.28,11.94,12.02,4409500,11.63
2009-11-27,12.24,12.36,12.13,12.29,2626300,11.89
2009-11-25,12.44,12.49,12.24,12.42,4671600,11.98
2009-11-24,12.82,12.88,12.32,12.37,6359300,11.93
2009-11-23,12.85,13.22,12.70,12.88,4980900,12.42
2009-11-20,13.02,13.18,12.79,13.07,5153400,12.61
2009-11-19,13.21,13.40,12.88,13.07,3093000,12.61
2009-11-18,12.98,13.25,12.98,13.09,3007500,12.62
2009-11-17,13.02,13.08,12.89,13.01,2762100,12.55
2009-11-16,12.95,13.15,12.93,13.03,3150000,12.57
2009-11-13,12.98,13.07,12.84,12.91,5038800,12.45
2009-11-12,13.02,13.31,12.95,12.97,3300000,12.51
2009-11-11,12.68,13.34,12.68,13.04,4773600,12.58
2009-11-10,13.02,13.39,13.01,13.19,4344900,12.72
2009-11-09,12.96,13.14,12.88,13.10,3830400,12.63
2009-11-06,12.65,12.96,12.55,12.87,3629100,12.41
2009-11-05,12.58,12.79,12.54,12.64,4245000,12.19
2009-11-04,12.62,12.77,12.44,12.49,6091700,12.05
2009-11-03,12.63,12.77,12.48,12.60,4983500,12.15
2009-11-02,12.58,12.78,12.47,12.71,4954000,12.26
2009-10-30,12.65,12.84,12.46,12.52,6923400,12.08
2009-10-29,12.53,13.07,12.42,13.06,5542200,12.60
2009-10-28,12.36,12.46,12.12,12.42,5327900,11.98
2009-10-27,12.09,12.42,12.03,12.34,6093900,11.90
2009-10-26,12.15,12.35,12.00,12.05,3061800,11.62
2009-10-23,12.37,12.40,12.03,12.07,3034400,11.64
2009-10-22,12.28,12.38,12.05,12.34,4540400,11.90
2009-10-21,12.20,12.45,12.11,12.22,3637900,11.79
2009-10-20,12.35,12.42,12.12,12.15,4068500,11.72
2009-10-19,12.38,12.59,12.26,12.29,5148300,11.85
2009-10-16,12.26,12.54,12.11,12.41,4432500,11.97
2009-10-15,12.30,12.33,11.91,12.32,5907000,11.88
2009-10-14,12.63,12.89,12.18,12.38,7100800,11.94
2009-10-13,12.68,12.78,12.60,12.69,3140600,12.24
2009-10-12,12.73,12.87,12.68,12.71,2270800,12.26
2009-10-09,12.54,12.79,12.45,12.75,3755700,12.30
2009-10-08,12.47,12.56,12.29,12.50,2665400,12.06
2009-10-07,12.57,12.62,12.38,12.41,2122200,11.97
2009-10-06,12.30,12.61,12.30,12.55,3351100,12.10
2009-10-05,12.28,12.43,11.98,12.35,4837100,11.91
2009-10-02,12.25,12.44,12.02,12.32,3260600,11.88
2009-10-01,12.55,12.60,12.30,12.32,4074700,11.88
2009-09-30,12.57,12.67,12.35,12.63,3795800,12.18
2009-09-29,12.79,12.95,12.60,12.62,2968000,12.17
2009-09-28,12.72,12.92,12.65,12.86,2548500,12.40
2009-09-25,12.74,12.82,12.57,12.69,2565100,12.24
2009-09-24,12.99,13.04,12.66,12.74,2929800,12.29
2009-09-23,12.88,13.25,12.85,12.97,4591900,12.51
2009-09-22,12.80,12.90,12.69,12.87,3345300,12.41
2009-09-21,12.62,12.85,12.50,12.75,3632300,12.30
2009-09-18,12.49,12.71,12.42,12.70,4841900,12.25
2009-09-17,12.56,12.72,12.31,12.38,4693300,11.94
2009-09-16,12.90,12.95,12.58,12.61,5920500,12.16
2009-09-15,12.44,12.88,12.34,12.86,5070300,12.40
2009-09-14,12.43,12.87,12.18,12.45,3466900,12.01
2009-09-11,12.70,12.86,12.60,12.75,3695300,12.30
2009-09-10,12.43,12.69,12.26,12.69,2346700,12.24
2009-09-09,12.46,12.57,12.34,12.47,2490000,12.03
2009-09-08,12.22,12.50,12.14,12.46,3056600,12.02
2009-09-04,11.97,12.26,11.97,12.23,2388400,11.80
2009-09-03,12.01,12.08,11.73,11.98,3182400,11.55
2009-09-02,11.55,12.07,11.55,11.98,4364400,11.55
2009-09-01,11.82,12.05,11.58,11.60,3677400,11.19
2009-08-31,11.75,12.00,11.63,11.99,4566600,11.56
2009-08-28,12.07,12.12,11.68,11.78,3888700,11.36
2009-08-27,12.08,12.19,11.84,12.06,2415300,11.59
2009-08-26,12.15,12.17,12.02,12.10,2367800,11.63
2009-08-25,12.18,12.29,12.03,12.20,4606500,11.73
2009-08-24,11.84,12.15,11.80,12.10,4424900,11.63
2009-08-21,11.84,11.93,11.62,11.82,2618000,11.36
2009-08-20,11.49,11.68,11.44,11.65,2745000,11.20
2009-08-19,11.34,11.55,11.13,11.50,4438200,11.05
2009-08-18,11.13,11.53,11.08,11.48,6155300,11.04
