Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,17.44,17.47,17.27,17.27,625700,16.37
2009-12-30,17.26,17.45,17.18,17.45,715800,16.55
2009-12-29,17.34,17.40,17.29,17.34,715500,16.44
2009-12-28,17.36,17.47,17.31,17.40,527900,16.50
2009-12-24,17.44,17.48,17.35,17.43,380100,16.53
2009-12-23,17.42,17.50,17.37,17.39,561800,16.49
2009-12-22,17.42,17.50,17.35,17.42,669700,16.52
2009-12-21,17.59,17.66,17.34,17.45,827200,16.55
2009-12-18,17.45,17.59,17.41,17.59,1679900,16.61
2009-12-17,17.48,17.50,17.31,17.35,890300,16.39
2009-12-16,17.31,17.52,17.24,17.49,883700,16.52
2009-12-15,17.14,17.43,17.14,17.31,658900,16.35
2009-12-14,17.40,17.48,17.34,17.44,560800,16.47
2009-12-11,17.31,17.40,17.23,17.30,508100,16.34
2009-12-10,17.24,17.47,17.11,17.28,993300,16.32
2009-12-09,17.43,17.46,17.11,17.22,1799900,16.26
2009-12-08,17.70,17.70,17.40,17.49,1234900,16.52
2009-12-07,17.44,17.71,17.44,17.57,689400,16.59
2009-12-04,17.49,17.71,17.32,17.55,827500,16.57
2009-12-03,17.49,17.59,17.28,17.29,604500,16.33
2009-12-02,17.60,17.71,17.38,17.48,1283500,16.51
2009-12-01,17.30,17.58,17.30,17.55,830500,16.57
2009-11-30,17.18,17.28,17.03,17.28,991800,16.32
2009-11-27,17.18,17.33,17.02,17.15,466400,16.20
2009-11-25,17.56,17.64,17.47,17.50,574100,16.53
2009-11-24,17.58,17.59,17.40,17.49,1429800,16.52
2009-11-23,17.38,17.61,17.32,17.54,1401500,16.56
2009-11-20,17.23,17.29,17.13,17.18,1624000,16.22
2009-11-19,17.34,17.37,17.24,17.29,1746400,16.33
2009-11-18,17.40,17.46,17.34,17.40,618800,16.43
2009-11-17,17.57,17.57,17.41,17.43,1496800,16.46
2009-11-16,17.25,17.50,17.15,17.49,1833000,16.52
2009-11-13,17.11,17.20,17.00,17.13,1715000,16.18
2009-11-12,17.17,17.31,17.06,17.08,1753700,16.13
2009-11-11,17.05,17.18,16.99,17.16,1190100,16.21
2009-11-10,17.00,17.11,16.91,16.94,1619900,16.00
2009-11-09,16.88,17.04,16.73,17.04,976900,16.09
2009-11-06,16.57,16.79,16.45,16.75,1253600,15.82
2009-11-05,16.36,16.62,16.34,16.62,1484600,15.70
2009-11-04,16.29,16.42,16.19,16.22,1284400,15.32
2009-11-03,16.19,16.28,16.00,16.22,1508400,15.32
2009-11-02,15.97,16.42,15.82,16.23,2947400,15.33
2009-10-30,16.00,16.11,15.82,15.97,2950700,15.08
2009-10-29,15.56,15.99,15.48,15.98,1816500,15.09
2009-10-28,14.89,15.69,14.76,15.45,4093300,14.59
2009-10-27,16.51,16.89,15.93,16.55,1536000,15.63
2009-10-26,16.65,16.89,16.46,16.47,1369800,15.55
2009-10-23,16.84,16.88,16.46,16.57,931000,15.65
2009-10-22,16.62,16.75,16.43,16.73,941800,15.80
2009-10-21,16.71,16.92,16.59,16.62,980200,15.70
2009-10-20,16.86,16.86,16.45,16.73,1039700,15.80
2009-10-19,16.59,16.79,16.56,16.77,783400,15.84
2009-10-16,16.50,16.65,16.44,16.56,1086100,15.64
2009-10-15,16.44,16.72,16.14,16.59,888900,15.67
2009-10-14,16.57,16.62,16.41,16.59,835300,15.67
2009-10-13,16.31,16.44,16.19,16.40,960900,15.49
2009-10-12,16.39,16.47,16.20,16.30,590700,15.39
2009-10-09,16.28,16.36,16.06,16.27,1206800,15.37
2009-10-08,16.11,16.30,16.00,16.28,1342100,15.37
2009-10-07,15.92,16.00,15.72,16.00,1266800,15.11
2009-10-06,15.07,15.97,15.07,15.96,1452500,15.07
2009-10-05,15.52,15.75,15.37,15.75,1522100,14.87
2009-10-02,15.68,15.83,15.36,15.44,1701900,14.58
2009-10-01,16.05,16.18,15.70,15.72,1536300,14.85
2009-09-30,16.35,16.38,15.86,16.11,2066800,15.21
2009-09-29,16.25,16.43,16.20,16.31,1417300,15.40
2009-09-28,15.82,16.37,15.82,16.37,1256300,15.46
2009-09-25,15.97,16.08,15.77,15.78,1376200,14.90
2009-09-24,16.14,16.15,15.94,16.02,1241700,15.13
2009-09-23,16.11,16.20,16.02,16.09,903100,15.20
2009-09-22,16.17,16.28,16.02,16.07,933100,15.18
2009-09-21,15.96,16.24,15.87,16.13,1166500,15.23
2009-09-18,15.99,16.10,15.84,16.02,1275600,15.13
2009-09-17,15.93,16.04,15.82,15.89,833500,15.01
2009-09-16,15.65,15.95,15.46,15.95,1377700,15.06
2009-09-15,15.44,15.68,15.03,15.67,1063100,14.80
2009-09-14,15.33,15.59,15.32,15.59,755700,14.66
2009-09-11,15.46,15.58,15.33,15.53,792500,14.60
2009-09-10,15.25,15.44,15.01,15.42,1053100,14.50
2009-09-09,15.25,15.32,15.13,15.26,1301800,14.35
2009-09-08,15.13,15.31,15.09,15.25,1335600,14.34
2009-09-04,15.05,15.15,14.93,15.13,782400,14.22
2009-09-03,14.50,15.01,14.31,15.01,1280900,14.11
2009-09-02,14.98,15.04,14.82,14.93,891500,14.04
2009-09-01,15.26,15.44,14.98,15.03,1869300,14.13
2009-08-31,15.25,15.41,15.13,15.26,777800,14.35
2009-08-28,15.44,15.53,15.27,15.39,1119200,14.47
2009-08-27,15.51,15.61,15.13,15.31,1267600,14.39
2009-08-26,15.44,15.63,15.38,15.62,1251900,14.69
2009-08-25,15.37,15.51,15.37,15.47,881500,14.54
2009-08-24,15.49,15.49,15.33,15.37,623900,14.45
2009-08-21,15.05,15.38,15.05,15.36,1447200,14.44
2009-08-20,15.06,15.17,14.96,15.07,881400,14.17
2009-08-19,14.97,15.20,14.91,15.16,760000,14.25
2009-08-18,14.96,15.15,14.93,15.12,1123400,14.22
2009-08-17,14.98,15.07,14.87,14.88,1686900,13.99
2009-08-14,15.09,15.22,15.00,15.11,1173600,14.21
2009-08-13,15.09,15.24,14.95,15.03,1399300,14.13
2009-08-12,14.70,15.16,14.70,15.09,1279700,14.19
2009-08-11,14.76,14.85,14.69,14.77,910000,13.89
2009-08-10,14.84,14.96,14.78,14.86,640700,13.97
2009-08-07,14.79,14.98,14.67,14.91,1083700,14.02
2009-08-06,14.59,14.69,14.42,14.62,964300,13.75
2009-08-05,14.65,14.65,14.41,14.58,1556100,13.71
2009-08-04,14.62,14.73,14.46,14.64,1439100,13.76
2009-08-03,14.78,14.95,14.39,14.64,1797400,13.76
2009-07-31,14.63,14.78,14.53,14.68,1399100,13.80
2009-07-30,14.52,14.72,14.45,14.61,1159600,13.74
2009-07-29,13.50,14.70,13.33,14.52,3985200,13.65
2009-07-28,13.30,13.68,13.30,13.67,2164700,12.85
2009-07-27,13.32,13.42,13.16,13.39,1405400,12.59
2009-07-24,13.32,13.47,13.23,13.32,2444500,12.52
2009-07-23,13.54,13.55,13.37,13.47,2918100,12.66
2009-07-22,13.62,13.68,13.49,13.56,1645200,12.75
2009-07-21,13.61,13.67,13.45,13.63,1244800,12.81
2009-07-20,13.40,13.55,13.28,13.47,1290700,12.66
2009-07-17,13.27,13.32,13.13,13.30,1361000,12.50
2009-07-16,12.84,13.24,12.71,13.22,2524700,12.43
2009-07-15,12.77,13.00,12.62,12.80,3227500,12.03
2009-07-14,12.97,13.03,12.83,13.03,1243500,12.25
2009-07-13,12.85,12.97,12.61,12.96,2185200,12.18
