Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,26.74,27.24,26.69,26.99,28942400,25.66
2009-12-30,26.50,26.82,26.44,26.82,19087700,25.50
2009-12-29,26.72,26.88,26.55,26.68,18586500,25.37
2009-12-28,27.08,27.20,26.54,26.75,19753100,25.43
2009-12-24,26.96,27.14,26.87,27.09,10481200,25.76
2009-12-23,27.27,27.28,26.72,26.85,25516800,25.53
2009-12-22,27.26,27.30,26.67,27.16,45699700,25.82
2009-12-21,26.99,27.49,26.85,27.34,47240800,25.99
2009-12-18,26.38,27.00,26.18,26.78,145756600,25.46
2009-12-17,25.64,26.18,25.62,26.07,80733500,24.79
2009-12-16,26.09,26.21,25.56,25.84,87439800,24.57
2009-12-15,26.02,26.32,25.00,25.66,254575800,24.40
2009-12-14,25.40,25.91,25.09,25.49,43877900,24.23
2009-12-11,25.09,25.65,25.01,25.41,48496300,24.16
2009-12-10,26.18,26.26,25.25,25.32,62139500,24.07
2009-12-09,26.15,26.35,25.82,25.96,35697000,24.68
2009-12-08,25.99,26.46,25.91,26.03,42682400,24.75
2009-12-07,27.07,27.31,26.18,26.36,35764600,25.06
2009-12-04,27.02,27.43,26.56,26.96,63916000,25.63
2009-12-03,27.52,27.91,26.41,26.49,66620600,25.19
2009-12-02,27.88,27.98,27.28,27.45,35368000,26.10
2009-12-01,28.15,28.39,27.85,27.99,33169200,26.61
2009-11-30,27.28,28.10,27.25,28.04,36739300,26.66
2009-11-27,26.96,27.59,26.90,27.14,23176800,25.80
2009-11-25,28.01,28.13,27.65,27.83,22882000,26.46
2009-11-24,27.89,28.07,27.48,27.86,29019100,26.49
2009-11-23,28.22,28.35,27.88,28.07,32738800,26.69
2009-11-20,28.21,28.28,27.66,27.87,41877900,26.50
2009-11-19,28.59,28.63,28.14,28.32,30848000,26.93
2009-11-18,28.29,28.93,28.27,28.86,27288800,27.44
2009-11-17,28.19,28.49,27.98,28.37,29199400,26.97
2009-11-16,27.92,28.68,27.78,28.21,45256000,26.82
2009-11-13,28.07,28.15,27.37,27.68,36576600,26.32
2009-11-12,28.78,28.90,28.11,28.22,34730700,26.83
2009-11-11,28.37,29.13,28.25,28.80,40085800,27.38
2009-11-10,28.25,28.45,27.93,28.10,35216700,26.72
2009-11-09,27.50,28.40,27.12,28.40,44419900,27.00
2009-11-06,26.72,27.33,26.58,27.12,37610100,25.78
2009-11-05,27.02,27.33,26.50,27.29,53391400,25.95
2009-11-04,28.02,28.12,26.72,26.82,46075800,25.50
2009-11-03,27.12,28.04,27.01,27.74,37878400,26.33
2009-11-02,27.86,28.24,26.74,27.61,55576000,26.20
2009-10-30,28.34,28.50,27.35,27.52,66430300,26.12
2009-10-29,27.98,28.62,27.69,28.57,47894800,27.11
2009-10-28,28.23,28.27,27.40,27.46,57274600,26.06
2009-10-27,28.41,28.71,28.04,28.39,49819400,26.94
2009-10-26,29.31,29.33,28.27,28.45,55207900,27.00
2009-10-23,30.18,30.18,29.05,29.32,49377700,27.83
2009-10-22,28.79,30.28,28.61,30.17,74918700,28.63
2009-10-21,30.10,31.12,28.84,28.90,113718800,27.43
2009-10-20,29.98,30.64,29.85,30.46,41722700,28.91
2009-10-19,30.35,30.42,29.77,30.07,32327500,28.54
2009-10-16,30.58,30.63,29.83,30.02,57472400,28.49
2009-10-15,31.00,31.53,30.92,31.38,39072700,29.78
2009-10-14,30.70,31.43,30.39,31.34,62894600,29.74
2009-10-13,29.98,30.34,29.62,30.06,38648600,28.53
2009-10-12,29.50,30.54,29.11,30.28,52504500,28.74
2009-10-09,29.01,29.33,28.86,29.21,29218700,27.72
2009-10-08,29.16,29.43,28.91,29.05,45338900,27.57
2009-10-07,28.49,29.30,28.36,29.26,41824100,27.77
2009-10-06,28.34,29.05,28.31,28.66,59068600,27.20
2009-10-05,27.44,28.30,27.34,28.09,56118100,26.66
2009-10-02,26.04,26.69,25.99,26.28,52060900,24.94
2009-10-01,28.06,28.06,26.53,26.60,56454900,25.24
2009-09-30,28.43,28.68,27.89,28.18,39190600,26.74
2009-09-29,28.70,28.97,28.30,28.35,29705900,26.91
2009-09-28,28.31,28.90,28.01,28.90,31319700,27.43
2009-09-25,28.27,28.44,27.79,28.19,34479100,26.75
2009-09-24,28.90,29.19,27.92,28.45,46650900,27.00
2009-09-23,29.33,29.41,28.71,28.76,38182200,27.29
2009-09-22,28.63,29.54,28.32,29.39,45230300,27.89
2009-09-21,28.39,28.69,28.15,28.29,34390700,26.85
2009-09-18,29.08,29.08,28.23,28.49,42749200,27.04
2009-09-17,29.24,29.44,28.55,28.78,36872000,27.31
2009-09-16,28.77,29.56,28.37,29.41,49675000,27.91
2009-09-15,27.93,28.89,27.79,28.58,50756800,27.12
2009-09-14,27.17,27.99,27.10,27.92,32056200,26.50
2009-09-11,27.82,28.09,27.37,27.43,33802300,26.03
2009-09-10,27.50,27.95,27.30,27.86,40938900,26.44
2009-09-09,27.03,27.75,26.98,27.68,47483700,26.27
2009-09-08,27.21,27.29,26.60,26.98,31736000,25.60
2009-09-04,26.88,26.98,26.56,26.91,31552900,25.54
2009-09-03,26.33,26.92,26.31,26.91,39465400,25.54
2009-09-02,26.10,26.70,25.89,26.09,53902400,24.76
2009-09-01,27.34,27.77,25.81,26.21,87353300,24.87
2009-08-31,26.97,27.60,26.77,27.52,35614100,26.12
2009-08-28,28.01,28.01,27.21,27.30,35405800,25.91
2009-08-27,27.55,27.85,27.36,27.74,35292800,26.33
2009-08-26,27.14,27.72,27.02,27.62,43310800,26.21
2009-08-25,27.57,28.07,27.30,27.33,42789000,25.94
2009-08-24,28.17,28.54,27.20,27.32,51642300,25.93
2009-08-21,27.91,28.08,27.62,27.94,51137800,26.52
2009-08-20,26.70,27.72,26.69,27.48,48097300,26.08
2009-08-19,26.02,26.86,25.83,26.61,46441900,25.25
2009-08-18,26.54,26.75,26.21,26.34,36659900,25.00
2009-08-17,26.75,26.99,26.25,26.30,51950300,24.96
2009-08-14,27.80,28.09,27.30,27.73,45055900,26.32
2009-08-13,27.54,27.90,26.05,27.88,49493800,26.46
2009-08-12,26.72,27.50,26.62,27.17,53521000,25.79
2009-08-11,28.30,28.32,26.89,26.89,72918200,25.52
2009-08-10,28.50,28.99,28.15,28.64,43352200,27.18
2009-08-07,28.41,29.35,28.00,28.76,71572200,27.29
2009-08-06,28.56,28.99,27.47,27.97,85642200,26.54
2009-08-05,26.71,28.05,26.60,28.02,87411700,26.59
2009-08-04,25.69,26.99,25.22,26.55,82298700,25.15
2009-08-03,24.90,25.83,24.87,25.80,66231200,24.44
2009-07-31,24.90,24.93,24.44,24.46,54880800,23.17
2009-07-30,24.65,25.31,24.53,24.87,54517400,23.56
2009-07-29,24.29,24.76,24.16,24.38,48075900,23.09
2009-07-28,23.99,24.64,23.90,24.52,62683700,23.23
2009-07-27,23.52,24.33,23.38,24.22,62487900,22.94
2009-07-24,24.03,24.05,23.17,23.47,93905100,22.23
2009-07-23,24.38,24.55,24.02,24.26,99923300,22.98
2009-07-22,23.69,24.87,23.42,24.45,150692300,23.16
2009-07-21,25.78,25.90,24.80,25.35,64544500,24.01
2009-07-20,25.08,25.98,24.76,25.52,64893800,24.17
2009-07-17,25.07,25.33,24.58,25.00,54724600,23.68
2009-07-16,25.07,25.38,24.57,25.05,61519900,23.73
2009-07-15,24.72,25.47,24.65,25.30,90990200,23.97
2009-07-14,24.72,24.83,23.95,24.40,67883400,23.11
2009-07-13,23.38,24.80,23.32,24.80,86119200,23.49
2009-07-10,23.07,23.34,22.81,22.87,53700500,21.66
2009-07-09,23.21,23.58,22.61,23.28,53836900,22.05
2009-07-08,23.33,23.57,22.08,22.91,93891900,21.70
2009-07-07,23.15,23.84,23.00,23.33,64747000,22.10
2009-07-06,22.95,23.42,22.22,23.10,77596200,21.88
2009-07-02,23.73,23.89,23.06,23.08,52546200,21.86
2009-07-01,24.25,24.63,24.04,24.14,57186500,22.87
