Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,34.04,34.05,33.80,33.81,1347000,29.99
2009-12-30,34.00,34.18,33.82,33.99,1167900,30.15
2009-12-29,33.93,34.15,33.80,34.10,1569300,30.25
2009-12-28,33.81,33.95,33.65,33.94,1598000,30.10
2009-12-24,33.77,33.95,33.75,33.76,539700,29.94
2009-12-23,33.17,33.71,33.00,33.66,2105200,29.86
2009-12-22,33.03,33.21,32.81,32.99,1056300,29.26
2009-12-21,33.17,33.76,32.81,32.99,2403000,29.26
2009-12-18,32.97,33.19,32.75,32.99,4291600,29.26
2009-12-17,32.74,33.06,32.48,32.71,2718100,29.01
2009-12-16,33.14,33.27,32.76,32.95,2733700,29.23
2009-12-15,33.32,33.41,32.90,33.04,2086100,29.31
2009-12-14,33.55,33.74,33.23,33.48,1472300,29.70
2009-12-11,33.32,33.59,32.95,33.21,1793400,29.46
2009-12-10,33.26,33.36,33.03,33.36,1982000,29.59
2009-12-09,33.19,33.50,32.98,33.21,1605100,29.46
2009-12-08,33.57,33.64,32.85,33.17,1593300,29.42
2009-12-07,33.49,33.94,33.39,33.79,1335600,29.97
2009-12-04,33.50,33.85,33.13,33.56,1772700,29.77
2009-12-03,33.19,33.71,33.02,33.05,1633000,29.31
2009-12-02,33.22,33.50,32.84,33.20,1854100,29.45
2009-12-01,32.89,33.40,32.89,33.20,1551600,29.45
2009-11-30,32.91,32.99,32.54,32.84,1861200,29.13
2009-11-27,32.88,33.34,32.75,33.06,841000,29.07
2009-11-25,33.64,33.66,33.27,33.46,1483800,29.42
2009-11-24,33.21,33.58,32.92,33.53,1950400,29.48
2009-11-23,32.91,33.60,32.83,33.28,2410500,29.26
2009-11-20,32.13,32.42,32.02,32.30,1525600,28.40
2009-11-19,32.45,32.64,32.00,32.17,1769200,28.28
2009-11-18,33.12,33.12,32.63,32.79,1345100,28.83
2009-11-17,32.81,33.14,32.70,33.12,1770100,29.12
2009-11-16,32.19,32.98,32.19,32.79,2143300,28.83
2009-11-13,31.92,32.58,31.90,32.18,2387300,28.29
2009-11-12,32.40,32.49,31.91,31.97,2034600,28.11
2009-11-11,32.78,33.07,32.22,32.43,2445300,28.51
2009-11-10,32.40,32.71,32.23,32.62,1713600,28.68
2009-11-09,31.78,32.51,31.70,32.49,1923400,28.56
2009-11-06,31.51,31.66,31.17,31.64,1463400,27.82
2009-11-05,30.66,31.61,30.65,31.56,2385100,27.75
2009-11-04,30.60,31.08,30.37,30.66,2098800,26.96
2009-11-03,30.68,30.85,30.17,30.48,2009400,26.80
2009-11-02,29.88,30.77,29.75,30.69,2452500,26.98
2009-10-30,30.72,31.16,29.77,29.88,3117200,26.27
2009-10-29,30.74,30.97,30.20,30.77,2100900,27.05
2009-10-28,31.05,31.19,30.55,30.62,2410900,26.92
2009-10-27,30.60,31.24,30.52,31.07,1580000,27.32
2009-10-26,30.96,31.41,30.33,30.63,2404600,26.93
2009-10-23,31.47,31.74,30.89,30.93,1813800,27.19
2009-10-22,31.12,31.55,30.80,31.48,2072500,27.68
2009-10-21,30.86,31.57,30.78,31.09,2175400,27.33
2009-10-20,31.22,31.26,30.75,30.96,1861600,27.22
2009-10-19,31.27,31.29,30.90,31.25,2112500,27.47
2009-10-16,31.09,31.38,30.80,31.22,2547300,27.45
2009-10-15,29.78,31.70,29.78,31.63,6584300,27.81
2009-10-14,29.20,30.00,29.05,29.94,3945900,26.32
2009-10-13,28.75,29.05,28.70,28.97,2379300,25.47
2009-10-12,28.74,28.96,28.65,28.73,1800100,25.26
2009-10-09,28.65,28.82,28.60,28.64,2080300,25.18
2009-10-08,28.62,28.81,28.51,28.68,2225900,25.21
2009-10-07,28.63,28.89,28.28,28.39,3042200,24.96
2009-10-06,29.11,29.17,28.76,28.78,2843200,25.30
2009-10-05,29.28,29.28,28.64,28.92,1999100,25.43
2009-10-02,28.85,29.25,28.85,29.15,2414600,25.63
2009-10-01,29.56,29.66,28.98,28.98,2340300,25.48
2009-09-30,30.05,30.08,29.62,29.82,3271100,26.22
2009-09-29,29.93,30.13,29.71,30.00,2002200,26.38
2009-09-28,29.43,29.95,29.22,29.93,1714300,26.31
2009-09-25,29.52,29.64,28.92,28.98,2112300,25.48
2009-09-24,29.83,29.92,29.45,29.55,2177100,25.98
2009-09-23,29.99,30.02,29.38,29.84,3009100,26.23
2009-09-22,30.05,30.18,29.73,29.88,2750500,26.27
2009-09-21,30.62,30.62,29.85,29.96,2482700,26.34
2009-09-18,30.09,30.80,29.85,30.75,4529900,27.03
2009-09-17,30.03,30.54,29.79,30.02,3018700,26.39
2009-09-16,30.23,30.27,29.90,30.14,2571000,26.50
2009-09-15,30.66,30.80,30.07,30.10,3105300,26.46
2009-09-14,29.58,30.67,29.58,30.66,3430600,26.96
2009-09-11,30.08,30.59,30.08,30.40,2393300,26.73
2009-09-10,29.94,30.09,29.63,30.08,2696300,26.45
2009-09-09,29.26,30.10,29.26,29.88,3499300,26.27
2009-09-08,29.80,30.46,29.30,30.31,2584300,26.65
2009-09-04,29.67,30.12,29.51,30.08,1981300,26.45
2009-09-03,29.54,29.79,28.97,29.76,2149700,26.16
2009-09-02,29.87,29.87,29.20,29.49,2779700,25.67
2009-09-01,29.94,30.20,29.60,29.86,2671900,25.99
2009-08-31,29.51,29.93,29.43,29.93,1684200,26.06
2009-08-28,30.16,30.30,29.42,29.64,2014300,25.80
2009-08-27,30.28,30.35,29.73,30.05,1447800,26.16
2009-08-26,29.99,30.30,29.83,30.20,1277800,26.29
2009-08-25,30.37,30.58,30.02,30.04,1625300,26.15
2009-08-24,30.08,30.38,30.00,30.24,1600100,26.32
2009-08-21,30.06,30.35,29.90,30.06,2395000,26.17
2009-08-20,29.47,29.94,29.22,29.85,1429900,25.99
2009-08-19,28.76,29.42,28.71,29.38,2008100,25.58
2009-08-18,29.26,29.58,28.87,29.00,2723300,25.25
2009-08-17,29.86,30.94,29.64,29.74,1726600,25.89
2009-08-14,30.60,30.65,30.04,30.23,2092100,26.32
2009-08-13,30.24,31.66,30.05,30.65,4217800,26.68
2009-08-12,28.85,30.29,28.66,30.02,4547600,26.13
2009-08-11,28.76,28.98,28.40,28.85,2905600,25.11
2009-08-10,28.41,28.75,28.05,28.72,2050800,25.00
2009-08-07,28.25,28.66,28.13,28.57,2973400,24.87
2009-08-06,28.74,28.74,27.52,28.01,4040900,24.38
2009-08-05,28.94,29.25,28.42,28.58,1652600,24.88
2009-08-04,28.33,28.56,28.16,28.50,2846700,24.81
2009-08-03,28.27,28.40,27.65,28.39,3935800,24.71
2009-07-31,28.09,28.54,27.98,28.11,3981900,24.47
2009-07-30,28.75,29.41,27.85,28.05,7811500,24.42
2009-07-29,29.25,29.68,29.10,29.48,3384900,25.66
2009-07-28,29.52,29.92,29.36,29.42,3712800,25.61
2009-07-27,29.41,29.69,29.26,29.69,2258700,25.85
2009-07-24,29.31,29.59,28.97,29.39,2282800,25.58
2009-07-23,28.91,29.65,28.65,29.52,4737500,25.70
2009-07-22,27.91,29.13,27.91,28.84,4620100,25.11
2009-07-21,28.47,28.66,27.90,28.09,2476600,24.45
2009-07-20,28.26,28.33,28.04,28.24,2321700,24.58
2009-07-17,28.17,28.20,27.81,28.09,2572300,24.45
2009-07-16,27.68,28.30,27.57,28.23,2521800,24.58
2009-07-15,27.59,27.77,27.33,27.71,2379400,24.12
2009-07-14,27.29,27.34,27.04,27.31,3002800,23.77
2009-07-13,26.99,27.20,26.83,27.17,2905100,23.65
2009-07-10,26.67,26.94,26.54,26.87,2334800,23.39
2009-07-09,26.69,26.90,26.47,26.78,3006500,23.31
2009-07-08,26.94,27.00,26.31,26.58,4397100,23.14
2009-07-07,27.32,27.35,26.86,26.89,2446500,23.41
2009-07-06,27.30,27.74,27.10,27.33,3259700,23.79
2009-07-02,27.80,27.98,27.37,27.40,2411200,23.85
2009-07-01,28.26,28.53,27.97,28.03,3293300,24.40
2009-06-30,28.60,28.60,27.98,28.16,2818600,24.51
2009-06-29,28.30,28.59,28.19,28.52,3390100,24.83
2009-06-26,28.19,28.41,27.88,28.26,6480800,24.60
2009-06-25,27.50,28.45,27.33,28.32,3400800,24.65
2009-06-24,27.31,27.88,27.17,27.63,3467800,24.05
2009-06-23,27.65,27.80,27.13,27.16,3105600,23.64
2009-06-22,28.10,28.50,27.51,27.62,2967400,24.04
2009-06-19,28.54,28.71,28.09,28.22,3963800,24.57
2009-06-18,28.16,28.58,27.90,28.29,3026400,24.63
2009-06-17,27.87,28.35,27.73,28.02,3899200,24.39
2009-06-16,28.19,28.19,27.54,27.73,3194900,24.14
2009-06-15,28.37,28.58,27.91,28.13,2788500,24.49
2009-06-12,28.48,28.67,28.19,28.60,2111500,24.90
2009-06-11,28.19,28.88,28.16,28.56,2445000,24.86
2009-06-10,28.00,28.20,27.80,28.11,3048000,24.47
2009-06-09,28.02,28.06,27.63,27.83,2416500,24.23
2009-06-08,28.24,28.27,27.59,27.96,3505000,24.34
2009-06-05,28.65,28.83,28.20,28.28,3476200,24.62
2009-06-04,28.73,28.89,28.37,28.49,3191700,24.80
2009-06-03,28.50,28.75,28.31,28.69,3045500,24.98
2009-06-02,28.62,29.00,28.56,28.73,3544500,25.01
2009-06-01,27.93,28.90,27.90,28.88,4579400,25.14
2009-05-29,27.83,27.97,27.30,27.59,4212900,24.02
2009-05-28,27.99,28.11,27.27,27.65,4491900,24.07
2009-05-27,28.51,28.71,28.00,28.04,3798900,24.16
2009-05-26,28.27,28.80,27.77,28.45,3868600,24.51
2009-05-22,28.24,28.53,28.05,28.23,2500100,24.32
2009-05-21,28.21,28.90,27.87,28.15,2966700,24.25
2009-05-20,28.80,28.88,28.28,28.30,4218300,24.38
2009-05-19,28.68,28.88,28.03,28.56,5018600,24.61
2009-05-18,27.01,27.88,26.85,27.86,3982400,24.00
2009-05-15,26.98,27.21,26.62,26.83,3864600,23.11
2009-05-14,26.53,27.25,26.53,27.05,3828600,23.30
2009-05-13,26.60,26.95,26.50,26.60,2825400,22.92
2009-05-12,27.01,27.01,26.60,26.88,3155200,23.16
2009-05-11,26.75,26.99,26.62,26.86,3015000,23.14
2009-05-08,26.95,27.45,26.75,27.00,4393500,23.26
2009-05-07,27.46,27.46,26.40,26.65,5032300,22.96
2009-05-06,27.12,27.12,26.73,26.95,4745000,23.22
2009-05-05,26.69,26.94,26.61,26.88,5062300,23.16
2009-05-04,26.41,26.95,26.22,26.83,4752000,23.11
2009-05-01,26.60,26.87,26.01,26.17,6568400,22.55
2009-04-30,27.23,27.42,26.42,26.67,4928100,22.98
2009-04-29,27.00,27.99,26.57,26.94,6568100,23.21
2009-04-28,26.41,27.30,26.38,26.98,3979200,23.24
2009-04-27,26.65,27.37,26.46,26.60,4360400,22.92
2009-04-24,26.83,27.09,26.53,26.89,3263300,23.17
2009-04-23,26.99,26.99,26.25,26.67,4121600,22.98
2009-04-22,27.29,27.48,26.91,27.05,3609200,23.30
2009-04-21,27.32,27.71,27.26,27.57,3439700,23.75
2009-04-20,27.13,27.50,26.95,27.40,3859800,23.61
2009-04-17,26.96,27.58,26.84,27.48,4439300,23.67
2009-04-16,26.99,27.12,26.40,26.84,3319100,23.12
2009-04-15,26.61,26.97,26.60,26.95,2950000,23.22
2009-04-14,26.31,26.84,26.26,26.68,2948000,22.99
2009-04-13,26.15,26.77,26.03,26.60,2799300,22.92
2009-04-09,26.57,27.40,25.94,26.25,3523500,22.62
2009-04-08,26.02,26.11,25.74,25.98,2482700,22.38
2009-04-07,26.14,26.34,25.78,25.97,2588400,22.37
2009-04-06,26.24,26.69,25.78,26.59,2739200,22.91
2009-04-03,26.22,26.50,25.72,26.43,5570400,22.77
2009-04-02,26.13,26.75,25.69,26.17,5106900,22.55
2009-04-01,25.32,25.94,25.05,25.59,4848600,22.05
2009-03-31,25.58,26.00,25.29,25.60,4107800,22.06
2009-03-30,25.46,25.67,25.08,25.32,3721700,21.81
2009-03-27,26.31,26.33,25.81,25.90,2947400,22.31
2009-03-26,25.91,26.63,25.50,26.60,5186100,22.92
2009-03-25,25.91,26.50,25.32,25.74,4778000,22.18
2009-03-24,25.69,26.07,25.51,25.77,2769400,22.20
2009-03-23,25.56,26.00,25.36,25.90,4310100,22.31
2009-03-20,25.98,26.43,25.07,25.11,5309000,21.63
2009-03-19,25.94,26.17,25.67,25.86,4455500,22.28
2009-03-18,24.95,25.80,24.44,25.25,4725400,21.75
2009-03-17,24.07,25.05,23.90,25.05,4863000,21.58
2009-03-16,24.37,24.69,23.90,24.01,4045500,20.69
2009-03-13,24.55,24.67,23.83,24.07,3517100,20.74
2009-03-12,23.24,24.57,23.24,24.40,4541200,21.02
2009-03-11,23.05,23.72,22.72,23.38,5035100,20.14
