Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,58.93,59.60,58.21,58.23,1090200,46.85
2009-12-30,58.72,59.15,58.25,58.70,1021200,47.23
2009-12-29,59.38,59.49,58.78,58.93,966800,47.41
2009-12-28,59.54,59.79,58.52,58.89,957800,47.38
2009-12-24,60.25,60.30,59.02,59.39,628700,47.78
2009-12-23,59.36,60.28,58.39,59.98,2122200,48.26
2009-12-22,61.05,61.25,59.24,59.38,1375300,47.78
2009-12-21,60.26,61.00,60.03,60.86,1423600,48.97
2009-12-18,61.01,61.13,59.40,60.02,2465400,48.29
2009-12-17,61.74,62.00,59.80,60.68,2401100,48.82
2009-12-16,62.37,62.94,61.93,62.24,2075300,50.08
2009-12-15,63.27,63.68,61.61,61.79,1925200,49.72
2009-12-14,62.82,63.84,61.78,63.80,2198500,51.33
2009-12-11,62.10,63.20,61.68,61.99,2632300,49.88
2009-12-10,63.20,63.89,61.51,61.80,2192300,49.72
2009-12-09,63.74,63.84,62.10,62.98,3404000,50.67
2009-12-08,63.90,64.44,62.87,63.35,2693200,50.97
2009-12-07,66.65,66.95,64.51,64.75,2233800,52.10
2009-12-04,67.27,67.72,65.00,66.80,3666800,53.75
2009-12-03,67.00,67.70,65.19,65.37,2894400,52.60
2009-12-02,65.75,67.47,65.67,66.25,2044000,53.30
2009-12-01,66.04,67.06,64.90,66.37,2584900,53.40
2009-11-30,62.68,64.63,62.02,64.54,2506600,51.93
2009-11-27,62.02,63.90,60.85,62.98,1687600,50.67
2009-11-25,63.50,65.54,62.85,65.37,2656700,52.60
2009-11-24,63.32,63.95,62.50,63.02,1726200,50.70
2009-11-23,65.09,65.26,63.65,63.78,2527500,51.32
2009-11-20,63.01,65.21,63.01,63.88,2077400,51.40
2009-11-19,63.98,64.69,62.58,64.14,2808100,51.61
2009-11-18,66.50,67.19,65.27,66.00,2208000,53.10
2009-11-17,65.62,67.38,64.66,66.99,4072000,53.90
2009-11-16,70.00,70.00,68.10,68.51,4894400,51.90
2009-11-13,68.86,69.60,68.51,69.00,4744500,52.27
2009-11-12,66.67,68.72,66.35,67.61,4815800,51.22
2009-11-11,65.09,66.97,65.08,66.54,5278400,50.41
2009-11-10,62.90,64.46,62.06,64.09,4899500,48.55
2009-11-09,63.80,64.44,62.23,63.54,6038300,48.14
2009-11-06,58.25,59.95,58.09,59.73,4483700,45.25
2009-11-05,56.99,59.92,56.05,59.84,5422000,45.34
2009-11-04,57.29,57.60,55.06,55.27,3803200,41.87
2009-11-03,52.83,56.80,52.54,56.13,4532100,42.52
2009-11-02,54.05,54.75,51.73,53.73,5457500,40.71
2009-10-30,57.00,57.75,52.46,54.22,6795400,41.08
2009-10-29,54.72,57.19,54.52,56.29,5340200,42.65
2009-10-28,56.99,57.25,53.15,53.87,7419900,40.81
2009-10-27,61.32,61.33,55.20,56.13,14308000,42.52
2009-10-26,62.48,64.54,62.18,63.07,4535100,47.78
2009-10-23,63.90,65.86,62.15,62.46,3855000,47.32
2009-10-22,62.15,63.89,60.20,63.38,4265900,48.02
2009-10-21,63.49,64.88,62.10,62.28,3211000,47.18
2009-10-20,65.21,65.23,63.31,63.74,3287900,48.29
2009-10-19,64.98,65.10,63.08,64.66,3479900,48.99
2009-10-16,64.21,65.76,63.27,64.37,4469500,48.77
