Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,25.39,25.44,25.05,25.06,2249000,23.31
2009-12-30,25.01,25.45,24.96,25.35,2387500,23.58
2009-12-29,25.30,25.30,24.90,25.02,2286100,23.27
2009-12-28,25.43,25.45,25.10,25.23,2201700,23.47
2009-12-24,25.17,25.36,25.09,25.36,956400,23.59
2009-12-23,25.17,25.18,24.89,25.06,2112100,23.31
2009-12-22,25.05,25.30,24.95,25.06,3110900,23.31
2009-12-21,24.75,25.09,24.75,25.00,3960200,23.26
2009-12-18,24.47,24.75,24.29,24.65,5580500,22.93
2009-12-17,24.73,24.79,24.21,24.39,5538500,22.69
2009-12-16,23.91,24.88,23.90,24.77,10216600,23.04
2009-12-15,23.83,24.11,23.70,23.90,4338800,22.23
2009-12-14,23.84,23.98,23.50,23.95,4570700,22.28
2009-12-11,24.15,24.18,23.54,23.70,4341900,22.05
2009-12-10,24.05,24.28,23.91,23.98,4764800,22.31
2009-12-09,23.77,24.01,23.45,24.00,7539500,22.33
2009-12-08,23.17,24.02,22.96,23.77,11192100,22.11
2009-12-07,23.39,23.63,23.10,23.24,4088000,21.62
2009-12-04,23.45,23.58,22.88,23.37,7921300,21.74
2009-12-03,23.40,23.55,23.19,23.21,8305600,21.59
2009-12-02,23.37,23.72,23.27,23.45,4066900,21.81
2009-12-01,23.06,23.54,23.05,23.42,5758500,21.79
2009-11-30,22.55,22.80,22.43,22.64,3982200,21.06
2009-11-27,22.33,22.83,22.21,22.63,1800900,21.05
2009-11-25,22.77,23.02,22.69,22.99,3618500,21.39
2009-11-24,22.54,22.78,22.43,22.70,3055100,21.12
2009-11-23,22.55,22.77,22.37,22.52,4448200,20.95
2009-11-20,22.43,22.44,22.10,22.28,3821800,20.73
2009-11-19,22.97,23.03,22.38,22.61,4769300,21.03
2009-11-18,23.39,23.46,23.00,23.21,2927000,21.59
2009-11-17,23.24,23.48,23.14,23.48,2619100,21.84
2009-11-16,23.05,23.50,23.00,23.39,4618300,21.76
2009-11-13,22.78,23.13,22.68,22.94,3039500,21.34
2009-11-12,23.01,23.30,22.75,22.82,3759800,21.23
2009-11-11,22.85,23.26,22.78,22.95,4425300,21.35
2009-11-10,22.52,22.91,22.45,22.61,3765800,21.03
2009-11-09,22.10,22.51,22.01,22.50,3776200,20.93
2009-11-06,21.92,22.28,21.81,21.89,3286300,20.36
2009-11-05,21.93,22.40,21.93,22.05,5605700,20.51
2009-11-04,21.59,22.00,21.57,21.72,5744600,20.20
2009-11-03,21.07,21.57,21.01,21.55,6625400,20.05
2009-11-02,21.64,21.85,21.29,21.75,6766600,20.23
2009-10-30,22.33,22.48,21.49,21.75,12096300,20.08
2009-10-29,22.21,22.55,22.17,22.41,4748600,20.69
2009-10-28,22.68,22.75,22.08,22.10,5225800,20.41
2009-10-27,23.02,23.31,22.40,22.57,4705700,20.84
2009-10-26,22.91,23.47,22.78,22.99,5756900,21.23
2009-10-23,23.38,23.44,22.81,22.91,4472400,21.16
2009-10-22,23.01,23.53,22.77,23.41,5697400,21.62
2009-10-21,23.32,23.68,22.99,23.08,5660200,21.31
2009-10-20,23.65,23.78,23.26,23.50,5591000,21.70
2009-10-19,23.33,23.83,23.14,23.67,4194400,21.86
2009-10-16,23.75,23.78,22.96,23.30,10284200,21.52
2009-10-15,23.65,23.88,23.38,23.70,8662100,21.88
2009-10-14,24.33,24.49,23.70,24.00,12991000,22.16
2009-10-13,23.74,24.08,23.65,23.93,11427900,22.10
2009-10-12,23.35,23.73,23.29,23.69,6565200,21.88
2009-10-09,22.49,23.31,22.49,23.20,5124100,21.42
2009-10-08,22.89,22.94,22.32,22.57,6175100,20.84
2009-10-07,23.04,23.13,22.61,22.76,4591200,21.02
2009-10-06,22.89,23.23,22.81,23.15,5660500,21.38
2009-10-05,22.70,22.89,22.33,22.80,7206100,21.05
2009-10-02,22.33,22.58,22.05,22.16,6156600,20.46
2009-10-01,23.39,23.50,22.39,22.39,7084100,20.67
2009-09-30,23.24,23.74,23.02,23.42,6264000,21.63
2009-09-29,23.56,23.91,23.17,23.20,4331700,21.42
2009-09-28,23.33,23.81,23.20,23.56,3600800,21.76
2009-09-25,23.30,23.47,23.06,23.17,4552200,21.40
2009-09-24,23.95,24.00,22.98,23.41,7824900,21.62
2009-09-23,24.47,24.47,23.53,23.83,21884900,22.00
2009-09-22,22.93,23.14,22.63,22.72,3702800,20.98
2009-09-21,22.87,23.04,22.66,22.90,4493300,21.15
2009-09-18,22.32,22.98,22.32,22.81,7895600,21.06
2009-09-17,22.76,22.85,22.07,22.23,9220400,20.53
2009-09-16,23.48,23.49,22.59,22.78,8861600,21.03
2009-09-15,23.24,23.50,23.18,23.37,4498600,21.58
2009-09-14,23.09,23.40,23.08,23.34,3185500,21.55
2009-09-11,23.60,23.71,23.15,23.25,5293800,21.47
2009-09-10,23.50,23.72,23.27,23.59,5474100,21.78
2009-09-09,23.14,23.49,22.81,23.41,10252400,21.62
2009-09-08,22.74,23.16,22.66,23.16,7304600,21.39
2009-09-04,21.53,22.21,21.38,22.21,4862900,20.51
2009-09-03,21.40,21.48,20.81,21.45,6029400,19.81
2009-09-02,21.57,21.72,21.30,21.34,5169900,19.71
2009-09-01,22.11,22.64,21.59,21.65,6312600,19.99
2009-08-31,22.47,22.64,22.02,22.24,4584600,20.54
2009-08-28,22.48,22.87,22.35,22.65,6276100,20.91
2009-08-27,22.20,22.26,21.74,22.08,3782500,20.39
2009-08-26,22.22,22.41,22.00,22.17,5136400,20.47
2009-08-25,22.27,22.58,22.03,22.15,5213100,20.45
2009-08-24,22.45,22.77,22.18,22.30,5707600,20.59
2009-08-21,22.01,22.50,21.82,22.39,7115900,20.67
2009-08-20,21.42,21.89,21.36,21.87,4539400,20.19
2009-08-19,21.07,21.59,21.01,21.51,3671400,19.86
2009-08-18,21.09,21.42,21.09,21.34,3785800,19.71
2009-08-17,21.23,21.27,20.95,21.03,4124700,19.42
2009-08-14,21.96,22.01,21.28,21.49,4848600,19.84
2009-08-13,21.91,22.13,21.75,22.10,4524400,20.41
2009-08-12,21.32,22.04,21.32,21.81,6339200,20.14
2009-08-11,21.45,21.75,21.20,21.31,4851800,19.68
2009-08-10,21.38,21.64,21.24,21.51,4620300,19.86
2009-08-07,21.87,21.95,21.25,21.44,4340000,19.80
2009-08-06,21.97,22.23,21.47,21.62,4583800,19.96
2009-08-05,22.20,22.27,21.62,21.92,5312100,20.24
2009-08-04,21.90,22.30,21.69,22.19,7121400,20.49
2009-08-03,21.75,22.14,21.67,22.13,8776200,20.43
2009-07-31,21.61,21.93,21.45,21.69,6611800,19.90
2009-07-30,21.82,22.20,21.57,21.64,8032900,19.85
2009-07-29,21.63,21.68,21.22,21.50,9466400,19.72
2009-07-28,21.36,21.89,21.24,21.74,11102500,19.95
2009-07-27,21.34,21.55,21.10,21.45,5764600,19.68
2009-07-24,20.84,21.52,20.72,21.47,9158200,19.70
2009-07-23,20.41,21.23,20.32,21.13,13532100,19.39
2009-07-22,20.12,20.73,19.94,20.55,11034100,18.85
2009-07-21,20.18,20.18,19.58,20.16,9685200,18.50
2009-07-20,20.26,20.38,19.68,19.97,12205400,18.32
2009-07-17,20.36,20.36,19.86,20.26,9851700,18.59
2009-07-16,19.67,20.32,19.45,20.26,21441500,18.59
2009-07-15,20.84,20.84,20.51,20.66,12170800,18.95
2009-07-14,19.59,19.96,19.48,19.83,6689500,18.19
2009-07-13,19.45,19.73,18.94,19.69,9786900,18.06
2009-07-10,19.34,19.69,19.25,19.38,6458100,17.78
2009-07-09,19.32,19.73,19.29,19.46,6822100,17.85
2009-07-08,19.44,19.53,18.97,19.15,7718100,17.57
2009-07-07,20.00,20.39,19.31,19.35,7258500,17.75
2009-07-06,20.52,20.59,19.87,20.06,7792000,18.40
2009-07-02,19.88,20.74,19.66,20.60,15288700,18.90
2009-07-01,20.59,21.02,20.40,20.57,4882000,18.87
2009-06-30,20.47,20.73,20.13,20.46,5684500,18.77
2009-06-29,20.18,20.41,19.92,20.34,5557900,18.66
2009-06-26,20.20,20.50,20.09,20.19,3579400,18.52
2009-06-25,20.07,20.37,19.89,20.30,5065100,18.62
2009-06-24,19.71,20.21,19.66,20.13,7484000,18.47
2009-06-23,19.88,19.92,19.43,19.62,4903300,18.00
2009-06-22,20.00,20.29,19.72,19.72,6630100,18.09
2009-06-19,20.19,20.22,19.92,20.07,5514400,18.41
2009-06-18,20.31,20.31,19.75,19.88,5332600,18.24
2009-06-17,20.26,20.57,19.75,20.35,7019500,18.67
2009-06-16,20.50,20.60,19.89,20.05,8575500,18.39
2009-06-15,20.55,20.66,20.06,20.40,8972000,18.72
2009-06-12,21.28,21.39,20.44,20.91,9045800,19.18
2009-06-11,21.80,21.93,21.38,21.43,7605400,19.66
2009-06-10,21.82,22.03,21.13,21.79,8069700,19.99
2009-06-09,21.63,22.07,21.50,21.85,7897600,20.05
2009-06-08,20.95,21.31,20.62,21.13,4513200,19.39
2009-06-05,21.35,21.44,20.65,20.92,4294700,19.19
2009-06-04,20.98,21.46,20.77,21.16,5607200,19.41
2009-06-03,20.75,21.02,20.55,20.99,6428900,19.26
2009-06-02,21.61,21.71,20.83,21.01,7075100,19.28
2009-06-01,20.82,21.84,20.82,21.61,7224200,19.83
2009-05-29,20.41,20.80,20.15,20.74,5563200,19.03
2009-05-28,20.25,20.55,19.76,20.51,6007000,18.82
2009-05-27,20.04,20.58,19.99,20.19,6581600,18.52
2009-05-26,18.94,20.26,18.94,20.08,8188900,18.42
2009-05-22,19.18,19.53,18.79,19.26,5824000,17.67
2009-05-21,19.42,19.54,18.86,19.16,7072700,17.58
2009-05-20,19.86,20.45,19.53,19.60,8385300,17.98
2009-05-19,19.01,19.93,18.73,19.66,9183600,18.04
2009-05-18,18.81,19.28,18.71,19.27,6394400,17.68
2009-05-15,18.92,19.08,18.56,18.92,9721800,17.36
2009-05-14,18.44,19.28,18.38,19.00,8641500,17.43
2009-05-13,18.52,18.81,18.18,18.38,6605600,16.86
2009-05-12,19.07,19.14,18.31,18.70,6587400,17.16
2009-05-11,18.52,19.35,18.16,18.97,7074000,17.40
2009-05-08,19.35,19.55,18.37,18.72,11690600,17.05
2009-05-07,20.75,20.75,19.06,19.35,10704000,17.62
2009-05-06,20.51,20.90,20.01,20.66,7521800,18.81
2009-05-05,21.01,21.05,20.23,20.62,9367700,18.78
2009-05-04,20.95,21.48,20.60,21.08,5671800,19.19
2009-05-01,20.63,20.66,19.98,20.45,5244900,18.62
2009-04-30,20.18,20.89,20.00,20.44,7730700,18.61
2009-04-29,20.02,20.24,19.81,19.93,6975000,18.15
2009-04-28,20.12,20.28,19.85,19.94,6095400,18.16
2009-04-27,19.74,20.36,19.66,20.13,7187700,18.33
2009-04-24,19.90,20.34,19.30,20.22,10257800,18.41
2009-04-23,20.56,20.69,19.10,19.75,16490200,17.98
2009-04-22,20.21,21.54,20.10,20.93,12147400,19.06
2009-04-21,20.52,20.93,20.11,20.71,9825900,18.86
2009-04-20,21.05,21.33,20.51,20.57,9989200,18.73
2009-04-17,21.67,21.74,21.14,21.58,7614200,19.65
2009-04-16,20.77,21.90,20.75,21.74,10344500,19.80
2009-04-15,20.38,20.61,20.15,20.59,7564300,18.75
2009-04-14,20.30,20.94,20.09,20.71,9333500,18.86
2009-04-13,20.50,20.50,19.66,20.31,9347500,18.49
2009-04-09,20.07,20.48,19.98,20.40,5742300,18.58
2009-04-08,19.45,19.89,19.19,19.71,5658200,17.95
2009-04-07,19.47,19.64,18.99,19.18,5827700,17.46
2009-04-06,19.65,19.87,19.23,19.78,6108600,18.01
2009-04-03,19.85,20.02,19.38,19.99,7303200,18.20
2009-04-02,19.72,20.30,19.58,19.99,7604900,18.20
2009-04-01,19.00,19.43,18.74,19.39,8823600,17.66
2009-03-31,19.32,19.60,18.90,19.16,9343400,17.45
2009-03-30,19.25,19.33,18.83,19.25,9453900,17.53
2009-03-27,20.08,20.18,19.47,19.49,9838500,17.75
2009-03-26,20.41,20.55,19.95,20.38,10654200,18.56
2009-03-25,19.99,20.50,19.48,19.94,10355700,18.16
2009-03-24,19.93,20.05,19.59,19.71,7029500,17.95
2009-03-23,19.63,20.27,19.51,20.26,7802700,18.45
