Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,32.12,32.40,31.61,31.70,2507100,30.79
2009-12-30,32.41,32.75,31.94,32.15,6246000,31.22
2009-12-29,33.36,33.68,32.68,32.86,3780200,31.91
2009-12-28,33.88,34.02,33.21,33.44,2400500,32.48
2009-12-24,34.11,34.20,33.36,33.78,2171200,32.81
2009-12-23,34.11,34.34,33.69,33.76,3897800,32.79
2009-12-22,34.08,34.44,33.89,33.93,4615500,32.95
2009-12-21,32.64,34.91,32.64,34.04,11134600,33.06
2009-12-18,32.95,33.00,32.36,32.51,6815600,31.57
2009-12-17,33.56,33.56,32.17,32.77,7849800,31.83
2009-12-16,33.54,34.19,33.17,33.50,6952200,32.53
2009-12-15,32.13,33.39,32.13,33.25,6846000,32.29
2009-12-14,32.00,33.19,32.00,32.40,6873400,31.47
2009-12-11,31.65,32.55,31.65,31.76,5909200,30.84
2009-12-10,30.59,32.19,30.59,32.04,9905700,31.12
2009-12-09,30.92,31.26,30.20,30.47,7600000,29.59
2009-12-08,29.63,30.77,29.51,30.47,6901700,29.59
2009-12-07,28.99,30.42,28.85,29.89,6289600,29.03
2009-12-04,29.00,29.82,28.76,28.98,6255400,28.14
2009-12-03,29.80,29.98,28.59,28.65,4489600,27.82
2009-12-02,29.89,29.91,29.44,29.76,3603000,28.90
2009-12-01,29.24,29.96,29.11,29.82,3793400,28.96
2009-11-30,29.67,29.67,28.61,29.11,4752300,28.27
2009-11-27,28.76,29.62,28.62,29.44,1926500,28.59
2009-11-25,29.50,29.88,29.41,29.76,2547100,28.90
2009-11-24,29.50,29.86,28.99,29.76,4025900,28.90
2009-11-23,28.85,29.66,28.81,29.48,4536100,28.63
2009-11-20,28.28,28.82,28.25,28.40,5348300,27.58
2009-11-19,28.99,29.08,28.07,28.69,5286300,27.86
2009-11-18,29.06,29.48,29.00,29.21,4203800,28.37
2009-11-17,29.46,29.73,29.15,29.27,4495200,28.43
2009-11-16,29.59,29.98,29.39,29.65,5005500,28.80
2009-11-13,29.39,29.82,29.31,29.43,4061000,28.58
2009-11-12,29.95,29.98,29.18,29.31,4702300,28.47
2009-11-11,30.09,30.09,29.28,29.87,6110800,29.01
2009-11-10,29.69,29.96,29.42,29.80,5332100,28.94
2009-11-09,28.75,29.98,28.21,29.82,9357400,28.92
