Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,38.74,38.74,38.34,38.34,949700,36.96
2009-12-30,38.53,38.88,38.50,38.74,588500,37.35
2009-12-29,38.49,39.10,38.49,38.77,815000,37.38
2009-12-28,39.02,39.12,38.48,38.67,1047700,37.28
2009-12-24,38.91,39.10,38.73,39.06,389200,37.66
2009-12-23,38.89,38.94,38.43,38.67,903500,37.28
2009-12-22,38.04,38.77,38.04,38.69,1045300,37.30
2009-12-21,38.04,38.46,37.85,38.12,1831400,36.75
2009-12-18,37.93,38.12,37.46,37.77,2625600,36.41
2009-12-17,37.69,38.03,37.42,37.89,1963400,36.53
2009-12-16,38.05,38.05,37.74,37.80,1575100,36.44
2009-12-15,37.54,37.87,37.40,37.86,2160400,36.50
2009-12-14,38.06,38.06,37.60,37.72,1020100,36.36
2009-12-11,37.97,38.01,37.66,37.73,1895700,36.37
2009-12-10,38.26,38.26,37.72,37.87,1151800,36.51
2009-12-09,37.70,38.05,37.56,37.92,1234000,36.56
2009-12-08,37.94,38.41,37.70,37.88,1818400,36.52
2009-12-07,38.50,38.67,38.35,38.38,1690200,37.00
2009-12-04,38.53,38.66,38.30,38.60,3083800,37.21
2009-12-03,38.32,38.80,38.23,38.31,3127800,36.93
2009-12-02,38.66,38.76,38.13,38.47,3053400,37.09
2009-12-01,39.45,39.45,38.28,38.60,1612200,37.21
2009-11-30,38.48,38.78,38.16,38.73,2803800,37.34
2009-11-27,38.46,38.91,38.29,38.39,1037300,37.01
2009-11-25,39.33,39.57,39.14,39.24,1129400,37.83
2009-11-24,39.53,39.53,39.10,39.14,1458900,37.73
2009-11-23,39.50,39.53,38.88,39.40,1936500,37.98
2009-11-20,38.90,39.18,38.53,39.03,2782600,37.63
2009-11-19,38.83,39.46,38.43,39.07,4205200,37.67
2009-11-18,40.34,40.41,39.86,40.04,2555900,38.60
2009-11-17,40.80,40.80,40.42,40.47,3162200,39.02
2009-11-16,40.53,41.00,40.42,40.92,3008400,39.45
2009-11-13,40.32,40.32,39.97,40.21,2644100,38.76
2009-11-12,40.09,40.55,40.01,40.12,3282300,38.68
2009-11-11,39.80,40.38,39.64,40.16,3174900,38.72
2009-11-10,40.03,40.27,39.56,39.68,3356800,38.25
2009-11-09,39.55,40.08,39.22,40.08,2764200,38.64
