Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,40.58,40.70,40.08,40.10,1236700,40.10
2009-12-30,40.07,40.57,39.97,40.50,835400,40.50
2009-12-29,40.27,40.42,40.17,40.31,897200,40.31
2009-12-28,40.72,40.73,40.10,40.29,1154800,40.29
2009-12-24,40.02,40.72,39.49,40.60,1298600,40.60
2009-12-23,39.25,39.67,39.03,39.62,1447700,39.62
2009-12-22,38.81,39.25,38.72,39.06,1860100,39.06
2009-12-21,37.87,38.84,37.71,38.80,2369700,38.80
2009-12-18,38.30,38.67,37.57,37.57,9599700,37.57
2009-12-17,38.61,38.61,37.65,38.15,1826700,38.15
2009-12-16,38.94,38.97,38.29,38.45,1903900,38.45
2009-12-15,38.45,39.10,38.15,38.86,2302400,38.86
2009-12-14,38.19,38.65,38.19,38.45,2159300,38.45
2009-12-11,38.47,38.47,37.98,38.04,1616100,38.04
2009-12-10,38.49,38.49,37.98,38.09,1762000,38.09
2009-12-09,38.90,38.93,37.89,38.16,1201100,38.16
2009-12-08,38.30,38.56,38.02,38.16,1546000,38.16
2009-12-07,38.69,38.85,38.29,38.64,1416500,38.64
2009-12-04,38.43,39.01,38.10,38.59,1879400,38.59
2009-12-03,38.85,39.06,38.17,38.22,1518600,38.22
2009-12-02,39.16,39.20,38.84,38.92,1430800,38.92
2009-12-01,39.24,39.55,38.76,39.16,1757800,39.16
2009-11-30,38.42,38.81,38.10,38.73,1700000,38.73
2009-11-27,37.61,38.79,37.60,38.49,955800,38.49
2009-11-25,38.45,39.40,38.45,39.21,892100,39.21
2009-11-24,39.47,39.55,38.96,39.24,1195100,39.24
2009-11-23,38.90,39.56,38.81,39.40,1090500,39.40
2009-11-20,38.70,39.36,38.56,38.65,1174300,38.65
2009-11-19,38.74,38.88,38.43,38.68,1188400,38.68
2009-11-18,39.46,39.48,38.89,39.02,1153200,39.02
2009-11-17,39.37,39.51,38.95,39.45,1834000,39.45
2009-11-16,39.10,39.49,38.97,39.31,1759100,39.31
2009-11-13,38.49,39.17,38.10,39.13,2122100,39.13
2009-11-12,37.96,38.50,37.76,38.34,1676100,38.34
2009-11-11,38.24,38.33,37.79,38.07,1035700,38.07
2009-11-10,37.71,38.23,37.71,38.12,1028200,38.12
2009-11-09,37.48,38.01,37.10,38.01,1422500,38.01
2009-11-06,37.25,37.46,36.99,37.23,1132500,37.23
2009-11-05,37.01,37.80,36.59,37.39,1618600,37.39
2009-11-04,37.00,37.25,36.66,36.80,1361200,36.80
2009-11-03,36.40,37.09,36.26,37.00,1606600,37.00
2009-11-02,37.04,37.20,36.62,36.99,2287500,36.99
2009-10-30,38.00,38.88,37.15,37.16,3750100,37.16
2009-10-29,36.52,37.29,36.26,37.22,3367300,37.22
2009-10-28,37.07,37.24,36.29,36.42,1968800,36.42
2009-10-27,37.37,37.46,36.96,37.11,1764300,37.11
2009-10-26,37.62,38.16,37.09,37.22,1787100,37.22
2009-10-23,37.74,37.86,36.90,37.16,2356800,37.16
2009-10-22,37.46,37.91,36.93,37.78,2550000,37.78
2009-10-21,37.80,38.47,37.35,37.39,2328200,37.39
2009-10-20,38.76,38.76,37.62,37.85,1319100,37.85
2009-10-19,38.74,38.74,38.10,38.61,1156700,38.61
2009-10-16,38.28,38.34,37.73,38.18,1389600,38.18
2009-10-15,38.56,38.63,38.12,38.48,1315200,38.48
2009-10-14,38.56,38.65,38.24,38.46,1160000,38.46
2009-10-13,38.20,38.64,37.98,38.09,1674500,38.09
2009-10-12,37.91,38.34,37.85,38.26,1091400,38.26
2009-10-09,37.29,38.00,37.14,37.85,2503000,37.85
2009-10-08,37.20,37.55,37.20,37.30,1792300,37.30
2009-10-07,37.21,37.40,36.82,37.20,1947200,37.20
2009-10-06,36.81,37.27,36.73,37.19,2567000,37.19
2009-10-05,36.46,36.86,35.95,36.75,2490800,36.75
2009-10-02,35.69,36.66,35.65,36.37,2824500,36.37
2009-10-01,36.55,37.49,35.89,36.00,5464700,36.00
2009-09-30,37.98,38.00,37.27,37.53,1874300,37.53
2009-09-29,38.06,38.33,37.87,37.90,831700,37.90
2009-09-28,37.61,38.11,37.33,38.02,1274900,38.02
2009-09-25,37.43,38.04,37.33,37.37,2184700,37.37
2009-09-24,38.49,38.52,37.45,37.46,3240200,37.46
2009-09-23,38.50,38.78,38.06,38.26,3013000,38.26
2009-09-22,38.12,38.67,37.48,38.54,2977900,38.54
2009-09-21,38.25,38.37,37.71,38.03,2241800,38.03
2009-09-18,38.58,39.00,38.13,38.18,2507600,38.18
2009-09-17,38.17,38.80,37.85,38.49,2937300,38.49
2009-09-16,38.12,38.38,37.71,38.24,2584500,38.24
2009-09-15,37.40,38.11,37.30,37.96,2783500,37.96
2009-09-14,37.20,37.73,36.87,37.66,3109200,37.66
2009-09-11,36.61,36.91,36.33,36.79,2456300,36.79
2009-09-10,36.13,36.66,36.06,36.60,3329800,36.60
2009-09-09,35.87,36.25,35.79,36.15,2614900,36.15
2009-09-08,34.98,36.17,34.55,35.96,3235800,35.96
2009-09-04,35.44,35.81,35.24,35.80,1854800,35.80
2009-09-03,35.18,35.46,34.63,35.44,1239700,35.44
2009-09-02,35.17,35.38,34.72,35.20,1984400,35.20
2009-09-01,35.59,35.96,35.05,35.20,1819800,35.20
2009-08-31,35.18,35.69,34.76,35.65,2545500,35.65
2009-08-28,36.50,36.55,35.13,35.29,2511900,35.29
2009-08-27,35.95,36.16,35.26,36.14,2725900,36.14
2009-08-26,35.33,35.81,35.21,35.65,1854900,35.65
2009-08-25,35.67,35.89,35.26,35.30,1831400,35.30
2009-08-24,35.43,35.66,35.26,35.41,1697500,35.41
2009-08-21,35.13,35.55,34.84,35.45,2281300,35.45
2009-08-20,34.87,35.31,34.70,34.94,1372400,34.94
2009-08-19,34.56,35.19,34.50,35.03,2358700,35.03
2009-08-18,34.91,35.08,34.45,34.90,2051700,34.90
2009-08-17,34.38,35.08,34.30,34.83,3063300,34.83
2009-08-14,35.00,35.14,34.46,34.87,1889800,34.87
2009-08-13,35.13,35.13,34.51,34.99,2524000,34.99
2009-08-12,34.10,35.40,34.09,35.03,2182700,35.03
2009-08-11,34.54,34.54,34.12,34.26,1701500,34.26
2009-08-10,33.96,34.79,33.95,34.74,2384400,34.74
2009-08-07,34.24,34.65,33.92,34.53,2927400,34.53
2009-08-06,33.26,33.80,32.99,33.74,2871900,33.74
2009-08-05,32.05,33.72,32.00,33.24,7145200,33.24
2009-08-04,34.51,34.71,34.04,34.31,2902500,34.31
2009-08-03,34.27,34.77,33.88,34.59,2422700,34.59
2009-07-31,33.82,34.41,33.51,34.03,1993400,34.03
2009-07-30,34.50,34.50,33.66,33.78,1809200,33.78
2009-07-29,33.98,34.29,33.80,34.21,1017300,34.21
2009-07-28,33.71,34.24,33.67,34.18,1464500,34.18
2009-07-27,34.25,34.39,33.49,33.82,2008100,33.82
2009-07-24,33.35,34.27,33.35,34.27,1953200,34.27
2009-07-23,33.09,34.04,32.90,33.72,2654700,33.72
2009-07-22,33.36,33.65,32.85,33.10,2290300,33.10
2009-07-21,33.75,33.81,33.08,33.53,2969500,33.53
2009-07-20,33.19,33.72,32.97,33.53,2646100,33.53
2009-07-17,33.25,33.40,32.95,33.00,2124700,33.00
2009-07-16,33.61,33.94,33.15,33.27,2331500,33.27
2009-07-15,32.80,33.56,32.54,33.56,2524900,33.56
2009-07-14,32.25,32.41,31.89,32.35,1679000,32.35
2009-07-13,31.24,32.42,31.00,32.27,2522800,32.27
2009-07-10,31.70,32.04,31.60,31.63,2688400,31.63
2009-07-09,31.96,32.06,31.67,31.74,2635400,31.74
2009-07-08,32.07,32.26,31.59,31.78,2771700,31.78
2009-07-07,32.53,32.65,31.89,32.00,2533900,32.00
2009-07-06,33.23,33.26,32.54,32.61,2700500,32.61
2009-07-02,33.04,33.77,33.04,33.40,2257400,33.40
2009-07-01,34.06,34.08,33.54,33.69,2292000,33.69
2009-06-30,34.28,34.48,33.53,33.79,3024200,33.79
2009-06-29,34.29,34.55,34.10,34.22,1707600,34.22
2009-06-26,34.32,34.48,34.02,34.34,1809100,34.34
2009-06-25,33.59,34.45,33.29,34.40,2176900,34.40
2009-06-24,33.44,34.02,33.38,33.73,1972600,33.73
2009-06-23,33.81,33.84,33.30,33.39,2116100,33.39
2009-06-22,34.36,34.66,33.73,33.73,1830000,33.73
2009-06-19,34.49,35.03,34.32,34.81,2410200,34.81
2009-06-18,34.37,34.75,34.05,34.26,2014400,34.26
2009-06-17,34.39,34.67,34.13,34.39,1784300,34.39
2009-06-16,34.75,35.15,34.34,34.36,1652300,34.36
