Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,56.55,56.60,55.63,55.68,1373400,55.68
2009-12-30,56.13,56.72,56.05,56.42,1168600,56.42
2009-12-29,56.73,56.79,56.10,56.12,1717800,56.12
2009-12-28,56.60,56.79,56.40,56.74,1468600,56.74
2009-12-24,56.60,56.95,56.09,56.38,787900,56.38
2009-12-23,56.41,57.14,56.38,56.80,2185700,56.80
2009-12-22,55.98,56.51,55.71,56.29,3154100,56.29
2009-12-21,56.28,56.60,55.92,56.09,3747200,56.09
2009-12-18,54.36,56.16,54.02,55.95,14039900,55.95
2009-12-17,51.62,51.77,50.59,50.62,3816000,50.62
2009-12-16,52.95,53.25,51.61,51.78,4370500,51.78
2009-12-15,53.78,53.99,52.50,52.87,3854100,52.87
2009-12-14,52.89,54.18,52.81,53.88,3568500,53.88
2009-12-11,53.45,53.58,52.36,52.76,4108700,52.76
2009-12-10,54.19,54.24,53.05,53.39,4240700,53.39
2009-12-09,54.00,54.00,52.75,53.73,4360400,53.73
2009-12-08,53.03,54.64,53.00,54.32,9962500,54.32
2009-12-07,56.16,57.07,54.55,55.53,11119400,55.53
2009-12-04,57.17,57.49,55.15,55.97,4348000,55.97
2009-12-03,57.50,57.79,56.35,56.53,3230200,56.53
2009-12-02,56.50,57.33,56.25,57.32,3877100,57.32
2009-12-01,56.02,56.50,55.70,56.30,3718900,56.30
2009-11-30,54.81,55.55,54.62,55.45,3345100,55.45
2009-11-27,53.93,55.68,53.72,54.97,1325800,54.97
2009-11-25,55.28,55.80,55.17,55.75,2174200,55.75
2009-11-24,55.70,55.80,54.89,55.37,2949500,55.37
2009-11-23,55.32,55.87,54.98,55.65,2951300,55.65
2009-11-20,54.67,55.12,54.28,54.91,3146600,54.91
2009-11-19,55.00,55.19,54.31,54.55,2887000,54.55
2009-11-18,55.24,55.37,54.67,55.27,3028000,55.27
2009-11-17,53.65,55.63,53.53,55.25,4256200,55.25
2009-11-16,53.50,54.14,53.25,54.01,2198300,54.01
2009-11-13,53.93,54.06,53.08,53.48,1751000,53.48
2009-11-12,53.96,54.12,53.25,53.73,1876900,53.73
2009-11-11,54.60,54.89,53.23,53.86,2313400,53.86
2009-11-10,54.22,54.84,53.23,53.65,5560100,53.65
2009-11-09,52.77,54.17,52.48,54.14,5488900,54.14
2009-11-06,51.67,53.26,51.55,53.05,3221000,53.05
