Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,61.66,61.79,61.00,61.00,724100,55.16
2009-12-30,61.62,62.02,61.48,61.58,624000,55.68
2009-12-29,61.91,62.15,61.77,61.84,700300,55.92
2009-12-28,62.08,62.19,61.62,61.93,494000,56.00
2009-12-24,61.96,62.06,61.64,61.89,250700,55.97
2009-12-23,61.90,62.12,61.46,61.85,964900,55.93
2009-12-22,61.79,62.21,61.69,61.88,929700,55.96
2009-12-21,61.60,62.05,61.59,61.76,1547300,55.85
2009-12-18,61.82,61.88,61.03,61.40,2035600,55.52
2009-12-17,61.56,61.78,61.44,61.60,939700,55.70
2009-12-16,62.54,62.64,61.78,61.84,1417500,55.92
2009-12-15,62.58,62.73,62.16,62.49,1259500,56.51
2009-12-14,62.85,63.03,62.49,62.66,1379800,56.66
2009-12-11,62.24,63.10,62.18,62.58,2296400,56.59
2009-12-10,62.14,62.28,61.73,61.97,1058100,56.04
2009-12-09,61.45,62.05,60.90,61.89,2144600,55.97
2009-12-08,60.92,61.91,60.34,61.30,2226200,55.43
2009-12-07,61.47,61.58,60.64,61.05,1613600,55.21
2009-12-04,61.46,61.90,60.84,61.40,1520500,55.52
2009-12-03,61.45,61.67,60.97,61.13,927800,55.28
2009-12-02,60.61,61.87,60.50,61.24,1418400,55.38
2009-12-01,60.66,60.95,60.30,60.73,902400,54.92
2009-11-30,60.04,60.49,59.78,60.27,851300,54.50
2009-11-27,59.35,60.46,59.28,60.05,407600,54.30
2009-11-25,60.62,60.82,60.24,60.46,568800,54.67
2009-11-24,60.46,60.72,60.14,60.39,820800,54.61
2009-11-23,60.14,60.55,60.10,60.31,986000,54.54
2009-11-20,59.89,60.07,59.53,59.65,1030200,53.94
2009-11-19,60.34,60.55,59.38,59.85,1962200,54.12
2009-11-18,60.29,61.51,59.72,60.70,3565300,54.89
2009-11-17,60.00,60.22,59.54,60.21,1289600,54.45
2009-11-16,59.98,60.57,59.76,60.04,1200200,54.29
2009-11-13,59.82,60.00,59.44,59.74,1333000,54.02
2009-11-12,60.23,60.39,59.41,59.71,1226100,53.99
2009-11-11,60.73,60.89,60.01,60.34,1294700,54.56
2009-11-10,61.17,61.37,60.32,60.66,1508500,54.85
2009-11-09,60.42,61.38,60.06,61.18,1847200,55.32
2009-11-06,59.15,60.19,59.06,59.93,1459300,54.19
2009-11-05,59.26,59.59,59.00,59.47,1276400,53.78
2009-11-04,58.80,59.35,58.56,58.84,1574100,53.21
2009-11-03,60.11,60.11,58.10,58.66,2700800,53.04
2009-11-02,60.00,60.67,59.00,59.40,3666600,53.71
2009-10-30,58.84,59.77,58.55,59.23,3722700,53.56
2009-10-29,58.27,59.00,58.01,58.83,1925700,53.20
2009-10-28,57.99,58.40,57.72,57.99,2123800,52.44
2009-10-27,58.41,58.59,57.94,58.06,1139000,52.50
2009-10-26,58.84,59.02,58.01,58.25,1617500,52.67
2009-10-23,59.42,59.47,58.88,59.14,1998900,53.03
2009-10-22,58.24,59.50,58.07,59.38,2224400,53.24
2009-10-21,58.14,58.85,57.84,57.84,1559600,51.86
2009-10-20,58.03,58.53,57.90,58.14,1197900,52.13
2009-10-19,58.24,58.56,57.97,58.23,1084900,52.21
2009-10-16,58.39,58.91,58.01,58.17,1106000,52.16
2009-10-15,58.01,58.59,57.90,58.40,1155200,52.36
2009-10-14,58.70,58.86,57.90,58.24,1638900,52.22
2009-10-13,58.57,58.63,58.20,58.55,1062900,52.50
2009-10-12,59.06,59.76,58.60,58.60,1575000,52.54
2009-10-09,58.98,59.00,58.40,58.69,1296200,52.62
2009-10-08,58.55,59.12,58.54,58.87,3022400,52.78
2009-10-07,56.91,57.33,56.68,57.32,1019300,51.39
