Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,16.04,16.13,15.65,15.66,2717700,13.84
2009-12-30,15.97,16.06,15.87,16.04,3574800,14.17
2009-12-29,15.92,15.99,15.85,15.94,3286500,14.08
2009-12-28,15.93,15.98,15.82,15.94,1968600,14.08
2009-12-24,15.65,15.93,15.65,15.89,1384900,14.04
2009-12-23,15.70,15.75,15.50,15.69,1886600,13.86
2009-12-22,15.75,15.90,15.55,15.63,3456400,13.81
2009-12-21,15.69,15.93,15.67,15.74,4096300,13.91
2009-12-18,15.47,15.68,15.45,15.67,3392200,13.84
2009-12-17,15.29,15.51,15.24,15.37,3286300,13.58
2009-12-16,15.43,15.53,15.24,15.30,4263400,13.52
2009-12-15,15.60,15.66,15.37,15.46,6256500,13.66
2009-12-14,15.56,15.66,15.36,15.60,3249500,13.78
2009-12-11,15.20,15.46,15.12,15.46,2788000,13.66
2009-12-10,15.18,15.29,15.04,15.13,2905600,13.37
2009-12-09,15.22,15.42,14.91,15.07,4877900,13.31
2009-12-08,15.02,15.20,14.86,15.06,2059300,13.31
2009-12-07,14.89,15.27,14.77,15.12,3772000,13.36
2009-12-04,14.91,15.03,14.63,14.86,2204800,13.13
2009-12-03,14.86,14.95,14.73,14.80,2039100,13.08
2009-12-02,14.59,14.93,14.56,14.87,3690400,13.14
2009-12-01,14.37,14.57,14.30,14.54,3604700,12.85
2009-11-30,14.18,14.34,14.12,14.24,2222400,12.58
2009-11-27,14.04,14.28,14.00,14.14,937400,12.49
2009-11-25,14.10,14.40,14.06,14.37,2433900,12.70
2009-11-24,14.08,14.11,13.93,14.05,3043500,12.41
2009-11-23,14.13,14.35,14.02,14.09,3536700,12.45
2009-11-20,13.94,14.09,13.85,14.05,3407400,12.41
2009-11-19,14.48,14.48,13.89,13.97,10806300,12.34
2009-11-18,14.66,14.72,14.36,14.42,4525100,12.74
2009-11-17,15.13,15.14,14.47,14.71,7550400,13.00
2009-11-16,14.47,14.65,14.41,14.56,3175900,12.86
2009-11-13,14.16,14.38,14.10,14.37,6343400,12.70
2009-11-12,14.23,14.39,14.05,14.11,3758800,12.47
2009-11-11,14.14,14.38,14.14,14.23,5854900,12.57
2009-11-10,13.79,14.11,13.79,14.09,4510500,12.45
2009-11-09,13.61,13.85,13.59,13.85,5477000,12.24
2009-11-06,13.40,13.61,13.32,13.53,3845400,11.95
