Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,50.48,50.88,49.80,49.80,1215300,47.98
2009-12-30,50.48,50.87,50.06,50.56,1644100,48.71
2009-12-29,52.66,52.78,50.71,51.08,1976200,49.21
2009-12-28,53.26,53.50,51.93,52.33,1500000,50.42
2009-12-24,52.92,53.28,52.26,52.66,1226600,50.74
2009-12-23,49.90,53.15,49.90,52.87,3481100,50.94
2009-12-22,48.61,50.49,48.59,50.38,2734600,48.54
2009-12-21,48.07,49.15,47.81,48.42,2960500,46.65
2009-12-18,46.57,47.59,46.57,47.48,3522800,45.75
2009-12-17,46.09,46.49,45.28,46.07,2200800,44.39
2009-12-16,46.56,47.36,46.02,46.52,2247000,44.82
2009-12-15,44.53,46.27,44.51,45.94,2526800,44.26
2009-12-14,44.69,45.39,44.69,45.05,2474500,43.40
2009-12-11,44.98,45.27,43.75,44.09,2484800,42.48
2009-12-10,44.50,45.44,44.40,44.84,1886100,43.20
2009-12-09,43.44,44.56,43.00,44.33,1983000,42.71
2009-12-08,43.07,43.86,42.50,43.23,2843700,41.65
2009-12-07,43.58,44.82,43.44,43.68,2156100,42.08
2009-12-04,45.69,46.97,42.94,43.76,4533400,42.16
2009-12-03,46.36,46.66,44.89,44.94,2198400,43.30
2009-12-02,47.12,47.51,45.95,46.30,2196100,44.61
2009-12-01,46.52,47.50,46.33,46.96,2750400,45.24
2009-11-30,45.60,46.66,45.31,45.92,2525700,44.24
2009-11-27,45.26,46.20,44.46,45.89,1492100,44.21
2009-11-25,46.78,47.89,45.99,47.46,2066500,45.73
2009-11-24,45.05,46.55,44.86,46.29,2765600,44.60
2009-11-23,47.15,48.02,44.45,45.29,4293400,43.64
2009-11-20,47.14,47.16,44.95,46.00,4207900,44.32
2009-11-19,48.34,48.91,46.96,47.55,2795400,45.81
2009-11-18,50.00,50.49,48.94,49.52,2373800,47.71
2009-11-17,48.32,49.89,48.07,49.73,1988000,47.91
2009-11-16,47.48,49.54,47.47,48.81,2469700,47.03
2009-11-13,46.86,47.57,46.32,46.84,2353300,45.13
2009-11-12,48.29,48.68,46.42,46.93,2853400,45.22
2009-11-11,49.11,50.21,48.38,48.55,3542800,46.78
2009-11-10,47.38,48.69,47.36,48.50,3121700,46.73
2009-11-09,46.27,47.80,46.15,47.71,2949400,45.97
2009-11-06,44.97,46.60,44.50,45.46,2078700,43.80
2009-11-05,44.93,46.03,44.66,45.74,2292500,44.07
2009-11-04,44.84,45.48,44.28,44.50,3118000,42.87
2009-11-03,42.55,44.93,42.18,44.19,3214000,42.58
2009-11-02,43.38,44.38,42.27,43.35,4168800,41.77
2009-10-30,46.10,46.10,42.66,42.81,5928700,41.15
2009-10-29,45.00,46.39,44.76,45.81,2812300,44.03
2009-10-28,45.63,45.65,43.57,43.80,4925600,42.10
2009-10-27,46.68,47.28,45.82,46.05,3031800,44.26
2009-10-26,47.61,49.69,46.25,46.43,3576100,44.63
2009-10-23,48.99,49.70,47.11,47.42,3665000,45.58
2009-10-22,49.44,49.84,47.66,49.00,7505200,47.10
2009-10-21,50.45,53.04,50.17,51.08,3853500,49.10
2009-10-20,52.04,52.32,49.23,50.76,2942000,48.79
2009-10-19,49.54,52.06,49.24,51.08,3321200,49.10
2009-10-16,49.96,50.58,49.21,49.65,3447600,47.72
2009-10-15,50.54,51.16,49.90,51.02,2925400,49.04
2009-10-14,51.07,51.36,50.52,51.05,2337900,49.07
2009-10-13,49.67,50.34,48.26,50.05,2691500,48.11
2009-10-12,49.97,51.25,49.30,49.72,2586000,47.79
2009-10-09,49.02,49.68,48.06,49.15,1744700,47.24
2009-10-08,48.00,49.96,48.00,49.51,3412300,47.59
2009-10-07,47.72,48.42,46.32,47.50,3527300,45.66
2009-10-06,45.66,48.17,45.41,47.55,3955100,45.71
2009-10-05,43.63,45.84,43.50,45.52,3448600,43.75
2009-10-02,42.48,44.12,42.24,43.04,2635300,41.37
2009-10-01,44.67,45.25,43.18,43.28,2983100,41.60
2009-09-30,45.86,46.11,43.90,45.11,3306500,43.36
2009-09-29,45.48,46.12,44.52,45.32,2412700,43.56
2009-09-28,44.48,45.77,43.86,45.71,2321600,43.94
2009-09-25,43.77,45.21,43.54,44.29,3425700,42.57
2009-09-24,47.47,47.47,44.62,45.38,3517600,43.62
2009-09-23,48.03,48.50,46.36,46.89,4806800,45.07
2009-09-22,48.09,49.84,47.86,49.28,4375900,47.37
2009-09-21,45.82,47.41,44.93,46.98,3823200,45.16
2009-09-18,46.80,46.91,45.38,46.68,3583000,44.87
2009-09-17,47.85,48.71,46.00,46.37,4088400,44.57
2009-09-16,45.78,48.95,45.72,48.07,5829200,46.21
2009-09-15,43.27,45.67,43.05,45.37,5292400,43.61
2009-09-14,40.51,43.50,40.51,43.43,3558300,41.75
2009-09-11,42.17,42.85,40.97,41.36,3212200,39.76
2009-09-10,41.21,42.01,40.33,41.79,3190000,40.17
2009-09-09,40.53,41.24,39.70,41.11,2967100,39.52
2009-09-08,39.74,40.71,39.65,40.35,2721800,38.79
2009-09-04,36.90,38.86,36.61,38.73,3568500,37.23
2009-09-03,36.67,37.31,36.52,37.11,2345400,35.67
2009-09-02,36.39,36.89,35.83,36.17,2406300,34.77
2009-09-01,37.49,38.57,36.28,36.47,2752200,35.06
2009-08-31,38.10,38.10,37.00,37.41,2011300,35.96
2009-08-28,39.33,39.65,38.30,38.83,1627000,37.32
2009-08-27,38.84,39.09,36.92,38.48,3494400,36.99
2009-08-26,39.51,39.69,38.58,39.22,2518800,37.70
2009-08-25,41.53,41.91,39.59,39.82,2382700,38.28
2009-08-24,41.39,42.07,40.64,40.93,2252700,39.34
2009-08-21,39.64,40.63,39.35,40.45,2459000,38.88
2009-08-20,38.65,39.56,38.47,38.86,1855800,37.35
2009-08-19,37.73,39.27,37.10,38.84,1997000,37.33
2009-08-18,38.39,38.86,38.21,38.45,1883900,36.96
2009-08-17,38.71,38.83,37.68,38.15,2189000,36.67
2009-08-14,41.61,41.61,39.76,40.24,3929200,38.68
2009-08-13,39.40,41.40,39.10,41.37,4612500,39.77
2009-08-12,37.71,38.93,37.31,38.56,2951100,37.06
2009-08-11,38.04,38.30,37.51,37.88,2461400,36.41
2009-08-10,37.99,39.02,37.60,38.31,2589600,36.82
2009-08-07,37.75,38.70,36.77,38.13,3521000,36.65
2009-08-06,37.02,37.50,36.37,36.95,2246400,35.52
2009-08-05,37.45,37.45,36.31,36.86,2197700,35.43
2009-08-04,36.68,37.97,36.55,37.19,3035100,35.75
2009-08-03,36.94,37.96,36.47,37.38,4164000,35.83
2009-07-31,34.74,35.73,34.02,35.53,5226400,34.06
2009-07-30,33.82,34.98,33.50,34.25,4347900,32.83
2009-07-29,33.86,33.97,32.72,33.50,4020700,32.11
2009-07-28,34.17,35.08,33.71,34.61,3134600,33.18
2009-07-27,34.46,35.20,34.09,34.82,2420700,33.38
