Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,38.36,38.87,38.32,38.34,2714300,37.84
2009-12-30,38.26,38.39,37.91,38.25,1780500,37.75
2009-12-29,38.72,39.05,38.46,38.51,2160700,38.01
2009-12-28,39.12,39.23,38.38,38.54,1893500,38.04
2009-12-24,38.25,39.19,38.12,38.89,1615800,38.38
2009-12-23,38.63,38.85,37.96,38.23,3078800,37.73
2009-12-22,39.12,39.23,38.50,38.57,3350500,38.07
2009-12-21,39.80,39.96,39.14,39.16,4021600,38.65
2009-12-18,38.79,39.51,38.59,39.50,9309700,38.99
2009-12-17,39.90,40.10,38.46,38.55,6825000,38.05
2009-12-16,40.35,40.78,40.05,40.20,4677500,39.68
2009-12-15,40.48,41.00,39.84,40.09,5892600,39.57
2009-12-14,40.56,41.21,40.15,41.05,4888300,40.52
2009-12-11,38.90,40.48,38.84,40.40,6688000,39.88
2009-12-10,38.69,39.37,38.43,38.72,5014200,38.22
2009-12-09,37.60,38.78,37.49,38.61,6277800,38.11
2009-12-08,37.01,37.73,36.98,37.60,5558700,37.11
2009-12-07,38.48,38.63,37.18,37.47,6072400,36.98
2009-12-04,37.88,38.28,37.05,37.92,11964300,37.43
2009-12-03,38.63,39.00,36.64,36.92,9544600,36.44
2009-12-02,37.97,38.77,37.62,38.35,5262600,37.85
2009-12-01,38.71,38.94,37.43,38.09,6517100,37.60
2009-11-30,37.50,38.46,37.11,38.36,4954200,37.86
2009-11-27,37.39,38.07,37.01,37.24,2667200,36.76
2009-11-25,38.25,38.99,38.11,38.76,4181600,38.26
2009-11-24,37.82,38.13,37.40,38.05,4399700,37.56
2009-11-23,38.37,39.00,37.72,38.02,4880700,37.53
2009-11-20,38.01,38.62,37.58,37.70,7332800,37.21
2009-11-19,40.10,40.18,38.22,38.34,7250400,37.84
2009-11-18,40.24,40.62,39.89,40.45,4700800,39.92
2009-11-17,39.75,40.59,39.59,40.50,4643600,39.97
2009-11-16,39.34,40.59,39.08,39.89,8241200,39.37
2009-11-13,38.41,39.09,38.09,38.80,5126000,38.30
2009-11-12,39.49,39.78,38.21,38.37,4947900,37.87
2009-11-11,39.96,40.65,39.28,39.64,4725400,39.13
2009-11-10,39.44,40.03,38.76,39.69,6539200,39.17
2009-11-09,38.20,39.89,37.86,39.78,5782600,39.26
2009-11-06,37.89,38.13,36.90,37.67,6316000,37.18
2009-11-05,37.54,38.56,36.95,38.46,6480500,37.91
2009-11-04,37.97,38.62,36.97,37.19,7692900,36.66
2009-11-03,37.46,37.79,36.20,37.43,8394400,36.90
2009-11-02,36.84,38.33,36.76,38.27,9301100,37.72
2009-10-30,38.74,38.74,35.97,36.60,9131700,36.08
2009-10-29,38.01,39.01,37.43,39.00,5946500,38.44
2009-10-28,39.36,39.73,37.35,37.39,8232000,36.86
2009-10-27,39.55,40.56,39.22,39.66,7728200,39.09
2009-10-26,41.27,41.72,39.17,39.48,10435700,38.92
2009-10-23,41.89,42.90,40.21,40.95,20673300,40.37
2009-10-22,36.82,38.60,36.41,38.33,9707000,37.78
2009-10-21,36.71,38.22,36.44,36.63,5950400,36.11
2009-10-20,37.32,37.93,36.66,36.90,5198000,36.37
2009-10-19,36.80,37.78,36.35,37.28,7073200,36.75
2009-10-16,37.46,37.75,36.31,36.35,8372000,35.83
2009-10-15,37.43,38.54,36.70,38.12,14092200,37.58
2009-10-14,38.46,39.44,37.67,39.35,9174000,38.79
2009-10-13,38.01,38.43,37.46,38.19,6964500,37.65
2009-10-12,37.95,38.70,37.61,38.31,5264500,37.76
2009-10-09,37.47,37.88,36.91,37.61,4690700,37.07
2009-10-08,37.34,37.78,36.96,37.47,6971800,36.94
2009-10-07,35.76,37.05,35.66,36.94,7823500,36.41
2009-10-06,35.61,36.75,34.73,35.96,7088600,35.45
2009-10-05,34.60,36.08,34.50,35.93,10739600,35.42
2009-10-02,32.74,33.93,32.56,33.19,8698300,32.72
2009-10-01,35.41,35.59,33.56,33.64,8440400,33.16
2009-09-30,35.48,36.19,34.81,35.73,7391000,35.22
2009-09-29,36.78,36.88,35.20,35.29,6670200,34.79
2009-09-28,35.29,36.71,34.66,36.70,6041300,36.18
2009-09-25,35.62,36.00,34.64,35.14,7278300,34.64
2009-09-24,36.51,36.65,35.25,35.81,5388500,35.30
2009-09-23,37.36,37.48,36.18,36.30,5251500,35.78
2009-09-22,36.75,37.65,36.52,37.23,6509600,36.70
2009-09-21,37.05,37.34,34.73,36.29,7174600,35.77
2009-09-18,38.31,38.41,37.24,37.50,8807700,36.96
2009-09-17,38.66,39.70,37.94,38.05,8177700,37.51
2009-09-16,37.86,39.25,37.13,39.00,11678800,38.44
2009-09-15,38.14,38.14,36.41,37.42,12039800,36.89
2009-09-14,37.50,38.36,36.60,38.32,6636400,37.77
2009-09-11,38.25,38.54,37.50,37.98,4920500,37.44
