Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,58.08,58.10,57.52,57.53,396000,54.16
2009-12-30,57.74,58.11,57.70,58.11,392900,54.70
2009-12-29,58.36,58.36,57.90,57.95,506700,54.55
2009-12-28,57.92,58.18,57.71,58.13,510300,54.72
2009-12-24,57.86,57.97,57.49,57.94,153200,54.54
2009-12-23,56.99,57.65,56.91,57.62,525100,54.24
2009-12-22,56.74,57.00,56.62,56.84,595400,53.51
2009-12-21,55.72,56.54,55.72,56.14,537800,52.85
2009-12-18,56.34,56.34,55.27,55.70,1298400,52.43
2009-12-17,55.86,56.30,55.67,55.87,700300,52.59
2009-12-16,56.19,56.77,56.19,56.41,651000,53.10
2009-12-15,56.36,56.50,55.72,56.06,645400,52.77
2009-12-14,56.22,56.50,55.86,56.45,649000,53.14
2009-12-11,56.00,56.09,55.65,55.78,494300,52.51
2009-12-10,55.57,55.95,55.42,55.72,602400,52.45
2009-12-09,54.96,55.46,54.54,55.38,874400,52.13
2009-12-08,55.28,55.35,54.79,55.05,1245400,51.82
2009-12-07,55.79,55.91,55.37,55.64,1185400,52.38
2009-12-04,55.82,56.34,55.26,55.70,1135300,52.43
2009-12-03,55.98,56.00,55.04,55.13,691200,51.90
2009-12-02,55.66,55.99,55.38,55.73,650500,52.46
2009-12-01,55.62,55.93,55.19,55.56,1632400,52.30
2009-11-30,54.21,55.31,53.93,55.31,1309200,52.07
2009-11-27,54.24,54.69,53.81,54.26,346700,51.08
2009-11-25,55.40,55.57,55.06,55.41,359400,52.16
2009-11-24,55.07,55.34,54.06,55.17,572800,51.93
2009-11-23,54.91,55.61,54.89,55.33,816100,52.08
2009-11-20,54.73,54.79,53.96,54.33,655600,51.14
2009-11-19,54.58,54.72,53.73,54.46,1019600,51.27
2009-11-18,55.12,55.22,54.66,54.99,572300,51.76
2009-11-17,55.04,55.29,54.88,55.16,666900,51.92
2009-11-16,53.80,55.12,53.80,55.01,863900,51.78
2009-11-13,53.84,54.06,53.38,53.96,925500,50.79
2009-11-12,53.14,54.65,53.14,53.91,1371900,50.75
2009-11-11,54.18,54.69,53.93,54.60,1018000,51.40
2009-11-10,53.89,54.12,53.59,53.80,782600,50.64
2009-11-09,52.92,54.18,52.90,54.15,1091300,50.97
2009-11-06,52.22,52.65,52.00,52.60,589600,49.51
2009-11-05,51.91,52.70,51.63,52.70,902300,49.61
2009-11-04,51.17,52.04,51.11,51.45,869900,48.43
2009-11-03,50.70,51.26,50.35,51.19,839200,48.19
2009-11-02,50.96,51.42,49.99,50.84,1079300,47.86
2009-10-30,51.15,51.23,50.67,50.71,1131600,47.74
2009-10-29,50.48,51.46,50.13,51.26,844800,48.25
2009-10-28,51.00,51.25,50.18,50.21,767500,47.26
2009-10-27,51.42,51.81,51.01,51.08,798700,48.08
