Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,61.16,61.28,60.33,60.38,508100,58.83
2009-12-30,61.56,61.70,61.00,61.29,366800,59.71
2009-12-29,61.48,61.92,61.48,61.61,423700,60.02
2009-12-28,61.54,61.70,61.23,61.54,492700,59.96
2009-12-24,61.35,61.59,61.26,61.58,192100,60.00
2009-12-23,61.36,61.97,61.34,61.35,571000,59.77
2009-12-22,61.66,62.11,61.23,61.45,804900,59.87
2009-12-21,61.34,61.92,61.32,61.65,683000,60.06
2009-12-18,61.13,61.34,60.46,60.93,1406400,59.36
2009-12-17,61.57,61.67,60.74,60.88,909800,59.31
2009-12-16,62.32,62.83,61.58,61.75,943000,60.16
2009-12-15,61.46,62.42,61.20,62.07,1022000,60.47
2009-12-14,60.97,61.70,60.61,61.44,1274100,59.86
2009-12-11,59.25,60.59,59.25,60.43,1561900,58.88
2009-12-10,59.01,59.49,59.01,59.26,1001300,57.74
2009-12-09,58.97,59.24,58.64,58.79,782400,57.28
2009-12-08,58.57,59.37,58.39,58.88,798300,57.36
2009-12-07,58.14,59.34,58.06,59.03,891800,57.51
2009-12-04,58.18,59.07,57.97,58.24,876300,56.74
2009-12-03,58.43,58.78,57.65,57.75,835200,56.26
2009-12-02,58.40,59.00,58.40,58.63,873300,57.12
2009-12-01,58.53,58.98,58.31,58.56,1130100,57.05
2009-11-30,58.12,58.45,57.70,57.94,1054500,56.45
2009-11-27,58.09,58.62,57.61,58.27,332000,56.77
2009-11-25,59.00,59.10,58.68,59.04,571500,57.52
2009-11-24,58.55,59.08,58.40,58.85,917400,57.34
2009-11-23,58.48,58.83,58.20,58.79,1163700,57.28
2009-11-20,58.06,58.47,57.95,58.15,1332000,56.65
2009-11-19,58.32,58.32,57.50,58.13,1095400,56.63
2009-11-18,58.93,59.13,58.44,58.48,893100,56.98
2009-11-17,59.40,59.40,58.60,59.07,1030600,57.55
2009-11-16,58.87,59.57,58.63,59.42,1003500,57.89
2009-11-13,58.16,58.88,58.05,58.64,1192200,57.13
2009-11-12,57.90,58.85,57.26,58.16,1197700,56.66
2009-11-11,58.72,58.76,57.81,58.14,1239400,56.64
2009-11-10,58.44,59.02,58.31,58.54,997200,57.03
2009-11-09,58.10,58.77,57.80,58.69,1413700,57.18
2009-11-06,57.60,57.92,57.25,57.84,1181200,56.35
2009-11-05,56.65,57.60,56.65,57.60,885500,56.12
2009-11-04,56.66,57.25,56.51,56.59,1465600,55.13
2009-11-03,56.12,56.61,55.90,56.61,1438400,55.15
2009-11-02,56.16,56.54,55.61,56.13,1409700,54.69
2009-10-30,56.64,56.90,55.58,55.93,1385800,54.49
2009-10-29,56.11,56.81,55.92,56.81,1766600,55.35
2009-10-28,55.97,56.45,55.82,55.90,1719500,54.46
2009-10-27,56.01,56.79,55.71,56.15,932600,54.71
2009-10-26,56.45,57.07,55.80,55.98,910700,54.54
2009-10-23,56.93,57.25,55.99,56.32,1128000,54.87
2009-10-22,56.19,57.00,55.83,56.85,2078900,55.39
2009-10-21,56.77,57.19,55.98,56.25,2189700,54.80
2009-10-20,58.28,58.28,55.50,56.63,2517400,55.17
2009-10-19,55.26,56.94,55.25,56.71,1968100,55.25
2009-10-16,54.82,55.39,54.50,55.16,1385100,53.74
2009-10-15,55.25,55.63,54.83,55.60,1281300,54.17
