Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,99.89,100.01,98.40,98.42,515900,83.12
2009-12-30,99.89,100.09,99.01,99.44,945900,83.98
2009-12-29,101.96,103.08,100.07,100.40,856700,84.79
2009-12-28,101.53,102.00,100.89,101.50,982800,85.72
2009-12-24,101.00,101.51,100.45,100.89,322700,85.20
2009-12-23,99.36,100.91,98.73,100.71,1159200,85.05
2009-12-22,99.82,100.54,98.57,98.85,1359500,83.48
2009-12-21,98.61,100.39,98.61,99.57,1477500,84.09
2009-12-18,99.45,99.45,97.68,98.11,1482700,82.85
2009-12-17,99.32,99.92,98.14,98.50,1293900,83.18
2009-12-16,99.09,100.32,98.35,99.74,1791800,84.23
2009-12-15,96.81,99.09,96.81,98.18,1972300,82.91
2009-12-14,97.07,97.77,96.60,97.14,1193300,82.03
2009-12-11,96.64,97.45,95.62,96.09,1187800,81.15
2009-12-10,96.76,97.05,95.61,96.50,1261900,81.49
2009-12-09,96.06,97.34,94.49,96.03,2093500,81.10
2009-12-08,96.87,97.36,94.47,95.33,2383600,80.51
2009-12-07,97.14,99.11,97.09,97.81,1553900,82.60
2009-12-04,100.99,102.49,96.65,97.20,2698500,82.09
2009-12-03,101.78,102.10,99.51,100.03,2296500,84.48
2009-12-02,101.67,103.02,101.27,101.80,1297200,85.97
2009-12-01,101.32,102.56,100.77,101.74,1688700,85.92
2009-11-30,99.16,100.83,98.69,99.54,1505100,84.06
2009-11-27,99.08,100.03,98.01,99.46,713600,83.99
2009-11-25,100.07,102.19,98.89,101.69,1029300,85.88
2009-11-24,99.16,100.05,97.75,99.87,1112500,84.34
2009-11-23,99.74,101.04,99.05,99.35,1256000,83.90
2009-11-20,99.01,99.80,97.07,97.66,1921900,82.47
2009-11-19,102.32,102.80,99.65,100.20,1321500,84.62
2009-11-18,103.80,103.99,101.89,103.18,1632700,87.14
2009-11-17,103.59,103.90,102.07,103.58,1522200,87.47
2009-11-16,101.01,104.07,100.72,103.67,1965800,87.55
2009-11-13,99.43,101.08,98.85,100.01,1259300,84.46
2009-11-12,100.84,101.89,99.25,99.78,1686300,84.26
2009-11-11,101.66,102.69,100.77,101.38,1547000,85.62
2009-11-10,100.79,101.23,99.23,100.52,1520100,84.89
2009-11-09,99.17,101.25,98.60,100.97,1533500,85.27
2009-11-06,97.75,99.29,96.06,97.20,2357300,82.09
2009-11-05,98.03,98.71,96.85,98.65,1385900,83.31
2009-11-04,98.69,99.62,96.99,97.15,1810800,82.04
2009-11-03,94.36,98.70,94.17,97.82,2344500,82.61
2009-11-02,95.69,97.83,94.17,96.05,1996000,81.11
2009-10-30,98.43,99.44,94.27,95.25,2535600,80.44
2009-10-29,100.19,100.61,97.80,98.77,3132800,83.41
2009-10-28,103.55,103.55,100.39,100.63,3246900,83.29
2009-10-27,105.59,106.63,103.50,104.21,2291600,86.26
2009-10-26,106.22,108.51,104.33,105.11,2125200,87.00
2009-10-23,108.60,108.60,104.74,105.80,2075300,87.57
2009-10-22,106.98,107.32,104.47,107.01,2052900,88.57
2009-10-21,104.55,108.78,104.32,105.88,2079900,87.64
2009-10-20,106.54,106.71,103.92,105.69,1852000,87.48
2009-10-19,105.63,107.14,105.55,106.70,1462800,88.32
2009-10-16,105.24,106.07,103.26,105.61,2002200,87.41
2009-10-15,102.60,106.32,102.06,105.99,2227100,87.73
2009-10-14,102.25,103.10,101.50,102.55,1418300,84.88
2009-10-13,101.69,101.80,98.92,100.96,1897100,83.57
2009-10-12,101.70,103.01,101.04,101.81,1281300,84.27
2009-10-09,99.85,100.83,98.70,100.11,1320400,82.86
2009-10-08,98.85,101.40,98.00,100.72,1987000,83.37
2009-10-07,96.71,98.18,96.27,98.05,1380900,81.16
2009-10-06,95.49,97.70,95.26,96.96,1331300,80.26
2009-10-05,92.33,94.29,92.14,94.17,2023500,77.95
2009-10-02,91.99,94.57,91.93,92.45,1289400,76.52
2009-10-01,95.65,95.95,93.37,93.78,1991900,77.62
2009-09-30,97.01,97.07,94.16,95.52,1965000,79.06
2009-09-29,93.15,97.11,92.95,96.32,2643800,79.73
2009-09-28,91.32,93.55,91.12,93.37,919300,77.28
2009-09-25,91.45,92.21,90.04,91.25,1310300,75.53
2009-09-24,93.22,93.34,91.10,91.64,1092000,75.85
