Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,17.43,17.50,17.21,17.21,1518900,44.19
2009-12-30,17.33,17.44,17.30,17.42,1030600,44.72
2009-12-29,17.34,17.42,17.30,17.39,1223900,44.65
2009-12-28,17.28,17.40,17.28,17.34,1743700,44.52
2009-12-24,17.24,17.34,17.22,17.27,743000,44.34
2009-12-23,17.23,17.35,17.16,17.24,1679700,44.26
2009-12-22,17.49,17.49,17.20,17.26,2124700,44.31
2009-12-21,17.39,17.56,17.37,17.37,1418800,44.60
2009-12-18,17.33,17.45,17.16,17.39,3115000,44.65
2009-12-17,17.50,17.52,17.29,17.33,3260200,44.49
2009-12-16,17.85,17.93,17.53,17.55,3010100,45.06
2009-12-15,17.60,17.75,17.57,17.65,2249300,45.31
2009-12-14,17.94,17.94,17.55,17.70,3537100,45.44
2009-12-11,17.76,17.89,17.61,17.81,2495200,45.73
2009-12-10,17.50,17.71,17.46,17.67,1731200,45.37
2009-12-09,17.41,17.50,17.36,17.45,2203600,44.80
2009-12-08,17.39,17.50,17.23,17.45,2707400,44.80
2009-12-07,17.24,17.49,17.14,17.38,2229300,44.62
2009-12-04,17.40,17.51,17.00,17.14,3677300,44.01
2009-12-03,17.25,17.44,17.17,17.27,2345700,44.34
2009-12-02,17.07,17.36,17.07,17.25,3737300,44.29
2009-12-01,16.70,17.11,16.70,17.11,3488400,43.93
2009-11-30,16.70,16.82,16.62,16.68,3578900,42.82
2009-11-27,16.52,16.83,16.40,16.69,1699200,42.85
2009-11-25,16.59,16.79,16.55,16.75,1974600,43.00
2009-11-24,16.39,16.56,16.38,16.56,2378300,42.52
2009-11-23,16.29,16.55,16.28,16.46,2727400,42.26
2009-11-20,16.05,16.28,16.05,16.22,2921000,41.64
2009-11-19,16.15,16.15,16.01,16.10,2712900,41.34
2009-11-18,16.15,16.21,16.08,16.16,1683400,41.49
2009-11-17,16.20,16.25,16.10,16.19,2673800,41.57
2009-11-16,16.11,16.28,16.02,16.20,2129600,41.59
2009-11-13,16.03,16.18,15.95,16.04,2480000,41.18
2009-11-12,16.09,16.19,15.97,16.01,2052200,41.10
2009-11-11,16.23,16.24,16.08,16.14,1820000,41.44
2009-11-10,16.12,16.19,15.98,16.18,7552400,41.54
2009-11-09,16.18,16.31,16.07,16.31,2709900,41.26
2009-11-06,16.05,16.11,15.93,16.05,2779000,40.60
2009-11-05,15.91,16.05,15.86,16.05,2139000,40.60
2009-11-04,15.77,15.95,15.76,15.80,2866900,39.97
2009-11-03,15.73,15.80,15.68,15.72,3248000,39.77
2009-11-02,15.87,15.98,15.71,15.78,3194400,39.92
2009-10-30,16.22,16.22,15.82,15.82,4452800,40.02
2009-10-29,15.89,16.11,15.85,16.11,3865300,40.75
2009-10-28,15.99,16.11,15.82,15.84,3649500,40.07
2009-10-27,15.97,16.11,15.86,15.90,3042500,40.22
2009-10-26,16.14,16.31,15.93,15.94,3637700,40.32
2009-10-23,16.15,16.22,16.05,16.10,3533300,40.73
2009-10-22,16.14,16.20,16.03,16.19,3180200,40.95
2009-10-21,15.95,16.24,15.94,16.15,3676900,40.85
2009-10-20,16.02,16.02,15.81,15.95,5448200,40.35
2009-10-19,15.81,16.07,15.72,15.98,2175900,40.42
2009-10-16,15.79,15.84,15.65,15.79,3081500,39.94
2009-10-15,15.78,15.86,15.71,15.85,2124800,40.09
2009-10-14,15.65,15.82,15.63,15.78,2743400,39.92
2009-10-13,15.62,15.66,15.57,15.61,1708700,39.49
2009-10-12,15.73,15.73,15.56,15.64,1634000,39.56
2009-10-09,15.61,15.65,15.56,15.60,1461000,39.46
2009-10-08,15.74,15.74,15.55,15.59,1692900,39.44
2009-10-07,15.63,15.73,15.48,15.68,2031200,39.66
2009-10-06,15.63,15.64,15.46,15.62,2240100,39.51
2009-10-05,15.45,15.52,15.33,15.51,2073700,39.23
2009-10-02,15.55,15.60,15.38,15.38,2077400,38.91
2009-10-01,15.73,15.74,15.57,15.61,3008200,39.49
2009-09-30,15.89,15.97,15.65,15.74,2494400,39.82
2009-09-29,15.97,15.97,15.75,15.86,2147400,40.12
2009-09-28,15.81,16.01,15.81,15.94,1511400,40.32
2009-09-25,15.77,15.91,15.75,15.83,1892500,40.04
2009-09-24,15.72,15.86,15.72,15.81,2086100,39.99
2009-09-23,15.74,15.95,15.68,15.72,2198800,39.77
2009-09-22,15.80,15.80,15.62,15.71,2254500,39.74
2009-09-21,15.89,15.95,15.73,15.75,2133600,39.84
2009-09-18,15.90,16.02,15.77,15.96,3473900,40.37
2009-09-17,15.91,15.95,15.73,15.82,3109800,40.02
2009-09-16,15.75,15.95,15.52,15.85,3446600,40.09
2009-09-15,15.68,15.68,15.47,15.66,2529300,39.61
2009-09-14,15.49,15.66,15.46,15.65,2122500,39.59
2009-09-11,15.48,15.49,15.38,15.43,1864900,39.03
2009-09-10,15.43,15.46,15.35,15.43,1769800,39.03
2009-09-09,15.50,15.55,15.38,15.43,2718300,39.03
2009-09-08,15.60,15.62,15.43,15.52,2515200,39.26
2009-09-04,15.34,15.52,15.34,15.52,2276000,39.26
2009-09-03,15.17,15.32,15.04,15.31,3327500,38.73
2009-09-02,15.30,15.30,15.11,15.15,6769000,38.32
2009-09-01,15.44,15.56,15.25,15.29,3293700,38.68
2009-08-31,15.56,15.60,15.40,15.49,2411900,39.18
2009-08-28,15.69,15.69,15.51,15.61,1726700,39.49
2009-08-27,15.60,15.68,15.51,15.62,1591800,39.51
2009-08-26,15.63,15.69,15.46,15.64,1495400,39.56
2009-08-25,15.66,15.74,15.60,15.62,1647800,39.51
2009-08-24,15.65,15.70,15.57,15.70,1546000,39.72
2009-08-21,15.55,15.65,15.48,15.61,2290400,39.49
2009-08-20,15.41,15.50,15.27,15.49,1951700,39.18
2009-08-19,15.20,15.37,15.15,15.34,2386300,38.80
2009-08-18,15.32,15.32,15.16,15.25,4170800,38.58
2009-08-17,15.14,15.33,15.14,15.27,4513600,38.63
2009-08-14,15.34,15.38,15.17,15.38,1936300,38.91
2009-08-13,15.34,15.34,15.13,15.30,3656600,38.70
2009-08-12,15.36,15.39,15.18,15.28,7311300,38.65
2009-08-11,15.61,15.66,15.50,15.60,1973800,38.86
2009-08-10,15.64,15.64,15.40,15.52,2168900,38.66
2009-08-07,15.56,15.73,15.46,15.67,2521300,39.03
2009-08-06,15.36,15.47,15.28,15.45,1647800,38.48
2009-08-05,15.53,15.53,15.21,15.33,2357200,38.18
2009-08-04,15.65,15.65,15.46,15.58,2746400,38.81
2009-08-03,15.57,15.62,15.43,15.57,3258900,38.78
2009-07-31,15.49,15.57,15.37,15.48,1761300,38.56
2009-07-30,15.45,15.63,15.28,15.53,2394800,38.68
2009-07-29,15.25,15.47,15.12,15.35,3423800,38.23
2009-07-28,15.40,15.45,15.15,15.30,1935400,38.11
2009-07-27,15.39,15.45,15.27,15.45,1713400,38.48
2009-07-24,15.06,15.45,15.06,15.39,2348200,38.33
2009-07-23,14.80,15.21,14.80,15.15,2812600,37.73
2009-07-22,14.82,14.97,14.79,14.84,1833800,36.96
2009-07-21,14.93,14.94,14.82,14.89,2042300,37.09
2009-07-20,14.79,14.82,14.62,14.76,2264700,36.76
2009-07-17,14.80,14.80,14.64,14.73,2240200,36.69
2009-07-16,14.70,14.82,14.59,14.77,2036600,36.79
2009-07-15,14.50,14.79,14.50,14.76,2286000,36.76
2009-07-14,14.58,14.62,14.43,14.52,2541600,36.17
2009-07-13,14.38,14.61,14.24,14.57,2838000,36.29
2009-07-10,14.19,14.43,14.10,14.32,4366100,35.67
2009-07-09,14.35,14.37,14.10,14.23,2130100,35.44
2009-07-08,14.40,14.48,14.17,14.29,2884300,35.59
2009-07-07,14.62,14.65,14.30,14.32,3117500,35.67
2009-07-06,14.37,14.66,14.35,14.61,1741300,36.39
2009-07-02,14.71,14.71,14.40,14.40,2128400,35.87
2009-07-01,14.57,14.94,14.54,14.83,2620200,36.94
2009-06-30,14.68,14.71,14.39,14.59,2827300,36.34
2009-06-29,14.47,14.61,14.35,14.58,1804200,36.31
2009-06-26,14.60,14.62,14.34,14.41,2645600,35.89
2009-06-25,14.38,14.70,14.24,14.63,3213000,36.44
