Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,31.43,31.50,30.89,30.89,509400,29.59
2009-12-30,31.40,31.64,31.31,31.41,318000,30.09
2009-12-29,31.42,31.51,31.36,31.50,315400,30.17
2009-12-28,31.40,31.55,31.26,31.34,316800,30.02
2009-12-24,31.29,31.43,31.22,31.39,158800,30.07
2009-12-23,31.34,31.58,31.18,31.26,500900,29.94
2009-12-22,30.93,31.36,30.79,31.36,764600,30.04
2009-12-21,30.67,30.97,30.66,30.85,709600,29.55
2009-12-18,30.27,30.50,30.23,30.45,1004900,29.17
2009-12-17,30.38,30.40,30.14,30.16,553600,28.89
2009-12-16,30.46,30.67,30.36,30.45,592400,29.17
2009-12-15,30.54,30.58,30.36,30.40,509200,29.12
2009-12-14,30.48,30.69,30.38,30.59,495500,29.30
2009-12-11,30.17,30.34,30.15,30.26,666900,28.98
2009-12-10,30.04,30.25,29.95,30.10,839700,28.83
2009-12-09,29.95,30.19,29.74,29.95,807000,28.69
2009-12-08,30.09,30.16,29.80,29.91,526100,28.65
2009-12-07,29.99,30.50,29.97,30.18,1356800,28.91
2009-12-04,29.75,30.11,29.58,29.98,1226200,28.72
2009-12-03,29.43,29.74,29.19,29.50,1214800,28.26
2009-12-02,29.25,29.53,29.18,29.45,764800,28.21
2009-12-01,28.87,29.27,28.81,29.22,976200,27.99
2009-11-30,28.79,28.79,28.46,28.65,1030200,27.44
2009-11-27,28.85,29.10,28.71,28.82,402100,27.61
2009-11-25,29.53,29.60,29.34,29.55,562500,28.30
2009-11-24,29.33,29.54,29.19,29.42,887800,28.18
2009-11-23,29.39,29.50,29.17,29.29,632700,28.06
2009-11-20,28.83,29.00,28.61,28.78,713900,27.57
2009-11-19,28.96,29.01,28.55,28.82,1000700,27.57
2009-11-18,29.26,29.28,29.01,29.09,432300,27.83
2009-11-17,29.39,29.39,29.11,29.28,402000,28.01
2009-11-16,29.22,29.40,29.08,29.37,697900,28.09
2009-11-13,29.06,29.16,28.84,29.11,814300,27.84
2009-11-12,29.16,29.32,28.91,29.00,1226800,27.74
2009-11-11,29.25,29.25,29.00,29.12,950700,27.85
2009-11-10,29.00,29.22,29.00,29.11,1220400,27.84
2009-11-09,28.59,29.15,28.45,29.15,833500,27.88
2009-11-06,28.41,28.58,28.16,28.50,1086900,27.26
2009-11-05,27.73,28.53,27.62,28.53,1157700,27.29
2009-11-04,27.68,28.23,27.57,27.65,1129400,26.45
