Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,61.35,61.40,60.17,60.24,793200,28.05
2009-12-30,60.97,61.86,60.90,61.23,983800,28.51
2009-12-29,61.63,61.95,61.05,61.31,829400,28.55
2009-12-28,60.89,61.51,60.84,61.39,786200,28.58
2009-12-24,61.13,61.38,60.47,60.91,478200,28.36
2009-12-23,60.45,61.43,60.10,61.06,978400,28.43
2009-12-22,59.95,60.50,59.87,60.32,918400,28.09
2009-12-21,59.21,60.25,58.87,59.93,1263400,27.90
2009-12-18,59.88,60.44,58.23,58.72,3813000,27.34
2009-12-17,60.80,60.86,59.52,59.62,1480000,27.76
2009-12-16,60.27,61.75,60.12,61.12,1932800,28.46
2009-12-15,59.16,60.02,58.99,59.79,1947600,27.84
2009-12-14,59.93,59.96,58.98,59.57,1433000,27.74
2009-12-11,59.45,59.89,58.57,59.26,1333400,27.59
2009-12-10,59.90,60.09,59.24,59.38,2528000,27.65
2009-12-09,58.65,59.36,58.38,59.23,2658600,27.37
2009-12-08,58.79,59.27,58.38,58.70,2777800,27.13
2009-12-07,59.72,59.81,58.99,59.47,2334000,27.48
2009-12-04,60.90,61.95,59.00,59.73,2437600,27.60
2009-12-03,61.36,61.36,59.90,60.09,1887000,27.77
2009-12-02,60.65,61.32,60.50,61.12,1672200,28.25
2009-12-01,60.87,61.10,60.06,60.71,1665600,28.06
2009-11-30,59.83,60.20,58.81,60.12,1825000,27.79
2009-11-27,59.93,60.37,58.49,59.49,700800,27.49
2009-11-25,60.58,61.53,60.23,61.17,1171400,28.27
2009-11-24,60.54,60.87,59.34,60.21,3341200,27.83
2009-11-23,59.59,60.02,58.95,59.34,1640200,27.42
2009-11-20,58.22,58.95,57.77,58.76,1740600,27.16
2009-11-19,58.94,58.97,57.77,58.73,2154800,27.14
2009-11-18,59.84,59.90,58.93,59.58,2904600,27.54
2009-11-17,60.27,60.45,59.00,59.68,3770600,27.58
2009-11-16,59.63,59.96,58.96,59.87,2689800,27.67
2009-11-13,58.38,59.10,57.81,58.76,1976400,27.16
2009-11-12,59.55,59.83,58.27,58.62,2467400,27.09
2009-11-11,58.63,59.30,58.25,59.30,2333800,27.41
2009-11-10,58.92,59.13,57.48,58.09,3890400,26.85
2009-11-09,56.62,59.45,55.69,59.32,2406200,27.42
2009-11-06,56.04,57.00,55.47,56.49,1715600,26.11
2009-11-05,55.37,56.52,54.89,56.52,1637000,26.12
2009-11-04,55.94,56.26,54.61,54.84,2727400,25.35
2009-11-03,53.38,55.45,52.86,55.16,2280400,25.49
2009-11-02,53.16,54.40,52.27,53.92,2776200,24.92
2009-10-30,55.06,55.06,52.11,52.51,2833400,24.27
2009-10-29,53.11,55.75,53.04,55.42,1908000,25.61
2009-10-28,55.43,55.70,52.81,52.87,2539800,24.43
2009-10-27,54.85,56.32,54.32,55.63,2144000,25.71
2009-10-26,55.22,56.89,54.00,54.98,2684600,25.41
2009-10-23,57.55,57.89,54.66,55.14,3515000,25.48
2009-10-22,54.91,56.70,54.13,56.19,2320600,25.97
2009-10-21,56.19,56.68,54.84,54.90,1792600,25.37
2009-10-20,56.66,56.66,54.92,56.15,1749400,25.95
2009-10-19,55.73,56.62,55.63,56.38,1178800,26.06
2009-10-16,55.96,56.19,55.45,55.65,1230800,25.72
2009-10-15,55.64,56.53,55.52,56.29,2326200,26.02
2009-10-14,54.53,56.17,54.52,56.15,2256200,25.95
2009-10-13,54.46,54.58,52.94,53.90,1828200,24.91
2009-10-12,54.20,55.06,53.64,54.75,1225600,25.30
2009-10-09,53.15,53.78,52.94,53.61,1330800,24.78
2009-10-08,53.04,53.92,52.67,53.03,1703200,24.51
2009-10-07,52.75,53.06,52.00,52.50,788400,24.26
2009-10-06,53.24,53.91,52.03,52.70,1502200,24.36
2009-10-05,50.44,52.88,50.41,52.57,1821000,24.30
2009-10-02,50.45,51.12,49.85,50.21,2457400,23.21
2009-10-01,53.53,53.53,51.04,51.17,2631600,23.65
2009-09-30,55.07,55.15,53.14,53.54,2422200,24.74
2009-09-29,55.03,55.61,54.59,55.05,1618600,25.44
2009-09-28,53.11,55.08,53.11,54.83,1673200,25.34
2009-09-25,53.44,54.08,52.80,52.99,1341800,24.49
2009-09-24,55.16,55.16,53.02,53.71,1941000,24.82
2009-09-23,55.07,55.77,54.58,55.10,3007000,25.47
2009-09-22,55.12,55.87,54.86,55.05,2304800,25.44
2009-09-21,53.72,54.98,53.31,54.52,1711400,25.20
2009-09-18,55.50,55.63,53.89,54.51,1988400,25.19
2009-09-17,54.87,55.49,54.67,55.15,2888400,25.49
2009-09-16,55.27,55.88,54.79,55.10,2286000,25.47
2009-09-15,53.06,55.06,52.92,54.69,3994200,25.28
2009-09-14,52.34,52.96,51.91,52.93,2307000,24.46
2009-09-11,52.52,53.59,52.36,52.91,2934200,24.45
2009-09-10,51.85,52.44,50.68,52.36,1741600,24.20
2009-09-09,51.16,52.27,50.49,52.14,2364200,23.89
2009-09-08,50.78,51.54,50.16,51.50,1828800,23.60
2009-09-04,50.31,50.68,49.66,50.26,2174400,23.03
2009-09-03,50.27,50.79,49.66,50.30,2154200,23.05
2009-09-02,49.77,50.71,49.59,49.89,3082000,22.86
2009-09-01,51.54,52.50,50.24,50.30,1833400,23.05
2009-08-31,52.69,52.85,51.94,52.16,1492000,23.90
2009-08-28,53.52,53.69,53.16,53.51,1037000,24.52
2009-08-27,54.03,54.13,52.84,53.33,1525600,24.44
2009-08-26,54.15,54.63,53.45,53.75,1419200,24.63
2009-08-25,54.68,54.73,53.71,54.30,1661800,24.88
2009-08-24,55.65,55.65,53.49,53.86,1906400,24.68
2009-08-21,54.57,55.20,54.35,55.02,1776200,25.21
2009-08-20,52.20,54.01,52.10,53.96,1940200,24.73
2009-08-19,50.80,53.11,50.78,52.19,2718600,23.92
2009-08-18,51.45,52.18,51.45,51.98,1734400,23.82
2009-08-17,53.08,53.27,51.15,51.37,2044000,23.54
2009-08-14,54.93,54.93,53.49,54.12,3580600,24.80
2009-08-13,53.59,54.93,53.50,54.78,2908200,25.10
2009-08-12,52.19,53.85,52.03,53.31,1299600,24.43
2009-08-11,51.84,52.58,51.38,52.31,2538800,23.97
2009-08-10,52.50,52.88,52.13,52.50,3412400,24.06
2009-08-07,51.57,53.21,51.10,52.73,2409200,24.16
2009-08-06,51.50,51.86,50.79,51.10,2153800,23.42
2009-08-05,51.34,51.56,50.75,51.37,2056200,23.54
2009-08-04,50.80,51.64,50.15,51.27,3436200,23.50
2009-08-03,49.66,51.36,49.66,51.11,1670600,23.42
2009-07-31,48.43,50.01,48.43,49.66,1502400,22.76
2009-07-30,48.43,49.75,48.30,48.95,1888000,22.43
2009-07-29,47.69,48.40,46.91,47.58,1989600,21.80
2009-07-28,47.30,48.46,46.88,48.36,2253400,22.16
2009-07-27,47.73,48.63,47.60,48.02,2862800,22.01
2009-07-24,47.01,49.88,47.01,48.06,5410000,22.02
2009-07-23,42.19,45.18,42.16,45.18,3496000,20.70
2009-07-22,41.29,42.56,41.10,42.18,1222400,19.33
2009-07-21,42.05,42.84,40.43,41.68,1593200,19.10
2009-07-20,40.48,41.56,40.40,41.54,1407600,19.04
2009-07-17,40.15,40.53,39.72,40.15,1431600,18.40
2009-07-16,38.92,40.51,38.47,40.34,2332000,18.49
2009-07-15,37.54,38.96,37.20,38.92,2016000,17.84
2009-07-14,36.70,37.12,36.36,36.85,1155600,16.89
2009-07-13,35.75,36.78,34.88,36.78,1739000,16.85
2009-07-10,35.50,36.08,34.79,35.68,871400,16.35
2009-07-09,35.46,36.24,35.29,35.80,1444400,16.41
2009-07-08,35.38,35.81,34.67,35.31,1930000,16.18
2009-07-07,35.73,35.96,35.17,35.21,1729800,16.14
2009-07-06,36.14,36.17,34.57,35.97,2337400,16.48
2009-07-02,37.07,37.07,36.33,36.71,1396600,16.82
2009-07-01,38.10,38.76,37.70,37.76,1426400,17.30
2009-06-30,38.76,38.85,37.53,37.90,1653600,17.37
2009-06-29,37.39,38.97,37.20,38.79,2341800,17.78
2009-06-26,37.51,37.83,37.08,37.41,1461800,17.14
2009-06-25,36.38,37.76,36.09,37.60,1667400,17.23
2009-06-24,36.61,37.64,36.27,36.52,1428400,16.74
2009-06-23,36.02,36.87,35.71,36.30,1857600,16.63
2009-06-22,37.72,38.05,36.02,36.05,2086400,16.52
2009-06-19,39.06,39.47,38.14,38.33,2138800,17.57
2009-06-18,38.30,39.24,37.60,38.12,1839200,17.47
2009-06-17,37.91,38.59,37.19,37.96,1594400,17.40
2009-06-16,39.52,39.77,37.89,38.07,1637200,17.45
2009-06-15,40.23,40.23,38.66,39.53,1960200,18.12
2009-06-12,41.31,41.31,40.13,40.65,1485600,18.63
2009-06-11,41.21,42.25,40.68,41.58,2046600,19.05
2009-06-10,42.18,42.27,40.27,41.24,1789800,18.70
2009-06-09,41.98,41.98,41.00,41.86,2769400,18.98
2009-06-08,42.87,42.87,41.11,41.47,2812200,18.80
2009-06-05,45.85,45.85,42.86,43.04,3104400,19.51
2009-06-04,42.66,45.59,42.66,45.03,3772600,20.42
2009-06-03,42.99,42.99,41.42,42.52,3015400,19.28
2009-06-02,43.05,43.67,42.90,43.53,2401400,19.74
2009-06-01,41.85,43.61,41.85,43.24,1998000,19.60
2009-05-29,40.72,41.44,40.10,41.44,3203800,18.79
2009-05-28,40.57,41.11,39.47,40.72,2335600,18.46
2009-05-27,41.49,42.03,40.15,40.30,2145800,18.27
2009-05-26,40.25,41.99,39.57,41.88,1987000,18.99
2009-05-22,40.47,41.41,40.11,40.72,2186000,18.46
2009-05-21,41.16,41.16,39.62,40.30,2085000,18.27
2009-05-20,41.70,43.37,41.40,41.89,3569600,18.99
2009-05-19,40.18,41.80,40.01,41.41,3063800,18.77
2009-05-18,38.44,40.41,38.44,40.22,4175600,18.23
2009-05-15,38.61,39.59,37.56,38.02,4416600,17.24
2009-05-14,38.48,39.49,37.41,39.08,2928600,17.72
2009-05-13,39.38,40.11,38.19,38.39,2909200,17.41
2009-05-12,40.69,40.90,39.02,40.37,2964800,18.30
2009-05-11,42.18,42.18,40.33,40.70,3193000,18.45
2009-05-08,40.97,42.92,40.59,42.82,2196600,19.41
2009-05-07,42.95,42.95,40.17,40.68,3172800,18.44
2009-05-06,41.82,42.42,41.22,42.02,2863600,19.05
2009-05-05,42.10,42.43,40.58,41.39,2762200,18.77
2009-05-04,40.19,42.27,40.19,42.26,2235800,19.16
2009-05-01,39.95,40.18,38.26,39.80,2424000,18.04
2009-04-30,41.77,41.92,39.50,39.68,4846800,17.99
2009-04-29,39.71,41.86,39.66,41.18,2759000,18.67
2009-04-28,37.86,40.19,37.62,39.31,2705600,17.82
2009-04-27,39.65,40.75,37.89,38.66,5242000,17.53
2009-04-24,34.99,40.44,34.84,40.02,9066800,18.14
2009-04-23,32.87,33.56,32.26,33.11,2149600,15.01
2009-04-22,31.83,34.15,31.49,32.85,2004600,14.89
2009-04-21,29.83,32.23,29.59,32.19,1834400,14.59
2009-04-20,31.76,31.76,30.12,30.23,1880400,13.71
2009-04-17,32.53,32.57,31.72,32.35,1741200,14.67
2009-04-16,31.57,32.66,30.91,32.49,1881400,14.73
2009-04-15,30.30,31.44,30.25,31.42,954000,14.24
2009-04-14,30.50,31.46,30.02,30.63,1451000,13.89
2009-04-13,30.78,31.02,29.96,30.79,1939000,13.96
2009-04-09,30.15,31.02,29.83,31.02,1281000,14.06
2009-04-08,28.85,29.16,28.50,29.09,1862600,13.19
2009-04-07,29.22,29.36,28.55,28.85,1834400,13.08
2009-04-06,29.69,30.15,29.02,29.82,1924200,13.52
2009-04-03,29.21,30.07,28.38,30.07,1306600,13.63
2009-04-02,29.05,29.83,28.85,29.25,2401200,13.26
2009-04-01,26.33,28.51,26.14,28.35,2904600,12.85
2009-03-31,26.85,27.46,26.19,26.80,2555600,12.15
2009-03-30,26.63,26.80,25.82,26.34,2414200,11.94
2009-03-27,27.01,27.61,26.71,27.31,2229800,12.38
2009-03-26,26.68,27.60,26.63,27.52,1980400,12.48
2009-03-25,26.28,27.48,25.46,26.40,2409400,11.97
2009-03-24,25.67,26.32,25.53,26.12,2157600,11.84
2009-03-23,24.76,26.12,24.49,26.12,1634000,11.84
2009-03-20,25.04,25.28,23.96,24.16,2222400,10.95
2009-03-19,24.60,25.11,24.31,24.82,2207600,11.25
2009-03-18,23.51,24.48,22.99,24.30,1841000,11.02
2009-03-17,22.45,23.43,22.42,23.43,2709400,10.62
2009-03-16,23.40,23.95,22.70,22.73,3652000,10.31
2009-03-13,23.03,23.51,22.72,23.36,3197800,10.59
2009-03-12,21.02,22.84,20.97,22.83,4149200,10.35
2009-03-11,20.71,21.70,20.63,21.49,3572200,9.54
2009-03-10,19.24,20.74,19.09,20.73,4195200,9.21
2009-03-09,18.55,19.48,18.22,18.83,5081400,8.36
2009-03-06,18.27,18.72,17.76,18.26,4377200,8.11
2009-03-05,18.90,19.14,17.84,18.00,2813400,7.99
2009-03-04,19.10,19.84,19.10,19.43,3784000,8.63
2009-03-03,19.42,19.79,18.80,18.91,3452800,8.40
2009-03-02,20.29,20.66,19.00,19.10,4290200,8.48
2009-02-27,20.90,21.17,20.45,20.54,3443000,9.12
2009-02-26,21.76,22.46,21.21,21.30,2442800,9.46
2009-02-25,22.58,22.71,21.41,21.63,3376000,9.61
2009-02-24,21.56,22.76,21.22,22.67,2790600,10.07
2009-02-23,23.42,23.42,21.38,21.45,2568000,9.53
2009-02-20,22.80,23.64,22.30,22.89,2886800,10.17
2009-02-19,24.02,24.27,23.27,23.48,2309000,10.43
2009-02-18,23.68,24.10,23.31,23.65,2471800,10.50
2009-02-17,24.24,24.24,23.44,23.61,3756600,10.48
2009-02-13,25.03,25.53,24.69,24.79,1931600,11.01
2009-02-12,24.56,24.90,23.88,24.88,2036000,11.05
2009-02-11,24.98,25.44,24.56,24.94,2044400,11.08
2009-02-10,25.97,26.28,24.56,24.81,2872200,11.02
2009-02-09,26.17,26.63,25.81,26.16,2261400,11.62
2009-02-06,25.81,26.56,25.69,26.35,1605200,11.70
2009-02-05,24.90,26.02,24.45,25.72,1973600,11.42
2009-02-04,25.88,25.88,24.84,25.01,2413400,11.11
2009-02-03,25.73,25.99,25.04,25.42,2466000,11.29
2009-02-02,25.56,26.18,24.97,25.31,3146000,11.24
2009-01-30,25.48,26.79,24.76,25.95,6680600,11.52
2009-01-29,28.33,28.49,27.26,27.34,1990000,12.14
2009-01-28,27.67,29.03,27.46,28.74,2274400,12.76
2009-01-27,27.71,27.88,26.70,27.16,2743800,12.06
2009-01-26,28.47,29.11,27.32,27.64,2482200,12.27
2009-01-23,27.66,28.64,27.26,28.31,2906000,12.57
2009-01-22,28.67,29.12,27.89,28.58,2091000,12.69
2009-01-21,28.16,29.32,27.71,29.32,2442400,13.02
2009-01-20,30.18,30.18,27.54,27.59,2803200,12.25
2009-01-16,30.25,30.80,29.48,30.20,2539600,13.41
2009-01-15,29.29,30.22,28.32,29.93,2501200,13.29
2009-01-14,30.44,30.46,29.22,29.47,2174200,13.09
2009-01-13,30.81,31.73,30.71,30.98,2630200,13.76
2009-01-12,31.98,32.18,30.70,31.08,2003600,13.80
2009-01-09,32.89,33.28,31.85,32.22,2107200,14.31
2009-01-08,32.16,33.26,31.69,33.01,2809800,14.66
2009-01-07,33.42,33.57,32.02,32.16,2825400,14.28
2009-01-06,33.38,34.15,32.53,33.68,2691200,14.96
2009-01-05,33.10,33.82,32.23,33.03,2306200,14.67
2009-01-02,31.84,33.07,31.40,33.04,2100400,14.67
2008-12-31,30.49,31.86,30.29,31.71,2220800,14.08
2008-12-30,29.02,30.62,28.73,30.51,2014000,13.55
2008-12-29,29.52,29.52,28.29,29.05,2189200,12.90
2008-12-26,28.60,29.32,28.51,29.25,920000,12.99
2008-12-24,28.26,28.85,28.26,28.56,627000,12.68
2008-12-23,28.64,29.17,27.94,28.06,1352400,12.46
2008-12-22,29.40,29.72,27.90,28.51,1291600,12.66
2008-12-19,30.02,30.55,29.41,29.54,2564400,13.12
2008-12-18,31.63,31.63,29.63,29.88,2196800,13.27
2008-12-17,31.15,31.78,30.77,31.35,2483000,13.92
2008-12-16,30.40,31.37,29.79,31.20,2056200,13.86
2008-12-15,29.78,30.50,28.80,29.41,2069200,13.06
2008-12-12,28.33,29.90,27.36,29.54,2109200,13.12
2008-12-11,30.16,30.19,28.41,28.70,2296800,12.75
2008-12-10,30.15,30.89,29.63,30.43,2924600,13.32
2008-12-09,31.03,32.01,29.78,29.98,2639600,13.12
2008-12-08,29.62,32.06,28.91,31.77,2942200,13.90
2008-12-05,27.50,29.01,26.38,28.82,2621800,12.61
2008-12-04,27.98,29.10,27.13,27.56,2595200,12.06
2008-12-03,26.93,29.57,26.93,28.79,2821400,12.60
2008-12-02,27.49,30.23,27.10,27.99,5402200,12.25
2008-12-01,32.23,32.29,30.17,30.28,2837000,13.25
2008-11-28,33.00,33.00,32.16,32.90,1112800,14.40
