Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,87.78,87.85,86.42,86.42,2470000,43.21
2009-12-30,87.73,88.33,87.35,87.85,1817000,43.92
2009-12-29,88.50,88.89,87.94,87.98,1805600,43.99
2009-12-28,87.20,88.69,86.70,88.43,2822000,44.22
2009-12-24,87.61,87.66,87.00,87.17,866400,43.58
2009-12-23,88.41,88.65,87.02,87.63,1993000,43.81
2009-12-22,87.73,88.61,87.43,88.11,5623600,44.06
2009-12-21,86.63,89.88,86.60,87.20,7203400,43.60
2009-12-18,85.83,85.86,83.93,84.38,6102000,42.19
2009-12-17,83.98,86.52,82.58,85.21,11558400,42.60
2009-12-16,89.00,89.11,83.73,83.95,21974000,41.97
2009-12-15,88.40,89.18,87.71,88.72,4515600,44.36
2009-12-14,87.83,88.71,87.08,88.02,3344000,44.01
2009-12-11,87.88,88.49,86.90,87.07,3234600,43.53
2009-12-10,86.36,87.77,86.15,87.73,4613800,43.87
2009-12-09,86.66,87.61,85.95,86.36,3766600,43.18
2009-12-08,87.01,88.27,86.57,87.12,2736800,43.56
2009-12-07,88.39,88.50,86.34,87.21,2018400,43.60
2009-12-04,87.31,88.82,86.07,87.02,2480400,43.51
2009-12-03,87.68,87.84,86.34,86.42,2668400,43.21
2009-12-02,88.61,89.23,86.96,87.29,4189200,43.65
2009-12-01,87.09,87.57,86.49,87.40,4525800,43.70
2009-11-30,85.74,86.00,84.95,85.80,3349000,42.90
2009-11-27,85.01,86.54,84.62,85.74,1733200,42.87
2009-11-25,87.98,88.31,86.75,86.99,3069600,43.49
2009-11-24,87.79,88.58,86.70,88.19,4138800,44.10
2009-11-23,85.75,87.95,85.39,87.95,4592200,43.97
2009-11-20,83.39,85.43,83.30,85.09,4366200,42.54
2009-11-19,85.47,85.89,83.14,84.04,5605400,42.02
2009-11-18,85.70,86.32,85.42,86.13,2940400,43.06
2009-11-17,86.11,86.46,85.44,86.09,3650200,43.04
2009-11-16,85.19,86.69,85.07,86.16,3188000,43.08
2009-11-13,84.90,85.84,84.16,84.95,5532600,42.47
2009-11-12,85.98,86.03,84.48,84.55,4282000,42.28
2009-11-11,86.57,86.88,85.10,85.90,2994000,42.95
2009-11-10,86.10,86.81,85.83,86.45,3327000,43.22
2009-11-09,85.50,86.31,84.73,86.31,3945600,43.15
2009-11-06,83.95,85.30,83.03,85.30,5297000,42.65
2009-11-05,83.00,84.35,82.00,83.81,11154600,41.90
2009-11-04,83.78,85.51,83.36,84.24,5925200,42.12
2009-11-03,83.07,84.12,82.92,83.94,5317000,41.97
2009-11-02,80.56,83.17,79.74,82.95,6968200,41.47
2009-10-30,80.91,81.57,79.50,79.92,5313600,39.96
2009-10-29,76.45,81.61,76.31,81.31,8032200,40.65
2009-10-28,80.05,80.05,76.94,77.20,5087800,38.60
2009-10-27,78.97,80.38,78.20,79.78,4877400,39.89
2009-10-26,80.65,81.08,78.59,78.88,4636000,39.44
2009-10-23,80.98,81.92,80.33,80.70,2604000,40.35
2009-10-22,80.41,82.24,80.21,81.48,4296000,40.74
2009-10-21,81.28,82.21,80.37,80.62,3756800,40.31
2009-10-20,81.66,82.00,80.30,81.32,4235600,40.66
2009-10-19,81.69,82.45,81.39,82.28,3875200,41.14
2009-10-16,81.57,81.85,80.25,81.35,4285200,40.67
2009-10-15,82.49,82.89,81.30,81.67,5345800,40.83
2009-10-14,81.45,83.26,81.00,82.94,3879400,41.47
2009-10-13,80.08,81.70,80.05,81.04,3780600,40.52
2009-10-12,79.65,81.08,79.48,80.92,3154000,40.46
2009-10-09,78.43,79.82,78.00,79.44,3590800,39.72
2009-10-08,78.57,79.08,78.08,78.20,3225600,39.10
2009-10-07,77.42,79.27,77.35,78.31,3106800,39.15
2009-10-06,77.10,78.41,76.23,78.04,3826200,39.02
2009-10-05,76.33,77.41,75.46,76.87,3872800,38.44
2009-10-02,75.66,76.16,75.00,75.92,4176000,37.96
2009-10-01,77.48,77.83,76.01,76.11,4335400,38.06
2009-09-30,78.00,78.25,75.99,77.58,4731800,38.79
2009-09-29,78.08,78.66,77.04,77.92,2612200,38.96
2009-09-28,77.44,79.08,77.01,77.90,2962400,38.95
2009-09-25,77.82,78.17,75.75,77.03,5747000,38.51
2009-09-24,79.17,79.17,76.78,77.97,3565000,38.99
2009-09-23,79.73,79.73,77.95,78.03,2455000,39.01
2009-09-22,79.28,79.82,78.70,79.29,2989000,39.65
2009-09-21,78.81,79.79,78.57,79.26,2767800,39.63
2009-09-18,79.61,79.61,78.42,78.93,4959000,39.47
2009-09-17,78.50,79.63,77.52,79.27,5627000,39.63
2009-09-16,77.12,77.99,76.04,77.97,3743800,38.99
2009-09-15,78.84,78.98,76.81,77.12,6024800,38.56
2009-09-14,78.12,79.26,77.75,79.03,3845200,39.51
2009-09-11,77.27,78.77,76.25,78.44,6007000,39.22
2009-09-10,74.70,77.23,73.89,77.13,5899000,38.56
2009-09-09,73.70,74.80,73.70,74.75,3907400,37.38
2009-09-08,74.18,74.65,73.00,73.94,3817800,36.97
2009-09-04,72.49,74.70,72.29,74.16,4436800,37.08
2009-09-03,72.52,72.97,72.12,72.70,4247400,36.35
2009-09-02,72.68,73.14,71.10,72.79,4760600,36.40
2009-09-01,71.76,73.49,71.28,71.71,4679800,35.85
2009-08-31,72.00,72.78,71.42,72.22,7068400,36.11
2009-08-28,73.12,73.29,71.42,72.60,4865600,36.30
2009-08-27,72.26,73.15,71.87,72.73,3228200,36.37
