Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,23.67,23.70,23.44,23.44,963500,22.54
2009-12-30,23.62,23.76,23.49,23.61,1819200,22.71
2009-12-29,23.75,23.94,23.63,23.63,803900,22.72
2009-12-28,23.93,23.96,23.69,23.72,1566800,22.81
2009-12-24,23.79,24.00,23.75,23.98,471500,23.06
2009-12-23,23.55,23.79,23.52,23.75,1160800,22.84
2009-12-22,23.35,23.65,23.32,23.59,1401500,22.69
2009-12-21,23.49,23.70,23.25,23.30,2301300,22.41
2009-12-18,23.47,24.05,23.31,23.53,2789600,22.63
2009-12-17,23.42,23.48,23.16,23.17,1801000,22.28
2009-12-16,23.83,23.90,23.38,23.52,2944300,22.62
2009-12-15,23.76,23.88,23.66,23.76,3198700,22.85
2009-12-14,23.77,23.96,23.70,23.96,2296500,23.04
2009-12-11,23.72,23.77,23.57,23.73,2098800,22.77
2009-12-10,23.45,23.74,23.37,23.67,2548900,22.72
2009-12-09,23.03,23.40,22.87,23.32,3069000,22.38
2009-12-08,23.37,23.42,23.05,23.17,3486600,22.24
2009-12-07,23.31,23.73,23.11,23.48,4679000,22.53
2009-12-04,23.38,23.60,23.03,23.46,2504200,22.51
2009-12-03,23.34,23.50,23.01,23.17,2216800,22.24
2009-12-02,23.23,23.59,23.20,23.32,2256400,22.38
2009-12-01,22.73,23.48,22.69,23.42,3221400,22.48
2009-11-30,22.46,22.65,22.34,22.60,2539100,21.69
2009-11-27,22.53,22.71,22.40,22.53,1483400,21.62
2009-11-25,23.00,23.20,22.90,22.98,4612100,22.05
2009-11-24,23.04,23.04,22.69,22.77,2131700,21.85
2009-11-23,23.06,23.07,22.74,22.97,2740800,22.04
2009-11-20,22.89,23.00,22.64,22.73,2917900,21.81
2009-11-19,23.27,23.50,22.91,23.11,3582700,22.18
2009-11-18,23.39,23.90,22.99,23.47,4619300,22.52
2009-11-17,22.65,22.81,22.35,22.58,2846700,21.67
2009-11-16,22.58,22.77,22.51,22.63,3818000,21.72
2009-11-13,22.59,22.80,22.38,22.59,2026200,21.68
2009-11-12,22.90,23.00,22.61,22.66,2338900,21.75
2009-11-11,23.03,23.07,22.70,22.94,2114200,22.01
2009-11-10,22.82,22.94,22.65,22.90,2548400,21.98
2009-11-09,22.50,22.95,22.39,22.94,2649100,22.01
2009-11-06,22.53,22.66,22.14,22.46,2978200,21.55
2009-11-05,22.12,22.55,21.95,22.55,2778800,21.64
