Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,56.62,56.96,55.76,55.76,405400,27.26
2009-12-30,56.15,56.76,56.03,56.43,449400,27.59
2009-12-29,56.79,56.90,56.43,56.60,724000,27.67
2009-12-28,57.10,57.21,56.31,56.59,615600,27.61
2009-12-24,56.90,57.10,56.58,56.93,180600,27.77
2009-12-23,56.87,56.92,56.20,56.78,677400,27.70
2009-12-22,56.28,56.98,56.28,56.58,626200,27.60
2009-12-21,55.97,56.67,55.97,56.27,773200,27.45
2009-12-18,56.26,56.46,55.42,55.85,2008000,27.25
2009-12-17,55.97,56.12,55.29,55.85,952600,27.25
2009-12-16,56.29,57.07,56.03,56.38,810600,27.51
2009-12-15,56.23,57.01,56.00,56.02,897600,27.33
2009-12-14,56.88,56.96,56.09,56.76,587800,27.69
2009-12-11,55.97,56.24,55.52,56.16,756000,27.40
2009-12-10,56.44,56.57,55.53,55.84,711400,27.24
2009-12-09,55.77,55.99,55.11,55.77,1128400,27.21
2009-12-08,56.19,56.32,55.59,55.69,1242800,27.17
2009-12-07,56.22,56.91,56.22,56.68,815200,27.65
2009-12-04,57.06,57.59,55.53,56.43,1201200,27.53
2009-12-03,56.94,57.55,55.79,55.97,1411600,27.31
2009-12-02,56.57,57.75,56.56,57.06,1191200,27.84
2009-12-01,56.46,57.03,56.31,56.68,1202200,27.65
2009-11-30,55.30,56.08,55.00,55.99,1387400,27.32
2009-11-27,55.03,56.20,54.76,55.32,482600,26.99
2009-11-25,56.69,57.05,56.21,56.70,1113200,27.66
2009-11-24,56.56,57.13,55.98,56.63,782200,27.63
2009-11-23,57.14,57.70,56.49,56.78,804600,27.70
2009-11-20,55.88,56.44,55.75,56.33,845600,27.48
2009-11-19,56.52,56.69,55.73,56.49,1690800,27.56
2009-11-18,57.38,57.47,56.66,56.99,1555200,27.80
2009-11-17,56.82,57.35,56.47,57.31,1738600,27.96
2009-11-16,55.56,57.06,55.56,56.95,2152800,27.78
2009-11-13,54.45,55.24,54.08,54.99,1051400,26.83
2009-11-12,54.44,54.98,53.76,54.25,1663800,26.47
2009-11-11,55.43,55.50,54.13,54.53,1439400,26.60
2009-11-10,54.16,54.89,53.88,54.75,1812600,26.71
2009-11-09,52.79,54.51,52.68,54.51,1306200,26.59
2009-11-06,51.94,53.47,51.46,52.15,1970000,25.44
2009-11-05,52.12,52.62,51.68,52.48,1180600,25.60
2009-11-04,52.80,52.80,51.28,51.51,1495400,25.13
2009-11-03,50.24,52.20,50.00,52.06,2594400,25.40
2009-11-02,51.71,52.43,49.53,50.88,2965600,24.82
2009-10-30,52.52,53.17,50.48,51.10,2796600,24.93
2009-10-29,50.19,53.13,50.19,52.80,2689600,25.76
2009-10-28,53.70,53.82,50.87,50.97,2307800,24.87
2009-10-27,54.36,54.90,53.41,53.67,1563600,26.18
2009-10-26,55.06,56.39,53.50,54.30,1395800,26.49
2009-10-23,56.75,57.14,54.69,54.88,1377600,26.77
2009-10-22,54.71,56.26,53.91,56.20,1023600,27.42
2009-10-21,55.18,56.19,54.88,54.95,1540200,26.81
2009-10-20,56.67,56.70,55.02,55.36,1403000,27.01
2009-10-19,55.59,57.27,55.59,56.83,820200,27.73
2009-10-16,56.04,56.04,55.15,55.60,1106000,27.13
2009-10-15,55.92,56.49,55.81,56.26,821000,27.45
2009-10-14,56.17,56.30,55.13,56.19,1552400,27.41
2009-10-13,56.00,56.00,54.96,55.14,1334400,26.90
2009-10-12,55.68,56.20,55.29,56.10,1057000,27.37
2009-10-09,55.04,55.27,54.58,54.99,1175200,26.83
2009-10-08,54.83,55.22,54.03,54.82,1775200,26.74
2009-10-07,54.71,55.40,53.41,54.14,1398600,26.41
2009-10-06,55.05,55.45,54.10,54.71,2042000,26.69
2009-10-05,53.00,54.54,52.86,54.23,1619200,26.46
2009-10-02,51.10,53.17,50.87,52.70,2552600,25.71
2009-10-01,55.72,55.72,51.71,51.75,5522000,25.25
2009-09-30,56.68,56.97,55.66,56.25,1241800,27.44
2009-09-29,56.36,57.18,55.83,56.65,1330200,27.64
2009-09-28,55.86,56.90,55.58,56.32,818000,27.48
2009-09-25,55.56,56.66,55.05,55.43,1107000,26.98
2009-09-24,56.50,56.92,55.13,55.93,1592600,27.22
2009-09-23,57.16,57.68,56.45,56.46,1115200,27.48
2009-09-22,58.06,58.06,57.00,57.12,1235800,27.80
2009-09-21,57.24,57.55,56.75,57.32,1741000,27.90
2009-09-18,57.21,58.13,56.44,57.99,2062800,28.23
2009-09-17,57.51,57.84,56.57,56.98,1506400,27.74
2009-09-16,57.35,57.71,56.70,57.64,1404200,28.06
2009-09-15,54.95,57.52,54.94,57.32,2507200,27.90
2009-09-14,53.13,55.13,52.77,54.98,2338800,26.76
2009-09-11,53.62,54.42,52.83,53.86,2031200,26.22
2009-09-10,52.17,53.47,51.61,53.46,2609800,26.02
2009-09-09,50.96,52.18,50.42,52.08,3848800,25.35
2009-09-08,50.08,52.28,49.68,51.08,2613800,24.86
2009-09-04,48.64,49.18,48.03,49.17,1482000,23.93
2009-09-03,48.18,48.71,47.75,48.68,1673200,23.70
2009-09-02,46.93,48.11,46.25,47.80,2321800,23.27
2009-09-01,47.15,48.36,46.64,47.15,2248800,22.95
2009-08-31,48.57,48.85,47.50,47.70,1758400,23.22
2009-08-28,50.13,50.13,48.80,49.40,1176400,24.05
2009-08-27,48.80,49.73,47.90,49.35,1806000,24.02
2009-08-26,49.40,49.85,48.52,48.74,1404600,23.73
2009-08-25,49.71,50.93,49.26,49.62,1557000,24.15
2009-08-24,50.16,51.49,49.65,49.82,1389000,24.25
2009-08-21,49.31,50.20,49.31,50.16,2287400,24.42
2009-08-20,49.14,49.32,48.70,49.01,2642400,23.86
