Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,68.89,68.97,68.10,68.17,1215100,62.41
2009-12-30,68.53,68.93,68.31,68.70,827100,62.89
2009-12-29,68.88,69.11,68.52,68.55,919200,62.75
2009-12-28,68.51,68.94,68.27,68.57,715700,62.77
2009-12-24,68.15,68.47,68.03,68.34,446900,62.56
2009-12-23,68.40,68.65,67.76,68.20,1143500,62.43
2009-12-22,68.59,68.95,68.03,68.20,1328800,62.43
2009-12-21,68.51,69.07,68.39,68.59,1106800,62.79
2009-12-18,68.78,68.93,67.75,68.24,2328100,62.47
2009-12-17,69.05,69.32,68.40,68.51,1242100,62.72
2009-12-16,69.82,70.04,68.85,69.45,2095100,63.58
2009-12-15,70.40,70.58,69.48,69.67,2158600,63.78
2009-12-14,69.32,70.84,69.21,70.66,2569600,64.69
2009-12-11,68.05,69.17,68.01,69.01,1508400,63.18
2009-12-10,68.02,68.68,67.86,68.01,1070500,62.26
2009-12-09,67.96,67.96,66.94,67.90,1860300,62.16
2009-12-08,67.61,68.15,66.83,67.82,1959400,62.09
2009-12-07,67.55,68.21,67.49,67.88,1107600,62.14
2009-12-04,67.16,68.43,66.76,67.54,1717500,61.83
2009-12-03,67.36,67.73,66.68,66.78,1399700,61.13
2009-12-02,67.29,67.73,66.84,67.09,1893200,61.42
2009-12-01,66.49,67.46,66.23,67.14,1850300,61.46
2009-11-30,67.25,67.25,65.46,65.90,2847000,60.33
2009-11-27,66.95,67.54,66.19,67.08,1064700,61.41
2009-11-25,67.45,68.30,66.88,68.13,1584600,62.37
2009-11-24,67.42,67.52,66.75,67.32,1314700,61.63
2009-11-23,66.87,67.70,66.77,67.52,1171300,61.81
2009-11-20,66.23,66.70,65.96,66.47,1860200,60.85
2009-11-19,67.15,67.15,65.84,66.38,1667700,60.77
2009-11-18,67.92,68.06,67.10,67.34,1481300,61.65
2009-11-17,68.26,68.26,67.59,67.94,1040200,62.20
2009-11-16,67.86,68.74,67.64,68.21,2088200,62.44
2009-11-13,66.77,68.00,66.58,67.68,1257200,61.96
2009-11-12,66.83,67.72,66.54,66.72,1202500,61.08
2009-11-11,66.90,67.52,66.80,66.97,1637300,61.31
2009-11-10,67.04,67.59,66.38,66.56,1868700,60.93
2009-11-09,65.90,67.41,65.82,67.31,1702300,61.62
2009-11-06,65.25,65.82,64.77,65.58,1677800,60.04
2009-11-05,64.06,65.92,64.06,65.39,2114000,59.86
2009-11-04,64.13,65.15,63.36,63.85,3386000,58.45
2009-11-03,62.98,63.17,62.19,62.55,2254000,57.26
2009-11-02,62.71,63.75,62.52,63.02,1870400,57.69
2009-10-30,63.43,64.17,62.60,62.70,3082200,57.40
2009-10-29,64.56,64.86,62.78,63.65,3213500,58.27
2009-10-28,64.98,65.93,64.22,64.30,3720600,58.86
2009-10-27,66.05,67.08,65.69,65.78,2714000,60.22
2009-10-26,66.66,67.72,65.82,65.96,2450600,60.38
2009-10-23,67.99,67.99,66.21,66.60,1698600,60.97
2009-10-22,66.75,67.82,66.65,67.75,1852900,62.02
2009-10-21,67.68,68.40,66.62,66.70,1712700,61.06
2009-10-20,68.32,68.37,67.04,67.63,2589200,61.91
2009-10-19,67.90,68.84,67.67,68.70,2084000,62.89
2009-10-16,67.02,67.90,66.53,67.75,2483800,62.02
2009-10-15,66.76,67.44,66.54,67.32,1876600,61.63
2009-10-14,66.29,67.04,65.67,66.85,1711600,61.20
2009-10-13,65.37,65.90,65.11,65.59,1487900,60.04
2009-10-12,66.27,66.47,65.26,65.61,1077700,60.06
2009-10-09,65.25,66.16,65.01,66.16,1397900,60.57
2009-10-08,65.98,66.08,65.00,65.28,2545700,59.76
2009-10-07,65.63,65.86,64.85,65.51,2513400,59.97
2009-10-06,65.12,66.05,65.00,65.92,2658700,60.00
2009-10-05,64.62,65.00,63.76,64.77,3003200,58.95
2009-10-02,62.78,63.30,62.63,63.08,2935400,57.41
2009-10-01,64.40,64.74,63.10,63.15,4136900,57.48
2009-09-30,65.32,65.32,63.46,64.60,3301400,58.80
2009-09-29,64.57,65.16,64.16,64.47,2097000,58.68
2009-09-28,64.11,64.83,63.64,64.54,2310100,58.74
2009-09-25,62.04,63.11,61.81,62.99,3269800,57.33
2009-09-24,63.41,63.41,61.93,62.28,2045200,56.69
2009-09-23,64.10,64.11,63.10,63.23,1951000,57.55
2009-09-22,63.87,64.24,63.49,63.86,2462100,58.12
2009-09-21,64.11,64.53,63.46,63.64,1936600,57.92
2009-09-18,64.58,64.85,63.88,64.61,2145200,58.81
2009-09-17,63.03,64.86,62.84,64.43,3226900,58.64
2009-09-16,63.25,63.31,62.19,63.29,2109200,57.60
2009-09-15,63.20,63.26,62.75,63.13,1536500,57.46
2009-09-14,63.20,63.20,62.43,63.10,2028200,57.43
2009-09-11,62.79,63.43,62.40,63.34,2066100,57.65
2009-09-10,62.30,62.73,61.42,62.53,2223700,56.91
2009-09-09,63.07,63.52,61.68,62.19,3066200,56.60
2009-09-08,61.02,63.22,60.85,62.91,5484500,57.26
2009-09-04,58.83,60.71,58.83,60.48,2680500,55.05
2009-09-03,58.40,58.83,57.36,58.80,2027600,53.52
2009-09-02,58.48,58.81,57.71,58.13,1838900,52.91
2009-09-01,59.15,59.73,58.11,58.60,1918700,53.34
2009-08-31,59.52,59.56,58.68,59.19,2078000,53.87
2009-08-28,60.17,60.17,59.34,59.77,2294100,54.40
2009-08-27,59.07,60.00,58.76,59.95,2480900,54.56
2009-08-26,58.74,58.86,57.87,58.73,2235400,53.45
2009-08-25,59.01,59.72,58.63,58.71,1903900,53.44
2009-08-24,58.78,58.98,58.33,58.74,1781400,53.46
2009-08-21,56.13,58.68,56.10,58.49,4204100,53.24
2009-08-20,55.68,56.05,55.39,55.81,2220100,50.80
2009-08-19,55.13,55.85,55.03,55.59,2130600,50.60
2009-08-18,55.09,55.75,54.87,55.38,1843900,50.41
2009-08-17,55.56,55.92,54.74,55.03,1709300,50.09
2009-08-14,56.98,57.22,55.83,56.24,1452200,51.19
2009-08-13,57.36,57.36,56.42,57.08,1879500,51.95
2009-08-12,56.05,57.69,55.84,57.13,2114700,52.00
2009-08-11,56.73,56.82,55.72,56.21,1350600,51.16
2009-08-10,57.22,57.49,56.45,56.81,1119700,51.71
2009-08-07,56.73,57.85,56.30,57.54,1811500,52.37
2009-08-06,56.33,56.67,55.67,56.44,1894000,51.37
2009-08-05,56.74,56.92,55.47,56.26,1924100,51.21
2009-08-04,55.92,56.61,55.63,56.50,1782400,51.42
2009-08-03,55.80,56.19,54.74,56.00,2207200,50.97
2009-07-31,55.21,55.94,54.77,55.39,2523700,50.41
2009-07-30,55.18,55.86,54.70,55.13,3081900,50.18
2009-07-29,53.54,54.90,53.00,54.55,3762300,49.65
2009-07-28,51.64,53.85,51.64,53.74,4056200,48.91
2009-07-27,51.90,52.49,49.85,51.89,7045600,47.23
2009-07-24,53.56,53.66,52.28,52.49,2811000,47.77
