Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,22.08,22.18,21.94,21.94,2141800,21.14
2009-12-30,22.15,22.19,22.04,22.17,1584000,21.36
2009-12-29,22.33,22.33,22.09,22.17,2408800,21.36
2009-12-28,22.18,22.45,22.14,22.24,3155600,21.43
2009-12-24,22.00,22.12,21.97,22.01,761400,21.21
2009-12-23,22.14,22.27,21.93,22.01,3747700,21.21
2009-12-22,22.62,22.65,22.15,22.22,3143500,21.41
2009-12-21,22.48,22.73,22.43,22.62,2348600,21.80
2009-12-18,22.65,22.75,22.28,22.48,4443900,21.66
2009-12-17,22.39,22.66,22.12,22.65,4006800,21.83
2009-12-16,22.39,22.53,22.23,22.44,3432100,21.62
2009-12-15,22.14,22.33,21.92,22.31,3990500,21.50
2009-12-14,21.96,22.39,21.72,22.28,4518000,21.47
2009-12-11,22.36,22.50,21.45,21.72,10889300,20.93
2009-12-10,20.92,21.21,20.87,21.18,5291600,20.41
2009-12-09,21.34,21.34,20.69,20.82,6388100,20.06
2009-12-08,21.15,21.49,20.88,21.35,6154600,20.57
2009-12-07,21.22,22.00,21.11,21.93,7289100,21.13
2009-12-04,21.61,21.75,20.98,21.33,7072900,20.55
2009-12-03,22.16,22.30,21.35,21.35,8033500,20.57
2009-12-02,23.09,23.36,21.36,21.87,20714400,21.07
2009-12-01,24.64,24.81,23.72,23.84,6027500,22.97
2009-11-30,25.31,25.35,23.75,24.41,8062600,23.52
2009-11-27,24.94,25.46,24.74,25.32,1753400,24.40
2009-11-25,25.36,25.72,25.10,25.60,3092100,24.67
2009-11-24,25.74,25.90,25.17,25.28,3924800,24.36
2009-11-23,25.80,26.05,25.47,25.66,4716600,24.73
2009-11-20,24.41,25.65,24.41,25.49,6048300,24.56
2009-11-19,24.50,24.65,24.00,24.50,7013000,23.61
2009-11-18,24.15,24.20,23.80,24.09,4089100,23.21
2009-11-17,24.32,24.35,23.49,23.97,3430700,23.10
2009-11-16,23.78,24.67,23.77,24.40,4431800,23.51
2009-11-13,24.65,24.91,23.44,23.69,7613900,22.83
2009-11-12,24.16,24.82,24.15,24.62,4435200,23.72
2009-11-11,25.13,25.13,24.00,24.43,6223500,23.54
2009-11-10,26.03,26.03,24.92,25.18,4322900,24.26
2009-11-09,24.99,25.60,24.85,25.50,3154700,24.57
2009-11-06,24.04,24.66,23.90,24.63,2359400,23.73
2009-11-05,23.91,24.50,23.73,24.19,3011800,23.31
2009-11-04,24.27,24.35,23.69,23.74,3414500,22.88
2009-11-03,24.06,24.34,23.64,23.98,2974500,23.11
2009-11-02,24.45,24.64,23.81,24.19,4067200,23.31
2009-10-30,24.45,24.51,24.01,24.29,6547000,23.41
2009-10-29,24.42,24.75,24.22,24.55,3514700,23.66
2009-10-28,24.70,24.76,24.18,24.23,4963100,23.35
2009-10-27,24.14,24.68,23.97,24.60,7005400,23.70
2009-10-26,24.91,25.23,23.91,24.08,6226900,23.20
2009-10-23,25.74,25.74,24.56,24.77,4832900,23.87
2009-10-22,25.40,25.76,24.89,25.24,5534100,24.32
2009-10-21,25.66,26.15,25.29,25.34,7492300,24.42
2009-10-20,27.16,27.17,25.47,25.65,12545000,24.72
2009-10-19,27.90,28.30,27.78,28.16,2446400,27.13
2009-10-16,27.67,28.06,27.33,27.73,3812700,26.72
2009-10-15,28.06,28.62,27.73,27.84,5943700,26.83
2009-10-14,27.59,28.25,27.59,28.16,4993800,27.13
2009-10-13,26.83,27.53,26.62,27.34,4347100,26.34
2009-10-12,27.07,27.44,26.66,26.86,2553500,25.88
2009-10-09,27.36,27.36,26.77,26.96,3861300,25.98
2009-10-08,27.05,27.65,26.68,27.37,7316000,26.37
2009-10-07,26.34,26.63,26.10,26.24,4008200,25.28
2009-10-06,26.29,26.80,25.51,26.62,2548500,25.65
2009-10-05,25.63,26.10,25.41,26.03,3179400,25.08
2009-10-02,25.74,26.20,25.61,25.68,3229000,24.75
2009-10-01,26.54,26.81,25.93,26.02,4509000,25.07
2009-09-30,26.91,27.03,26.17,26.47,4260500,25.51
2009-09-29,26.32,27.06,26.30,26.79,2913800,25.81
2009-09-28,26.11,26.48,25.86,26.21,2625800,25.26
2009-09-25,26.07,26.39,25.77,26.04,2664300,25.09
2009-09-24,26.80,26.96,26.07,26.23,3356400,25.28
2009-09-23,26.25,27.22,26.01,26.66,4607400,25.69
2009-09-22,26.48,26.62,25.99,26.24,2431200,25.28
2009-09-21,26.78,27.07,26.14,26.28,4394700,25.32
2009-09-18,25.91,27.32,25.68,26.79,9032900,25.81
2009-09-17,25.82,25.99,25.57,25.80,3697100,24.86
2009-09-16,25.40,25.98,25.00,25.82,4473000,24.88
2009-09-15,25.66,25.84,25.27,25.34,3533700,24.42
2009-09-14,24.51,25.90,24.25,25.59,6831000,24.66
2009-09-11,25.08,25.08,24.54,24.70,3144900,23.80
2009-09-10,25.14,25.19,24.41,25.02,3614300,24.11
2009-09-09,25.12,25.40,24.80,25.05,3747600,24.14
2009-09-08,24.45,25.03,24.27,24.93,4745000,24.02
2009-09-04,23.92,24.14,23.44,24.06,3066700,23.18
2009-09-03,23.37,24.00,23.13,23.95,2984000,23.08
2009-09-02,23.29,23.72,22.94,23.46,4368100,22.61
2009-09-01,23.65,24.18,23.28,23.32,4434000,22.47
2009-08-31,24.31,24.44,23.67,23.80,7614900,22.93
2009-08-28,23.23,23.57,23.02,23.47,5285500,22.62
2009-08-27,22.50,23.27,22.30,23.02,5207600,22.18
2009-08-26,22.44,22.94,22.06,22.56,5090700,21.74
2009-08-25,22.67,22.84,22.32,22.43,6832700,21.61
2009-08-24,23.21,23.25,22.30,22.56,7374600,21.74
2009-08-21,23.61,23.83,23.02,23.13,7403400,22.29
2009-08-20,23.24,24.10,23.01,23.41,16863200,22.56
2009-08-19,24.23,25.41,24.15,25.18,6583000,24.26
2009-08-18,25.21,25.28,24.10,24.54,7453500,23.65
2009-08-17,25.26,25.84,25.03,25.09,4779400,24.18
2009-08-14,25.82,26.66,25.76,26.44,7821700,25.48
2009-08-13,25.81,26.46,25.26,26.33,6508100,25.37
2009-08-12,24.61,25.93,24.53,25.64,5802500,24.71
2009-08-11,24.15,24.86,24.05,24.70,3946600,23.80
2009-08-10,25.32,25.51,23.88,24.16,4521000,23.28
2009-08-07,24.64,25.36,24.35,25.16,3690200,24.24
2009-08-06,24.49,24.84,24.12,24.52,4024500,23.63
2009-08-05,24.43,24.85,23.98,24.15,5287000,23.27
2009-08-04,23.40,24.59,23.10,24.42,8546000,23.53
2009-08-03,22.04,22.98,22.04,22.86,4462900,22.03
2009-07-31,21.49,22.34,21.49,21.89,4884900,21.09
2009-07-30,22.09,22.64,21.46,21.48,6069600,20.70
2009-07-29,22.66,22.89,21.85,21.87,6812100,21.07
2009-07-28,23.32,23.51,22.70,22.80,5765700,21.97
2009-07-27,24.04,24.11,23.15,23.53,5575300,22.67
2009-07-24,23.46,24.25,23.33,24.15,5357400,23.27
2009-07-23,23.63,24.20,23.14,23.90,5960600,23.03
2009-07-22,22.81,23.79,22.72,23.62,5026300,22.76
2009-07-21,22.43,22.96,22.01,22.92,4881400,22.09
2009-07-20,22.06,22.52,22.01,22.34,3299300,21.53
2009-07-17,21.83,22.17,21.43,21.96,4309100,21.16
2009-07-16,21.42,22.23,21.10,22.15,4422800,21.34
2009-07-15,21.86,21.96,21.35,21.64,3678600,20.85
2009-07-14,21.02,21.67,20.63,21.63,4005200,20.84
2009-07-13,20.48,21.04,20.02,21.03,3177400,20.26
2009-07-10,20.51,20.82,20.25,20.44,2927900,19.70
2009-07-09,21.02,21.20,20.31,20.69,3408100,19.94
2009-07-08,20.46,21.01,20.22,20.94,3948600,20.18
2009-07-07,21.05,21.13,20.39,20.46,3020600,19.72
2009-07-06,20.71,21.31,20.67,21.04,3336400,20.27
2009-07-02,22.21,22.21,20.88,21.07,5872000,20.30
2009-07-01,22.26,22.56,22.10,22.46,3554200,21.64
2009-06-30,22.23,22.64,21.81,22.01,3726200,21.21
2009-06-29,22.22,22.71,21.74,22.17,3254200,21.36
