Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,624.75,625.40,619.98,619.98,1219800,619.98
2009-12-30,618.50,622.73,618.01,622.73,1465600,622.73
2009-12-29,624.74,624.84,618.29,619.40,1424800,619.40
2009-12-28,621.66,625.99,618.48,622.87,1697900,622.87
2009-12-24,612.93,619.52,612.27,618.48,858700,618.48
2009-12-23,603.50,612.87,602.85,611.68,2072700,611.68
2009-12-22,601.34,601.50,598.85,601.12,1880800,601.12
2009-12-21,597.61,599.84,595.67,598.68,2571200,598.68
2009-12-18,596.03,598.93,595.00,596.42,3531500,596.42
2009-12-17,596.44,597.64,593.76,593.94,2638800,593.94
2009-12-16,598.60,600.37,596.64,597.76,2809400,597.76
2009-12-15,593.30,596.38,590.99,593.14,2280400,593.14
2009-12-14,595.35,597.31,592.61,595.73,1913400,595.73
2009-12-11,594.68,594.75,587.73,590.51,1720000,590.51
2009-12-10,590.44,594.71,590.41,591.50,1668300,591.50
2009-12-09,587.50,589.33,583.58,589.02,1781000,589.02
2009-12-08,583.50,590.66,582.00,587.05,1524000,587.05
2009-12-07,584.21,588.69,581.00,586.25,1636200,586.25
2009-12-04,593.02,594.83,579.18,585.01,2513600,585.01
2009-12-03,589.04,591.45,585.00,585.74,1428700,585.74
2009-12-02,591.00,593.01,586.22,587.51,1663200,587.51
2009-12-01,588.13,591.22,583.00,589.87,2320300,589.87
2009-11-30,580.63,583.67,577.11,583.00,1725100,583.00
2009-11-27,572.00,582.46,570.97,579.76,1384600,579.76
2009-11-25,586.41,587.06,582.69,585.74,1461200,585.74
2009-11-24,582.52,584.29,576.54,583.09,1605200,583.09
2009-11-23,576.49,586.60,575.86,582.35,2547500,582.35
2009-11-20,569.50,571.60,569.40,569.96,2006200,569.96
2009-11-19,573.77,574.00,570.00,572.99,2168000,572.99
2009-11-18,576.65,578.78,572.07,576.65,1549600,576.65
2009-11-17,574.87,577.50,573.72,577.49,1916700,577.49
2009-11-16,575.00,576.99,572.78,576.28,2199200,576.28
2009-11-13,569.29,572.51,566.61,572.05,1666800,572.05
2009-11-12,569.56,572.90,565.50,567.85,1886300,567.85
2009-11-11,570.48,573.50,565.86,570.56,2319700,570.56
2009-11-10,562.73,568.78,562.00,566.76,2230800,566.76
2009-11-09,555.45,562.58,554.23,562.51,2649900,562.51
2009-11-06,547.72,551.78,545.50,551.10,1826700,551.10
2009-11-05,543.49,549.77,542.66,548.65,1847700,548.65
2009-11-04,540.80,545.50,536.42,540.33,2332700,540.33
2009-11-03,530.01,537.50,528.30,537.29,2380200,537.29
2009-11-02,537.08,539.46,528.24,533.99,3202100,533.99
