Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,22.59,22.83,22.26,22.62,2331600,19.74
2009-12-30,22.54,22.76,22.00,22.65,3056000,19.77
2009-12-29,22.35,22.59,21.95,22.50,4192600,19.64
2009-12-28,21.88,22.26,21.67,21.93,3339900,19.14
2009-12-24,20.83,21.72,20.67,21.59,2063800,18.84
2009-12-23,20.57,20.90,20.44,20.83,1965000,18.18
2009-12-22,20.64,20.68,20.42,20.57,1593600,17.95
2009-12-21,20.57,20.74,20.36,20.57,1992400,17.95
2009-12-18,20.21,20.48,20.19,20.43,2716000,17.83
2009-12-17,20.58,20.65,20.15,20.15,2453200,17.59
2009-12-16,21.14,21.15,20.73,20.75,3243800,18.11
2009-12-15,20.96,21.08,20.76,20.97,3494500,18.30
2009-12-14,20.67,21.08,20.67,21.05,3133900,18.37
2009-12-11,20.00,20.76,19.88,20.62,3713900,18.00
2009-12-10,19.75,20.06,19.75,19.87,2642600,17.34
2009-12-09,19.74,19.91,19.57,19.73,3551900,17.22
2009-12-08,20.20,20.41,19.78,19.90,3434900,17.24
2009-12-07,20.14,20.55,20.10,20.48,1987000,17.74
2009-12-04,20.35,20.57,20.04,20.22,3225500,17.51
2009-12-03,20.60,20.66,20.16,20.21,2234000,17.50
2009-12-02,20.65,20.83,20.01,20.65,1728700,17.89
2009-12-01,20.52,20.74,20.40,20.67,2181300,17.90
2009-11-30,20.42,20.49,20.17,20.30,3128700,17.58
2009-11-27,20.10,20.50,20.06,20.39,1013900,17.66
2009-11-25,20.73,20.77,20.42,20.49,2772000,17.75
2009-11-24,20.61,20.76,20.46,20.76,2248700,17.98
2009-11-23,20.48,20.75,20.48,20.65,2733000,17.89
2009-11-20,20.36,20.53,20.30,20.38,2055000,17.65
2009-11-19,20.63,20.80,20.21,20.40,3073900,17.67
2009-11-18,20.63,20.79,20.46,20.77,2334500,17.99
2009-11-17,20.45,20.71,20.33,20.68,2533600,17.91
2009-11-16,19.73,20.62,19.67,20.51,3665700,17.76
2009-11-13,19.36,19.75,19.35,19.61,1428700,16.98
2009-11-12,19.49,19.74,19.31,19.36,1931100,16.77
2009-11-11,19.47,19.65,19.35,19.54,1705100,16.92
2009-11-10,19.40,19.47,19.28,19.34,2128600,16.75
2009-11-09,19.07,19.42,18.87,19.42,1513100,16.82
2009-11-06,18.70,18.98,18.63,18.94,2064200,16.40
2009-11-05,18.34,18.73,18.10,18.72,2439600,16.21
2009-11-04,18.42,18.49,18.15,18.19,2126300,15.75
2009-11-03,18.50,18.58,18.12,18.33,2720300,15.88
2009-11-02,18.30,18.61,18.17,18.54,3165400,16.06
2009-10-30,18.77,18.96,18.31,18.34,3211200,15.88
2009-10-29,18.56,19.02,18.51,18.96,2744500,16.42
2009-10-28,18.97,18.99,18.55,18.59,3570500,16.10
2009-10-27,18.60,18.93,18.52,18.80,3282200,16.28
2009-10-26,18.89,19.39,18.80,19.12,4667800,16.56
2009-10-23,19.83,19.87,19.35,19.46,2532400,16.85
2009-10-22,19.55,19.92,19.36,19.88,2193900,17.22
2009-10-21,19.56,19.88,19.51,19.65,3254700,17.02
2009-10-20,19.71,19.82,19.60,19.66,2696700,17.03
2009-10-19,20.00,20.00,19.58,19.78,3467800,17.13
2009-10-16,19.77,19.82,19.58,19.76,3911800,17.11
2009-10-15,19.69,19.90,19.53,19.82,4084600,17.17
2009-10-14,19.39,19.82,19.39,19.80,3663200,17.15
2009-10-13,19.36,19.55,19.09,19.24,3127100,16.66
2009-10-12,19.49,19.56,19.19,19.35,3158000,16.76
2009-10-09,19.30,19.45,19.18,19.45,3204300,16.85
2009-10-08,18.71,19.39,18.50,19.35,5533800,16.76
2009-10-07,18.37,18.85,18.14,18.82,4635000,16.30
2009-10-06,18.18,18.54,18.10,18.38,4201300,15.92
2009-10-05,18.08,18.14,17.82,18.06,4504300,15.64
2009-10-02,18.38,18.42,18.07,18.07,5214600,15.65
2009-10-01,18.43,18.67,18.11,18.51,6534300,16.03
2009-09-30,18.65,18.69,18.29,18.38,6232500,15.92
2009-09-29,18.32,18.67,18.18,18.57,6414300,16.08
2009-09-28,17.99,18.33,17.75,18.26,4137100,15.82
2009-09-25,17.73,18.06,17.60,17.96,5196300,15.56
2009-09-24,18.12,18.19,17.66,17.74,3854300,15.37
2009-09-23,17.59,18.08,17.43,17.85,4307700,15.46
2009-09-22,17.30,17.55,17.21,17.52,4228400,15.17
2009-09-21,17.48,17.60,17.27,17.30,3489300,14.98
2009-09-18,17.57,17.86,17.45,17.58,3298200,15.23
2009-09-17,17.62,17.80,17.50,17.53,3964000,15.18
2009-09-16,17.28,17.67,17.25,17.64,3313900,15.28
2009-09-15,17.36,17.55,17.17,17.44,3969500,15.11
2009-09-14,17.32,17.49,17.21,17.32,3751300,15.00
2009-09-11,17.35,17.45,17.13,17.38,3190700,15.05
2009-09-10,17.17,17.31,16.98,17.29,2759800,14.98
2009-09-09,16.48,17.21,16.48,17.16,4290800,14.86
2009-09-08,16.96,17.03,16.67,16.72,7714900,14.48
2009-09-04,16.63,16.94,16.41,16.62,3454100,14.27
2009-09-03,16.87,17.04,16.51,17.01,3157100,14.60
2009-09-02,16.81,16.93,16.60,16.73,3101400,14.36
2009-09-01,17.12,17.46,16.90,16.90,2477500,14.51
2009-08-31,17.42,17.42,17.12,17.28,2653300,14.83
2009-08-28,17.75,17.75,17.25,17.38,2089100,14.92
2009-08-27,17.70,17.75,17.40,17.60,2108700,15.11
2009-08-26,17.71,17.95,17.63,17.73,2420100,15.22
2009-08-25,17.64,17.81,17.54,17.72,2878700,15.21
2009-08-24,17.66,17.73,17.43,17.62,1743100,15.12
2009-08-21,17.71,17.84,17.50,17.61,2636300,15.11
2009-08-20,17.37,17.59,17.24,17.49,2207000,15.01
2009-08-19,17.03,17.39,17.03,17.34,2384200,14.88
2009-08-18,17.29,17.45,17.00,17.13,2772800,14.70
2009-08-17,17.40,17.45,16.97,17.26,3331200,14.81
2009-08-14,17.14,17.26,16.94,17.24,2359000,14.80
2009-08-13,17.25,17.25,17.01,17.14,1441800,14.71
2009-08-12,16.98,17.30,16.98,17.17,1760000,14.74
2009-08-11,17.16,17.21,16.89,16.98,2169900,14.57
2009-08-10,17.02,17.50,16.92,17.22,2999500,14.78
2009-08-07,17.03,17.12,16.83,16.96,1824400,14.56
2009-08-06,16.90,17.00,16.80,16.88,2151100,14.49
2009-08-05,16.93,16.94,16.71,16.86,1414300,14.47
2009-08-04,16.83,16.91,16.65,16.88,1719300,14.49
2009-08-03,16.74,16.90,16.52,16.87,3403200,14.48
2009-07-31,16.70,16.86,16.60,16.69,3302100,14.33
2009-07-30,17.09,17.15,16.69,16.70,2703400,14.33
2009-07-29,16.44,17.01,16.43,16.95,3565300,14.55
2009-07-28,16.24,16.67,16.24,16.59,4630400,14.24
2009-07-27,16.55,16.86,16.23,16.33,7887500,14.02
2009-07-24,16.82,16.98,16.55,16.59,3661400,14.24
2009-07-23,17.20,17.20,16.75,16.82,3847000,14.44
2009-07-22,17.31,17.31,16.88,17.11,1988800,14.69
2009-07-21,17.39,17.85,16.77,17.02,3587700,14.61
2009-07-20,17.40,17.46,17.17,17.25,2600400,14.81
2009-07-17,17.47,17.47,17.20,17.35,2327200,14.89
2009-07-16,17.25,17.55,17.01,17.45,2424100,14.98
2009-07-15,16.76,17.24,16.67,17.22,2613600,14.78
2009-07-14,16.48,16.75,16.32,16.61,3250300,14.26
2009-07-13,16.35,16.54,16.01,16.49,4115300,14.15
2009-07-10,16.26,16.61,16.16,16.36,2097700,14.04
2009-07-09,16.33,16.56,16.15,16.38,4015200,14.06
2009-07-08,16.65,16.97,16.37,16.58,4059500,14.23
2009-07-07,16.91,17.05,16.61,16.62,4121200,14.27
2009-07-06,16.74,17.19,16.60,17.18,3802100,14.75
2009-07-02,17.10,17.22,16.73,16.89,4523100,14.50
2009-07-01,17.01,17.66,17.01,17.33,4382900,14.87
2009-06-30,16.81,17.44,16.62,17.23,11335000,14.79
2009-06-29,15.50,15.74,15.26,15.67,3878500,13.45
2009-06-26,15.47,15.50,15.07,15.42,3023600,13.24
2009-06-25,14.99,15.53,14.88,15.49,2038900,13.30
2009-06-24,15.11,15.27,14.98,15.08,2244400,12.94
2009-06-23,15.11,15.26,14.98,15.00,2557600,12.87
2009-06-22,15.25,15.47,15.07,15.14,3187100,12.99
2009-06-19,15.52,15.52,15.23,15.38,3302600,13.20
2009-06-18,15.35,15.58,15.23,15.46,2403500,13.27
2009-06-17,15.09,15.58,15.09,15.29,2572200,13.12
2009-06-16,15.25,15.41,14.99,15.13,3034700,12.99
2009-06-15,15.66,15.67,15.09,15.18,2540800,13.03
2009-06-12,15.66,15.80,15.35,15.69,1541000,13.47
2009-06-11,15.80,15.94,15.66,15.71,2570800,13.48
2009-06-10,15.81,15.82,15.50,15.76,2537600,13.53
2009-06-09,15.62,15.91,15.61,15.76,1831700,13.53
2009-06-08,16.02,16.02,15.47,15.70,2305800,13.48
2009-06-05,15.87,16.30,15.75,16.14,4561000,13.72
2009-06-04,15.53,15.78,15.31,15.76,3949400,13.40
2009-06-03,15.01,15.50,14.86,15.49,4415100,13.17
2009-06-02,15.02,15.48,14.96,15.13,3957300,12.87
2009-06-01,14.75,15.16,14.54,15.03,3564000,12.78
2009-05-29,14.49,14.62,14.19,14.60,2719800,12.41
2009-05-28,14.00,14.47,14.00,14.45,2769500,12.29
2009-05-27,14.62,14.72,14.09,14.18,3715300,12.06
2009-05-26,14.05,14.98,13.90,14.85,4007500,12.63
2009-05-22,14.01,14.46,13.94,14.16,2952900,12.04
2009-05-21,14.26,14.32,13.84,13.97,3975600,11.88
2009-05-20,14.27,14.58,14.21,14.45,4003200,12.29
2009-05-19,14.36,14.53,14.02,14.14,2393300,12.02
2009-05-18,14.05,14.46,13.73,14.42,5610400,12.26
2009-05-15,13.96,14.23,13.89,13.94,3915900,11.85
2009-05-14,14.28,14.28,13.82,13.98,7359500,11.89
2009-05-13,14.88,14.88,14.27,14.28,3370300,12.14
2009-05-12,15.20,15.25,14.74,14.90,3050300,12.67
2009-05-11,15.09,15.26,14.98,15.10,1895200,12.84
2009-05-08,15.47,15.49,14.98,15.26,3085900,12.98
2009-05-07,15.47,15.47,15.08,15.26,2932300,12.98
2009-05-06,15.40,15.47,15.06,15.34,2741300,13.04
2009-05-05,15.50,15.60,15.05,15.19,2636800,12.92
2009-05-04,15.20,15.50,14.83,15.50,3416700,13.18
2009-05-01,15.51,15.52,14.91,15.00,3375600,12.76
2009-04-30,15.30,15.51,15.09,15.14,2601300,12.87
2009-04-29,14.78,15.33,14.71,15.15,3137200,12.88
2009-04-28,15.07,15.63,14.69,14.78,4475500,12.57
2009-04-27,15.19,15.64,15.05,15.21,3688100,12.93
2009-04-24,15.84,15.98,15.15,15.24,5558500,12.96
2009-04-23,15.92,16.04,15.58,15.69,4322500,13.34
2009-04-22,16.22,16.36,15.90,15.96,2972700,13.57
2009-04-21,15.89,16.24,15.64,16.24,3720900,13.81
2009-04-20,16.18,16.78,15.86,15.89,5614900,13.51
2009-04-17,16.41,16.73,16.15,16.39,4789100,13.94
2009-04-16,16.11,16.57,15.92,16.41,6424600,13.95
2009-04-15,15.80,16.06,15.70,15.98,4737200,13.59
2009-04-14,15.56,16.15,15.56,15.86,5819100,13.49
2009-04-13,15.68,15.74,15.25,15.67,5201400,13.32
2009-04-09,16.46,16.60,15.18,15.58,7142000,13.25
2009-04-08,16.74,16.97,16.23,16.38,4275400,13.93
2009-04-07,17.02,17.33,16.65,16.65,3706100,14.16
2009-04-06,17.50,17.78,17.13,17.28,3660300,14.69
2009-04-03,17.91,18.26,17.59,17.80,3674100,15.14
2009-04-02,18.08,18.49,17.73,18.02,6104000,15.32
2009-04-01,17.98,18.23,17.55,17.70,6275700,15.05
2009-03-31,17.46,18.54,17.23,18.19,7722100,15.47
2009-03-30,16.94,17.59,16.84,17.38,7027200,14.78
2009-03-27,17.25,17.60,17.10,17.32,6723300,14.73
2009-03-26,17.24,17.62,17.11,17.42,8935800,14.81
2009-03-25,16.56,17.28,16.54,17.05,7545600,14.50
2009-03-24,17.22,17.57,16.24,16.54,7426000,14.06
2009-03-23,19.52,19.71,17.01,17.38,10495300,14.78
2009-03-20,19.60,19.71,19.00,19.13,3067500,16.27
2009-03-19,19.35,19.66,19.27,19.48,3106600,16.56
