Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,37.95,38.24,37.57,37.61,1046100,37.61
2009-12-30,38.47,38.47,37.75,37.92,1094000,37.92
2009-12-29,38.64,38.76,38.41,38.49,965200,38.49
2009-12-28,38.65,38.97,38.36,38.49,1096200,38.49
2009-12-24,38.49,38.99,38.48,38.68,596600,38.68
2009-12-23,38.19,38.52,37.91,38.48,1815400,38.48
2009-12-22,37.68,38.43,37.63,38.14,1601400,38.14
2009-12-21,38.18,38.18,37.42,37.74,1721600,37.74
2009-12-18,37.41,38.04,37.26,37.74,2930200,37.74
2009-12-17,37.01,37.23,36.75,37.09,2318900,37.09
2009-12-16,37.02,37.59,36.89,37.20,5947000,37.20
2009-12-15,35.65,37.04,35.43,36.73,3793100,36.73
2009-12-14,34.99,35.67,34.50,35.61,2474300,35.61
2009-12-11,34.85,34.85,34.30,34.57,1328200,34.57
2009-12-10,34.88,34.98,34.30,34.66,2733200,34.66
2009-12-09,34.19,34.60,33.70,34.59,2711800,34.59
2009-12-08,34.89,34.89,33.70,34.02,3885300,34.02
2009-12-07,35.14,35.25,34.60,34.90,1764800,34.90
2009-12-04,35.21,35.72,33.90,34.94,3066200,34.94
2009-12-03,35.28,35.77,34.67,34.71,2696900,34.71
2009-12-02,35.16,35.71,35.00,35.23,2452800,35.23
2009-12-01,35.41,35.60,35.00,35.08,2596700,35.08
2009-11-30,36.15,36.63,34.62,34.99,2898100,34.99
2009-11-27,35.62,36.15,34.65,35.58,1850500,35.58
2009-11-25,36.06,36.84,35.99,36.61,2932800,36.61
2009-11-24,36.59,36.73,35.80,35.98,2872900,35.98
2009-11-23,37.22,37.29,35.86,36.42,3999800,36.42
2009-11-20,36.38,36.90,35.78,36.59,4756600,36.59
2009-11-19,37.90,37.94,36.05,36.56,7037000,36.56
2009-11-18,39.19,39.30,37.89,38.04,6253100,38.04
2009-11-17,40.89,40.91,38.44,38.88,12619100,38.88
2009-11-16,44.19,46.18,44.19,45.49,2241800,45.49
2009-11-13,43.76,44.86,43.42,43.95,1617000,43.95
2009-11-12,44.49,44.75,43.67,43.76,983600,43.76
2009-11-11,44.49,44.93,44.03,44.57,1063900,44.57
2009-11-10,44.19,44.59,43.50,44.00,1837300,44.00
2009-11-09,44.34,45.33,44.34,45.29,837800,45.29
2009-11-06,43.86,44.57,43.29,43.81,870300,43.81
2009-11-05,43.70,44.62,43.63,44.27,913600,44.27
2009-11-04,43.50,44.21,43.06,43.24,1342800,43.24
2009-11-03,41.98,43.33,41.65,42.94,1655400,42.94
2009-11-02,41.95,43.60,41.30,42.60,1848900,42.60
2009-10-30,43.99,44.25,42.22,42.29,1850800,42.29
2009-10-29,43.59,44.75,43.20,44.18,1279600,44.18
2009-10-28,45.53,45.69,43.05,43.10,2040200,43.10
2009-10-27,46.07,46.46,45.58,45.89,1119900,45.89
2009-10-26,46.86,47.90,45.90,45.99,1808200,45.99
2009-10-23,47.12,47.54,46.41,46.92,1717900,46.92
2009-10-22,45.89,47.49,45.19,47.15,2029000,47.15
2009-10-21,45.09,46.53,45.09,45.79,1647200,45.79
2009-10-20,46.14,46.20,44.88,45.43,1158900,45.43
2009-10-19,46.42,46.43,45.68,46.05,1312200,46.05
2009-10-16,45.42,46.57,45.02,46.17,1689900,46.17
2009-10-15,44.94,46.16,44.43,45.88,2338300,45.88
2009-10-14,44.85,45.13,44.25,45.08,1346900,45.08
2009-10-13,44.01,44.60,43.53,44.45,1234700,44.45
2009-10-12,44.42,44.59,43.89,44.08,710200,44.08
2009-10-09,44.04,44.38,43.62,44.09,1048000,44.09
2009-10-08,44.84,45.11,43.73,44.01,1837100,44.01
2009-10-07,44.30,44.81,43.56,44.17,1715000,44.17
2009-10-06,44.71,45.37,44.40,44.77,1448600,44.77
2009-10-05,43.84,44.32,43.35,44.18,948000,44.18
2009-10-02,43.61,44.45,43.35,43.51,950800,43.51
2009-10-01,45.84,46.10,44.20,44.28,1062700,44.28
