Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,41.62,42.13,41.45,41.67,20143100,39.41
2009-12-30,41.27,41.62,41.23,41.53,15501800,39.28
2009-12-29,41.73,41.80,41.46,41.49,15593000,39.24
2009-12-28,41.85,42.13,41.56,41.72,13039900,39.46
2009-12-24,41.68,41.89,41.51,41.89,7956500,39.62
2009-12-23,41.84,41.94,41.45,41.56,24503600,39.31
2009-12-22,42.00,42.10,41.69,41.94,24754800,39.66
2009-12-21,41.55,42.24,41.50,41.90,35991900,39.63
2009-12-18,40.53,41.19,40.04,40.95,48126800,38.73
2009-12-17,41.06,41.12,40.19,40.27,44272800,38.09
2009-12-16,41.17,41.70,40.88,41.36,43562800,39.12
2009-12-15,41.50,41.70,40.62,40.86,40244400,38.64
2009-12-14,41.01,41.93,40.70,41.77,35340800,39.50
2009-12-11,40.99,41.25,40.75,40.96,46616100,38.74
2009-12-10,41.36,41.56,40.66,41.27,36380900,39.03
2009-12-09,41.25,41.51,40.60,41.19,42492800,38.96
2009-12-08,41.01,41.40,40.63,41.21,41878900,38.97
2009-12-07,41.63,41.96,41.06,41.25,32949600,39.01
2009-12-04,42.25,42.51,41.22,41.74,61485000,39.48
2009-12-03,42.30,43.09,41.31,41.40,53314400,39.15
2009-12-02,42.15,42.15,41.47,41.93,32519700,39.66
2009-12-01,42.61,42.71,41.62,42.22,39211100,39.93
2009-11-30,41.56,42.65,41.49,42.49,38240600,40.18
2009-11-27,40.98,41.90,40.75,41.33,26230100,39.09
2009-11-25,42.67,42.67,41.94,42.16,26123800,39.87
2009-11-24,43.26,43.28,42.24,42.48,31881800,40.18
2009-11-23,42.95,43.64,42.70,43.28,29810700,40.93
2009-11-20,42.47,42.74,42.15,42.46,25328200,40.16
2009-11-19,43.10,43.18,42.26,42.55,26878000,40.24
2009-11-18,43.14,43.50,42.94,43.38,20422300,41.03
2009-11-17,42.92,43.19,42.54,43.16,25859700,40.82
2009-11-16,43.25,43.61,42.76,43.04,43516700,40.70
2009-11-13,43.16,43.29,42.36,42.90,36650700,40.57
2009-11-12,44.08,44.65,43.00,43.30,34649600,40.95
2009-11-11,44.34,44.99,43.78,44.32,32669300,41.92
2009-11-10,44.14,44.32,43.55,44.17,30980200,41.77
2009-11-09,43.93,44.39,43.30,44.35,38845500,41.94
2009-11-06,43.14,43.69,42.91,43.48,27140000,41.12
2009-11-05,42.60,43.93,42.40,43.87,32893300,41.49
2009-11-04,43.21,43.69,42.12,42.21,42548800,39.92
2009-11-03,42.09,42.96,41.98,42.70,29387800,40.38
2009-11-02,42.18,42.85,41.52,42.58,44598100,40.27
2009-10-30,43.95,43.97,41.73,41.77,58853300,39.50
2009-10-29,43.22,44.40,42.76,44.35,35898600,41.94
2009-10-28,43.73,43.81,42.50,42.68,45679500,40.36
2009-10-27,43.99,44.66,43.67,43.90,38075200,41.52
2009-10-26,45.12,45.21,43.55,43.82,42085500,41.44
2009-10-23,45.70,46.20,44.96,45.23,27638200,42.78
2009-10-22,44.92,45.87,44.83,45.71,32388900,43.23
2009-10-21,46.02,46.42,44.65,44.65,32991600,42.23
2009-10-20,45.81,46.59,45.77,46.03,30614800,43.53
2009-10-19,46.42,46.43,45.45,45.98,30415400,43.49
2009-10-16,46.70,46.88,46.00,46.06,37459000,43.56
2009-10-15,46.36,47.32,46.36,47.16,36096800,44.60
2009-10-14,47.19,47.47,46.63,47.16,70368700,44.60
2009-10-13,45.65,46.03,44.53,45.66,45701900,43.18
2009-10-12,46.37,46.42,45.35,46.08,24220600,43.58
2009-10-09,45.46,45.94,45.08,45.85,26034200,43.36
2009-10-08,46.04,46.44,45.05,45.30,36627700,42.84
2009-10-07,44.60,45.82,44.46,45.70,36148700,43.22
2009-10-06,44.36,45.00,44.07,44.91,41695700,42.47
2009-10-05,42.48,43.93,42.35,43.80,34430200,41.42
2009-10-02,40.82,42.40,40.53,41.86,43061100,39.59
2009-10-01,43.40,43.56,41.36,41.37,50562700,39.08
2009-09-30,44.80,44.89,43.43,43.82,40904000,41.39
2009-09-29,44.89,45.20,44.43,44.88,23930600,42.39
2009-09-28,43.97,44.83,43.69,44.81,25826100,42.33
2009-09-25,44.15,44.28,43.34,43.65,31056100,41.23
2009-09-24,45.21,45.80,44.26,44.37,42231400,41.91
2009-09-23,46.40,46.50,44.98,45.06,34427200,42.56
2009-09-22,44.81,46.49,44.48,46.47,41148100,43.90
2009-09-21,44.54,44.80,44.22,44.55,24070000,42.08
2009-09-18,45.24,45.34,44.70,44.95,39492000,42.46
2009-09-17,44.29,45.11,44.20,44.96,35705700,42.47
2009-09-16,43.35,44.68,43.21,44.65,38721900,42.18
2009-09-15,43.61,44.20,42.55,43.19,49985400,40.80
2009-09-14,42.08,43.85,42.01,43.75,28945000,41.33
2009-09-11,43.13,43.39,42.48,42.50,27289900,40.15
2009-09-10,42.73,43.15,42.20,43.02,25112100,40.64
2009-09-09,42.60,43.07,42.39,42.86,29031600,40.49
2009-09-08,42.79,43.04,41.85,42.54,28089300,40.18
2009-09-04,42.33,42.49,41.79,42.34,21880200,39.99
2009-09-03,41.23,42.25,41.11,42.11,35019600,39.78
2009-09-02,41.51,42.11,40.75,40.86,35898500,38.60
2009-09-01,43.08,43.82,41.56,41.67,51475400,39.36
2009-08-31,42.44,43.60,42.06,43.46,32251100,41.05
2009-08-28,43.81,43.86,42.51,42.92,27263600,40.54
2009-08-27,43.05,43.63,42.54,43.45,28975700,41.04
2009-08-26,43.39,43.78,42.92,43.30,31908400,40.90
2009-08-25,43.39,44.14,43.30,43.58,34835700,41.17
2009-08-24,43.86,44.24,42.95,43.01,40385200,40.63
2009-08-21,42.86,43.81,42.53,43.66,42863600,41.24
2009-08-20,41.53,42.63,41.48,42.42,29634300,40.07
2009-08-19,41.15,41.90,41.00,41.41,29394100,39.12
2009-08-18,41.10,41.88,41.06,41.70,29053600,39.39
2009-08-17,41.21,41.58,40.71,40.73,39162800,38.47
2009-08-14,42.63,42.85,41.80,42.45,38413900,40.10
2009-08-13,42.73,43.00,41.81,42.90,40385300,40.52
2009-08-12,41.19,42.45,41.03,42.21,43077100,39.87
2009-08-11,42.28,42.51,40.94,41.24,50698800,38.96
2009-08-10,42.03,43.22,42.01,42.69,43700600,40.33
2009-08-07,41.28,43.13,41.18,42.36,65696000,40.01
2009-08-06,42.28,42.46,40.22,40.75,54175600,38.49
2009-08-05,40.34,42.20,40.26,41.78,63334100,39.47
2009-08-04,39.27,40.50,39.17,40.21,43363800,37.98
2009-08-03,39.12,39.75,38.99,39.60,42957800,37.41
2009-07-31,38.38,38.65,37.93,38.65,39085700,36.51
2009-07-30,38.13,39.28,37.90,38.47,38531000,36.34
2009-07-29,37.79,38.24,37.44,37.77,29931400,35.68
2009-07-28,37.74,38.20,37.65,38.08,29035900,35.97
2009-07-27,37.97,39.47,37.57,38.13,30479300,36.02
2009-07-24,38.05,38.25,37.40,37.92,35328600,35.82
2009-07-23,36.95,38.47,36.57,38.15,56528800,36.04
2009-07-22,36.40,37.33,36.21,36.83,40137700,34.79
2009-07-21,37.20,37.31,36.60,36.94,43509400,34.89
2009-07-20,37.02,37.44,36.59,36.98,43554400,34.93
2009-07-17,36.42,37.20,36.18,36.89,61742300,34.85
2009-07-16,35.50,36.41,35.22,36.13,71465100,34.13
2009-07-15,35.11,36.77,35.01,36.26,84050100,34.25
2009-07-14,34.53,35.09,34.06,34.70,52924000,32.78
2009-07-13,32.87,34.71,32.43,34.71,70454200,32.79
