Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,55.25,55.25,53.93,53.93,1612900,51.45
2009-12-30,55.39,55.52,54.96,55.14,1415700,52.60
2009-12-29,55.82,55.84,55.10,55.56,2122800,53.00
2009-12-28,54.83,55.45,54.57,55.45,2359900,52.90
2009-12-24,55.26,55.33,54.54,54.65,755700,52.13
2009-12-23,55.33,55.71,54.82,55.15,1781500,52.61
2009-12-22,54.99,55.63,54.47,55.15,2954000,52.61
2009-12-21,53.48,54.72,53.37,54.61,3642800,52.09
2009-12-18,53.63,53.63,52.24,53.39,4169800,50.93
2009-12-17,53.94,54.12,53.22,53.24,2844600,50.79
2009-12-16,55.25,55.31,54.33,54.42,2904400,51.91
2009-12-15,55.79,55.81,54.79,54.87,3579800,52.34
2009-12-14,56.08,56.39,55.26,56.18,3121900,53.59
2009-12-11,55.42,55.74,54.97,55.60,3264100,53.04
2009-12-10,54.03,55.30,54.03,54.85,5096200,52.32
2009-12-09,53.84,53.93,53.38,53.68,2340400,51.21
2009-12-08,54.29,54.58,53.64,53.81,2517100,51.33
2009-12-07,55.01,55.01,54.05,54.52,4161900,52.01
2009-12-04,55.00,55.40,53.42,53.70,5003900,51.23
2009-12-03,53.80,55.33,53.64,54.18,6979700,51.68
2009-12-02,52.93,53.93,52.65,53.73,3696400,51.26
2009-12-01,53.49,54.10,52.70,52.97,4982200,50.53
2009-11-30,54.89,54.97,52.94,53.14,5879800,50.69
2009-11-27,54.40,54.88,53.75,54.45,2399700,51.94
2009-11-25,54.17,55.56,53.84,55.54,4810200,52.98
2009-11-24,53.55,54.40,53.55,53.81,3460100,51.33
2009-11-23,54.34,54.73,53.44,53.60,3494100,51.13
2009-11-20,54.12,54.93,53.74,53.96,3685300,51.47
2009-11-19,54.50,54.64,53.82,54.33,2948200,51.83
2009-11-18,55.13,55.54,54.58,54.70,3187600,52.18
2009-11-17,56.04,56.54,54.77,55.42,4720400,52.87
2009-11-16,55.99,56.48,55.61,56.02,3625200,53.44
2009-11-13,55.12,55.60,54.61,55.52,3272500,52.96
2009-11-12,55.50,55.60,54.40,54.64,6487500,52.12
2009-11-11,56.40,56.40,53.93,54.59,8110300,52.08
2009-11-10,56.88,57.74,56.26,56.36,3347300,53.76
2009-11-09,56.33,57.50,55.61,56.97,3913400,54.35
2009-11-06,55.68,56.82,55.13,56.68,3057000,54.07
2009-11-05,54.35,56.42,53.36,55.95,11647400,53.37
2009-11-04,57.00,57.78,56.13,56.54,5000400,53.94
2009-11-03,57.28,57.66,55.59,56.71,6518600,54.10
2009-11-02,57.51,58.07,56.23,57.73,4119300,55.07
2009-10-30,58.46,58.69,56.96,57.22,5377200,54.58
2009-10-29,57.64,58.80,57.10,58.23,4254200,55.55
2009-10-28,57.79,58.35,56.76,56.82,3539000,54.20
2009-10-27,59.05,59.11,57.77,57.92,4623200,55.25
2009-10-26,59.22,60.42,58.66,58.88,3602500,56.17
2009-10-23,60.13,60.29,58.91,59.19,2905600,56.46
2009-10-22,58.15,60.28,57.96,59.87,5925200,57.11
2009-10-21,59.51,60.69,57.65,57.78,4485600,55.12
2009-10-20,60.48,60.69,59.81,59.86,2572700,57.10
2009-10-19,59.89,60.84,59.50,60.45,2244500,57.67
2009-10-16,59.89,60.07,59.11,59.68,3027700,56.93
2009-10-15,60.25,60.89,59.85,60.23,2836900,57.46
2009-10-14,60.16,60.74,59.52,60.73,3555900,57.93
2009-10-13,59.42,59.97,59.21,59.62,3157600,56.87
2009-10-12,60.12,60.56,59.26,59.37,3526900,56.64
2009-10-09,59.93,60.35,59.49,60.03,4214300,57.26
2009-10-08,58.06,59.99,57.56,59.97,7201900,57.21
2009-10-07,58.37,58.71,57.69,58.54,4378100,55.84
2009-10-06,56.36,57.65,56.36,57.46,4112500,54.81
2009-10-05,55.21,56.45,55.01,56.21,4403600,53.62
2009-10-02,54.82,55.82,54.71,54.86,3871200,52.33
2009-10-01,56.90,57.10,55.17,55.23,4486700,52.69
2009-09-30,56.43,57.37,55.77,57.05,6495000,54.42
2009-09-29,55.10,56.53,55.10,56.39,4500400,53.79
2009-09-28,54.58,55.19,54.43,54.91,2117700,52.38
2009-09-25,54.63,54.95,54.28,54.37,3964700,51.87
2009-09-24,54.82,54.93,54.00,54.76,3954000,52.24
2009-09-23,55.39,55.45,54.54,54.71,4769300,52.19
2009-09-22,55.74,56.21,55.25,55.39,5310700,52.84
2009-09-21,54.71,56.14,54.56,55.54,4973900,52.98
2009-09-18,54.97,55.54,54.94,55.01,3529400,52.48
2009-09-17,54.73,55.72,54.58,54.80,4529200,52.28
2009-09-16,54.77,55.31,54.48,54.84,4546100,52.31
2009-09-15,54.85,54.95,53.79,54.75,4321300,52.23
2009-09-14,54.70,54.99,53.64,54.87,4561900,52.34
2009-09-11,55.77,55.95,54.82,55.18,3968000,52.64
2009-09-10,55.70,55.96,55.06,55.78,5120500,53.21
2009-09-09,55.88,56.63,55.41,55.86,5379500,53.29
2009-09-08,54.92,55.62,53.80,55.58,5392400,53.02
2009-09-04,54.11,54.84,53.80,54.58,3176400,52.07
2009-09-03,52.47,54.11,52.17,54.01,5250900,51.52
2009-09-02,51.08,52.15,51.06,51.86,4949800,49.47
2009-09-01,51.67,52.91,50.88,51.04,5016100,48.69
2009-08-31,52.39,52.39,51.27,51.59,2604700,49.21
2009-08-28,53.56,53.56,52.13,52.55,2844200,50.13
2009-08-27,52.85,53.33,52.05,53.10,2559800,50.65
2009-08-26,52.79,53.74,52.51,52.94,2933200,50.50
2009-08-25,52.13,53.49,51.37,52.99,5055400,50.55
2009-08-24,52.43,52.48,51.52,51.63,2848400,49.25
2009-08-21,51.76,52.82,51.62,52.36,2698800,49.95
2009-08-20,51.28,51.66,51.06,51.52,3575000,49.15
2009-08-19,50.64,51.59,50.53,51.47,4069800,49.10
2009-08-18,50.73,51.56,50.57,51.39,3391300,49.02
2009-08-17,51.17,51.17,50.44,50.60,3689900,48.27
2009-08-14,52.25,52.96,51.44,51.73,3875300,49.35
2009-08-13,50.75,52.86,50.00,52.39,8233000,49.98
2009-08-12,52.45,52.74,51.79,52.27,3003100,49.86
2009-08-11,52.07,53.21,51.71,52.51,3127900,50.09
2009-08-10,53.23,53.23,51.79,52.53,4290600,50.11
2009-08-07,51.47,53.85,51.01,53.51,6378200,51.05
2009-08-06,50.04,51.42,49.09,51.02,7998900,48.67
2009-08-05,49.74,49.83,48.43,49.51,3420600,47.23
2009-08-04,49.99,50.45,48.95,49.36,4232500,47.09
2009-08-03,48.98,50.06,48.54,50.02,4075600,47.72
2009-07-31,49.09,49.96,48.44,48.55,4178800,46.31
2009-07-30,49.98,50.39,49.28,49.40,3287800,47.12
2009-07-29,49.11,50.24,49.03,49.52,3581000,47.24
2009-07-28,48.93,49.77,48.38,49.61,4627800,47.32
2009-07-27,48.90,49.31,48.35,49.16,2371100,46.90
2009-07-24,48.74,49.44,48.12,49.10,2812600,46.84
2009-07-23,48.36,49.89,47.58,48.98,4483200,46.72
2009-07-22,47.50,48.82,47.50,48.32,2925100,46.09
2009-07-21,48.49,48.49,47.13,47.82,3615400,45.62
2009-07-20,46.43,48.49,46.32,48.36,5216400,46.13
2009-07-17,46.04,46.32,45.61,46.26,3351100,44.13
2009-07-16,45.97,46.26,45.09,46.06,3236000,43.94
2009-07-15,45.06,45.99,44.74,45.94,4781000,43.82
2009-07-14,43.80,44.67,43.24,44.47,3082200,42.42
2009-07-13,42.87,43.86,42.10,43.84,3364100,41.82
2009-07-10,42.67,43.60,42.39,42.72,2714000,40.75
2009-07-09,43.66,44.30,42.41,43.02,4921100,41.04
2009-07-08,42.56,43.47,42.35,43.35,7438800,41.35
2009-07-07,43.70,43.80,42.21,42.30,5296700,40.35
2009-07-06,40.87,42.80,40.64,42.68,7372200,40.71
2009-07-02,42.24,42.45,41.25,41.25,4224400,39.35
2009-07-01,43.24,43.61,42.47,42.59,3593100,40.63
2009-06-30,43.45,43.73,42.28,42.75,5287000,40.78
2009-06-29,44.24,44.40,43.20,43.41,5546100,41.41
2009-06-26,44.35,45.09,43.77,44.10,4378500,42.07
2009-06-25,43.45,44.78,43.23,44.43,4024700,42.38
2009-06-24,43.20,44.13,43.03,43.45,3049400,41.45
2009-06-23,43.57,44.00,42.47,42.75,3607100,40.78
2009-06-22,43.60,43.82,42.47,43.44,4606100,41.44
2009-06-19,43.99,44.17,43.40,43.74,5096700,41.73
2009-06-18,44.04,44.28,43.01,43.69,6167600,41.68
2009-06-17,44.01,44.91,43.25,44.26,5071300,42.22
2009-06-16,45.58,45.58,43.66,44.00,4554600,41.97
2009-06-15,45.98,46.08,44.92,45.65,2932300,43.55
2009-06-12,46.33,46.68,45.15,46.59,3469400,44.44
2009-06-11,46.63,47.25,45.87,45.92,4900100,43.80
2009-06-10,47.27,47.80,46.22,46.83,4670200,44.67
2009-06-09,46.20,47.10,46.20,46.67,3026300,44.52
2009-06-08,45.43,46.61,45.10,46.25,3177100,44.12
2009-06-05,46.40,47.10,45.29,45.97,3639300,43.85
2009-06-04,46.78,46.82,45.31,45.85,5822900,43.74
2009-06-03,46.46,46.92,45.80,46.65,4960100,44.50
2009-06-02,46.10,47.77,46.00,47.00,6655200,44.84
2009-06-01,43.81,46.92,43.48,46.48,10572800,44.34
2009-05-29,42.20,42.99,41.32,42.47,7072400,40.51
2009-05-28,43.47,43.97,41.57,41.98,8578800,40.05
2009-05-27,43.72,44.41,42.95,43.04,5612600,41.06
2009-05-26,41.02,43.89,40.72,43.80,6857300,41.78
2009-05-22,41.45,41.63,40.70,40.94,5247200,39.05
2009-05-21,41.74,42.70,40.92,41.27,5905900,39.37
2009-05-20,44.30,45.25,41.93,42.19,5726300,40.25
2009-05-19,42.56,44.36,42.44,43.82,4856800,41.80
2009-05-18,41.84,42.79,41.65,42.77,4407900,40.80
2009-05-15,41.84,42.47,40.95,41.33,7358500,39.43
2009-05-14,41.94,43.95,40.97,41.24,9380000,39.34
2009-05-13,43.11,43.19,41.84,41.95,6656200,40.02
2009-05-12,44.90,45.27,43.27,44.01,4911700,41.98
2009-05-11,43.20,45.42,43.09,44.84,5936000,42.77
