Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,80.65,81.12,80.23,80.23,1001200,68.62
2009-12-30,80.35,80.81,80.18,80.63,647200,68.97
2009-12-29,79.98,80.65,79.50,80.61,785100,68.95
2009-12-28,79.00,79.56,79.00,79.52,553300,68.02
2009-12-24,78.84,79.16,78.64,78.91,452700,67.50
2009-12-23,78.62,79.31,78.49,78.57,1748600,67.20
2009-12-22,78.41,79.21,78.41,78.65,1069700,67.27
2009-12-21,77.77,78.59,77.48,78.42,1286700,67.08
2009-12-18,78.70,78.70,76.59,77.48,2613600,66.27
2009-12-17,79.49,79.52,78.39,78.48,1714300,67.13
2009-12-16,79.23,80.59,78.87,79.55,2036400,68.04
2009-12-15,78.73,79.68,78.36,79.58,1511500,68.07
2009-12-14,79.09,79.18,78.43,78.70,1375500,67.32
2009-12-11,79.06,79.17,78.19,78.57,1204500,67.20
2009-12-10,79.09,79.81,78.99,79.11,859500,67.67
2009-12-09,78.11,78.79,77.82,78.60,1562500,67.23
2009-12-08,78.69,78.84,77.45,77.82,1286100,66.56
2009-12-07,78.74,79.17,78.35,79.05,1938000,67.62
2009-12-04,78.31,79.49,78.31,78.48,2405300,67.13
2009-12-03,78.60,78.76,78.00,78.16,1229200,66.85
2009-12-02,78.34,78.87,78.00,78.70,1000900,67.32
2009-12-01,77.91,78.65,77.91,78.34,1321300,67.01
2009-11-30,79.04,79.30,77.83,77.91,1487700,66.64
2009-11-27,78.43,79.57,77.50,78.91,648900,67.50
2009-11-25,80.24,80.76,79.82,80.47,1234000,67.97
2009-11-24,80.43,80.61,79.57,80.25,1813400,67.79
2009-11-23,80.00,80.97,79.98,80.52,3065400,68.02
2009-11-20,79.05,79.79,78.83,79.48,1540100,67.14
2009-11-19,79.15,79.44,78.37,79.07,3286500,66.79
2009-11-18,79.44,79.51,78.95,79.19,1049800,66.89
2009-11-17,79.75,79.82,79.15,79.38,3029500,67.05
2009-11-16,79.32,80.80,79.25,79.77,2099200,67.38
2009-11-13,79.68,79.90,79.06,79.28,1497000,66.97
2009-11-12,79.38,79.95,79.13,79.38,901700,67.05
2009-11-11,80.29,80.29,79.16,79.50,975500,67.15
2009-11-10,78.59,80.14,78.39,79.65,962900,67.28
2009-11-09,78.14,79.10,77.69,78.85,3661600,66.61
2009-11-06,78.37,78.37,77.34,77.65,1953400,65.59
2009-11-05,77.93,79.22,77.93,78.48,1286400,66.29
2009-11-04,78.73,78.84,77.73,77.93,1552200,65.83
2009-11-03,77.66,78.55,77.24,78.49,2576100,66.30
2009-11-02,77.39,78.10,77.03,78.03,2717800,65.91
2009-10-30,77.73,78.83,77.43,77.72,1820000,65.65
2009-10-29,77.82,78.66,76.91,78.13,1880500,66.00
2009-10-28,78.65,79.16,77.64,77.80,1847100,65.72
2009-10-27,75.01,78.90,74.81,78.64,5579600,66.43
2009-10-26,76.82,77.67,74.04,74.22,5103000,62.69
2009-10-23,80.56,80.78,78.99,79.82,2516500,67.43
2009-10-22,81.10,81.17,79.74,80.74,1949800,68.20
2009-10-21,81.03,81.76,80.95,81.10,1996600,68.51
2009-10-20,80.75,81.59,80.57,81.41,3243900,68.77
2009-10-19,80.70,81.53,80.37,80.77,1189000,68.23
2009-10-16,79.80,80.75,79.57,80.52,2645500,68.02
2009-10-15,79.39,80.74,79.24,80.08,1907200,67.64
2009-10-14,78.55,79.75,77.58,79.55,1502100,67.20
2009-10-13,78.01,78.70,77.57,78.24,2970100,66.09
2009-10-12,78.08,79.02,77.46,77.99,930100,65.88
2009-10-09,77.03,77.89,76.66,77.79,978200,65.71
2009-10-08,76.94,77.00,76.33,76.85,1125900,64.92
2009-10-07,76.85,76.99,76.10,76.25,1739400,64.41
2009-10-06,75.02,77.55,74.71,77.03,4722800,65.07
2009-10-05,74.52,75.24,73.82,75.00,1740800,63.35
2009-10-02,74.23,75.00,73.64,74.61,1699400,63.02
2009-10-01,74.55,74.65,73.61,74.33,1053800,62.79
2009-09-30,75.49,75.75,73.27,74.30,1070400,62.76
2009-09-29,73.92,74.81,73.47,74.74,957400,63.13
2009-09-28,73.13,73.86,72.92,73.78,553400,62.32
2009-09-25,73.16,73.81,72.70,72.81,959200,61.50
2009-09-24,74.18,74.33,73.03,73.25,955200,61.88
2009-09-23,73.98,75.02,73.98,74.15,1839600,62.64
2009-09-22,75.24,75.36,73.63,73.75,1208800,62.30
2009-09-21,74.66,74.85,73.70,74.47,2568200,62.91
2009-09-18,73.47,75.22,72.99,75.22,3799500,63.54
2009-09-17,72.77,73.51,72.66,73.25,1427900,61.88
2009-09-16,73.12,73.12,72.40,72.73,2664200,61.44
2009-09-15,74.18,74.90,72.72,73.11,4164700,61.76
2009-09-14,74.34,75.00,74.21,74.55,1340700,62.97
2009-09-11,74.29,75.25,74.06,74.80,1952900,63.18
2009-09-10,73.50,74.59,73.01,74.59,1303900,63.01
2009-09-09,73.83,73.83,73.35,73.65,1680100,62.21
2009-09-08,74.18,74.75,73.44,73.99,1757300,62.50
2009-09-04,72.95,74.37,72.95,74.18,909600,62.66
2009-09-03,73.63,73.63,72.53,73.38,1851900,61.99
2009-09-02,72.49,73.24,71.91,73.12,1350800,61.77
2009-09-01,73.22,73.22,72.39,72.56,1685600,61.29
2009-08-31,71.94,72.91,70.91,72.77,2692200,61.47
2009-08-28,74.01,74.09,71.89,72.13,1984300,60.93
2009-08-27,75.91,76.72,74.30,74.69,1613100,62.25
2009-08-26,77.24,77.65,76.14,76.28,1242400,63.57
2009-08-25,78.24,78.57,76.88,77.18,1527700,64.32
2009-08-24,75.25,78.16,74.92,78.04,2586000,65.04
2009-08-21,74.51,75.10,73.28,74.87,1159700,62.40
2009-08-20,73.39,73.82,72.68,73.59,1034500,61.33
2009-08-19,72.99,73.80,72.85,73.16,1268700,60.97
2009-08-18,72.46,73.62,71.52,73.28,1019900,61.07
2009-08-17,72.17,73.09,71.66,72.58,1591900,60.49
2009-08-14,72.34,73.12,71.80,72.38,786400,60.32
2009-08-13,73.58,73.88,71.92,72.50,2522700,60.42
2009-08-12,73.85,74.71,73.18,73.32,1158100,61.11
2009-08-11,74.03,75.05,73.85,73.97,1061500,61.65
2009-08-10,72.75,73.67,72.39,73.49,2541100,61.25
2009-08-07,72.76,73.10,72.64,72.81,863500,60.68
2009-08-06,71.80,72.97,71.76,72.87,1373100,60.73
2009-08-05,73.09,73.09,71.32,71.79,1665300,59.83
2009-08-04,72.92,73.73,72.45,73.08,1199800,60.91
2009-08-03,74.24,74.33,72.94,73.45,1394600,61.21
2009-07-31,73.24,74.32,73.15,73.72,1199200,61.44
2009-07-30,73.07,74.25,72.96,73.08,1066100,60.91
2009-07-29,72.15,72.89,71.78,72.80,2157700,60.67
2009-07-28,72.63,72.71,71.74,72.00,1341100,60.01
2009-07-27,74.11,75.50,70.85,72.33,3654500,60.28
