Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,20.23,20.35,19.96,19.98,2260900,18.00
2009-12-30,20.29,20.40,20.16,20.25,1813100,18.24
2009-12-29,20.33,20.43,20.18,20.21,1651500,18.20
2009-12-28,20.10,20.26,20.07,20.22,2016400,18.21
2009-12-24,20.16,20.22,19.98,20.06,1843100,18.07
2009-12-23,20.00,20.19,19.97,20.12,3526200,18.12
2009-12-22,19.93,20.13,19.87,19.99,5652400,18.01
2009-12-21,20.23,20.25,19.89,19.94,7738600,17.96
2009-12-18,20.17,20.43,19.64,19.92,33905400,17.94
2009-12-17,20.00,20.01,19.78,19.88,3207800,17.91
2009-12-16,20.07,20.40,19.94,20.04,4648200,18.05
2009-12-15,19.81,20.21,19.79,19.91,7312900,17.93
2009-12-14,20.00,20.12,19.95,19.97,5497600,17.99
2009-12-11,19.96,20.03,19.77,19.88,3012800,17.91
2009-12-10,19.84,20.00,19.55,19.84,3174500,17.87
2009-12-09,19.98,19.98,19.41,19.65,2073400,17.70
2009-12-08,19.95,20.12,19.68,19.91,2391500,17.93
2009-12-07,19.96,20.12,19.79,20.03,4603100,18.04
2009-12-04,20.00,20.23,19.69,19.89,3433600,17.92
2009-12-03,19.83,19.97,19.66,19.67,1836300,17.72
2009-12-02,20.00,20.25,19.83,19.85,3773100,17.88
2009-12-01,19.53,20.15,19.52,20.00,4295900,18.01
2009-11-30,19.52,19.79,19.39,19.46,3778200,17.53
2009-11-27,19.41,19.76,19.30,19.57,1886600,17.63
2009-11-25,20.01,20.19,19.79,19.91,2642400,17.93
2009-11-24,20.45,20.52,20.20,20.43,2834500,17.73
2009-11-23,20.10,20.54,20.03,20.46,3292100,17.75
2009-11-20,20.32,20.32,19.84,20.01,4565000,17.36
2009-11-19,20.51,20.51,20.08,20.23,3138800,17.55
2009-11-18,20.57,20.78,20.42,20.55,2669500,17.83
2009-11-17,20.69,20.76,20.47,20.67,3866400,17.93
2009-11-16,20.54,20.73,20.42,20.59,3777300,17.86
2009-11-13,20.42,20.52,20.33,20.47,2955200,17.76
2009-11-12,20.49,20.54,20.28,20.42,3093200,17.72
2009-11-11,20.50,20.50,20.26,20.38,3339100,17.68
2009-11-10,20.09,20.49,20.09,20.47,5365900,17.76
2009-11-09,19.78,20.33,19.78,20.33,3089300,17.64
