Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,39.03,39.17,38.37,38.40,812200,19.20
2009-12-30,39.15,39.32,38.76,38.92,673800,19.46
2009-12-29,39.06,39.25,38.77,39.13,777800,19.57
2009-12-28,38.64,39.38,38.59,39.06,716400,19.53
2009-12-24,38.84,38.92,38.37,38.53,519400,19.26
2009-12-23,37.57,38.89,37.39,38.49,1878800,19.25
2009-12-22,37.21,37.78,37.20,37.55,1181000,18.77
2009-12-21,37.03,37.23,36.65,37.20,1680200,18.60
2009-12-18,36.43,37.00,35.96,37.00,9027200,18.50
2009-12-17,36.01,36.47,35.67,36.10,1884800,18.05
2009-12-16,35.50,36.95,35.50,36.33,2606600,18.17
2009-12-15,35.91,35.93,35.25,35.35,1357400,17.67
2009-12-14,35.42,36.05,35.42,35.92,1300800,17.96
2009-12-11,35.52,35.85,35.18,35.35,1637400,17.67
2009-12-10,35.34,35.93,35.31,35.61,1618600,17.81
2009-12-09,34.93,35.22,34.45,34.99,1343200,17.50
2009-12-08,34.97,35.45,34.57,35.09,1257800,17.55
2009-12-07,35.31,35.59,35.03,35.29,1034200,17.65
2009-12-04,35.58,35.95,35.16,35.47,1153200,17.74
2009-12-03,35.90,36.00,35.24,35.30,947200,17.65
2009-12-02,35.69,36.28,35.31,35.66,1409800,17.83
2009-12-01,35.07,35.72,34.95,35.64,1617000,17.82
2009-11-30,34.59,35.09,34.33,34.97,1430800,17.49
2009-11-27,34.30,35.20,34.05,34.76,829800,17.38
2009-11-25,35.01,35.28,34.39,35.00,1191600,17.50
2009-11-24,35.74,35.85,34.97,35.00,1435200,17.50
2009-11-23,35.97,36.38,35.59,35.70,2177400,17.85
2009-11-20,35.47,35.49,34.65,35.42,1978000,17.71
2009-11-19,34.78,35.17,34.50,35.11,1731600,17.56
2009-11-18,35.22,35.25,34.96,34.98,2419600,17.49
2009-11-17,35.50,35.68,35.20,35.43,1148000,17.72
2009-11-16,35.31,35.83,35.08,35.60,1514400,17.80
2009-11-13,34.45,35.34,34.39,35.15,2759800,17.58
2009-11-12,34.82,34.89,34.21,34.31,1746000,17.16
2009-11-11,34.46,34.96,34.33,34.79,2005800,17.40
2009-11-10,34.22,34.73,34.02,34.48,3040000,17.24
2009-11-09,34.52,34.82,33.95,34.39,2961200,17.19
2009-11-06,33.35,35.02,32.95,34.46,9042000,17.23
2009-11-05,36.79,37.23,36.28,36.98,2657200,18.49
2009-11-04,37.43,37.43,35.94,36.68,1404600,18.34
2009-11-03,36.42,36.78,36.01,36.64,1224000,18.32
2009-11-02,36.08,36.97,35.68,36.45,1181600,18.23
2009-10-30,36.78,36.99,35.81,36.15,1508400,18.08
2009-10-29,36.67,36.96,35.71,36.90,1524400,18.45
2009-10-28,37.22,37.59,36.63,36.66,1344600,18.33
2009-10-27,37.76,37.91,37.28,37.43,961800,18.72
2009-10-26,37.61,38.46,37.41,37.64,1503200,18.82
2009-10-23,37.59,37.81,36.99,37.45,918400,18.73
2009-10-22,37.08,37.78,36.70,37.57,1417000,18.78
2009-10-21,37.26,37.85,36.99,37.04,1579600,18.52
2009-10-20,37.65,37.87,37.15,37.51,1190000,18.75
2009-10-19,37.81,38.06,37.49,37.89,1128400,18.94
2009-10-16,37.46,37.87,37.09,37.65,1721800,18.83
2009-10-15,37.66,38.10,37.45,37.69,2415200,18.84
2009-10-14,37.70,37.93,37.27,37.91,1633400,18.95
2009-10-13,37.25,37.64,36.68,37.54,2119000,18.77
2009-10-12,36.71,37.55,36.70,37.17,1497600,18.58
2009-10-09,35.79,37.17,35.79,36.96,1790000,18.48
2009-10-08,36.80,37.35,36.60,36.98,2232200,18.49
2009-10-07,36.53,36.88,36.19,36.67,1340600,18.33
2009-10-06,36.07,36.64,35.80,36.54,1805000,18.27
2009-10-05,36.21,36.21,35.70,35.96,1757400,17.98
2009-10-02,35.56,36.40,35.42,36.25,1494800,18.12
2009-10-01,36.65,37.33,35.40,35.88,2117000,17.94
2009-09-30,36.84,37.21,36.02,36.74,1933800,18.37
2009-09-29,36.75,37.06,36.23,36.76,1789800,18.38
2009-09-28,36.07,36.59,35.62,36.47,2078600,18.24
2009-09-25,35.42,36.16,35.42,35.95,2913200,17.98
2009-09-24,35.27,35.65,34.89,35.31,1796400,17.66
2009-09-23,36.14,36.41,35.36,35.36,2328400,17.68
2009-09-22,36.03,36.56,35.63,36.04,2496400,18.02
2009-09-21,35.35,36.06,35.00,36.00,3568000,18.00
2009-09-18,34.66,35.25,34.17,34.97,3233400,17.49
2009-09-17,33.49,35.09,33.04,34.60,3270200,17.30
2009-09-16,32.36,33.25,32.10,33.23,1926000,16.61
2009-09-15,32.12,32.46,31.94,32.38,1797200,16.19
2009-09-14,32.66,32.87,32.18,32.35,1593200,16.17
2009-09-11,32.75,33.61,32.75,32.97,1349000,16.49
2009-09-10,32.50,33.76,32.45,33.42,2763800,16.71
2009-09-09,33.17,33.38,32.36,32.52,2011600,16.26
2009-09-08,32.17,33.63,32.17,33.17,3220600,16.58
2009-09-04,31.98,32.52,31.84,32.08,2020800,16.04
2009-09-03,32.00,32.24,31.68,32.17,2193600,16.08
2009-09-02,31.70,32.24,31.21,31.95,3766400,15.98
2009-09-01,32.66,33.13,31.86,31.87,3699800,15.94
2009-08-31,32.55,32.88,32.25,32.66,2010200,16.33
2009-08-28,32.90,33.36,32.66,32.82,2423200,16.41
2009-08-27,32.20,32.75,31.92,32.62,1791000,16.31
2009-08-26,32.33,32.72,32.11,32.38,2181600,16.19
2009-08-25,32.87,33.18,32.52,32.65,1542200,16.33
2009-08-24,32.99,33.71,32.75,32.94,2267200,16.47
2009-08-21,33.28,33.56,32.82,33.09,1856600,16.55
2009-08-20,32.03,33.26,32.03,32.82,2942000,16.41
2009-08-19,31.75,32.30,31.52,32.03,2366800,16.01
2009-08-18,31.84,32.34,31.84,31.97,2088200,15.98
2009-08-17,31.92,32.35,31.59,31.75,2041800,15.88
2009-08-14,32.71,33.20,32.30,32.61,2370000,16.31
2009-08-13,33.01,33.42,32.65,32.90,2306000,16.45
2009-08-12,33.26,33.60,32.86,32.94,3226600,16.47
2009-08-11,34.75,34.75,33.12,33.44,3799600,16.72
2009-08-10,35.55,35.74,34.04,34.19,4593000,17.09
2009-08-07,34.54,37.04,34.54,36.09,18529600,18.05
2009-08-06,31.76,31.87,30.68,30.68,4718000,15.34
2009-08-05,32.77,32.77,31.45,31.80,2415800,15.90
2009-08-04,32.15,32.83,32.05,32.64,2961800,16.32
2009-08-03,31.55,32.28,31.24,32.25,4292200,16.12
2009-07-31,29.88,31.20,29.75,31.01,4243400,15.51
2009-07-30,29.86,30.08,29.76,29.88,3345000,14.94
2009-07-29,30.09,30.34,29.20,29.28,1992000,14.64
2009-07-28,29.16,29.84,29.11,29.64,2773400,14.82
2009-07-27,29.50,29.64,29.08,29.31,3060800,14.65
2009-07-24,29.78,29.88,29.07,29.66,2661000,14.83
2009-07-23,29.16,30.24,29.12,30.11,3351800,15.06
2009-07-22,28.91,29.32,28.81,29.10,2936800,14.55
2009-07-21,29.59,29.71,28.57,29.16,3085200,14.58
2009-07-20,29.36,29.62,29.05,29.57,3315400,14.78
2009-07-17,29.51,29.68,29.16,29.48,1612400,14.74
2009-07-16,29.48,29.84,29.11,29.42,1815400,14.71
2009-07-15,29.29,29.92,29.06,29.69,1970400,14.85
2009-07-14,29.00,29.36,28.85,29.13,1773800,14.56
2009-07-13,28.71,29.08,27.95,29.00,3376600,14.50
2009-07-10,28.63,28.82,28.41,28.57,2712200,14.28
2009-07-09,28.42,28.92,28.00,28.72,2797600,14.36
2009-07-08,29.16,29.24,27.91,28.27,4796400,14.14
2009-07-07,29.60,29.74,28.86,28.86,3514400,14.43
2009-07-06,29.43,30.07,29.25,29.64,3399600,14.82
2009-07-02,31.01,31.17,30.00,30.17,2383600,15.09
2009-07-01,31.17,31.73,30.83,31.19,3079400,15.60
2009-06-30,31.10,31.29,30.58,30.86,2861800,15.43
2009-06-29,31.77,31.91,30.94,31.15,4107000,15.57
2009-06-26,31.35,31.92,30.50,31.77,3986400,15.89
2009-06-25,30.17,31.20,30.15,31.02,2893400,15.51
2009-06-24,30.59,31.14,30.28,30.39,2704200,15.19
2009-06-23,30.24,30.73,29.90,30.57,3828800,15.28
2009-06-22,30.35,30.37,29.70,29.87,2734600,14.94
2009-06-19,31.00,31.13,30.50,30.77,2975200,15.39
2009-06-18,30.04,30.80,29.65,30.70,2878600,15.35
2009-06-17,30.59,30.82,29.93,30.16,4652600,15.08
2009-06-16,31.03,31.06,30.40,30.60,3177000,15.30
2009-06-15,31.14,31.22,29.71,30.68,4495800,15.34
2009-06-12,32.22,32.42,30.98,31.25,6042200,15.62
2009-06-11,32.70,33.38,32.33,32.40,2521400,16.20
2009-06-10,34.20,34.20,32.50,32.71,4361200,16.35
2009-06-09,33.89,34.23,33.68,34.00,4285600,17.00
2009-06-08,32.02,33.71,32.02,33.49,7223000,16.75
2009-06-05,36.40,36.48,32.04,32.36,15451200,16.18
2009-06-04,36.50,36.71,36.15,36.55,1732600,18.27
2009-06-03,37.31,37.31,36.02,36.41,2042800,18.20
2009-06-02,36.69,37.52,36.02,36.63,3691000,18.32
2009-06-01,36.65,36.65,35.30,36.13,5350400,18.07
2009-05-29,38.14,38.23,35.93,36.68,6978000,18.34
2009-05-28,40.60,40.60,37.44,38.32,3775600,19.16
2009-05-27,40.45,40.59,39.60,39.63,2811200,19.82
2009-05-26,38.73,40.76,38.71,40.37,1895800,20.18
2009-05-22,39.96,40.41,39.20,39.31,1343400,19.66
2009-05-21,40.68,40.95,39.13,39.77,3251800,19.89
2009-05-20,42.17,42.17,40.91,41.14,2428200,20.57
2009-05-19,41.95,42.16,41.06,41.53,3562200,20.76
2009-05-18,43.06,43.19,41.76,42.39,2847200,21.19
2009-05-15,42.94,42.94,42.19,42.61,1825200,21.31
2009-05-14,42.48,43.09,42.25,42.80,2042800,21.40
2009-05-13,43.42,43.65,42.41,42.72,3210000,21.36
2009-05-12,43.28,44.02,42.88,43.61,4529600,21.81
2009-05-11,42.10,43.93,41.64,43.45,5178600,21.73
2009-05-08,41.38,43.39,39.43,42.55,7372000,21.27
2009-05-07,40.00,40.45,38.06,38.06,4767600,19.03
2009-05-06,42.07,42.07,39.39,39.59,3954600,19.80
2009-05-05,42.25,42.50,40.95,41.65,3531400,20.83
2009-05-04,41.24,41.88,40.53,41.87,2203600,20.93
2009-05-01,40.85,41.24,40.28,41.09,1810200,20.55
2009-04-30,41.27,41.63,40.38,40.76,2571400,20.38
2009-04-29,40.14,41.30,40.12,41.17,2655600,20.58
2009-04-28,39.99,40.55,39.21,39.99,3056000,20.00
2009-04-27,38.70,40.64,38.66,39.88,2815400,19.94
2009-04-24,39.50,40.24,39.13,39.89,3113200,19.94
2009-04-23,36.95,39.78,36.57,39.48,6460000,19.74
2009-04-22,36.90,37.44,36.31,37.15,2254000,18.58
2009-04-21,36.05,37.10,36.00,36.90,2572400,18.45
2009-04-20,36.53,37.36,36.04,36.60,2107800,18.30
2009-04-17,36.52,37.35,35.86,37.08,2265400,18.54
2009-04-16,36.01,36.70,35.70,36.59,2099600,18.30
2009-04-15,36.30,36.30,35.13,35.82,1325400,17.91
2009-04-14,36.51,36.70,35.64,35.74,1922800,17.87
2009-04-13,36.70,36.98,36.13,36.64,1433800,18.32
2009-04-09,36.66,37.15,36.20,37.07,2173800,18.53
2009-04-08,36.00,36.32,35.37,36.07,1987400,18.03
2009-04-07,36.29,36.39,35.43,35.53,2055000,17.76
2009-04-06,36.70,36.91,36.25,36.70,1545600,18.35
2009-04-03,37.07,37.45,36.40,37.18,1374400,18.59
2009-04-02,36.70,37.62,36.37,37.10,2992400,18.55
2009-04-01,35.53,36.22,34.89,36.21,2923400,18.10
2009-03-31,36.50,36.50,35.48,36.00,3011200,18.00
2009-03-30,35.78,35.85,35.21,35.50,2539000,17.75
2009-03-27,36.39,36.70,35.82,35.92,2018600,17.96
2009-03-26,35.26,36.75,34.97,36.73,4606000,18.36
2009-03-25,35.33,35.48,34.34,35.35,6258000,17.67
2009-03-24,36.23,36.88,36.00,36.30,3195200,18.15
2009-03-23,35.66,36.57,35.00,36.54,3743000,18.27
2009-03-20,35.77,36.13,34.91,35.00,3759600,17.50
2009-03-19,36.16,36.30,34.80,35.38,2645600,17.69
2009-03-18,36.42,36.88,35.55,35.99,4305200,18.00
2009-03-17,36.05,36.93,35.30,36.78,3273800,18.39
2009-03-16,37.14,37.24,35.90,35.97,3582600,17.99
2009-03-13,36.54,37.08,35.76,36.99,3531000,18.50
2009-03-12,35.64,36.67,35.64,36.47,4200600,18.24
2009-03-11,36.81,36.81,35.29,35.54,3411400,17.77
2009-03-10,35.73,36.96,35.73,36.31,3607000,18.16
2009-03-09,35.25,36.47,35.00,35.82,2895800,17.91
2009-03-06,34.60,35.42,33.91,35.35,5613200,17.67
2009-03-05,35.57,35.66,33.99,34.21,4210000,17.10
