Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,49.46,49.68,48.20,48.23,653800,48.23
2009-12-30,49.16,49.65,48.67,49.32,892900,49.32
2009-12-29,49.98,51.05,49.04,49.53,1180600,49.53
2009-12-28,51.11,51.27,49.55,49.77,1472300,49.77
2009-12-24,50.30,50.71,49.96,50.43,281500,50.43
2009-12-23,48.82,50.10,48.31,50.03,1675500,50.03
2009-12-22,47.89,48.50,47.46,48.08,1143600,48.08
2009-12-21,47.75,48.54,47.58,47.87,1363500,47.87
2009-12-18,46.61,47.92,46.61,47.26,2359700,47.26
2009-12-17,46.07,46.61,45.34,46.33,1784600,46.33
2009-12-16,45.79,46.44,45.01,46.31,1641700,46.31
2009-12-15,44.21,45.86,43.90,45.56,1815600,45.56
2009-12-14,43.41,45.25,43.06,44.42,2998200,44.42
2009-12-11,42.01,42.21,41.04,41.18,1757800,41.18
2009-12-10,40.09,41.67,40.07,41.66,1584900,41.66
2009-12-09,40.21,40.36,39.26,39.67,1370300,39.67
2009-12-08,40.58,40.90,39.84,39.99,1193600,39.99
2009-12-07,40.82,41.87,40.64,41.02,1081300,41.02
2009-12-04,42.09,42.95,40.44,41.07,1486500,41.07
2009-12-03,42.75,42.95,41.21,41.24,2417200,41.24
2009-12-02,43.10,43.78,42.37,42.65,1367800,42.65
2009-12-01,42.76,43.50,42.74,43.45,1263400,43.45
2009-11-30,42.17,42.60,41.59,42.28,1245800,42.28
2009-11-27,41.93,42.90,41.21,42.42,732100,42.42
2009-11-25,43.31,43.83,42.21,43.73,1545400,43.73
2009-11-24,41.85,43.20,41.05,42.88,2431100,42.88
2009-11-23,42.54,43.06,41.74,41.97,1944400,41.97
2009-11-20,42.13,42.13,40.79,41.12,2252600,41.12
2009-11-19,43.58,43.79,42.14,42.38,1220000,42.38
2009-11-18,44.09,44.46,43.39,43.95,1789600,43.95
2009-11-17,45.23,45.93,43.63,43.95,2182100,43.95
2009-11-16,44.79,45.79,44.79,45.36,1326800,45.36
2009-11-13,43.88,44.41,43.28,44.18,1334500,44.18
2009-11-12,45.75,45.90,43.47,43.80,1585000,43.80
2009-11-11,46.24,46.67,45.77,46.07,1675300,46.07
2009-11-10,44.55,45.76,44.55,45.63,1922500,45.63
2009-11-09,43.42,45.11,43.42,45.09,1510600,45.09
2009-11-06,42.80,43.65,42.41,42.87,1241000,42.87
2009-11-05,42.45,43.44,41.61,43.44,1967700,43.44
2009-11-04,43.92,44.35,41.99,42.14,3271500,42.14
2009-11-03,41.22,43.79,40.81,43.36,2329300,43.36
2009-11-02,41.72,42.72,40.91,41.85,2029600,41.85
2009-10-30,43.47,43.47,40.14,41.02,2160900,41.02
2009-10-29,42.55,44.39,42.55,43.63,1947400,43.63
2009-10-28,44.85,44.92,41.87,42.02,2460200,42.02
2009-10-27,45.54,46.30,44.76,45.30,1652900,45.30
2009-10-26,46.53,47.76,44.77,45.25,1339200,45.25
2009-10-23,48.06,48.62,45.45,46.08,2506000,46.08
2009-10-22,47.44,48.61,45.54,47.50,3298900,47.50
2009-10-21,49.17,50.28,47.92,48.04,2524700,48.04
2009-10-20,49.35,49.36,47.62,49.16,1478000,49.16
2009-10-19,48.16,49.30,47.84,49.25,1278100,49.25
2009-10-16,48.50,48.78,47.51,47.94,2168700,47.94
2009-10-15,48.18,48.80,47.53,48.53,2576500,48.53
2009-10-14,48.03,48.68,47.27,47.72,1937600,47.72
2009-10-13,45.87,46.72,44.96,46.63,1503600,46.63
2009-10-12,46.58,47.29,45.66,45.91,1392700,45.91
2009-10-09,45.94,46.24,45.05,45.66,1163100,45.66
2009-10-08,45.51,46.42,45.18,45.95,1739600,45.95
2009-10-07,45.73,45.85,44.28,44.96,2141200,44.96
2009-10-06,45.19,46.99,45.06,45.76,3015700,45.76
2009-10-05,41.53,43.89,41.31,43.78,2257300,43.78
2009-10-02,40.61,41.97,40.41,41.53,1763700,41.53
2009-10-01,42.38,42.75,41.30,41.38,1801500,41.38
2009-09-30,42.40,42.98,41.34,42.56,1744000,42.56
2009-09-29,41.51,42.49,41.39,42.20,1594800,42.20
2009-09-28,41.40,42.15,41.03,41.83,1932000,41.83
2009-09-25,41.19,41.78,40.45,41.19,2158300,41.19
2009-09-24,42.94,43.18,40.89,41.25,2345700,41.25
2009-09-23,43.99,44.21,42.21,43.00,1420800,43.00
2009-09-22,44.59,44.59,43.56,43.95,1759500,43.95
2009-09-21,43.24,43.58,42.72,43.45,1384800,43.45
2009-09-18,45.05,45.30,43.69,44.01,1586500,44.01
