Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,24.94,24.95,24.48,24.53,17705800,23.83
2009-12-30,24.92,25.05,24.70,24.93,18696900,24.22
2009-12-29,25.01,25.11,24.91,25.01,16212700,24.30
2009-12-28,24.83,24.99,24.72,24.97,15927000,24.26
2009-12-24,24.72,24.96,24.67,24.95,7782800,24.24
2009-12-23,24.46,24.75,24.36,24.73,19256700,24.02
2009-12-22,24.51,24.63,24.24,24.46,23847300,23.76
2009-12-21,24.39,24.57,24.22,24.43,26935600,23.73
2009-12-18,24.01,24.74,23.98,24.34,88242800,23.65
2009-12-17,23.07,23.19,22.77,22.88,35972700,22.23
2009-12-16,23.35,23.46,23.08,23.12,30030500,22.46
2009-12-15,23.11,23.46,23.06,23.16,24653500,22.50
2009-12-14,22.96,23.44,22.91,23.31,32292200,22.64
2009-12-11,22.70,22.86,22.49,22.78,26740200,22.13
2009-12-10,22.33,22.67,22.23,22.59,34868100,21.95
2009-12-09,21.99,22.02,21.62,21.95,28550500,21.32
2009-12-08,22.31,22.36,21.89,21.91,27902300,21.28
2009-12-07,22.72,22.89,22.35,22.48,24138200,21.84
2009-12-04,22.81,23.00,22.55,22.83,27813700,22.18
2009-12-03,22.66,22.91,22.60,22.64,22492000,21.99
2009-12-02,22.53,22.75,22.41,22.66,21150900,22.01
2009-12-01,22.16,22.57,22.08,22.44,28447600,21.80
2009-11-30,22.01,22.15,21.80,22.08,26291600,21.45
2009-11-27,22.16,22.30,22.00,22.09,12569200,21.46
2009-11-25,22.34,22.72,22.20,22.60,24123400,21.96
2009-11-24,22.70,22.70,22.09,22.14,24232700,21.51
2009-11-23,22.58,22.72,22.45,22.60,22713700,21.96
2009-11-20,22.27,22.39,22.18,22.34,24494000,21.70
2009-11-19,22.69,22.71,22.23,22.39,17651400,21.75
2009-11-18,22.66,22.82,22.54,22.80,14827500,22.15
2009-11-17,22.71,22.80,22.60,22.80,26126700,22.15
2009-11-16,22.36,22.89,22.30,22.83,33380000,22.18
2009-11-13,22.05,22.36,21.95,22.34,24660800,21.70
2009-11-12,22.01,22.13,21.94,22.04,24304600,21.41
2009-11-11,21.83,22.05,21.75,21.90,19488300,21.28
2009-11-10,21.64,21.88,21.60,21.80,22687000,21.18
2009-11-09,21.61,21.87,21.50,21.83,22678000,21.21
