Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,32.90,33.05,32.31,32.31,792200,27.72
2009-12-30,32.75,32.98,32.68,32.98,718800,28.29
2009-12-29,32.99,32.99,32.85,32.91,928300,28.23
2009-12-28,32.95,32.95,32.78,32.90,1019500,28.22
2009-12-24,32.35,32.83,32.35,32.82,457200,28.15
2009-12-23,32.23,32.42,32.12,32.39,961900,27.79
2009-12-22,32.58,32.75,32.10,32.14,1288200,27.57
2009-12-21,32.85,32.94,32.52,32.59,1152900,27.96
2009-12-18,32.49,32.74,32.29,32.65,2538300,28.01
2009-12-17,32.45,32.46,32.11,32.37,1466700,27.77
2009-12-16,32.58,32.69,32.35,32.47,1664000,27.85
2009-12-15,32.30,32.38,32.07,32.38,1358400,27.78
2009-12-14,32.54,32.82,32.23,32.38,1414300,27.78
2009-12-11,31.87,32.57,31.87,32.40,1459200,27.79
2009-12-10,31.50,31.88,31.38,31.87,1472100,27.34
2009-12-09,31.23,31.40,31.01,31.24,1218500,26.80
2009-12-08,31.39,31.42,31.00,31.23,1188100,26.79
2009-12-07,31.71,32.01,31.48,31.79,1159500,26.97
2009-12-04,32.00,32.20,31.14,31.63,1914700,26.84
2009-12-03,31.55,31.96,31.42,31.64,1320900,26.85
2009-12-02,31.20,31.78,31.20,31.50,2084900,26.73
2009-12-01,30.71,31.28,30.71,31.23,1581900,26.50
2009-11-30,30.40,30.66,30.34,30.52,1545900,25.90
2009-11-27,30.46,30.82,30.20,30.46,705800,25.85
2009-11-25,30.79,31.14,30.70,30.99,1415900,26.30
2009-11-24,30.76,30.91,30.53,30.78,1624300,26.12
2009-11-23,30.44,30.81,30.29,30.69,1715200,26.04
2009-11-20,29.80,30.35,29.75,30.14,2618300,25.57
2009-11-19,30.17,30.17,29.66,29.84,1454600,25.32
2009-11-18,30.49,30.60,30.10,30.25,1216200,25.67
2009-11-17,30.71,30.77,30.46,30.55,1256200,25.92
2009-11-16,30.38,30.82,30.31,30.76,1383200,26.10
2009-11-13,30.06,30.47,29.90,30.19,2056900,25.62
2009-11-12,30.61,30.72,30.04,30.08,1197400,25.52
2009-11-11,30.80,30.91,30.43,30.53,1301000,25.91
2009-11-10,30.18,30.86,30.15,30.67,2050400,26.02
2009-11-09,29.96,30.37,29.84,30.37,1879200,25.77
2009-11-06,30.04,30.09,29.68,29.85,1910500,25.33
2009-11-05,29.76,30.13,29.68,29.99,1647100,25.45
2009-11-04,29.38,29.98,29.27,29.57,1897100,25.09
2009-11-03,29.33,29.51,29.16,29.24,1649700,24.81
2009-11-02,29.47,29.68,29.04,29.46,1976800,25.00
2009-10-30,30.13,30.19,29.44,29.44,4415100,24.98
2009-10-29,29.67,30.11,29.19,30.09,3214100,25.53
2009-10-28,29.89,30.01,29.35,29.48,3486700,25.01
