Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,82.66,82.66,80.98,80.98,371300,79.40
2009-12-30,82.07,82.65,81.88,82.54,289100,80.93
2009-12-29,82.47,82.56,81.24,82.41,498900,80.80
2009-12-28,82.84,83.26,81.67,82.06,484100,80.46
2009-12-24,81.87,82.56,81.64,82.41,265000,80.80
2009-12-23,81.79,82.28,80.99,81.89,540200,80.29
2009-12-22,80.94,81.72,80.41,81.38,623600,79.79
2009-12-21,80.03,81.30,79.94,81.05,469800,79.37
2009-12-18,79.30,80.18,78.23,79.71,1124700,78.06
2009-12-17,79.13,79.65,78.85,78.92,685200,77.28
2009-12-16,80.40,81.10,79.73,79.83,536000,78.17
2009-12-15,81.78,81.78,79.59,79.94,734900,78.28
2009-12-14,82.04,82.04,80.70,81.87,446000,80.17
2009-12-11,80.83,81.49,79.65,81.20,911700,79.52
2009-12-10,79.55,81.02,79.51,80.12,639400,78.46
2009-12-09,78.99,79.22,78.07,79.16,516100,77.52
2009-12-08,79.38,79.94,78.80,79.31,510400,77.66
2009-12-07,81.54,81.71,79.96,80.25,858200,78.58
2009-12-04,81.14,82.51,80.25,81.56,1655900,79.87
2009-12-03,80.87,81.10,79.89,80.18,1222200,78.52
2009-12-02,79.00,81.47,78.54,81.18,1907000,79.50
2009-12-01,78.03,79.33,77.80,78.80,1463400,77.17
2009-11-30,77.99,78.60,76.09,76.85,1332500,75.26
2009-11-27,77.28,78.48,75.37,77.11,982600,75.51
2009-11-25,78.17,79.50,78.03,79.16,1184600,77.52
2009-11-24,79.32,79.77,77.32,77.62,1327700,76.01
2009-11-23,79.81,80.61,78.46,78.91,1103200,77.27
2009-11-20,78.39,79.29,77.91,78.57,1172900,76.94
2009-11-19,78.86,79.00,77.34,78.71,1301600,77.08
2009-11-18,80.27,80.99,78.86,79.46,1197000,77.81
2009-11-17,81.82,81.82,78.98,80.28,1435700,78.61
2009-11-16,81.77,82.49,81.16,81.79,1169900,80.09
2009-11-13,79.60,81.34,78.92,80.84,1077700,79.16
2009-11-12,81.10,81.42,78.88,79.12,1348500,77.48
2009-11-11,81.40,83.00,80.70,81.51,1378700,79.82
2009-11-10,83.28,83.50,80.39,80.64,2104600,78.97
2009-11-09,78.81,82.07,78.44,81.68,2510300,79.99
2009-11-06,77.36,78.59,76.56,77.99,1653500,76.37
2009-11-05,77.22,77.77,75.32,77.72,1597700,76.11
2009-11-04,78.67,78.89,75.05,75.30,2362100,73.74
2009-11-03,78.51,79.98,76.34,78.47,3979700,76.84
2009-11-02,75.15,77.77,74.07,76.71,1985300,75.12
2009-10-30,75.64,77.24,74.00,74.42,1764900,72.88
2009-10-29,73.21,76.24,72.83,75.94,1585800,74.36
2009-10-28,74.47,75.51,71.71,71.82,1710000,70.33
2009-10-27,77.69,77.69,74.59,74.93,1406300,73.38
2009-10-26,78.19,80.45,77.89,78.29,1170500,76.67
2009-10-23,79.01,79.19,77.29,78.05,781600,76.43
2009-10-22,76.18,79.19,76.00,78.80,1231700,77.17
2009-10-21,77.94,78.81,75.81,75.95,768800,74.37
2009-10-20,77.89,79.12,77.11,78.22,1076700,76.60
2009-10-19,77.00,79.80,77.00,79.10,938300,77.46
2009-10-16,76.81,77.59,76.28,76.91,575600,75.31
2009-10-15,77.40,78.48,76.89,77.70,905400,76.09
2009-10-14,76.97,78.30,76.85,77.91,812400,76.29
2009-10-13,75.55,76.42,74.54,76.03,775200,74.45
2009-10-12,76.57,77.31,74.76,74.94,1173200,73.39
2009-10-09,75.70,76.32,74.69,76.21,723200,74.63
2009-10-08,75.84,76.00,74.85,75.60,1150600,74.03
2009-10-07,74.58,75.98,74.37,75.25,749300,73.69
2009-10-06,76.20,76.58,74.19,74.82,1238500,73.27
2009-10-05,73.77,75.91,73.57,75.75,643600,74.18
2009-10-02,72.90,74.35,72.35,73.28,969200,71.76
2009-10-01,76.13,76.66,73.71,73.81,893000,72.28
2009-09-30,77.84,77.87,76.00,76.62,857400,75.03
2009-09-29,77.18,78.54,76.39,77.38,1965500,75.77
2009-09-28,72.68,74.50,72.51,74.23,583100,72.69
2009-09-25,73.61,73.62,71.93,72.22,1105700,70.72
2009-09-24,75.80,75.87,73.15,73.62,1223100,72.09
2009-09-23,77.45,77.96,75.46,75.65,998400,74.08
2009-09-22,76.66,78.44,76.47,77.40,1441400,75.75
2009-09-21,75.00,76.87,74.61,76.34,1140400,74.71
2009-09-18,75.85,76.28,75.32,75.50,1249100,73.89
2009-09-17,74.40,76.01,74.40,75.52,1775300,73.91
2009-09-16,70.20,74.92,69.42,74.43,2551900,72.84
2009-09-15,69.39,70.00,68.43,69.61,871000,68.12
2009-09-14,68.80,69.94,68.26,69.48,677900,67.99
2009-09-11,69.10,69.80,68.85,69.50,951400,68.01
2009-09-10,69.33,69.85,68.17,69.11,641600,67.63
2009-09-09,68.47,69.65,68.12,69.24,901700,67.76
2009-09-08,67.48,68.72,67.35,68.67,1455200,67.20
2009-09-04,65.94,67.28,65.43,66.75,675300,65.32
2009-09-03,64.74,66.01,64.35,65.94,925200,64.53
2009-09-02,64.04,65.09,64.00,64.16,1053400,62.79
2009-09-01,66.02,67.63,64.51,64.67,1419700,63.29
2009-08-31,68.14,68.49,65.97,66.38,1220000,64.96
2009-08-28,70.00,70.00,68.29,68.72,671600,67.25
2009-08-27,68.15,69.53,66.57,69.13,1181600,67.65
2009-08-26,67.33,68.64,67.15,68.17,1168200,66.71
2009-08-25,66.93,68.24,66.22,67.53,718100,66.09
2009-08-24,67.03,67.87,66.11,66.22,1236700,64.80
2009-08-21,67.74,67.84,66.62,67.03,1591500,65.60
2009-08-20,67.13,68.21,66.25,67.00,1838600,65.57
2009-08-19,65.78,67.61,65.42,67.16,1787000,65.72
2009-08-18,64.71,66.91,64.60,66.78,1525200,65.35
2009-08-17,64.27,64.73,63.13,64.38,1931200,63.00
2009-08-14,67.03,67.33,65.04,65.46,1213800,64.06
2009-08-13,68.20,68.20,66.01,66.94,1590500,65.51
2009-08-12,68.47,69.30,68.02,68.41,1117700,66.95
2009-08-11,67.93,69.38,67.60,68.68,2150900,67.21
2009-08-10,70.40,71.12,68.10,68.24,2354900,66.78
2009-08-07,69.14,71.30,68.94,71.09,2667100,69.57
2009-08-06,67.83,68.93,67.25,68.81,2140200,67.34
2009-08-05,65.63,68.61,65.02,68.31,3235700,66.85
2009-08-04,64.46,64.62,63.05,63.79,1791100,62.43
2009-08-03,63.44,64.58,62.41,64.58,800300,63.20
2009-07-31,62.68,64.15,62.39,63.05,930500,61.70
2009-07-30,62.40,63.59,62.13,63.05,1132000,61.70
2009-07-29,61.26,62.59,60.54,61.41,1034900,60.10
2009-07-28,61.20,61.70,60.24,61.53,1165000,60.21
2009-07-27,61.21,62.06,60.30,62.02,1184800,60.69
2009-07-24,60.66,61.68,60.09,61.52,881300,60.20
2009-07-23,58.03,61.50,57.62,61.22,1864300,59.91
2009-07-22,56.95,58.92,56.60,58.13,1400200,56.89
2009-07-21,56.80,57.09,55.80,57.05,1364800,55.83
2009-07-20,55.49,56.47,55.19,56.43,967500,55.22
2009-07-17,55.21,55.63,54.89,55.53,1548400,54.34
2009-07-16,53.99,55.15,53.14,54.97,1167400,53.79
2009-07-15,53.20,54.40,52.16,54.28,1197100,53.12
2009-07-14,51.01,52.18,50.44,52.14,826800,51.03
2009-07-13,50.40,51.40,49.57,51.12,1097200,50.03
2009-07-10,50.10,51.29,50.10,50.54,908800,49.46
2009-07-09,50.70,51.33,50.02,50.24,1131700,49.17
2009-07-08,49.40,50.80,49.24,50.58,1527000,49.50
2009-07-07,50.30,50.53,49.20,49.36,1375300,48.30
2009-07-06,51.05,51.51,49.60,50.58,1247500,49.50
