Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,50.87,51.10,49.79,49.85,1015800,49.40
2009-12-30,50.98,50.98,50.04,50.70,1222500,50.24
2009-12-29,52.83,52.89,51.00,51.08,1856300,50.62
2009-12-28,53.20,53.44,52.22,52.45,1733100,51.98
2009-12-24,52.88,53.05,52.49,53.00,536600,52.52
2009-12-23,52.23,52.58,51.75,52.45,1155700,51.98
2009-12-22,52.44,52.44,51.38,51.94,1677200,51.47
2009-12-21,52.28,52.28,50.88,51.65,2628100,51.18
2009-12-18,50.10,51.12,50.01,51.12,4001500,50.66
2009-12-17,49.09,49.99,48.47,49.44,3250900,48.99
2009-12-16,47.55,49.92,47.51,49.39,5063200,48.94
2009-12-15,47.19,48.03,46.87,47.34,3609200,46.91
2009-12-14,46.40,48.11,45.85,47.29,5757300,46.86
2009-12-11,44.08,44.10,43.19,43.38,3235700,42.99
2009-12-10,43.08,44.63,43.06,44.04,4386200,43.60
2009-12-09,43.53,43.68,41.99,42.62,4795200,42.20
2009-12-08,44.57,44.88,43.15,43.34,4250600,42.91
2009-12-07,45.08,45.94,44.78,44.89,4497700,44.44
2009-12-04,47.74,48.39,44.98,45.18,4917800,44.73
2009-12-03,47.34,48.10,46.74,46.88,2173200,46.42
2009-12-02,47.37,48.15,47.29,47.43,3352900,46.96
2009-12-01,48.03,48.40,47.64,47.78,1698200,47.31
2009-11-30,47.32,48.39,46.53,47.13,3065800,46.66
2009-11-27,46.95,48.26,46.50,47.93,1590100,47.45
2009-11-25,47.25,48.93,46.69,48.88,3361700,48.40
2009-11-24,46.50,47.31,46.42,47.06,2378500,46.59
2009-11-23,47.84,48.13,46.81,46.99,2367100,46.52
2009-11-20,46.09,47.21,46.01,46.49,4482800,46.03
2009-11-19,47.23,47.23,45.62,46.64,3497300,46.18
2009-11-18,48.77,49.14,47.13,47.40,2488900,46.93
2009-11-17,48.89,49.11,48.05,48.72,2594200,48.24
2009-11-16,48.34,49.86,48.34,48.96,2507100,48.47
2009-11-13,49.22,49.32,47.48,48.08,3946200,47.60
2009-11-12,50.98,51.22,48.72,48.98,3386600,48.49
2009-11-11,52.46,52.54,50.62,51.20,1677500,50.69
2009-11-10,52.43,52.90,51.52,52.04,1401300,51.52
2009-11-09,50.89,52.74,50.89,52.74,1938700,52.22
2009-11-06,50.64,51.85,50.04,50.42,2047400,49.92
2009-11-05,50.92,51.81,50.31,51.61,2055700,51.10
2009-11-04,52.19,52.49,50.52,50.70,1994400,50.20
2009-11-03,49.36,51.72,49.05,51.33,2140700,50.82
2009-11-02,50.41,51.46,49.39,50.20,2052700,49.70
2009-10-30,52.84,53.45,49.67,50.05,3640900,49.55
2009-10-29,51.32,53.02,51.32,53.00,1737500,52.47
2009-10-28,53.40,53.51,50.53,50.60,3195900,50.10
2009-10-27,53.92,54.90,53.09,53.27,2527600,52.74
2009-10-26,55.37,56.73,53.65,53.84,1970200,53.31
2009-10-23,57.20,57.43,54.55,54.98,3082100,54.43
2009-10-22,57.60,57.78,55.84,56.79,2882100,56.23
2009-10-21,58.17,60.13,57.44,58.44,3352400,57.86
2009-10-20,58.51,59.00,57.19,58.74,1883800,58.16
2009-10-19,57.20,58.55,56.74,58.39,1861100,57.81
2009-10-16,56.40,57.32,55.65,57.10,2378900,56.53
2009-10-15,54.71,56.99,54.63,56.96,2047400,56.40
2009-10-14,54.94,55.41,54.69,55.25,2226600,54.70
2009-10-13,53.31,53.97,52.27,53.81,2088300,53.28
2009-10-12,53.37,54.02,52.92,53.36,1244300,52.83
2009-10-09,52.89,53.51,52.35,53.04,1344400,52.51
