Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,28.37,28.38,27.91,27.94,1734000,25.33
2009-12-30,28.39,28.41,28.15,28.30,2045700,25.65
2009-12-29,28.57,28.57,28.24,28.34,2289400,25.69
2009-12-28,28.63,28.71,28.46,28.62,1975600,25.72
2009-12-24,28.48,28.72,28.44,28.53,918800,25.63
2009-12-23,28.51,28.66,28.34,28.53,2359500,25.63
2009-12-22,27.99,28.43,27.94,28.32,2870800,25.45
2009-12-21,27.65,28.02,27.51,27.81,3692300,24.99
2009-12-18,27.65,27.80,26.98,27.39,8324600,24.61
2009-12-17,27.86,27.89,27.58,27.58,2992300,24.78
2009-12-16,28.33,28.57,27.95,27.97,4066700,25.13
2009-12-15,28.49,28.60,28.13,28.21,4686800,25.35
2009-12-14,29.34,29.48,28.49,28.66,5157200,25.75
2009-12-11,29.07,29.36,29.01,29.33,3728500,26.35
2009-12-10,28.73,29.07,28.73,28.93,3789600,25.99
2009-12-09,28.99,28.99,28.36,28.62,4130900,25.72
2009-12-08,28.87,28.87,28.51,28.80,5822300,25.88
2009-12-07,28.31,28.65,28.20,28.48,3981500,25.59
2009-12-04,28.20,28.40,27.93,28.28,4185200,25.41
2009-12-03,28.13,28.18,27.77,27.99,4193000,25.15
2009-12-02,28.09,28.22,27.76,28.00,5383300,25.16
2009-12-01,27.24,27.63,27.20,27.59,4436600,24.79
2009-11-30,27.20,27.21,26.90,27.04,4522400,24.30
2009-11-27,26.88,27.00,26.50,26.83,1483800,24.11
2009-11-25,27.33,27.42,27.10,27.20,2620700,24.44
2009-11-24,27.42,27.50,27.12,27.22,3172100,24.46
2009-11-23,27.33,27.75,27.15,27.44,3696100,24.66
2009-11-20,27.01,27.30,26.93,27.04,3797700,24.30
2009-11-19,27.15,27.22,26.78,26.94,4728200,24.21
2009-11-18,27.46,27.46,27.25,27.32,2922100,24.55
2009-11-17,27.28,27.39,27.16,27.35,2098200,24.57
2009-11-16,27.15,27.41,27.08,27.35,2490000,24.57
2009-11-13,26.86,27.08,26.75,27.02,2820800,24.28
2009-11-12,26.87,27.22,26.78,26.81,3237400,24.09
2009-11-11,27.29,27.36,26.83,26.91,4135200,24.18
2009-11-10,27.32,27.48,27.09,27.16,4426700,24.40
2009-11-09,27.07,27.48,27.00,27.44,4173000,24.66
2009-11-06,26.68,27.19,26.50,26.91,4567100,24.18
2009-11-05,26.51,26.84,26.50,26.84,3598600,24.12
2009-11-04,26.46,26.85,26.30,26.49,3760500,23.80
2009-11-03,26.41,26.57,25.93,26.41,5652700,23.73
2009-11-02,26.62,26.73,26.07,26.50,8146500,23.81
2009-10-30,27.39,27.44,26.44,26.45,8482200,23.77
2009-10-29,27.09,27.41,26.91,27.41,3852000,24.63
2009-10-28,27.64,27.82,27.00,27.01,5748000,24.27
2009-10-27,27.39,27.71,27.17,27.61,5225300,24.81
2009-10-26,27.31,27.85,27.14,27.27,4946400,24.50
2009-10-23,27.53,27.59,27.10,27.23,3566000,24.47
2009-10-22,27.43,27.58,27.10,27.53,3807100,24.74
2009-10-21,27.43,27.72,27.16,27.19,4154200,24.43
2009-10-20,27.48,27.52,27.12,27.39,3970100,24.61
2009-10-19,27.14,27.53,27.02,27.51,5616800,24.72
2009-10-16,26.63,27.21,26.45,27.14,7189500,24.39
2009-10-15,26.00,26.81,25.90,26.71,5678400,24.00
