Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,44.49,44.62,43.95,43.95,550200,28.30
2009-12-30,43.75,44.27,43.53,44.22,592800,28.47
2009-12-29,44.00,44.13,43.78,43.87,479200,28.25
2009-12-28,44.39,44.56,43.69,43.80,512200,28.20
2009-12-24,44.14,44.19,43.67,44.09,216000,28.39
2009-12-23,44.10,44.10,43.75,43.84,440200,28.23
2009-12-22,43.90,44.47,43.81,43.89,612600,28.26
2009-12-21,42.86,43.85,42.83,43.81,1253600,28.21
2009-12-18,43.23,43.23,41.88,42.81,1351600,27.56
2009-12-17,44.00,44.26,42.88,42.99,1250700,27.68
2009-12-16,44.33,45.18,44.20,44.31,1202400,28.53
2009-12-15,44.89,45.10,43.77,43.92,1515200,28.28
2009-12-14,44.74,45.54,44.61,45.35,1362300,29.20
2009-12-11,43.87,44.35,43.09,44.33,1769100,28.54
2009-12-10,43.65,43.87,43.41,43.60,854000,28.07
2009-12-09,43.07,43.69,42.98,43.59,887000,28.06
2009-12-08,43.03,43.44,42.83,43.10,814500,27.75
2009-12-07,43.70,44.15,43.06,43.29,707000,27.87
2009-12-04,43.33,43.84,42.67,43.65,1397600,28.10
2009-12-03,43.79,44.33,42.31,42.42,1133700,27.31
2009-12-02,43.47,43.75,43.11,43.64,734200,28.10
2009-12-01,43.94,44.00,43.21,43.50,1103800,28.01
2009-11-30,42.70,43.63,42.45,43.48,1309400,27.99
2009-11-27,41.99,43.01,41.84,42.62,842200,27.44
2009-11-25,43.32,43.69,42.94,43.58,567200,28.06
2009-11-24,42.71,43.16,42.21,43.08,980100,27.74
2009-11-23,43.09,43.09,42.27,42.60,706500,27.43
2009-11-20,42.44,42.56,41.97,42.32,808000,27.25
2009-11-19,43.22,43.40,42.36,42.76,778800,27.53
2009-11-18,43.74,43.96,43.54,43.71,744300,28.14
2009-11-17,43.73,44.02,43.59,43.87,689200,28.25
2009-11-16,43.15,44.34,43.05,44.15,1247800,28.43
2009-11-13,42.66,42.90,42.27,42.71,1135400,27.50
2009-11-12,43.26,43.26,42.33,42.41,1434300,27.31
2009-11-11,43.29,43.77,43.14,43.46,1443300,27.98
2009-11-10,43.18,43.37,42.49,42.93,951000,27.64
2009-11-09,42.39,43.59,42.29,43.48,1008900,27.99
2009-11-06,41.44,42.42,40.87,41.91,1384400,26.98
2009-11-05,40.74,41.38,40.14,41.34,1184400,26.62
2009-11-04,40.97,41.62,40.23,40.42,1935800,26.02
2009-11-03,40.12,40.97,39.91,40.54,1753200,26.10
