Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,29.22,29.46,29.03,29.14,5099900,26.81
2009-12-30,29.24,29.43,29.06,29.25,5518800,26.91
2009-12-29,29.50,29.61,29.28,29.45,4862900,27.10
2009-12-28,29.24,29.42,29.09,29.23,4178000,26.90
2009-12-24,29.23,29.46,29.15,29.28,2089500,26.94
2009-12-23,29.69,29.73,29.19,29.35,3943300,27.01
2009-12-22,30.45,30.45,29.38,29.53,7804900,27.17
2009-12-21,29.41,30.40,29.32,30.37,5905900,27.94
2009-12-18,29.65,29.65,28.99,29.45,13369100,27.10
2009-12-17,29.95,29.95,29.05,29.50,11101500,27.14
2009-12-16,30.30,30.30,30.03,30.04,7820000,27.64
2009-12-15,30.40,30.56,30.10,30.14,7327500,27.73
2009-12-14,30.68,30.76,30.21,30.42,8792700,27.99
2009-12-11,30.36,30.94,30.30,30.58,9361200,28.14
2009-12-10,29.87,30.74,29.64,30.45,10527200,28.02
2009-12-09,30.79,31.47,30.62,31.37,9216200,28.86
2009-12-08,31.29,31.29,30.48,30.65,9299800,28.20
2009-12-07,31.38,31.71,31.18,31.33,5446000,28.83
2009-12-04,31.46,31.50,30.91,31.42,5976600,28.91
2009-12-03,31.01,31.37,30.89,31.11,6079000,28.63
2009-12-02,31.10,31.43,30.68,30.90,4625800,28.43
2009-12-01,30.98,31.36,30.72,31.21,5602700,28.72
2009-11-30,30.72,30.83,30.22,30.72,7495500,28.27
2009-11-27,30.56,31.02,30.31,30.85,3064500,28.39
2009-11-25,31.36,31.48,30.78,31.32,6837300,28.82
2009-11-24,31.93,32.10,31.30,31.45,6685700,28.94
2009-11-23,31.89,32.34,31.79,32.10,5356600,29.36
2009-11-20,32.19,32.19,31.54,31.64,5601200,28.94
2009-11-19,32.54,32.64,31.67,32.30,6137500,29.55
2009-11-18,32.48,32.85,32.37,32.82,7536600,30.02
2009-11-17,32.37,32.63,31.91,32.55,7205600,29.78
2009-11-16,32.15,32.50,31.80,32.35,5753900,29.59
2009-11-13,31.57,32.04,31.55,31.95,5422900,29.23
2009-11-12,31.71,31.89,31.37,31.54,6298300,28.85
2009-11-11,31.77,32.06,31.54,31.91,6704800,29.19
2009-11-10,31.54,32.01,31.13,31.70,5958000,29.00
2009-11-09,31.05,31.66,30.97,31.64,6846000,28.94
2009-11-06,30.79,31.13,30.45,31.01,6723700,28.37
2009-11-05,30.17,31.24,30.17,31.13,6713400,28.48
