Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,50.45,50.45,49.80,49.83,1387000,22.62
2009-12-30,50.06,50.62,50.06,50.42,1437000,22.89
2009-12-29,49.93,50.40,49.92,50.27,1490200,22.82
2009-12-28,49.91,50.00,49.77,49.94,1063000,22.67
2009-12-24,49.61,49.97,49.59,49.97,574800,22.68
2009-12-23,49.11,49.58,48.59,49.50,2270800,22.47
2009-12-22,48.86,49.31,48.71,49.00,1848400,22.24
2009-12-21,48.61,49.24,48.59,48.86,1662600,22.18
2009-12-18,48.20,48.62,48.10,48.58,2283800,22.05
2009-12-17,47.77,48.10,47.52,47.97,1574000,21.78
2009-12-16,47.99,48.20,47.72,48.08,1788800,21.83
2009-12-15,48.20,48.20,47.74,47.87,1713400,21.73
2009-12-14,48.41,48.69,48.11,48.30,1970000,21.93
2009-12-11,47.49,48.32,47.41,48.23,3745000,21.89
2009-12-10,46.77,47.06,46.46,47.00,1604200,21.34
2009-12-09,46.36,46.44,45.95,46.41,1057400,21.07
2009-12-08,46.39,46.54,45.87,46.28,946200,21.01
2009-12-07,46.29,46.79,46.26,46.48,1050000,21.10
2009-12-04,46.49,46.72,45.78,46.31,1489600,21.02
2009-12-03,46.20,46.50,46.05,46.13,1234800,20.94
2009-12-02,45.85,46.20,45.68,46.16,1805200,20.95
2009-12-01,45.28,45.86,45.28,45.80,1618400,20.79
2009-11-30,45.06,45.36,44.83,45.10,1781000,20.47
2009-11-27,45.02,45.46,44.73,45.02,617600,20.44
2009-11-25,45.62,45.81,45.44,45.64,1660800,20.72
2009-11-24,45.65,45.75,45.43,45.71,878000,20.75
2009-11-23,45.28,45.89,45.12,45.70,1066200,20.75
2009-11-20,44.22,45.14,44.22,45.10,2302800,20.47
2009-11-19,44.61,44.83,44.20,44.44,1097800,20.17
2009-11-18,44.71,45.12,44.69,44.76,927000,20.32
2009-11-17,45.03,45.28,44.81,44.84,1486800,20.36
2009-11-16,44.97,45.32,44.75,44.91,2939000,20.39
2009-11-13,44.42,44.61,44.10,44.50,2480800,20.20
2009-11-12,44.97,45.45,44.32,44.45,2214600,20.18
2009-11-11,45.41,45.46,44.95,45.15,700200,20.50
2009-11-10,44.97,45.46,44.90,45.23,1031600,20.53
2009-11-09,44.75,45.25,44.41,45.23,1899000,20.38
2009-11-06,44.49,44.83,44.34,44.61,918400,20.10
2009-11-05,43.97,44.71,43.95,44.70,1400200,20.14
2009-11-04,43.33,44.35,43.09,43.79,1918200,19.73
2009-11-03,43.24,43.39,42.97,43.18,1327600,19.46
2009-11-02,43.78,43.91,42.89,43.25,2234000,19.49
2009-10-30,44.24,44.34,43.54,43.67,3678400,19.68
2009-10-29,43.93,44.50,43.38,44.41,3216200,20.01
2009-10-28,44.00,44.52,43.63,44.02,3343400,19.83
2009-10-27,44.18,44.56,43.93,43.95,2506400,19.80
2009-10-26,44.42,45.07,43.95,44.09,1934200,19.87
2009-10-23,44.91,45.03,44.19,44.45,1306600,20.03
2009-10-22,44.53,44.93,44.37,44.92,1285200,20.24
2009-10-21,44.76,45.20,44.60,44.65,1122400,20.12
2009-10-20,45.27,45.27,44.61,44.80,746600,20.19
2009-10-19,45.10,45.56,44.63,45.32,1222200,20.42
2009-10-16,44.44,45.12,44.27,45.03,1358800,20.29
