Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,27.95,28.14,27.45,27.45,888800,26.51
2009-12-30,28.23,28.36,27.77,27.80,1670600,26.84
2009-12-29,28.57,28.57,28.09,28.35,1126400,27.38
2009-12-28,28.40,28.56,28.12,28.55,1200800,27.57
2009-12-24,28.42,28.64,28.34,28.41,318200,27.43
2009-12-23,28.83,28.85,28.32,28.52,1067400,27.54
2009-12-22,27.60,29.74,27.49,28.77,3022300,27.78
2009-12-21,27.15,27.58,26.92,27.55,1973600,26.60
2009-12-18,27.68,27.78,26.95,26.99,3034300,26.06
2009-12-17,27.60,27.85,27.05,27.39,1101100,26.45
2009-12-16,28.09,28.32,27.60,27.76,1939000,26.81
2009-12-15,27.17,28.02,27.00,27.74,3288200,26.79
2009-12-14,26.79,27.37,26.75,27.29,2924400,26.35
2009-12-11,26.50,26.70,26.24,26.67,1904500,25.75
2009-12-10,25.85,26.46,25.83,26.29,2094600,25.39
2009-12-09,25.38,26.09,25.23,25.87,2620800,24.98
2009-12-08,25.53,25.76,24.94,25.30,2654500,24.43
2009-12-07,26.10,26.27,25.65,25.89,1993100,25.00
2009-12-04,26.00,26.53,25.86,26.20,2004700,25.30
2009-12-03,26.40,26.41,25.59,25.69,1810200,24.81
2009-12-02,25.99,26.42,25.90,26.00,1747800,25.11
2009-12-01,25.72,26.33,25.72,26.07,2216300,25.17
2009-11-30,25.77,25.98,25.35,25.65,2095100,24.77
2009-11-27,25.90,26.04,25.31,25.90,1454900,25.01
2009-11-25,26.56,26.72,26.23,26.49,1473500,25.58
2009-11-24,26.96,26.96,26.32,26.43,3098900,25.52
2009-11-23,26.68,26.99,26.54,26.73,2477500,25.81
2009-11-20,26.82,26.90,26.28,26.36,2410700,25.45
2009-11-19,26.51,27.04,26.29,26.97,4478300,26.04
2009-11-18,26.54,26.54,26.06,26.21,2868900,25.31
2009-11-17,27.09,27.16,25.93,26.67,4796600,25.75
2009-11-16,27.52,27.78,26.83,27.00,4031100,26.07
2009-11-13,27.37,27.77,27.20,27.49,1870000,26.54
2009-11-12,28.19,28.22,27.34,27.41,2357400,26.47
2009-11-11,28.59,28.90,27.87,28.19,2780000,27.22
2009-11-10,28.35,28.93,28.05,28.57,2953400,27.59
2009-11-09,28.36,28.64,27.85,28.52,4591000,27.54
2009-11-06,27.00,28.57,26.98,28.25,6184600,27.28
2009-11-05,28.89,31.46,26.83,27.10,16500200,26.17
2009-11-04,32.42,32.73,31.80,32.06,4183800,30.96
2009-11-03,32.11,32.40,31.62,32.06,2727300,30.96
2009-11-02,32.08,32.85,31.79,32.28,2440100,31.17
2009-10-30,32.93,33.46,32.05,32.06,2656100,30.96
2009-10-29,32.41,33.15,32.16,33.13,2052300,31.99
2009-10-28,33.19,33.59,32.26,32.29,2483700,31.18
2009-10-27,33.29,33.76,33.13,33.39,1945100,32.24
2009-10-26,33.36,34.20,33.12,33.39,1957800,32.24
2009-10-23,33.80,34.23,33.20,33.36,1517400,32.21
2009-10-22,33.24,33.97,32.60,33.80,1527900,32.64
2009-10-21,33.55,34.40,32.89,32.98,2857700,31.85
2009-10-20,34.03,34.10,33.42,33.74,1981300,32.58
2009-10-19,33.75,34.20,33.50,34.19,1480800,33.01
2009-10-16,33.68,33.91,33.25,33.74,2181400,32.58
2009-10-15,33.00,33.87,32.83,33.87,1865200,32.71
2009-10-14,33.07,33.20,32.78,33.17,2086100,32.03
2009-10-13,32.60,32.87,32.44,32.71,2087600,31.59
2009-10-12,31.96,33.03,31.79,32.88,3145400,31.75
