Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,19.02,19.14,18.82,18.85,2418200,17.79
2009-12-30,19.00,19.13,18.91,19.02,2873600,17.95
2009-12-29,19.22,19.35,18.99,19.07,3134100,17.99
2009-12-28,19.28,19.31,19.03,19.10,2825200,18.02
2009-12-24,19.51,19.51,19.19,19.25,1520000,18.16
2009-12-23,19.37,19.56,19.35,19.44,2482800,18.34
2009-12-22,19.22,19.47,19.19,19.39,3539000,18.29
2009-12-21,19.25,19.43,19.14,19.24,4443100,18.15
2009-12-18,19.24,19.36,18.91,19.13,5987900,18.05
2009-12-17,19.06,19.25,19.00,19.03,4508900,17.96
2009-12-16,19.11,19.32,19.06,19.23,4764800,18.09
2009-12-15,19.16,19.16,18.90,18.97,4924100,17.84
2009-12-14,19.26,19.36,19.00,19.21,3322000,18.07
2009-12-11,19.11,19.24,18.93,19.07,5132100,17.94
2009-12-10,18.40,19.08,18.40,19.00,8812600,17.87
2009-12-09,18.15,18.28,18.03,18.19,3616100,17.11
2009-12-08,18.15,18.33,17.97,18.05,4297000,16.98
2009-12-07,18.22,18.42,18.00,18.24,4433900,17.16
2009-12-04,18.07,18.34,17.99,18.14,6733400,17.06
2009-12-03,18.42,18.55,17.81,17.84,8111400,16.78
2009-12-02,18.47,18.76,18.28,18.40,6883700,17.31
2009-12-01,18.58,18.72,18.45,18.49,8264900,17.39
2009-11-30,18.55,18.72,18.32,18.45,5902500,17.35
2009-11-27,18.42,18.73,18.30,18.50,2664300,17.40
2009-11-25,18.91,18.99,18.86,18.91,5001400,17.79
2009-11-24,19.05,19.10,18.90,18.92,4762800,17.80
2009-11-23,18.95,19.21,18.91,18.98,5307000,17.85
2009-11-20,19.21,19.25,18.71,18.83,9319900,17.71
2009-11-19,18.99,19.33,18.94,19.28,5437600,18.13
2009-11-18,19.78,19.85,19.46,19.67,2745300,18.50
2009-11-17,19.80,19.89,19.35,19.82,4276900,18.64
2009-11-16,19.54,20.09,19.53,20.02,5255000,18.83
2009-11-13,19.32,19.54,19.14,19.44,2644400,18.28
2009-11-12,19.59,19.72,19.27,19.32,3537900,18.17
2009-11-11,19.73,19.75,19.37,19.58,3260100,18.42
2009-11-10,19.44,19.72,19.38,19.64,3681400,18.47
2009-11-09,19.00,19.53,18.82,19.51,4324600,18.35
2009-11-06,18.75,18.91,18.55,18.81,4217000,17.69
2009-11-05,18.60,18.96,18.53,18.96,2986500,17.83
2009-11-04,18.52,18.75,18.36,18.41,5003900,17.32
2009-11-03,18.50,18.57,18.31,18.52,3957800,17.42
2009-11-02,18.17,18.65,18.11,18.59,5384400,17.49
2009-10-30,18.69,18.69,18.08,18.17,6810700,17.09
2009-10-29,18.36,18.80,18.26,18.63,6445400,17.52
2009-10-28,18.57,18.72,18.19,18.21,5188100,17.13
2009-10-27,18.91,19.11,18.51,18.67,5271200,17.56
2009-10-26,18.79,19.25,18.63,18.83,4093200,17.71
2009-10-23,19.29,19.29,18.74,18.79,4657000,17.67
