Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,35.59,35.64,35.17,35.17,489300,34.55
2009-12-30,35.28,35.56,35.28,35.56,575300,34.94
2009-12-29,35.42,35.52,35.29,35.44,439900,34.82
2009-12-28,35.25,35.45,35.10,35.45,435600,34.83
2009-12-24,35.42,35.46,35.20,35.27,203400,34.65
2009-12-23,35.32,35.55,35.08,35.55,581900,34.88
2009-12-22,34.97,35.26,34.87,35.19,489900,34.52
2009-12-21,34.57,35.07,34.55,34.82,854100,34.16
2009-12-18,34.43,34.57,34.21,34.43,1749200,33.78
2009-12-17,34.99,35.00,34.40,34.57,831400,33.92
2009-12-16,35.37,35.81,35.19,35.26,899100,34.59
2009-12-15,34.93,35.67,34.80,35.33,836400,34.66
2009-12-14,34.38,35.10,34.38,35.05,793400,34.39
2009-12-11,34.48,34.68,34.15,34.64,1276200,33.98
2009-12-10,33.99,34.56,33.91,34.42,878700,33.77
2009-12-09,33.74,33.79,33.39,33.72,741300,33.08
2009-12-08,34.02,34.35,33.63,33.86,983500,33.22
2009-12-07,34.27,34.54,34.04,34.14,588400,33.49
2009-12-04,34.14,34.50,33.97,34.26,1150200,33.61
2009-12-03,33.92,34.64,33.91,33.95,887000,33.31
2009-12-02,33.81,34.21,33.62,34.16,747900,33.51
2009-12-01,33.46,33.85,33.44,33.65,1002300,33.01
2009-11-30,33.24,33.36,32.88,33.32,1145700,32.69
2009-11-27,33.08,33.57,33.02,33.30,416800,32.67
2009-11-25,33.62,33.91,33.51,33.56,622700,32.92
2009-11-24,33.25,33.72,33.05,33.65,1256800,33.01
2009-11-23,32.99,33.58,32.88,33.20,981300,32.57
2009-11-20,32.94,33.00,32.68,32.86,1113600,32.24
2009-11-19,33.48,33.66,33.02,33.15,1154300,32.52
2009-11-18,33.66,33.86,33.49,33.74,813400,33.10
2009-11-17,34.17,34.25,33.72,33.88,1052000,33.24
2009-11-16,33.91,34.46,33.90,34.33,789700,33.68
2009-11-13,33.76,34.03,33.60,33.89,920600,33.25
2009-11-12,33.95,34.03,33.50,33.55,1154200,32.92
2009-11-11,33.83,34.01,33.66,33.85,1160800,33.21
2009-11-10,33.96,34.09,33.54,33.68,1400400,33.04
2009-11-09,33.62,33.93,33.32,33.92,972200,33.28
2009-11-06,33.67,33.67,33.14,33.50,1044400,32.87
2009-11-05,33.15,33.98,33.14,33.71,964000,33.07
2009-11-04,32.71,33.37,32.30,32.95,1415900,32.33
2009-11-03,33.00,33.54,32.58,32.78,2659600,32.16
2009-11-02,32.79,33.07,32.77,33.01,2093000,32.39
2009-10-30,33.88,34.29,32.75,32.96,4193800,32.34
2009-10-29,34.20,34.88,33.76,34.00,2431100,33.36
2009-10-28,35.97,36.14,35.25,35.35,1112500,34.68
2009-10-27,36.13,36.80,35.80,35.91,1490600,35.23
2009-10-26,36.01,36.76,35.86,35.89,1333500,35.21
2009-10-23,36.30,36.67,35.87,35.99,1076600,35.31
2009-10-22,35.67,36.24,35.46,36.15,818400,35.47
2009-10-21,36.17,36.40,35.68,35.74,1057500,35.06
2009-10-20,36.31,36.56,35.83,35.96,727100,35.28
2009-10-19,35.93,36.62,35.66,36.57,1161100,35.88
2009-10-16,35.86,36.07,35.37,35.95,993300,35.27
2009-10-15,35.67,36.09,35.55,36.04,688300,35.36
2009-10-14,35.40,35.82,35.21,35.82,726800,35.14
2009-10-13,35.09,35.31,34.99,35.21,540100,34.54
2009-10-12,35.46,35.66,35.04,35.24,945500,34.57
2009-10-09,35.41,35.72,35.17,35.61,674900,34.94
2009-10-08,34.98,35.66,34.83,35.44,1768300,34.77
2009-10-07,34.59,34.89,34.46,34.87,596900,34.21
2009-10-06,33.95,35.00,33.70,34.64,1599100,33.98
2009-10-05,33.81,34.13,33.29,34.13,966400,33.48
2009-10-02,33.66,33.80,33.48,33.60,671100,32.96
2009-10-01,34.27,34.50,33.65,33.65,1771100,33.01
2009-09-30,34.38,34.68,33.56,34.54,1925000,33.89
2009-09-29,34.45,34.54,34.07,34.50,769200,33.85
2009-09-28,33.79,34.66,33.73,34.51,635000,33.86
2009-09-25,33.68,33.94,33.49,33.60,776000,32.96
2009-09-24,34.11,34.12,33.42,33.63,738100,32.99
2009-09-23,34.45,34.45,33.85,33.91,834900,33.27
2009-09-22,34.83,34.94,34.43,34.57,877800,33.87
2009-09-21,34.57,35.09,34.57,34.85,539300,34.14
2009-09-18,34.75,34.82,34.33,34.65,1179900,33.95
2009-09-17,34.82,34.96,34.48,34.58,961900,33.88
2009-09-16,34.51,34.82,34.15,34.80,697200,34.09
2009-09-15,34.23,34.61,33.74,34.58,1185600,33.88
2009-09-14,34.17,34.44,34.01,34.36,775100,33.66
2009-09-11,34.30,34.53,33.58,34.22,497700,33.52
2009-09-10,33.89,34.38,33.42,34.34,884700,33.64
2009-09-09,33.56,34.23,33.48,33.87,745900,33.18
2009-09-08,33.70,33.87,33.15,33.50,752500,32.82
2009-09-04,32.95,33.50,32.78,33.46,711800,32.78
2009-09-03,32.88,33.09,32.57,33.02,830300,32.35
2009-09-02,32.86,33.30,32.70,32.89,1015600,32.22
2009-09-01,33.71,34.22,32.98,33.01,995000,32.34
2009-08-31,33.72,34.00,33.32,33.72,885200,33.03
2009-08-28,34.26,34.54,33.58,33.78,1157500,33.09
2009-08-27,34.56,34.61,33.89,34.26,867400,33.56
2009-08-26,34.66,35.08,34.25,34.46,846300,33.76
