Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,8.61,8.66,8.44,8.46,9492400,7.97
2009-12-30,8.54,8.67,8.50,8.66,7212700,8.16
2009-12-29,8.48,8.69,8.45,8.58,8699600,8.08
2009-12-28,8.63,8.70,8.45,8.48,10315400,7.95
2009-12-24,8.59,8.71,8.54,8.65,2410100,8.11
2009-12-23,8.58,8.61,8.50,8.55,5305800,8.01
2009-12-22,8.47,8.66,8.44,8.58,11410600,8.04
2009-12-21,8.41,8.52,8.34,8.48,6909300,7.95
2009-12-18,8.46,8.52,8.31,8.37,11816900,7.85
2009-12-17,8.38,8.47,8.27,8.43,12234100,7.90
2009-12-16,8.39,8.72,8.36,8.41,31034600,7.88
2009-12-15,8.24,8.42,8.11,8.36,23965900,7.84
2009-12-14,7.97,8.25,7.95,8.22,19261200,7.71
2009-12-11,7.89,7.98,7.88,7.93,7899500,7.43
2009-12-10,7.94,8.02,7.87,7.88,11887800,7.39
2009-12-09,7.78,7.92,7.69,7.90,10008300,7.41
2009-12-08,7.83,7.86,7.78,7.80,8490600,7.31
2009-12-07,7.93,8.00,7.82,7.90,8563800,7.41
2009-12-04,7.85,7.92,7.78,7.91,20685600,7.41
2009-12-03,7.82,7.84,7.73,7.76,6575500,7.27
2009-12-02,7.77,7.88,7.76,7.80,9575900,7.31
2009-12-01,7.78,7.90,7.73,7.83,13341000,7.34
2009-11-30,7.75,7.80,7.64,7.70,10445400,7.22
2009-11-27,7.67,7.84,7.55,7.79,5044100,7.30
2009-11-25,7.95,7.95,7.87,7.91,9621900,7.41
2009-11-24,7.93,7.95,7.86,7.92,7891600,7.42
2009-11-23,7.94,7.97,7.89,7.93,12118600,7.43
2009-11-20,7.73,7.87,7.73,7.83,10024800,7.34
2009-11-19,7.87,7.90,7.72,7.78,16168700,7.29
2009-11-18,8.00,8.00,7.87,7.94,12247300,7.44
2009-11-17,8.01,8.05,7.91,7.99,15239400,7.49
2009-11-16,7.89,8.05,7.88,8.01,15222400,7.51
2009-11-13,7.85,7.91,7.77,7.86,14306800,7.37
2009-11-12,7.86,8.00,7.80,7.85,21499400,7.36
2009-11-11,7.91,7.93,7.72,7.89,15405800,7.40
2009-11-10,7.95,8.00,7.81,7.84,15008400,7.35
2009-11-09,7.99,8.07,7.95,8.07,13284100,7.56
2009-11-06,7.89,8.00,7.85,7.93,10588300,7.43
2009-11-05,7.93,8.04,7.90,7.94,20044000,7.44
2009-11-04,7.60,8.05,7.60,7.92,38895700,7.42
2009-11-03,7.46,7.57,7.40,7.56,13146800,7.09
2009-11-02,7.48,7.59,7.32,7.49,18957200,7.02
2009-10-30,7.72,7.72,7.47,7.52,20304200,7.05
2009-10-29,7.61,7.74,7.58,7.71,14791000,7.23
2009-10-28,7.66,7.73,7.47,7.49,14483900,7.02
2009-10-27,7.79,7.88,7.65,7.72,20477200,7.24
2009-10-26,7.90,7.99,7.76,7.77,27781400,7.28
2009-10-23,7.99,8.03,7.83,7.88,24684600,7.39
2009-10-22,7.90,8.11,7.78,8.03,56686100,7.53
2009-10-21,7.82,7.96,7.65,7.72,30213900,7.24
2009-10-20,7.81,7.97,7.69,7.87,25429200,7.38
2009-10-19,7.62,7.86,7.60,7.80,21988300,7.31
2009-10-16,7.65,7.69,7.54,7.61,17988200,7.13
2009-10-15,7.68,7.72,7.60,7.69,13384600,7.21
2009-10-14,7.69,7.72,7.60,7.72,16459200,7.24
2009-10-13,7.85,7.88,7.55,7.57,22682300,7.10
2009-10-12,7.83,7.90,7.77,7.80,16863400,7.31
2009-10-09,7.62,7.90,7.58,7.75,30987600,7.26
2009-10-08,7.37,7.64,7.24,7.61,42867400,7.13
2009-10-07,7.29,7.33,7.19,7.25,34399700,6.80
2009-10-06,7.50,7.54,7.26,7.31,33714500,6.85
2009-10-05,7.43,7.53,7.25,7.44,34352600,6.97
2009-10-02,7.32,7.40,7.21,7.32,37731200,6.86
2009-10-01,7.75,7.78,7.38,7.49,47369700,7.02
2009-09-30,8.09,8.10,7.70,7.74,43492600,7.26
2009-09-29,7.89,8.06,7.77,7.92,76382000,7.42
2009-09-28,7.90,7.90,7.25,7.68,142985300,7.20
2009-09-25,9.06,9.20,9.00,9.02,3744300,8.42
2009-09-24,9.35,9.43,9.05,9.13,4902400,8.52
2009-09-23,9.18,9.42,9.18,9.31,6934900,8.69
2009-09-22,9.45,9.52,9.20,9.21,6742100,8.59
2009-09-21,9.47,9.48,9.31,9.44,6012200,8.81
2009-09-18,9.54,9.60,9.44,9.48,6268000,8.84
2009-09-17,9.51,9.75,9.45,9.51,7348800,8.87
2009-09-16,9.62,9.70,9.51,9.57,7443000,8.93
2009-09-15,9.60,9.63,9.36,9.56,9982800,8.92
2009-09-14,9.08,9.17,9.00,9.16,4853900,8.55
2009-09-11,9.38,9.43,9.12,9.17,6281700,8.56
2009-09-10,9.05,9.38,8.96,9.37,7153000,8.74
2009-09-09,8.67,8.89,8.61,8.86,5065500,8.27
2009-09-08,8.71,8.79,8.60,8.64,3503600,8.06
2009-09-04,8.43,8.65,8.38,8.64,3000600,8.06
2009-09-03,8.38,8.52,8.29,8.43,4229900,7.86
2009-09-02,8.42,8.46,8.30,8.34,5384400,7.78
2009-09-01,8.60,8.88,8.43,8.46,5462100,7.89
2009-08-31,8.84,8.84,8.56,8.65,4398200,8.07
2009-08-28,8.90,9.09,8.78,8.89,4275600,8.29
2009-08-27,8.64,8.86,8.56,8.84,4096900,8.25
2009-08-26,8.73,8.75,8.55,8.72,4000500,8.14
2009-08-25,8.59,8.82,8.59,8.72,6519300,8.14
2009-08-24,8.48,8.61,8.45,8.56,4564400,7.99
2009-08-21,8.33,8.56,8.24,8.45,4200600,7.88
2009-08-20,8.35,8.40,8.21,8.28,4561600,7.72
2009-08-19,8.08,8.47,8.08,8.42,4371300,7.86
2009-08-18,8.10,8.24,8.10,8.23,2690300,7.68
2009-08-17,8.33,8.40,8.05,8.14,4276900,7.59
2009-08-14,8.57,8.60,8.36,8.47,3459300,7.90
2009-08-13,8.48,8.57,8.33,8.53,3318900,7.96
2009-08-12,8.42,8.70,8.36,8.51,8238600,7.94
2009-08-11,8.61,8.74,8.40,8.44,7235200,7.87
2009-08-10,8.39,8.75,8.39,8.74,6901900,8.15
2009-08-07,8.54,8.60,8.40,8.45,5799100,7.88
2009-08-06,8.56,8.60,8.36,8.40,7701900,7.84
2009-08-05,8.40,8.61,8.31,8.51,5652500,7.94
2009-08-04,8.23,8.47,8.11,8.36,5704400,7.80
2009-08-03,8.38,8.47,8.12,8.20,5226700,7.65
2009-07-31,8.32,8.36,8.11,8.19,4676500,7.64
2009-07-30,8.27,8.52,8.17,8.32,4761600,7.76
2009-07-29,8.16,8.24,8.04,8.21,6793100,7.66
2009-07-28,7.92,8.28,7.87,8.22,6118200,7.67
2009-07-27,7.83,7.95,7.57,7.93,5756400,7.40
2009-07-24,7.28,7.94,7.28,7.90,5855400,7.37
2009-07-23,7.12,7.82,7.02,7.73,11685500,7.21
2009-07-22,6.93,7.12,6.92,7.00,5788400,6.53
2009-07-21,7.00,7.07,6.81,6.93,5200700,6.47
2009-07-20,6.76,7.00,6.70,7.00,3201800,6.53
2009-07-17,6.84,6.89,6.65,6.70,4158200,6.25
2009-07-16,6.58,6.85,6.58,6.84,2649700,6.38
2009-07-15,6.58,6.67,6.50,6.66,4814900,6.21
2009-07-14,6.29,6.50,6.19,6.45,4954400,6.02
2009-07-13,6.12,6.33,5.98,6.32,4274900,5.90
2009-07-10,6.03,6.12,5.99,6.11,2746800,5.70
2009-07-09,6.10,6.19,6.00,6.05,3933200,5.64
2009-07-08,6.02,6.10,5.92,6.07,6306300,5.66
2009-07-07,6.26,6.32,6.04,6.05,3466500,5.64
2009-07-06,6.37,6.49,6.18,6.28,3790000,5.86
2009-07-02,6.54,6.55,6.40,6.40,4235700,5.97
2009-07-01,6.50,6.78,6.47,6.61,3418900,6.17
2009-06-30,6.63,6.73,6.44,6.48,4436400,6.05
2009-06-29,6.65,6.71,6.52,6.62,3966900,6.18
2009-06-26,6.61,6.66,6.52,6.63,4036900,6.19
2009-06-25,6.43,6.67,6.35,6.65,2956100,6.16
2009-06-24,6.42,6.70,6.42,6.49,3349300,6.02
2009-06-23,6.45,6.49,6.26,6.40,4380900,5.93
2009-06-22,6.67,6.70,6.40,6.42,4008500,5.95
2009-06-19,6.95,6.95,6.70,6.74,8012400,6.25
2009-06-18,6.93,6.99,6.78,6.89,3551800,6.39
2009-06-17,6.96,7.02,6.86,6.90,4807800,6.40
2009-06-16,6.95,7.06,6.89,6.95,6334700,6.44
2009-06-15,6.92,7.06,6.83,6.90,4364100,6.40
2009-06-12,6.97,7.14,6.80,6.98,5265700,6.47
2009-06-11,7.09,7.29,6.97,7.00,7381800,6.49
2009-06-10,7.17,7.26,6.96,7.07,5758800,6.55
2009-06-09,7.15,7.23,7.00,7.12,3225800,6.60
2009-06-08,7.11,7.16,6.90,7.10,4834100,6.58
2009-06-05,7.33,7.45,7.08,7.11,7561600,6.59
2009-06-04,7.02,7.28,6.98,7.25,6558700,6.72
2009-06-03,6.95,7.07,6.77,6.86,6040400,6.36
2009-06-02,6.92,7.11,6.92,7.02,4301700,6.51
2009-06-01,6.91,7.09,6.77,6.99,7237700,6.48
2009-05-29,6.79,6.88,6.65,6.80,6267300,6.30
2009-05-28,6.87,6.91,6.56,6.76,7871500,6.27
2009-05-27,6.83,6.94,6.75,6.78,7341900,6.28
2009-05-26,6.74,7.04,6.63,6.93,9722000,6.42
2009-05-22,6.82,6.96,6.72,6.78,4175000,6.28
2009-05-21,6.82,6.89,6.68,6.82,13357900,6.32
2009-05-20,6.81,7.14,6.80,6.90,11599500,6.40
2009-05-19,6.68,6.83,6.57,6.76,4926100,6.27
2009-05-18,6.28,6.55,6.27,6.54,4863000,6.06
2009-05-15,6.33,6.48,6.15,6.23,7355000,5.77
2009-05-14,5.96,6.45,5.88,6.32,8206600,5.86
2009-05-13,6.04,6.15,5.86,5.96,6048900,5.52
2009-05-12,6.65,6.65,6.02,6.12,9360600,5.67
2009-05-11,6.60,6.63,6.42,6.49,6153600,6.02
2009-05-08,6.73,6.73,6.44,6.69,9537400,6.20
2009-05-07,6.77,6.84,6.52,6.59,11399100,6.11
2009-05-06,6.61,6.71,6.38,6.69,12429700,6.20
2009-05-05,6.57,6.67,6.45,6.52,8309100,6.04
2009-05-04,6.55,6.60,6.41,6.56,7776700,6.08
2009-05-01,6.15,6.49,6.15,6.44,7918200,5.97
2009-04-30,5.98,6.33,5.98,6.11,7390300,5.66
2009-04-29,5.73,6.10,5.70,5.90,7361900,5.47
2009-04-28,5.54,5.77,5.52,5.70,5731300,5.28
2009-04-27,5.80,5.82,5.52,5.61,8257700,5.20
2009-04-24,5.91,6.14,5.76,5.95,8248600,5.52
2009-04-23,5.60,5.80,5.31,5.74,12366300,5.32
2009-04-22,5.49,5.93,5.47,5.67,8053400,5.26
2009-04-21,5.32,5.76,5.32,5.56,7279700,5.15
2009-04-20,5.81,5.82,5.32,5.36,5666800,4.97
2009-04-17,5.78,5.97,5.65,5.92,5367200,5.49
2009-04-16,5.48,5.80,5.40,5.75,4886800,5.33
2009-04-15,5.33,5.45,5.22,5.44,4166900,5.04
2009-04-14,5.28,5.47,5.20,5.36,4736900,4.97
2009-04-13,5.45,5.45,5.16,5.33,6167200,4.94
2009-04-09,4.98,5.48,4.98,5.46,9288500,5.06
2009-04-08,4.81,4.97,4.70,4.90,7226700,4.54
2009-04-07,4.78,4.86,4.67,4.70,5707100,4.36
2009-04-06,4.99,4.99,4.71,4.86,8260900,4.50
2009-04-03,4.98,5.06,4.82,5.00,7323500,4.63
2009-04-02,4.85,5.21,4.78,4.98,8956100,4.62
2009-04-01,4.65,4.80,4.50,4.75,5546300,4.40
2009-03-31,4.73,4.74,4.54,4.55,7309300,4.22
2009-03-30,4.97,5.00,4.52,4.59,8217800,4.25
2009-03-27,5.24,5.24,4.98,5.10,6207600,4.73
2009-03-26,4.94,5.31,4.94,5.31,8243500,4.88
2009-03-25,4.70,5.06,4.70,4.88,8282600,4.49
2009-03-24,4.70,4.85,4.55,4.65,7066100,4.28
2009-03-23,4.56,4.77,4.45,4.77,7631600,4.39
2009-03-20,4.89,5.00,4.25,4.34,15725000,3.99
2009-03-19,5.44,5.51,5.30,5.34,5137000,4.91
2009-03-18,5.16,5.48,5.05,5.38,5473600,4.95
2009-03-17,5.20,5.20,5.00,5.19,5701400,4.77
2009-03-16,5.25,5.35,5.12,5.12,5253800,4.71
2009-03-13,5.02,5.30,5.00,5.19,5037300,4.77
2009-03-12,4.69,5.02,4.66,4.99,6314800,4.59
2009-03-11,4.80,5.01,4.67,4.78,5307200,4.39
2009-03-10,4.24,4.80,4.15,4.79,10244400,4.40
2009-03-09,4.22,4.42,4.12,4.17,7042800,3.83
2009-03-06,4.49,4.58,4.18,4.28,8122900,3.94
2009-03-05,4.71,4.74,4.33,4.45,7326400,4.09
2009-03-04,4.68,4.91,4.52,4.80,6112300,4.41
2009-03-03,4.83,4.83,4.49,4.59,6417700,4.22
2009-03-02,5.09,5.13,4.67,4.75,9605000,4.37
2009-02-27,5.27,5.39,5.14,5.18,8211100,4.76
2009-02-26,5.73,5.82,5.32,5.35,5864700,4.92
2009-02-25,5.62,5.78,5.32,5.65,7937300,5.19
2009-02-24,5.36,5.70,5.30,5.64,6878600,5.19
2009-02-23,5.57,5.57,5.29,5.32,5648800,4.89
2009-02-20,5.58,5.71,5.45,5.52,6839500,5.08
2009-02-19,6.03,6.10,5.80,5.85,5114400,5.38
2009-02-18,6.09,6.13,5.90,5.98,5385500,5.50
2009-02-17,6.27,6.27,6.00,6.06,5729700,5.57
2009-02-13,6.54,6.60,6.36,6.44,4608800,5.92
2009-02-12,6.51,6.54,6.23,6.52,6501700,5.99
2009-02-11,6.64,6.73,6.45,6.65,6525800,6.11
2009-02-10,6.97,7.07,6.44,6.54,6975300,6.01
2009-02-09,7.03,7.05,6.91,7.02,4158400,6.45
2009-02-06,6.76,7.09,6.69,7.06,4954500,6.49
2009-02-05,6.60,6.84,6.44,6.77,4638700,6.22
2009-02-04,6.80,6.98,6.59,6.70,5158200,6.16
2009-02-03,6.65,6.80,6.43,6.78,5333200,6.23
2009-02-02,6.54,6.72,6.45,6.64,4848200,6.10
2009-01-30,7.10,7.25,6.59,6.64,6900900,6.10
2009-01-29,7.33,7.34,6.91,6.97,5113800,6.41
2009-01-28,7.29,7.59,7.11,7.44,5779400,6.84
2009-01-27,6.98,7.27,6.81,7.17,6647600,6.59
2009-01-26,7.11,7.29,6.71,6.89,7070400,6.33
2009-01-23,7.19,7.20,6.05,7.03,12686500,6.46
2009-01-22,7.53,7.81,7.30,7.59,7806200,6.98
2009-01-21,7.53,7.84,7.35,7.82,6716200,7.19
2009-01-20,7.79,7.79,7.33,7.40,8373700,6.80
2009-01-16,7.98,8.17,7.55,7.69,9547700,7.07
2009-01-15,7.88,7.91,7.33,7.82,7207700,7.19
2009-01-14,8.29,8.32,7.78,7.92,7188400,7.28
2009-01-13,8.25,8.46,8.22,8.41,6820400,7.73
2009-01-12,8.54,8.90,8.16,8.27,6068100,7.60
2009-01-09,8.65,9.00,8.59,8.73,4011400,8.03
2009-01-08,8.73,8.89,8.60,8.84,3586500,8.13
2009-01-07,8.90,8.94,8.63,8.73,5516700,8.03
2009-01-06,8.97,9.25,8.92,9.10,7375800,8.37
2009-01-05,8.24,9.06,8.21,8.90,9561500,8.18
2009-01-02,7.97,8.42,7.88,8.38,4503800,7.70
2008-12-31,7.72,8.08,7.60,7.97,6183200,7.33
2008-12-30,7.41,7.78,7.40,7.73,4152800,7.11
2008-12-29,7.51,7.56,7.15,7.39,5095600,6.79
2008-12-26,7.64,7.71,7.49,7.68,2765300,7.02
2008-12-24,7.39,7.97,7.35,7.63,3158100,6.98
2008-12-23,7.62,7.66,7.29,7.40,5984200,6.77
2008-12-22,7.77,7.77,7.42,7.59,5883700,6.94
2008-12-19,7.81,7.93,7.16,7.79,8302000,7.12
2008-12-18,7.80,7.98,7.45,7.57,6313400,6.92
2008-12-17,7.73,7.97,7.55,7.78,5794700,7.11
2008-12-16,7.27,8.06,7.13,8.02,10479300,7.33
2008-12-15,7.75,7.75,7.04,7.19,8226900,6.57
2008-12-12,7.28,7.79,7.14,7.75,6819000,7.09
2008-12-11,7.44,7.79,7.34,7.48,5331000,6.84
2008-12-10,7.56,7.81,7.26,7.49,6786900,6.85
2008-12-09,7.63,8.00,7.50,7.53,9448000,6.88
2008-12-08,7.17,7.93,7.10,7.77,11620200,7.10
2008-12-05,6.72,7.03,6.18,6.99,9640000,6.39
2008-12-04,7.01,7.33,6.57,6.75,9120400,6.17
2008-12-03,6.30,7.15,6.30,7.11,9004400,6.50
2008-12-02,6.48,6.78,6.35,6.73,6680300,6.15
