Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,57.47,57.50,56.57,56.57,4027900,54.93
2009-12-30,57.51,57.80,57.30,57.54,2485400,55.87
2009-12-29,57.77,57.92,57.17,57.52,3091900,55.85
2009-12-28,57.48,57.73,57.23,57.66,2741100,55.99
2009-12-24,57.16,57.45,56.90,57.42,1283700,55.76
2009-12-23,57.49,57.67,57.05,57.35,4287100,55.69
2009-12-22,57.27,57.56,57.07,57.22,4219200,55.56
2009-12-21,56.07,57.12,56.00,56.73,5679700,55.09
2009-12-18,55.23,56.01,54.90,55.80,11942800,54.18
2009-12-17,55.04,55.04,54.12,54.58,6131100,53.00
2009-12-16,55.88,56.14,55.04,55.07,6880700,53.47
2009-12-15,56.59,56.79,55.55,55.75,5327500,54.13
2009-12-14,56.48,57.10,56.40,56.86,4178700,55.21
2009-12-11,56.29,56.68,56.04,56.31,4424000,54.68
2009-12-10,56.04,56.85,56.00,56.20,6486200,54.57
2009-12-09,55.76,56.21,55.38,56.08,4969400,54.46
2009-12-08,56.00,56.21,55.72,55.93,4881700,54.31
2009-12-07,57.32,57.45,56.33,56.48,6061300,54.84
2009-12-04,57.08,57.45,56.54,56.85,5108200,55.20
2009-12-03,57.41,57.57,56.29,56.55,7289300,54.91
2009-12-02,57.08,57.88,57.03,57.50,4675500,55.83
2009-12-01,56.38,57.25,56.34,57.08,4941600,55.43
2009-11-30,56.67,57.00,56.25,56.35,5739400,54.72
2009-11-27,55.76,56.98,55.58,56.50,2977100,54.86
2009-11-25,56.85,57.73,56.71,57.08,4673000,55.43
2009-11-24,56.45,56.80,56.18,56.80,5171900,55.15
2009-11-23,55.82,56.59,55.75,56.25,5033600,54.62
2009-11-20,55.79,55.79,55.12,55.38,9493300,53.78
2009-11-19,55.88,56.24,55.50,56.06,4980400,54.44
2009-11-18,55.97,56.47,55.80,56.14,5948800,54.51
2009-11-17,56.00,56.35,55.82,56.28,4139200,54.65
2009-11-16,55.55,56.35,55.33,56.14,6176700,54.51
2009-11-13,55.19,55.64,55.18,55.41,5137300,53.80
2009-11-12,55.24,55.81,54.82,55.22,8231500,53.62
2009-11-11,54.17,54.85,54.16,54.78,4911100,53.19
2009-11-10,54.84,54.97,53.81,54.10,8895800,52.53
2009-11-09,54.71,55.13,54.51,54.91,6329800,53.32
2009-11-06,53.87,54.94,53.87,54.69,5495300,53.11
2009-11-05,53.08,54.32,52.77,54.05,8532800,52.48
2009-11-04,52.48,52.87,51.72,52.12,8536000,50.61
2009-11-03,52.28,52.87,52.00,52.54,7073900,51.02
2009-11-02,52.86,53.83,52.17,52.43,10767300,50.91
2009-10-30,54.11,54.84,52.91,53.62,12034000,52.07
2009-10-29,53.93,54.63,53.93,54.29,7091700,52.72
2009-10-28,54.35,54.79,53.69,53.71,6698000,52.15
2009-10-27,54.00,54.85,53.80,54.41,8850800,52.83
2009-10-26,56.19,56.62,54.07,54.33,12603700,52.76
2009-10-23,56.78,56.82,55.75,56.17,9602400,54.54
2009-10-22,57.71,57.74,56.04,56.85,20593300,55.20
2009-10-21,58.68,59.99,58.20,59.40,13342000,57.68
2009-10-20,59.65,59.84,58.03,58.14,10856200,56.46
2009-10-19,59.76,61.20,59.50,60.24,10694600,58.49
2009-10-16,61.46,61.73,60.69,61.32,6565200,59.54
2009-10-15,60.57,61.85,60.35,61.83,7894300,60.04
2009-10-14,59.35,60.77,59.35,60.57,6693100,58.82
2009-10-13,59.38,59.57,58.95,59.27,5468900,57.55
2009-10-12,60.03,60.40,59.35,59.51,5484400,57.79
2009-10-09,59.02,59.76,58.97,59.42,4775600,57.70
2009-10-08,58.97,59.44,58.71,58.89,5358800,57.18
2009-10-07,58.67,58.87,58.30,58.54,4616100,56.84
2009-10-06,58.28,59.37,58.17,58.86,5389200,57.15
2009-10-05,58.64,58.79,58.01,58.31,5196600,56.62
2009-10-02,58.99,59.26,58.36,58.58,4520100,56.88
2009-10-01,60.15,60.44,58.98,59.00,6999600,57.29
2009-09-30,60.50,60.67,59.60,60.23,5991800,58.48
2009-09-29,60.74,61.25,60.16,60.46,5598900,58.71
2009-09-28,60.33,61.48,60.33,60.45,4644400,58.70
2009-09-25,60.69,61.17,60.22,60.27,5079900,58.52
2009-09-24,60.49,61.22,60.34,60.78,6095400,59.02
2009-09-23,60.99,61.00,60.27,60.55,7590100,58.80
2009-09-22,62.41,62.52,60.58,60.83,9151400,59.07
2009-09-21,62.22,62.37,61.17,62.31,8262600,60.50
2009-09-18,60.80,61.30,60.43,60.80,9661700,59.04
2009-09-17,59.85,60.56,59.62,60.52,7710300,58.77
2009-09-16,58.60,59.77,58.46,59.69,6509200,57.96
2009-09-15,59.05,59.08,58.10,58.48,7112800,56.79
2009-09-14,58.50,59.52,58.50,59.21,5110500,57.49
2009-09-11,58.95,59.02,58.42,58.54,4800800,56.84
2009-09-10,59.43,59.45,58.64,59.03,5740000,57.32
2009-09-09,58.95,59.57,58.78,59.18,4762900,57.47
2009-09-08,59.00,59.63,58.82,59.16,6046400,57.45
2009-09-04,58.28,59.02,58.12,58.95,4667800,57.24
