Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,43.35,43.84,43.10,43.21,2123400,42.40
2009-12-30,43.10,43.40,42.88,43.31,1283500,42.50
2009-12-29,43.73,43.73,43.14,43.18,1918600,42.38
2009-12-28,43.59,43.71,43.38,43.47,3183600,42.66
2009-12-24,43.18,43.55,43.07,43.42,795700,42.61
2009-12-23,43.28,43.41,42.51,42.94,1717300,42.14
2009-12-22,42.85,43.04,42.51,43.04,1646200,42.24
2009-12-21,42.77,43.00,42.43,42.66,1971100,41.86
2009-12-18,41.78,42.16,41.64,42.12,3716200,41.33
2009-12-17,41.50,42.07,41.30,41.66,2595600,40.88
2009-12-16,41.23,41.85,41.20,41.58,2886300,40.81
2009-12-15,40.60,41.36,40.51,40.95,2421900,40.19
2009-12-14,40.48,40.99,40.28,40.82,2347300,40.06
2009-12-11,40.34,40.35,39.93,40.04,1766400,39.29
2009-12-10,39.57,40.55,39.57,40.10,3014300,39.35
2009-12-09,39.27,39.41,38.93,39.37,3530000,38.64
2009-12-08,40.06,40.14,39.06,39.17,5344600,38.44
2009-12-07,41.13,41.13,40.19,40.32,3863500,39.57
2009-12-04,41.60,42.13,40.75,41.00,3487700,40.24
2009-12-03,41.71,41.90,40.98,40.99,2363900,40.23
2009-12-02,41.55,42.42,41.36,41.54,2332700,40.77
2009-12-01,41.11,41.86,40.92,41.67,2288500,40.89
2009-11-30,40.96,40.97,40.43,40.92,2129900,40.16
2009-11-27,40.19,41.25,40.05,40.88,1044800,40.12
2009-11-25,40.89,41.30,40.70,41.25,3167100,40.48
2009-11-24,40.75,40.97,40.42,40.81,2524900,40.05
2009-11-23,41.21,41.78,40.59,40.80,2698400,40.04
2009-11-20,40.11,40.79,39.76,40.64,2758300,39.88
2009-11-19,40.74,40.75,39.90,40.42,2572900,39.67
2009-11-18,41.20,41.30,40.71,40.94,1970600,40.18
2009-11-17,40.34,41.23,40.11,41.14,2196600,40.37
2009-11-16,39.93,40.54,39.72,40.52,2171300,39.76
2009-11-13,39.38,39.92,39.15,39.77,1435900,39.03
2009-11-12,40.10,40.10,39.25,39.42,2088900,38.69
2009-11-11,39.88,40.10,39.37,39.99,3088000,39.24
2009-11-10,39.54,40.04,39.39,39.66,1864600,38.92
2009-11-09,39.11,39.81,39.11,39.72,2326500,38.98
2009-11-06,38.70,38.87,38.40,38.76,2077800,38.04
2009-11-05,38.75,39.23,38.46,38.70,1945200,37.98
