Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,52.10,52.38,51.70,51.70,667200,25.24
2009-12-30,52.11,52.37,51.99,52.12,441400,25.45
2009-12-29,52.08,52.32,52.04,52.16,1089200,25.47
2009-12-28,52.06,52.22,51.89,52.12,797400,25.45
2009-12-24,51.72,52.30,51.72,52.02,270400,25.40
2009-12-23,51.79,52.05,51.74,51.77,978000,25.28
2009-12-22,51.73,52.17,51.49,51.79,718400,25.29
2009-12-21,51.36,51.67,51.19,51.57,1432000,25.18
2009-12-18,51.75,51.75,50.93,51.26,1535800,25.03
2009-12-17,52.06,52.06,51.28,51.30,1266600,25.05
2009-12-16,52.06,52.28,51.66,52.17,1703200,25.47
2009-12-15,52.07,52.07,51.51,51.93,1602400,25.36
2009-12-14,51.78,52.36,51.61,52.14,1632800,25.46
2009-12-11,51.69,51.88,51.31,51.49,1190600,25.14
2009-12-10,51.69,51.91,51.20,51.45,1608200,25.12
2009-12-09,52.06,52.06,50.84,51.39,3464600,25.09
2009-12-08,49.83,52.20,49.43,51.94,4948800,25.36
2009-12-07,49.01,50.25,49.01,50.07,2239200,24.45
2009-12-04,49.07,49.38,48.46,49.20,3755000,24.02
2009-12-03,49.05,49.37,48.28,48.34,1972200,23.60
2009-12-02,49.71,49.80,48.88,49.07,1871600,23.96
2009-12-01,49.56,49.97,49.53,49.62,1505800,24.23
2009-11-30,49.72,49.84,49.12,49.41,1432400,24.13
2009-11-27,49.54,50.11,49.25,49.85,754800,24.34
2009-11-25,50.63,50.79,50.35,50.75,713800,24.73
2009-11-24,50.85,50.95,49.95,50.37,1299600,24.55
2009-11-23,51.00,51.47,50.38,50.73,1412800,24.72
2009-11-20,50.00,50.59,50.00,50.39,908800,24.56
2009-11-19,50.70,50.94,50.02,50.50,1432200,24.61
2009-11-18,51.15,51.38,50.66,51.05,980800,24.88
2009-11-17,50.90,51.43,50.54,51.32,1537000,25.01
2009-11-16,50.31,51.05,50.18,50.90,1214600,24.80
2009-11-13,49.87,50.25,49.46,50.12,963000,24.42
2009-11-12,50.47,50.62,49.74,49.94,1046600,24.34
2009-11-11,50.73,50.97,50.13,50.40,691600,24.56
2009-11-10,50.79,51.00,50.09,50.44,1804400,24.58
2009-11-09,50.25,50.86,49.53,50.86,1170000,24.79
2009-11-06,49.08,49.74,48.93,49.50,1239800,24.12
2009-11-05,48.97,49.68,48.91,49.27,1175600,24.01
2009-11-04,49.42,49.79,48.64,48.75,1447200,23.76
2009-11-03,48.76,49.48,48.43,49.25,2593200,24.00
2009-11-02,49.29,49.97,48.32,48.96,1845000,23.86
2009-10-30,50.17,50.79,49.12,49.33,3335600,24.04
2009-10-29,49.73,50.48,48.16,50.43,3024600,24.58
2009-10-28,49.89,49.89,48.21,48.43,2988800,23.60
2009-10-27,49.92,50.42,49.64,49.85,1945600,24.29
2009-10-26,50.13,50.82,49.47,49.84,1128600,24.29
