Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,22.66,22.81,22.45,22.46,1949200,21.23
2009-12-30,22.94,23.02,22.55,22.57,5012300,21.33
2009-12-29,23.02,23.10,22.71,22.77,3480900,21.52
2009-12-28,23.28,23.34,22.91,22.95,4456000,21.69
2009-12-24,22.84,23.24,22.74,23.21,1914500,21.93
2009-12-23,22.61,22.84,22.56,22.80,4383400,21.55
2009-12-22,22.67,22.79,22.59,22.60,4286800,21.36
2009-12-21,22.79,22.87,22.63,22.65,4099800,21.41
2009-12-18,22.55,22.75,22.43,22.51,7590500,21.27
2009-12-17,22.86,22.86,22.41,22.41,7817700,21.18
2009-12-16,22.62,22.86,22.47,22.49,8536700,21.25
2009-12-15,22.75,22.99,22.51,22.51,13518100,21.27
2009-12-14,23.00,23.25,22.92,22.97,6665000,21.71
2009-12-11,22.80,22.90,22.67,22.83,3633400,21.58
2009-12-10,22.84,23.00,22.64,22.72,3484100,21.47
2009-12-09,22.50,22.88,22.36,22.84,7173000,21.58
2009-12-08,21.96,22.22,21.78,21.91,3423200,20.71
2009-12-07,22.43,22.65,22.23,22.34,3874200,21.11
2009-12-04,22.56,22.66,22.25,22.65,4850000,21.41
2009-12-03,22.68,22.74,22.24,22.29,3494500,21.07
2009-12-02,22.37,22.64,22.16,22.42,2571300,21.19
2009-12-01,22.26,22.53,22.21,22.48,3468900,21.24
2009-11-30,21.90,22.13,21.73,22.10,4271500,20.89
2009-11-27,21.64,22.26,21.56,22.00,1973400,20.79
2009-11-25,22.13,22.49,22.09,22.33,3425900,21.10
2009-11-24,22.59,22.59,22.04,22.04,3796200,20.83
2009-11-23,22.09,22.55,22.03,22.55,5114100,21.31
2009-11-20,21.78,22.08,21.77,21.86,5744800,20.66
2009-11-19,22.27,22.28,21.89,21.96,3955100,20.75
2009-11-18,22.30,22.33,21.87,22.32,3699100,21.09
2009-11-17,22.21,22.38,22.05,22.36,3146000,21.13
2009-11-16,22.12,22.41,22.05,22.24,3935000,21.02
2009-11-13,21.76,22.27,21.73,22.10,3460700,20.89
2009-11-12,21.99,22.04,21.75,21.77,3666600,20.54
2009-11-11,21.87,22.18,21.71,21.93,3658400,20.69
2009-11-10,22.32,22.36,21.92,22.00,3921600,20.75
2009-11-09,21.60,22.28,21.48,22.27,5096800,21.01
2009-11-06,21.40,21.64,21.15,21.52,3521700,20.30
2009-11-05,21.16,21.56,20.95,21.51,4641400,20.29
2009-11-04,20.99,21.34,20.86,20.92,4282200,19.73
2009-11-03,21.00,21.00,20.62,20.92,3840300,19.73
2009-11-02,20.86,21.08,20.65,20.86,5563000,19.68
2009-10-30,21.43,21.50,20.81,20.92,7148300,19.73
2009-10-29,20.70,21.59,20.69,21.46,5874900,20.24
2009-10-28,21.19,21.35,20.60,20.68,9282700,19.51
2009-10-27,21.40,21.68,21.12,21.18,6728400,19.98
2009-10-26,21.40,21.72,21.14,21.27,8447000,20.06
2009-10-23,22.02,22.44,21.08,21.61,19240700,20.38
2009-10-22,23.43,24.15,23.05,23.91,6257800,22.55
2009-10-21,23.30,24.07,23.30,23.43,4395800,22.10
2009-10-20,23.51,23.60,23.21,23.41,4309700,22.08
2009-10-19,23.70,23.86,23.39,23.84,4950300,22.49
2009-10-16,23.83,23.86,23.29,23.71,6320500,22.37
2009-10-15,22.92,23.88,22.87,23.86,7079500,22.51
2009-10-14,22.98,23.19,22.73,22.93,3067800,21.63
2009-10-13,22.75,22.85,22.57,22.74,2047600,21.45
2009-10-12,22.71,22.86,22.52,22.72,2424400,21.43
2009-10-09,22.39,22.81,22.19,22.79,3180600,21.50
2009-10-08,22.30,22.47,22.02,22.39,3199200,21.12
2009-10-07,22.03,22.27,21.87,22.09,2603800,20.84
2009-10-06,21.93,22.23,21.81,22.14,3245600,20.88
2009-10-05,21.41,21.88,21.22,21.82,4689600,20.58
2009-10-02,21.19,21.58,21.16,21.39,3652500,20.18
2009-10-01,21.89,21.89,21.20,21.21,4459500,20.01
2009-09-30,22.27,22.27,21.68,21.99,7256100,20.74
2009-09-29,22.30,22.45,22.10,22.34,3809800,21.07
2009-09-28,21.62,22.34,21.62,22.30,3484600,21.04
2009-09-25,22.09,22.19,21.60,21.67,5561700,20.44
2009-09-24,22.07,22.36,21.88,21.95,3719700,20.71
2009-09-23,22.10,22.59,22.10,22.13,4141700,20.88
2009-09-22,22.38,22.40,22.05,22.19,4489700,20.93
2009-09-21,22.46,22.61,22.17,22.38,3185100,21.11
2009-09-18,22.82,22.82,22.42,22.51,5304000,21.23
