Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,47.42,47.74,46.01,46.09,1343700,43.20
2009-12-30,46.83,47.38,46.24,47.21,1530300,44.25
2009-12-29,46.95,47.43,46.62,47.11,1778800,44.15
2009-12-28,47.59,48.41,46.51,46.79,1698000,43.85
2009-12-24,47.33,48.00,46.94,47.41,1078500,44.43
2009-12-23,45.72,47.25,45.54,47.16,2625300,44.20
2009-12-22,45.74,46.14,44.81,45.49,2934500,42.63
2009-12-21,44.50,46.00,44.33,45.72,4100500,42.85
2009-12-18,45.27,45.45,43.44,43.98,19082100,41.22
2009-12-17,44.92,45.58,44.06,44.77,3147600,41.96
2009-12-16,45.60,46.00,44.77,45.48,4158100,42.62
2009-12-15,44.60,45.76,44.44,45.28,3701400,42.44
2009-12-14,44.26,45.32,43.97,45.06,3806600,42.23
2009-12-11,43.27,44.00,42.93,43.10,2757800,40.39
2009-12-10,42.90,43.69,42.24,42.85,5201000,40.16
2009-12-09,41.00,43.25,40.89,43.14,5087700,40.43
2009-12-08,41.17,41.69,40.35,40.80,3074300,38.24
2009-12-07,41.84,42.67,41.48,41.88,4455200,39.25
2009-12-04,44.85,45.12,41.37,42.20,7966100,39.55
2009-12-03,46.48,46.48,44.00,44.15,5214800,41.38
2009-12-02,45.22,46.49,45.10,45.95,3003800,43.06
2009-12-01,45.04,45.75,44.55,45.07,3004400,42.24
2009-11-30,44.38,45.13,43.68,44.06,4050300,41.29
2009-11-27,43.14,44.65,42.77,44.07,3027700,41.30
2009-11-25,43.77,45.47,43.20,45.26,3731000,42.42
2009-11-24,43.49,43.61,42.25,43.45,3365000,40.72
2009-11-23,44.37,44.83,42.26,42.54,3670000,39.87
2009-11-20,41.48,43.24,41.27,43.02,3114600,40.32
2009-11-19,42.36,42.58,41.26,42.28,2840500,39.63
2009-11-18,44.38,44.55,42.55,43.04,3688800,40.34
2009-11-17,42.98,44.15,42.61,44.03,3511500,41.18
2009-11-16,42.01,44.55,42.01,43.37,6576400,40.57
2009-11-13,39.14,41.37,38.75,41.30,5620100,38.63
2009-11-12,39.05,39.74,38.53,38.95,4304500,36.43
2009-11-11,38.94,39.65,38.70,38.96,4037300,36.44
2009-11-10,37.55,38.18,37.00,37.86,2395400,35.41
2009-11-09,37.28,37.90,37.03,37.80,2779600,35.36
2009-11-06,35.86,37.37,35.56,36.18,3106300,33.84
2009-11-05,36.40,36.95,36.10,36.67,3424600,34.30
2009-11-04,36.96,37.39,35.95,36.07,5375600,33.74
2009-11-03,34.40,36.63,34.12,36.06,4068300,33.73
2009-11-02,36.40,37.55,34.19,35.46,6133900,33.17
2009-10-30,35.99,37.40,34.92,35.57,9915300,33.27
2009-10-29,34.00,35.97,34.00,34.87,5451900,32.62
2009-10-28,34.99,35.37,32.87,33.17,5978000,31.03
2009-10-27,37.08,37.26,34.86,35.52,5259600,33.22
2009-10-26,37.96,39.43,36.93,37.20,3962500,34.79
2009-10-23,38.76,39.36,37.45,37.83,3668900,35.38
2009-10-22,38.45,38.68,36.86,38.63,4003600,36.13
2009-10-21,37.87,40.21,37.50,38.63,5057200,36.13
2009-10-20,39.85,39.85,37.05,38.14,4181800,35.67
2009-10-19,39.33,39.38,38.46,38.70,3455300,36.20
2009-10-16,38.93,39.75,38.52,38.78,4309800,36.27
2009-10-15,38.34,40.05,38.19,39.78,5712200,37.21
2009-10-14,36.71,39.10,36.49,38.85,7299300,36.34
2009-10-13,35.78,36.04,35.04,35.74,3617200,33.43
2009-10-12,36.19,36.87,35.35,35.89,3007200,33.57
2009-10-09,35.32,36.09,34.80,35.54,3543100,33.24
2009-10-08,34.26,35.92,33.95,35.68,9058100,33.37
2009-10-07,32.73,33.36,32.55,33.21,3241600,31.06
2009-10-06,32.89,33.60,32.00,32.62,3847700,30.51
2009-10-05,30.52,32.33,30.45,32.12,3938100,30.04
2009-10-02,29.43,30.99,29.05,30.18,5608200,28.23
2009-10-01,32.15,32.33,30.45,30.54,4867800,28.57
2009-09-30,33.63,33.80,32.08,32.36,4120400,30.27
2009-09-29,33.10,33.84,32.71,33.05,3891100,30.91
2009-09-28,32.69,33.21,32.00,32.93,2976000,30.80
2009-09-25,32.23,32.76,31.64,32.37,4276100,30.28
2009-09-24,33.84,33.91,32.30,32.60,3934400,30.49
2009-09-23,34.86,34.86,33.38,33.57,3865400,31.40
2009-09-22,34.46,34.97,34.05,34.45,3811800,32.22
2009-09-21,33.01,33.72,32.01,33.48,3765500,31.32
2009-09-18,34.53,34.69,33.36,33.75,4497300,31.57
2009-09-17,34.36,35.57,33.76,34.21,9084400,32.00
2009-09-16,32.93,34.36,32.83,33.90,7055400,31.71
2009-09-15,30.48,32.64,30.39,31.95,8376500,29.88
2009-09-14,29.41,30.52,29.01,30.40,5092000,28.43
2009-09-11,29.04,30.89,28.85,30.23,10293400,28.28
2009-09-10,26.71,28.30,26.18,28.10,4888100,26.28
2009-09-09,26.95,27.36,26.20,26.68,3299800,24.95
2009-09-08,26.19,27.08,26.13,27.04,4180400,25.29
2009-09-04,25.53,25.70,24.89,25.57,2712300,23.92
2009-09-03,24.79,25.58,24.28,25.58,4122200,23.93
2009-09-02,24.15,24.66,23.67,24.15,3475200,22.59
2009-09-01,25.20,25.97,24.12,24.31,4664000,22.74
2009-08-31,25.76,25.76,25.07,25.31,4174700,23.67
2009-08-28,26.58,26.74,25.66,26.42,3865400,24.71
2009-08-27,26.86,26.86,25.40,26.11,5634500,24.42
2009-08-26,26.80,27.10,25.92,27.07,4358500,25.32
2009-08-25,28.00,28.13,26.61,26.87,3072200,25.13
2009-08-24,28.07,28.67,27.47,27.55,3812200,25.77
2009-08-21,26.94,27.55,26.87,27.54,3115300,25.76
2009-08-20,26.18,26.95,26.10,26.40,2567200,24.69
2009-08-19,25.87,26.56,25.55,26.30,4761600,24.60
2009-08-18,26.34,27.04,26.31,26.56,3230000,24.84
2009-08-17,26.70,26.86,25.70,26.10,4250700,24.41
2009-08-14,29.25,29.50,27.80,28.16,3721200,26.34
2009-08-13,27.71,29.34,27.51,29.21,4945600,27.32
2009-08-12,26.22,27.76,26.21,27.34,3618300,25.57
2009-08-11,27.20,27.26,26.31,26.55,2927000,24.80
2009-08-10,27.96,28.11,27.13,27.42,3410500,25.61
2009-08-07,27.60,28.33,26.93,28.21,3852300,26.35
2009-08-06,28.60,28.71,26.88,27.17,4270600,25.37
2009-08-05,28.69,29.25,27.63,28.22,5853100,26.36
2009-08-04,29.19,29.65,28.66,28.95,4360700,27.04
2009-08-03,28.31,29.75,28.31,29.63,6867400,27.67
2009-07-31,26.67,27.84,26.58,27.39,4082600,25.58
2009-07-30,26.59,27.39,26.18,26.87,6750400,25.09
2009-07-29,25.76,25.76,24.69,24.85,5978400,23.21
