Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,56.22,56.39,55.30,55.36,508100,52.42
2009-12-30,55.88,56.35,55.66,56.24,356600,53.25
2009-12-29,55.99,56.61,55.90,56.16,330500,53.17
2009-12-28,55.95,56.01,55.58,55.99,746500,53.01
2009-12-24,55.67,55.85,55.46,55.73,396700,52.77
2009-12-23,56.20,56.50,55.44,55.57,1271100,52.61
2009-12-22,55.73,56.28,55.65,56.15,830500,53.16
2009-12-21,56.31,56.68,55.65,55.77,786800,52.80
2009-12-18,56.09,56.40,55.62,55.99,796200,53.01
2009-12-17,55.79,56.31,55.71,55.90,537600,52.93
2009-12-16,56.74,56.88,56.17,56.26,855000,53.27
2009-12-15,56.23,56.68,55.77,56.63,640700,53.62
2009-12-14,55.95,56.35,55.85,56.30,858900,53.31
2009-12-11,55.53,56.00,55.50,55.79,549500,52.82
2009-12-10,55.61,55.99,55.28,55.44,508100,52.49
2009-12-09,55.80,55.80,54.92,55.37,869000,52.42
2009-12-08,55.73,56.04,55.06,55.62,1041800,52.66
2009-12-07,54.85,55.92,54.71,55.87,777000,52.90
2009-12-04,55.68,56.26,54.28,54.70,2420500,51.79
2009-12-03,54.95,55.46,54.66,54.80,955200,51.88
2009-12-02,54.61,55.04,54.39,54.92,693700,52.00
2009-12-01,53.63,54.54,53.63,54.43,911600,51.53
2009-11-30,53.76,53.76,52.94,53.46,775900,50.62
2009-11-27,53.17,54.04,52.99,53.70,378800,50.84
2009-11-25,54.27,54.60,53.82,54.50,625700,51.60
2009-11-24,54.41,54.41,53.68,54.01,980500,51.14
2009-11-23,53.47,54.16,53.42,54.13,1030500,51.25
2009-11-20,52.20,53.14,52.12,53.08,1199300,50.26
2009-11-19,53.23,53.31,51.95,52.34,835700,49.56
2009-11-18,53.65,53.72,53.24,53.34,1098000,50.50
2009-11-17,53.69,53.80,53.08,53.75,725400,50.89
2009-11-16,53.17,53.88,52.82,53.72,629500,50.86
2009-11-13,52.08,53.15,52.08,52.92,794700,50.10
2009-11-12,52.51,53.01,52.02,52.09,494300,49.32
2009-11-11,52.62,53.00,52.39,52.60,580200,49.57
2009-11-10,52.56,52.94,52.01,52.21,694300,49.21
2009-11-09,52.04,52.85,52.04,52.85,840800,49.81
2009-11-06,51.72,52.24,51.15,51.51,1163300,48.55
2009-11-05,49.99,51.83,49.99,51.83,2187500,48.85
2009-11-04,49.35,50.40,49.31,49.63,1014800,46.78
2009-11-03,49.14,49.46,47.19,49.24,2298700,46.41
2009-11-02,50.60,51.60,50.31,50.78,1460300,47.86
2009-10-30,51.25,51.95,50.31,50.38,1916100,47.48
2009-10-29,50.47,51.64,50.12,51.56,1963300,48.59
2009-10-28,50.65,51.34,50.19,50.24,1937300,47.35
2009-10-27,51.12,51.55,50.86,50.94,1033200,48.01
2009-10-26,51.49,52.23,50.71,51.06,734900,48.12
2009-10-23,52.20,52.20,50.97,51.54,668200,48.58
2009-10-22,51.46,52.19,51.20,52.00,863300,49.01
2009-10-21,51.48,52.43,51.27,51.33,951800,48.38
2009-10-20,52.66,52.66,51.11,51.52,797800,48.56
2009-10-19,52.52,53.07,52.26,52.87,483700,49.83
2009-10-16,51.60,52.44,51.44,52.22,608800,49.22
2009-10-15,52.19,52.60,51.54,52.05,741000,49.06
2009-10-14,51.88,52.45,51.48,52.28,713500,49.27
2009-10-13,51.18,51.49,51.17,51.26,806600,48.31
2009-10-12,51.02,51.50,51.02,51.22,634500,48.27
2009-10-09,50.50,51.07,50.29,50.99,842800,48.06
2009-10-08,50.30,50.68,49.78,50.50,1176300,47.60
2009-10-07,49.91,50.15,49.73,49.90,789700,47.03
2009-10-06,49.10,50.03,49.08,49.99,1013200,47.11
2009-10-05,48.45,48.81,47.96,48.81,736100,46.00
2009-10-02,48.62,48.83,48.00,48.15,982000,45.38
2009-10-01,50.52,50.63,49.00,49.00,826500,46.18
2009-09-30,50.65,51.37,49.72,50.80,982600,47.88
2009-09-29,50.42,50.91,50.34,50.63,901900,47.72
2009-09-28,49.49,50.65,49.49,50.46,1054600,47.56
2009-09-25,50.31,50.31,49.16,49.34,1657000,46.50
2009-09-24,50.56,50.67,49.46,49.79,850200,46.93
2009-09-23,51.14,51.27,50.28,50.38,687400,47.48
2009-09-22,50.93,51.30,50.54,51.14,744900,48.20
2009-09-21,50.56,50.94,50.19,50.70,858600,47.78
2009-09-18,51.11,51.25,50.45,51.10,1779800,48.16
2009-09-17,48.90,51.35,48.55,50.58,2638200,47.67
2009-09-16,48.82,49.00,47.99,48.74,1298200,45.94
2009-09-15,48.42,48.84,48.25,48.62,1291300,45.82
2009-09-14,48.34,48.72,48.04,48.52,1075900,45.73
2009-09-11,47.96,48.70,47.80,48.57,1183600,45.78
2009-09-10,47.29,48.00,46.75,48.00,1073600,45.24
2009-09-09,46.82,47.51,46.70,47.30,807700,44.58
2009-09-08,46.32,47.16,46.08,46.98,1187300,44.28
2009-09-04,45.31,46.37,45.15,46.25,1049700,43.59
2009-09-03,45.69,45.90,44.80,45.21,1307900,42.61
2009-09-02,45.52,45.83,45.25,45.46,1899600,42.85
2009-09-01,45.80,46.68,45.03,45.70,1350200,43.07
2009-08-31,45.88,46.26,45.38,46.04,787600,43.39
2009-08-28,46.94,46.94,46.12,46.30,830700,43.64
2009-08-27,45.38,47.24,45.38,46.53,1452600,43.85
2009-08-26,45.06,45.35,44.78,44.99,853700,42.40
2009-08-25,45.08,45.36,44.72,45.06,1237400,42.47
2009-08-24,44.38,45.41,43.92,44.76,1134500,42.19
2009-08-21,43.65,44.52,43.42,44.40,762600,41.85
2009-08-20,42.88,43.28,42.64,43.21,1074200,40.72
2009-08-19,42.46,42.98,42.42,42.60,1194300,40.15
2009-08-18,42.74,43.05,42.61,42.98,751800,40.51
2009-08-17,42.84,43.28,41.92,42.69,943800,40.23
2009-08-14,44.40,44.49,43.10,43.76,1662500,41.24
2009-08-13,43.35,44.50,42.55,44.24,1177200,41.70
2009-08-12,43.92,45.66,43.78,45.32,892200,42.49
2009-08-11,44.29,44.42,43.48,43.89,932800,41.15
2009-08-10,44.81,44.89,44.12,44.55,620100,41.77
2009-08-07,44.45,45.52,44.14,45.23,871600,42.40
2009-08-06,43.75,44.50,43.61,44.09,1479400,41.33
2009-08-05,43.84,44.11,43.31,43.65,839800,40.92
2009-08-04,42.96,43.90,42.77,43.77,1468100,41.03
2009-08-03,42.74,43.61,42.32,43.29,1339800,40.58
2009-07-31,42.69,43.20,42.13,42.20,1425600,39.56
2009-07-30,42.03,43.55,41.51,42.52,2125600,39.86
2009-07-29,39.46,40.43,38.92,40.26,2014000,37.74
2009-07-28,39.25,39.86,39.21,39.61,2416600,37.13
2009-07-27,40.54,40.67,39.18,39.59,3343400,37.12
2009-07-24,41.54,41.84,40.37,40.74,2037800,38.19
2009-07-23,41.97,41.99,41.27,41.85,1384000,39.23
2009-07-22,41.55,42.25,41.53,41.87,725200,39.25
2009-07-21,41.64,41.97,41.45,41.91,808400,39.29
2009-07-20,41.09,41.50,40.57,41.41,1037200,38.82
2009-07-17,41.28,41.46,40.60,40.94,1690300,38.38
2009-07-16,40.92,41.43,40.57,41.31,1206200,38.73
2009-07-15,40.76,41.29,40.76,41.13,1015100,38.56
2009-07-14,40.00,40.75,39.85,40.68,1027400,38.14
2009-07-13,39.00,39.97,38.55,39.97,861200,37.47
