Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,14.78,14.88,14.65,14.71,3819900,14.35
2009-12-30,14.67,14.81,14.57,14.81,2916000,14.45
2009-12-29,14.83,14.89,14.66,14.76,3087300,14.40
2009-12-28,14.90,14.96,14.73,14.82,2713500,14.44
2009-12-24,14.72,14.97,14.69,14.93,1342100,14.54
2009-12-23,14.73,14.88,14.62,14.68,2827500,14.30
2009-12-22,14.68,14.96,14.57,14.64,4224500,14.26
2009-12-21,14.98,15.03,14.60,14.70,6605000,14.32
2009-12-18,15.15,15.15,14.60,14.95,9489900,14.56
2009-12-17,16.35,16.36,14.76,14.92,18488600,14.53
2009-12-16,16.06,16.78,16.06,16.42,6494200,15.99
2009-12-15,16.23,16.49,15.96,16.01,6280700,15.59
2009-12-14,16.29,16.50,16.01,16.49,5240100,16.06
2009-12-11,15.67,16.17,15.51,16.13,4757400,15.71
2009-12-10,15.50,15.74,15.36,15.60,4821100,15.20
2009-12-09,15.11,15.46,14.99,15.44,4073500,15.04
2009-12-08,15.43,15.43,15.06,15.10,5063800,14.71
2009-12-07,15.60,15.84,15.34,15.41,7748600,15.01
2009-12-04,15.09,15.47,14.98,15.18,8937200,14.79
2009-12-03,15.35,15.39,14.81,14.83,6033700,14.45
2009-12-02,15.37,15.44,15.17,15.27,6547700,14.87
2009-12-01,15.60,15.66,15.13,15.45,5134600,15.05
2009-11-30,15.21,15.50,15.09,15.46,6783700,15.06
2009-11-27,15.06,15.35,15.00,15.13,2751000,14.74
2009-11-25,15.50,15.72,15.34,15.70,3596200,15.29
2009-11-24,15.46,15.53,15.25,15.34,4010400,14.94
2009-11-23,15.69,15.70,15.27,15.48,4401600,15.08
2009-11-20,15.19,15.38,15.08,15.35,4235500,14.95
2009-11-19,15.87,15.89,15.21,15.42,5437600,15.02
2009-11-18,15.92,16.09,15.80,15.99,4381300,15.58
2009-11-17,16.08,16.09,15.58,15.92,4398800,15.51
2009-11-16,15.50,16.31,15.43,16.11,7440700,15.69
2009-11-13,15.40,15.70,15.31,15.40,3444000,15.00
2009-11-12,15.37,15.62,15.25,15.40,5525700,15.00
2009-11-11,15.54,15.82,15.31,15.40,7229000,15.00
2009-11-10,15.32,15.45,15.05,15.40,7322900,15.00
2009-11-09,14.68,15.46,14.62,15.38,9393600,14.98
2009-11-06,14.45,14.64,14.17,14.53,5549300,14.15
2009-11-05,14.05,14.55,13.98,14.53,5773500,14.15
2009-11-04,14.30,14.45,13.88,13.95,7240000,13.59
2009-11-03,14.05,14.31,13.90,14.19,5800700,13.82
2009-11-02,14.25,14.50,13.85,14.24,9230100,13.87
2009-10-30,14.90,14.93,13.90,14.14,8692900,13.77
2009-10-29,14.45,14.95,14.36,14.95,7465200,14.56
2009-10-28,14.73,14.90,14.22,14.27,7042500,13.90
2009-10-27,15.02,15.10,14.71,14.87,7789100,14.48
2009-10-26,15.19,15.58,14.96,15.06,8762100,14.67
2009-10-23,15.55,15.85,14.93,15.03,7158700,14.64
2009-10-22,14.92,15.44,14.81,15.42,7341800,15.02
2009-10-21,15.09,15.39,14.84,14.87,9329300,14.48
2009-10-20,15.64,15.73,14.98,15.09,7999000,14.70
2009-10-19,15.22,15.77,15.09,15.62,13228300,15.22
2009-10-16,15.81,15.90,15.02,15.08,15116000,14.69
2009-10-15,16.08,16.19,15.84,16.10,9106700,15.68
2009-10-14,16.50,16.51,15.77,16.26,9802300,15.84
2009-10-13,16.26,16.53,15.96,16.22,7342900,15.80
2009-10-12,16.41,16.71,16.12,16.33,9311100,15.91
2009-10-09,17.15,17.17,15.72,16.20,13831200,15.78
2009-10-08,16.87,17.36,16.71,17.08,10264600,16.64
2009-10-07,16.62,17.02,16.56,16.89,5626200,16.45
2009-10-06,16.30,16.74,16.17,16.66,9946200,16.23
2009-10-05,15.45,16.12,15.45,16.12,9578000,15.70
2009-10-02,15.76,15.83,15.28,15.33,10211900,14.93
2009-10-01,16.14,16.47,15.83,16.00,13056700,15.59
2009-09-30,16.12,16.43,15.44,16.23,11165600,15.81
2009-09-29,16.33,16.64,15.88,15.97,8835900,15.56
2009-09-28,15.53,16.41,15.41,16.41,6929100,15.97
2009-09-25,15.80,15.93,15.28,15.36,8830700,14.94
2009-09-24,16.08,16.14,15.69,15.90,9416900,15.47
2009-09-23,16.26,16.40,15.94,15.94,9157600,15.51
2009-09-22,16.16,16.35,16.06,16.21,7394100,15.77
2009-09-21,15.94,16.10,15.78,16.03,9040500,15.60
2009-09-18,15.65,16.26,15.50,16.06,10586400,15.62
2009-09-17,15.50,16.37,14.76,15.52,18861800,15.10
2009-09-16,15.17,15.70,15.10,15.32,11295500,14.90
2009-09-15,14.65,15.22,14.60,15.14,12738400,14.73
2009-09-14,14.64,15.07,14.52,15.03,8652600,14.62
2009-09-11,14.58,14.80,14.39,14.71,7505000,14.31
2009-09-10,14.25,14.59,14.06,14.47,7715000,14.08
2009-09-09,13.75,14.32,13.75,14.30,6927400,13.91
2009-09-08,13.70,13.87,13.59,13.75,6395200,13.38
2009-09-04,13.71,13.77,13.34,13.55,4965500,13.18
2009-09-03,13.12,13.64,12.95,13.64,8500100,13.27
2009-09-02,12.96,13.19,12.87,12.98,7728800,12.63
2009-09-01,13.55,13.72,12.95,13.06,11682200,12.71
2009-08-31,13.77,13.93,13.40,13.75,8832700,13.38
2009-08-28,14.12,14.24,13.87,14.23,4833500,13.84
2009-08-27,13.93,14.09,13.68,13.98,6144600,13.60
2009-08-26,13.61,14.12,13.32,14.01,8490500,13.63
2009-08-25,13.85,14.02,13.56,13.62,7603100,13.25
2009-08-24,14.16,14.21,13.57,13.72,10645300,13.35
2009-08-21,13.20,13.59,13.14,13.51,6871400,13.14
2009-08-20,12.54,13.19,12.48,13.12,7342700,12.76
2009-08-19,12.29,12.71,12.22,12.52,9550100,12.18
2009-08-18,12.19,12.52,12.04,12.46,7311600,12.12
2009-08-17,12.35,12.36,11.97,12.13,10888700,11.80
2009-08-14,12.57,12.68,12.23,12.48,7098000,12.14
2009-08-13,12.68,12.78,12.49,12.60,7624500,12.26
2009-08-12,12.42,12.63,12.15,12.50,6272800,12.16
2009-08-11,12.33,12.56,12.17,12.28,9864500,11.95
2009-08-10,12.75,12.90,12.25,12.40,8935800,12.06
2009-08-07,12.74,12.90,12.39,12.76,9967300,12.41
2009-08-06,12.71,12.85,12.29,12.58,10697400,12.24
2009-08-05,12.54,12.60,12.11,12.53,10112000,12.19
2009-08-04,12.17,12.56,12.07,12.40,6247900,12.06
2009-08-03,12.24,12.48,12.05,12.23,7254000,11.90
2009-07-31,11.99,12.30,11.88,11.88,8262800,11.56
2009-07-30,11.78,12.28,11.75,11.99,7329300,11.66
2009-07-29,11.63,11.72,11.31,11.67,7838800,11.35
2009-07-28,11.92,12.05,11.75,11.93,5205100,11.61
2009-07-27,12.08,12.19,11.90,12.03,5383800,11.70
2009-07-24,11.34,12.14,11.30,12.06,6591400,11.73
