Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,30.95,31.00,30.63,30.67,386700,30.67
2009-12-30,31.04,31.21,30.41,30.76,874700,30.76
2009-12-29,31.09,31.35,31.08,31.15,381700,31.15
2009-12-28,31.25,31.50,30.98,31.05,588400,31.05
2009-12-24,31.13,31.19,30.90,31.12,177100,31.12
2009-12-23,31.44,31.50,30.85,30.89,1185200,30.89
2009-12-22,31.70,31.70,31.34,31.46,855800,31.46
2009-12-21,31.74,31.94,31.57,31.70,858300,31.70
2009-12-18,31.54,31.68,31.15,31.48,1386500,31.48
2009-12-17,31.07,31.87,30.99,31.53,1303700,31.53
2009-12-16,31.85,31.97,31.36,31.42,1088100,31.42
2009-12-15,32.04,32.04,31.44,31.68,1253500,31.68
2009-12-14,32.01,32.05,31.27,31.76,2754100,31.76
2009-12-11,31.79,32.05,31.60,31.93,1127800,31.93
2009-12-10,30.64,31.78,30.57,31.71,1328800,31.71
2009-12-09,30.95,31.10,30.66,30.71,1089800,30.71
2009-12-08,31.47,31.51,30.99,31.04,895200,31.04
2009-12-07,31.38,31.89,31.30,31.46,1161800,31.46
2009-12-04,32.13,32.13,31.10,31.38,1584000,31.38
2009-12-03,32.60,32.64,31.57,31.58,1433600,31.58
2009-12-02,32.50,32.69,32.20,32.39,1836600,32.39
2009-12-01,32.30,32.61,32.18,32.39,2206200,32.39
2009-11-30,31.72,32.03,31.42,31.95,1619600,31.95
2009-11-27,30.97,31.69,30.84,31.57,345400,31.57
2009-11-25,31.91,31.94,31.58,31.85,1107100,31.85
2009-11-24,31.82,31.96,31.28,31.95,1131800,31.95
2009-11-23,31.88,32.40,31.31,31.64,1086300,31.64
2009-11-20,30.79,31.41,30.48,31.16,1183700,31.16
2009-11-19,31.34,31.38,30.67,31.12,849900,31.12
2009-11-18,31.76,31.99,31.40,31.46,1016400,31.46
2009-11-17,31.49,31.88,31.29,31.88,1169200,31.88
2009-11-16,30.59,31.58,30.57,31.57,1120500,31.57
2009-11-13,30.12,30.60,30.01,30.56,1528200,30.56
2009-11-12,30.37,30.77,30.03,30.12,1135800,30.12
2009-11-11,30.70,30.92,30.28,30.34,1143200,30.34
2009-11-10,30.57,30.85,30.17,30.41,1124500,30.41
2009-11-09,30.09,30.82,29.91,30.79,1644200,30.79
2009-11-06,29.40,30.07,29.21,30.07,1735700,30.07
2009-11-05,28.47,29.65,28.33,29.64,1938500,29.64
2009-11-04,28.51,29.75,28.36,28.47,4308300,28.47
2009-11-03,27.25,28.03,26.64,28.01,2900500,28.01
2009-11-02,27.33,28.33,27.05,27.28,3262300,27.28
2009-10-30,28.69,28.78,27.34,27.50,1714600,27.50
2009-10-29,27.88,28.79,27.77,28.71,1696100,28.71
2009-10-28,28.39,28.75,27.87,27.98,1453500,27.98
2009-10-27,29.85,29.92,28.98,29.05,662300,29.05
2009-10-26,29.73,30.15,29.57,29.72,2120500,29.72
2009-10-23,29.76,29.91,29.40,29.74,1688400,29.74
2009-10-22,30.40,30.41,29.60,29.77,1731800,29.77
2009-10-21,30.57,30.84,29.71,29.74,1490500,29.74
2009-10-20,31.15,31.35,30.71,30.81,2057100,30.81
2009-10-19,30.18,31.06,29.93,30.87,2044800,30.87
2009-10-16,29.92,30.34,29.66,30.11,2321600,30.11
2009-10-15,30.38,30.38,29.85,30.01,1583100,30.01
2009-10-14,30.32,30.47,29.95,30.38,1765900,30.38
2009-10-13,30.19,30.31,29.89,30.05,894300,30.05
2009-10-12,30.64,30.81,30.14,30.25,525400,30.25
2009-10-09,31.00,31.00,30.28,30.55,1021900,30.55
2009-10-08,30.53,31.11,30.24,30.92,2591100,30.92
2009-10-07,30.18,30.28,29.82,30.22,1349000,30.22
2009-10-06,29.48,30.33,29.37,30.09,1613200,30.09
2009-10-05,29.38,29.60,29.10,29.44,1555600,29.44
2009-10-02,28.89,29.08,28.49,29.02,2226000,29.02
2009-10-01,29.16,29.88,28.77,28.91,3798100,28.91
2009-09-30,28.67,29.13,28.46,28.89,1667900,28.89
2009-09-29,28.20,28.85,28.20,28.38,991000,28.38
2009-09-28,27.74,28.47,27.71,28.33,920500,28.33
2009-09-25,28.28,28.41,27.68,27.70,1390500,27.70
2009-09-24,28.86,28.86,28.25,28.43,969200,28.43
2009-09-23,29.50,29.64,28.86,28.86,1190400,28.86
2009-09-22,29.60,29.75,29.38,29.55,1073800,29.55
2009-09-21,29.58,29.85,29.25,29.39,2235200,29.39
2009-09-18,29.19,29.77,29.07,29.60,2476700,29.60
2009-09-17,29.22,29.54,29.05,29.25,1798300,29.25
2009-09-16,29.19,29.75,28.68,29.44,1616700,29.44
2009-09-15,28.49,28.91,28.20,28.86,1147400,28.86
2009-09-14,28.34,28.45,27.98,28.35,1110900,28.35
2009-09-11,28.47,28.68,28.03,28.34,1049500,28.34
2009-09-10,27.29,28.45,27.22,28.42,2026500,28.42
2009-09-09,26.77,27.28,26.43,27.17,1518100,27.17
2009-09-08,26.49,26.68,26.20,26.65,971100,26.65
2009-09-04,25.84,26.13,25.61,26.10,1439000,26.10
2009-09-03,25.77,25.88,25.47,25.70,1105700,25.70
2009-09-02,25.69,25.75,25.24,25.55,918300,25.55
2009-09-01,25.75,26.46,25.53,25.54,1843400,25.54
2009-08-31,25.90,26.23,25.71,25.92,2253200,25.92
2009-08-28,26.69,26.69,25.48,25.87,2406900,25.87
2009-08-27,26.77,26.77,25.85,26.38,1718700,26.38
2009-08-26,26.67,26.86,26.31,26.84,1733600,26.84
2009-08-25,26.08,27.02,25.92,26.70,2704700,26.70
2009-08-24,25.62,26.07,25.44,25.85,1172400,25.85
2009-08-21,25.06,25.69,25.01,25.62,1328300,25.62
2009-08-20,24.67,25.25,24.53,25.14,962900,25.14
2009-08-19,24.29,25.07,24.25,24.93,1570400,24.93
2009-08-18,24.29,24.81,24.25,24.63,754200,24.63
2009-08-17,24.37,24.66,24.13,24.28,942700,24.28
2009-08-14,24.89,25.08,24.16,24.77,1359900,24.77
2009-08-13,25.11,25.15,24.61,24.78,2007800,24.78
2009-08-12,25.13,25.62,24.98,25.13,1137500,25.13
2009-08-11,25.60,25.70,24.81,25.01,1337800,25.01
2009-08-10,25.74,25.99,25.20,25.46,1023100,25.46
2009-08-07,25.00,25.76,24.69,25.71,1423600,25.71
2009-08-06,25.18,25.60,24.75,24.88,1419400,24.88
2009-08-05,25.20,25.33,24.51,24.93,1451800,24.93
2009-08-04,25.47,25.62,24.67,24.98,3329500,24.98
2009-08-03,24.50,25.48,24.30,25.39,2830400,25.39
2009-07-31,24.41,24.62,24.30,24.50,1405700,24.50
2009-07-30,24.50,24.67,24.18,24.38,1784200,24.38
2009-07-29,24.39,24.53,24.05,24.10,961600,24.10
2009-07-28,23.89,24.45,23.75,24.40,1328000,24.40
2009-07-27,24.07,24.07,23.48,24.06,781100,24.06
2009-07-24,24.11,24.33,23.71,23.99,634300,23.99
2009-07-23,23.86,24.23,23.50,24.02,2758700,24.02
2009-07-22,23.90,24.00,23.54,23.87,1239800,23.87
2009-07-21,24.00,24.00,23.62,23.91,807000,23.91
2009-07-20,23.10,24.04,23.00,23.98,1332000,23.98
2009-07-17,23.47,23.61,23.15,23.35,759600,23.35
2009-07-16,23.62,23.79,22.99,23.61,1177500,23.61
2009-07-15,23.05,23.89,23.00,23.57,1771100,23.57
2009-07-14,22.24,23.11,22.06,22.92,1650600,22.92
2009-07-13,22.40,22.54,21.82,22.38,1009000,22.38
2009-07-10,22.49,22.90,22.07,22.45,1870900,22.45
2009-07-09,22.11,22.69,22.00,22.44,1893600,22.44
2009-07-08,21.95,22.10,21.42,21.85,1702500,21.85
2009-07-07,22.03,22.22,21.70,21.82,2332300,21.82
2009-07-06,22.03,22.08,21.66,21.94,1857400,21.94
2009-07-02,22.90,23.14,22.02,22.08,1749200,22.08
2009-07-01,22.60,23.36,22.41,22.99,1482900,22.99
2009-06-30,22.64,22.64,22.14,22.51,2894900,22.51
2009-06-29,21.86,22.24,21.75,22.19,1278800,22.19
2009-06-26,21.11,21.85,20.96,21.74,4537100,21.74
2009-06-25,20.67,21.15,20.55,21.03,1973700,21.03
2009-06-24,20.12,21.53,20.12,20.60,1772800,20.60
2009-06-23,20.21,20.60,19.88,20.09,1236700,20.09
2009-06-22,20.63,20.91,20.11,20.30,1461600,20.30
2009-06-19,21.25,21.40,20.69,20.90,1756900,20.90
2009-06-18,21.29,21.49,21.04,21.17,923000,21.17
2009-06-17,20.70,21.26,20.51,21.14,1272200,21.14
2009-06-16,21.91,21.99,20.81,20.99,1159700,20.99
2009-06-15,22.00,22.02,21.16,21.72,1601400,21.72
2009-06-12,22.45,22.66,21.73,22.12,1625400,22.12
2009-06-11,22.77,22.97,22.39,22.67,1074300,22.67
2009-06-10,23.81,24.08,22.69,22.99,1402900,22.99
2009-06-09,23.38,23.68,22.91,23.55,1824700,23.55
2009-06-08,22.99,23.40,22.62,23.25,813300,23.25
2009-06-05,22.61,23.21,22.12,23.02,2192200,23.02
2009-06-04,22.74,22.74,22.19,22.28,2021900,22.28
2009-06-03,22.81,22.81,22.15,22.50,1822100,22.50
2009-06-02,22.66,22.66,21.89,22.43,2590600,22.43
2009-06-01,22.57,23.00,22.08,22.40,2596800,22.40
2009-05-29,22.31,22.49,22.00,22.45,2151600,22.45
2009-05-28,22.07,22.25,21.38,22.02,1537000,22.02
2009-05-27,21.63,22.21,21.63,21.87,1941100,21.87
2009-05-26,22.09,22.26,21.66,22.26,2196200,22.26
2009-05-22,21.86,21.96,21.51,21.83,1186000,21.83
2009-05-21,21.50,21.61,20.80,21.42,3071600,21.42
2009-05-20,20.89,22.17,20.82,21.82,3874400,21.82
2009-05-19,19.88,20.74,19.88,20.58,1995200,20.58
2009-05-18,19.26,20.06,18.97,20.06,1256100,20.06
2009-05-15,19.28,19.84,19.19,19.29,889400,19.29
2009-05-14,19.06,19.53,19.00,19.30,1067200,19.30
2009-05-13,19.49,19.49,18.97,19.17,1125500,19.17
2009-05-12,20.69,20.71,19.16,19.56,1536300,19.56
2009-05-11,20.02,20.71,19.84,20.25,1507100,20.25
2009-05-08,19.99,20.45,19.71,20.27,1680200,20.27
2009-05-07,21.08,21.08,19.90,20.09,2020400,20.09
2009-05-06,21.00,21.47,20.79,21.00,2279700,21.00
2009-05-05,19.97,21.36,19.62,21.25,3030500,21.25
2009-05-04,19.22,20.48,18.89,20.21,2872000,20.21
2009-05-01,19.04,19.04,18.01,18.61,2462700,18.61
2009-04-30,19.75,19.89,18.85,18.99,1654600,18.99
2009-04-29,18.75,19.61,18.70,19.27,3050800,19.27
2009-04-28,18.38,18.52,18.00,18.23,1270800,18.23
2009-04-27,17.80,18.88,17.78,18.36,2455600,18.36
2009-04-24,17.99,18.33,17.64,18.22,1804000,18.22
2009-04-23,18.55,18.57,17.63,17.82,2237600,17.82
2009-04-22,18.15,18.85,18.01,18.49,2644000,18.49
2009-04-21,17.50,18.30,17.40,18.30,1496500,18.30
2009-04-20,18.31,18.32,17.56,17.67,1703900,17.67
2009-04-17,17.74,18.37,17.57,18.25,2561400,18.25
2009-04-16,17.17,17.96,16.97,17.78,1167500,17.78
2009-04-15,16.92,17.44,16.76,16.94,1447700,16.94
2009-04-14,17.60,17.71,16.96,16.96,1906800,16.96
2009-04-13,17.88,17.95,17.48,17.66,1640200,17.66
2009-04-09,17.94,18.03,17.76,17.95,2401200,17.95
2009-04-08,16.83,17.40,16.65,17.19,1702200,17.19
2009-04-07,17.07,17.17,16.62,16.76,2878600,16.76
2009-04-06,17.65,17.87,17.41,17.84,1565500,17.84
2009-04-03,17.96,18.06,17.44,18.03,2825800,18.03
2009-04-02,17.40,18.06,17.37,17.81,2516300,17.81
2009-04-01,16.05,17.15,16.00,17.06,3055500,17.06
2009-03-31,16.04,16.37,15.84,16.02,1545300,16.02
2009-03-30,15.90,16.03,15.33,15.99,1679100,15.99
2009-03-27,16.26,16.38,15.68,16.12,1424100,16.12
2009-03-26,16.34,16.66,16.19,16.52,1680200,16.52
2009-03-25,16.13,16.25,15.72,16.24,1924400,16.24
2009-03-24,16.34,16.62,16.08,16.20,1356600,16.20
2009-03-23,16.00,16.71,15.87,16.60,2787200,16.60
2009-03-20,16.42,16.57,15.82,15.87,1264600,15.87
2009-03-19,17.12,17.12,16.17,16.27,1983900,16.27
2009-03-18,17.01,17.29,16.65,17.16,1584200,17.16
2009-03-17,16.63,16.80,16.37,16.77,1238800,16.77
2009-03-16,17.07,17.12,16.60,16.66,1122900,16.66
2009-03-13,16.63,16.99,16.30,16.92,2378700,16.92
2009-03-12,15.48,16.77,15.29,16.55,2769800,16.55
2009-03-11,15.43,15.70,15.19,15.45,1412200,15.45
2009-03-10,14.81,15.37,14.76,15.34,1836200,15.34
2009-03-09,15.04,15.29,14.41,14.49,1874500,14.49
2009-03-06,15.35,15.50,14.67,15.12,4023900,15.12
2009-03-05,15.26,15.65,15.07,15.21,2430700,15.21
2009-03-04,15.84,15.92,15.21,15.45,2412900,15.45
2009-03-03,15.46,15.78,15.35,15.66,2714100,15.66
2009-03-02,15.31,15.80,15.12,15.26,2525700,15.26
2009-02-27,14.70,15.59,14.70,15.51,3173600,15.51
2009-02-26,15.22,15.50,14.75,14.76,2362600,14.76
2009-02-25,14.73,15.32,14.35,14.93,6257600,14.93
2009-02-24,12.56,13.46,12.56,13.26,3168400,13.26
2009-02-23,12.69,13.07,12.65,12.71,1931900,12.71
2009-02-20,12.98,13.01,12.46,12.68,1331500,12.68
2009-02-19,13.28,13.39,13.06,13.12,1792300,13.12
2009-02-18,13.56,13.70,13.03,13.07,1144700,13.07
2009-02-17,13.55,13.87,13.21,13.49,1547600,13.49
2009-02-13,14.01,14.14,13.93,13.98,986100,13.98
2009-02-12,13.62,14.15,13.56,13.94,1758000,13.94
2009-02-11,13.70,14.04,13.64,13.80,1201600,13.80
2009-02-10,13.87,14.05,13.53,13.66,1330900,13.66
2009-02-09,13.84,14.13,13.70,14.05,1741400,14.05
2009-02-06,13.58,14.11,13.48,13.94,1765300,13.94
2009-02-05,13.58,13.74,13.28,13.53,2837300,13.53
2009-02-04,14.70,14.89,13.69,13.75,3298700,13.75
2009-02-03,14.59,14.75,14.16,14.64,1106400,14.64
2009-02-02,14.23,14.71,13.96,14.55,1091900,14.55
2009-01-30,14.86,15.05,14.18,14.50,1503300,14.50
2009-01-29,14.86,14.89,14.33,14.40,913900,14.40
2009-01-28,14.78,15.12,14.78,14.96,1561900,14.96
2009-01-27,14.75,14.99,14.44,14.87,926500,14.87
2009-01-26,14.86,14.91,14.28,14.57,2087500,14.57
2009-01-23,14.36,14.88,14.36,14.70,1615000,14.70
2009-01-22,14.26,14.93,14.20,14.61,1798600,14.61
2009-01-21,14.00,14.59,14.00,14.39,1888600,14.39
2009-01-20,14.70,14.70,13.64,13.67,1792600,13.67
2009-01-16,15.00,15.39,14.21,14.76,2152800,14.76
2009-01-15,14.54,15.05,14.04,14.72,1645300,14.72
2009-01-14,14.77,15.00,14.35,14.75,1734700,14.75
2009-01-13,14.71,15.25,14.71,15.00,2219400,15.00
2009-01-12,14.67,14.90,14.46,14.59,1648900,14.59
2009-01-09,14.95,15.19,14.51,14.76,1412200,14.76
2009-01-08,14.27,15.11,14.02,15.08,1924100,15.08
2009-01-07,14.42,14.97,14.30,14.56,1221400,14.56
2009-01-06,14.89,15.11,14.58,14.99,1776500,14.99
2009-01-05,14.54,15.10,14.36,14.80,2036400,14.80
2009-01-02,14.13,14.78,14.07,14.65,1429000,14.65
2008-12-31,13.75,14.23,13.61,14.16,1667500,14.16
2008-12-30,13.51,13.85,13.51,13.83,1102700,13.83
2008-12-29,13.81,13.90,13.30,13.56,966800,13.56
2008-12-26,13.85,13.85,13.47,13.69,571400,13.69
2008-12-24,13.69,13.85,13.58,13.69,293600,13.69
2008-12-23,13.37,13.91,13.28,13.62,811300,13.62
2008-12-22,14.14,14.46,13.37,13.66,1354200,13.66
2008-12-19,14.09,14.53,13.12,14.06,5555900,14.06
2008-12-18,13.75,14.05,13.38,13.90,4635600,13.90
2008-12-17,13.04,13.57,12.81,13.46,5226500,13.46
2008-12-16,13.08,13.45,12.79,13.14,2940700,13.14
2008-12-15,13.28,13.46,12.69,12.95,1901500,12.95
2008-12-12,12.75,13.53,12.75,13.07,2692600,13.07
2008-12-11,13.57,13.77,12.88,12.96,3742100,12.96
2008-12-10,13.99,14.60,13.46,13.75,4239100,13.75
2008-12-09,15.25,15.25,13.58,14.02,4549300,14.02
2008-12-08,14.25,15.15,14.12,14.96,3254700,14.96
2008-12-05,12.90,13.81,12.45,13.79,2389400,13.79
2008-12-04,13.51,13.97,12.44,12.82,2386400,12.82
2008-12-03,13.35,14.00,13.20,13.86,1677300,13.86
2008-12-02,13.18,14.02,13.02,13.70,1888100,13.70
2008-12-01,14.28,14.47,13.24,13.24,1504700,13.24
2008-11-28,13.96,15.29,13.71,15.00,818900,15.00
2008-11-26,13.06,14.30,13.02,14.15,1124500,14.15
2008-11-25,13.89,13.89,12.67,13.26,2197600,13.26
2008-11-24,13.72,13.72,12.56,13.63,2012400,13.63
2008-11-21,12.13,12.87,11.30,12.85,3426000,12.85
2008-11-20,12.05,12.86,11.65,11.91,3483100,11.91
2008-11-19,12.76,13.25,12.28,12.35,2580800,12.35
2008-11-18,13.49,13.63,12.02,12.49,2595200,12.49
2008-11-17,14.39,14.39,13.36,13.41,2755200,13.41
2008-11-14,13.45,14.54,13.17,13.92,2481800,13.92
2008-11-13,12.32,13.54,11.81,13.54,3051700,13.54
2008-11-12,13.28,13.53,11.65,12.02,5171300,12.02
2008-11-11,13.88,13.92,12.61,13.61,1736600,13.61
2008-11-10,14.67,15.00,13.88,14.07,1791400,14.07
2008-11-07,12.52,14.70,12.52,14.09,5204100,14.09
2008-11-06,13.72,13.72,12.09,12.09,1637800,12.09
2008-11-05,13.93,14.24,13.54,13.73,2342000,13.73
2008-11-04,13.84,14.63,13.33,14.05,3156500,14.05
2008-11-03,13.20,13.87,13.10,13.51,2069900,13.51
2008-10-31,13.00,14.36,13.00,13.64,3130700,13.64
2008-10-30,12.70,13.13,12.32,13.13,1690000,13.13
2008-10-29,11.00,12.73,10.65,12.35,3414300,12.35
2008-10-28,10.42,11.26,10.19,11.26,1230800,11.26
2008-10-27,10.54,10.76,10.33,10.41,2326900,10.41
2008-10-24,11.21,11.48,10.02,10.27,2394600,10.27
2008-10-23,12.61,12.84,11.36,12.03,1599700,12.03
2008-10-22,13.26,13.33,12.29,12.61,1480700,12.61
2008-10-21,13.42,13.79,12.88,13.30,1358200,13.30
2008-10-20,12.91,13.61,12.61,13.61,1088100,13.61
2008-10-17,12.02,13.21,11.00,12.87,1489000,12.87
2008-10-16,12.10,13.82,10.23,12.51,2209600,12.51
2008-10-15,13.14,14.23,12.25,12.29,1515700,12.29
2008-10-14,12.78,13.83,12.78,13.70,3253500,13.70
2008-10-13,11.55,13.10,11.01,13.05,1754400,13.05
2008-10-10,11.09,12.43,10.61,11.12,2965000,11.12
2008-10-09,11.10,12.48,10.79,11.53,3242800,11.53
2008-10-08,11.60,12.08,11.11,11.69,3489300,11.69
2008-10-07,13.00,13.39,11.81,12.05,2580600,12.05
2008-10-06,12.61,12.88,11.64,12.72,2298800,12.72
2008-10-03,14.16,14.16,12.84,13.08,2696800,13.08
2008-10-02,14.25,14.52,13.82,14.00,1872800,14.00
2008-10-01,14.14,14.69,13.69,14.53,1656200,14.53
2008-09-30,14.70,14.92,13.96,14.25,3301300,14.25
2008-09-29,15.74,15.86,13.59,14.59,2661100,14.59
2008-09-26,15.70,16.37,15.67,16.20,1575100,16.20
2008-09-25,16.57,16.75,15.52,16.25,2086400,16.25
2008-09-24,17.07,17.24,16.26,16.60,838600,16.60
2008-09-23,17.33,17.33,16.26,16.74,2173100,16.74
2008-09-22,16.50,17.10,15.86,16.76,2528800,16.76
2008-09-19,17.29,17.29,17.29,17.29,2798300,17.29
2008-09-18,18.28,21.05,13.81,13.81,5711300,13.81
2008-09-17,18.91,19.02,18.29,18.30,3784900,18.30
2008-09-16,18.58,19.68,18.32,19.38,5156000,19.38
2008-09-15,18.79,19.53,18.60,18.65,3058800,18.65
2008-09-12,18.90,19.52,18.46,19.44,3115100,19.44
2008-09-11,18.35,19.05,18.32,19.00,2879400,19.00
2008-09-10,19.37,19.37,18.32,18.66,5428000,18.66
2008-09-09,19.63,19.73,19.09,19.10,2116000,19.10
2008-09-08,19.38,20.75,18.90,19.70,2246500,19.70
2008-09-05,19.42,19.71,19.09,19.52,2074000,19.52
2008-09-04,19.97,20.30,19.43,19.43,2318000,19.43
2008-09-03,19.90,20.37,19.75,20.16,2821500,20.16
2008-09-02,20.57,21.11,19.86,19.92,2551200,19.92
2008-08-29,20.34,20.39,19.87,20.23,1555500,20.23
2008-08-28,19.63,20.38,19.55,20.30,2641200,20.30
2008-08-27,19.26,19.70,19.22,19.47,2110100,19.47
2008-08-26,19.41,19.68,19.28,19.50,3280500,19.50
2008-08-25,19.88,20.05,19.29,19.40,2052100,19.40
2008-08-22,19.58,20.13,19.51,20.10,1871900,20.10
2008-08-21,19.54,19.63,19.13,19.51,2087400,19.51
2008-08-20,19.65,19.92,19.41,19.74,2125900,19.74
2008-08-19,19.75,19.92,19.38,19.74,3584200,19.74
2008-08-18,20.29,20.53,19.55,19.66,2991500,19.66
2008-08-15,20.38,20.64,20.00,20.54,2944500,20.54
2008-08-14,19.61,20.44,19.61,20.32,3664700,20.32
