Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,45.21,45.24,44.56,44.58,471900,42.83
2009-12-30,45.14,45.37,45.01,45.21,473200,43.43
2009-12-29,45.34,45.49,45.15,45.35,411000,43.57
2009-12-28,45.37,45.37,44.99,45.22,574200,43.44
2009-12-24,45.06,45.22,44.93,45.22,426200,43.44
2009-12-23,44.84,45.11,44.57,44.88,802100,43.11
2009-12-22,44.85,45.12,44.65,44.72,1104500,42.96
2009-12-21,44.72,45.10,44.63,44.82,770300,43.06
2009-12-18,44.90,44.98,44.26,44.71,1671500,42.95
2009-12-17,44.93,45.09,44.63,44.72,893400,42.96
2009-12-16,45.14,45.50,44.91,45.31,1145200,43.53
2009-12-15,45.45,45.49,44.90,45.00,1014200,43.23
2009-12-14,45.29,45.66,45.07,45.41,734600,43.62
2009-12-11,45.70,45.92,44.83,45.17,876600,43.39
2009-12-10,45.30,45.66,45.30,45.55,990700,43.61
2009-12-09,44.61,45.11,44.23,45.07,844700,43.15
2009-12-08,44.59,44.88,44.29,44.50,1048400,42.60
2009-12-07,45.26,45.35,44.59,44.92,1048900,43.01
2009-12-04,45.61,46.10,44.99,45.21,1348300,43.28
2009-12-03,45.71,46.06,45.07,45.10,931600,43.18
2009-12-02,45.57,45.89,45.44,45.79,902700,43.84
2009-12-01,45.16,45.55,45.08,45.48,1336600,43.54
2009-11-30,44.50,44.94,44.12,44.91,1090900,43.00
2009-11-27,44.41,44.89,44.13,44.45,488500,42.56
2009-11-25,45.12,45.50,44.87,45.29,943600,43.36
2009-11-24,45.75,45.75,44.92,45.10,976500,43.18
2009-11-23,45.44,46.09,45.38,45.64,757500,43.69
2009-11-20,45.16,45.42,44.95,45.29,1052200,43.36
2009-11-19,45.62,45.68,45.05,45.29,983000,43.36
2009-11-18,46.32,46.41,45.76,45.96,882500,44.00
2009-11-17,46.16,46.38,46.00,46.36,1108400,44.38
2009-11-16,46.07,46.17,45.81,46.15,1607600,44.18
2009-11-13,45.66,46.32,45.50,45.93,1108200,43.97
2009-11-12,46.07,46.37,45.41,45.54,1277900,43.60
2009-11-11,46.68,46.85,46.09,46.24,1075900,44.27
2009-11-10,46.11,46.54,46.00,46.38,927500,44.40
2009-11-09,45.45,46.14,45.42,46.14,1045600,44.17
2009-11-06,44.85,45.37,44.62,45.18,1083800,43.25
2009-11-05,44.63,45.21,44.48,45.14,1085200,43.22
2009-11-04,44.52,45.00,44.26,44.33,1490900,42.44
2009-11-03,43.71,44.76,43.64,44.51,2058400,42.61
2009-11-02,44.15,44.52,43.39,44.05,1479000,42.17
2009-10-30,44.66,44.98,43.85,43.96,1761700,42.09
2009-10-29,44.56,44.92,44.13,44.76,1849400,42.85
2009-10-28,44.76,45.17,44.06,44.15,2111200,42.27
2009-10-27,46.64,46.79,44.65,44.95,2378700,43.03
2009-10-26,46.15,46.89,45.62,45.93,1600700,43.97
2009-10-23,46.22,46.40,45.70,46.10,1613200,44.13
2009-10-22,45.89,46.59,45.78,46.33,957300,44.36
2009-10-21,46.12,46.83,45.73,45.87,1278900,43.91
2009-10-20,46.37,46.43,45.91,46.17,1215900,44.20
2009-10-19,46.34,46.80,46.15,46.58,908800,44.59
2009-10-16,46.19,46.62,46.12,46.29,1621100,44.32
2009-10-15,46.40,46.60,46.05,46.38,1227200,44.40
2009-10-14,46.75,46.75,46.09,46.57,1191900,44.58
2009-10-13,45.93,46.27,45.79,46.11,880300,44.14
2009-10-12,46.03,46.51,45.90,46.12,966600,44.15
2009-10-09,46.09,46.28,45.57,45.94,1760800,43.98
2009-10-08,45.90,46.43,45.87,46.02,1431300,44.06
2009-10-07,45.82,45.95,45.22,45.49,1268400,43.55
2009-10-06,45.95,46.12,45.47,45.86,1013600,43.91
2009-10-05,44.90,45.44,44.76,45.43,1333400,43.49
2009-10-02,45.04,45.39,44.80,44.90,1941500,42.99
2009-10-01,46.26,46.26,45.15,45.17,2116000,43.24
2009-09-30,46.00,46.87,45.84,46.23,2135300,44.26
